# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 09:50:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2484f19f2.json
# init = /tmp/RtmpC8O1hA/init-b41c2481b186d_1.json
# random
#   seed = 2252007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0216_rep022_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605301050-1-44609c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0216_rep022_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605301050-1-6bc8a6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.20464
# Diagonal elements of inverse mass matrix:
# 0.0442107, 0.0627859, 0.00618203, 0.00517757, 0.0130114, 0.00546971, 0.00716253
-545.531,0.941138,0.20464,4,15,0,547.881,-0.489645,-3.02925,-1.05143,-0.591147,4.19544,0.436634,-0.97796,4.60471,2.33218,0.000132019,0.000174308,0.000230217,0.000304188,0.000402153,0.000532054,0.000704563,0.00093407,0.00123998,0.00164832,0.00219336,0.00291853,0.00387577,0.00512282,0.00671896,0.00871945,0.011169,0.0140943,0.0174959,0.0213407,0.0255577,0.0300218,0.0345721,0.0390218,0.0431708,0.0468198,0.0497838,0.0519057,0.0530695,0.0532143,0.0523445,0.0505302,0.0478956,0.0446014,0.0408282,0.0367615,0.0325803,0.0284461,0.0244939,0.0208261,0.0175096,0.0145776,0.0120347,0.00986412,0.00803575,0.00651222,0.00525396,0.00422242,0.00338194,0.00270067,0.0021509,0.00170894,0.00135483,0.00107191,0.000846464,0.000667211,0.000524976,0.000412319,0.000323234,0.000252899,0.000197447,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.27405,-10.0056,-0,-4.49461,-12.7859,-16.1832,-11.5414,-25.6677,-14.0233,-20.1882,-12.9745,-21.9981,-36.7374,-18.0004,-29.5833,-32.2977,-32.2677,-41.2987,-32.837,-33.4261,-40.4299,-22.3887,-29.7297,-17.1202,-14.239,-11.128,-27.1008,-24.27,-16.9131,-8.83993,-9.2377,-9.64771,-15.1022,-15.7463,-5.46735,-0,-0,-0,-0,-0,-0,-7.07444,-0,-0,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,6,5,5,11,7,13,15,9,9,11,15,14,9,10,7,5,9,7,1,8,2,1,3,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
-543.248,0.99656,0.20464,4,15,0,548.03,-1.65218,-2.22443,-1.09289,-0.651195,4.15422,0.53067,-1.06745,5.30572,2.49626,8.22011e-05,0.000106891,0.000139077,0.000181093,0.000236035,0.000308046,0.00040271,0.000527629,0.000693274,0.000914206,0.00121077,0.0016111,0.0021531,0.00288559,0.00386845,0.00517121,0.0068695,0.0090387,0.0117443,0.0150293,0.0189009,0.0233049,0.0281297,0.0332074,0.0383228,0.043227,0.0476537,0.0513384,0.0540428,0.0555869,0.0558835,0.054953,0.0529084,0.0499257,0.0462189,0.0420194,0.0375583,0.0330497,0.0286757,0.0245751,0.0208395,0.0175156,0.0146139,0.0121189,0.00999919,0.00821534,0.00672554,0.00548895,0.00446772,0.0036279,0.00293975,0.0023776,0.0019196,0.00154733,0.00124537,0.00100087,0.000803217,0.000643668,0.000515041,0.000411464,0.00032815,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.84803,-11.1098,-0,-4.98066,-14.1187,-17.7775,-12.5933,-27.7798,-15.0364,-21.4256,-13.6199,-22.832,-37.6955,-18.2628,-29.6932,-32.0978,-31.7879,-40.3828,-31.914,-32.3311,-38.9639,-21.5206,-28.5266,-16.4093,-13.639,-10.6551,-25.9421,-23.2254,-16.1786,-8.45156,-8.82597,-9.2105,-14.4053,-15.0055,-5.20502,-0,-0,-0,-0,-0,-0,-6.68833,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,3,2,1,2,4,4,5,11,10,10,15,10,16,12,9,7,5,11,7,2,7,7,5,4,4,2,3,2,1,4,2,0,1,0,3,0,0,0,0,0,0,0,0,0
-542.877,0.962427,0.20464,3,15,0,546.404,-1.20897,-2.31936,-1.03015,-0.510007,3.91932,0.390392,-0.940804,4.68482,2.22224,5.92126e-05,8.00433e-05,0.000108247,0.000146471,0.000198342,0.000268854,0.000364924,0.000496198,0.000676224,0.000924117,0.00126681,0.0017417,0.00239902,0.00330293,0.00453053,0.00616804,0.00830392,0.0110186,0.0143708,0.0183827,0.0230257,0.0281888,0.0336928,0.0392973,0.0447169,0.0496432,0.0537697,0.0568207,0.0585836,0.0589423,0.0579,0.0555742,0.0521692,0.0479412,0.043169,0.0381286,0.0330731,0.0282142,0.0237114,0.0196663,0.0161274,0.0130989,0.0105538,0.0084462,0.00672145,0.00532352,0.00419927,0.0033009,0.00258683,0.0020218,0.00157642,0.00122651,0.000952398,0.00073822,0.000571246,0.000441336,0.000340444,0.000262214,0.000201644,0.00015481,0.000118643,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.71294,-10.7938,-0,-4.79103,-13.5245,-16.9702,-11.989,-26.398,-14.2753,-20.3428,-12.9464,-21.7518,-36.0347,-17.5383,-28.6785,-31.2103,-31.1432,-39.8865,-31.7904,-32.4859,-39.4911,-21.9984,-29.4011,-17.0452,-14.2717,-11.2254,-27.5019,-24.7634,-17.3409,-9.10253,-9.54808,-10.0049,-15.7069,-16.4185,-5.71356,-0,-0,-0,-0,-0,-0,-7.46769,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,2,1,3,5,8,3,7,9,7,14,11,13,14,13,11,12,10,11,12,5,4,3,3,4,1,2,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-544.302,0.986095,0.20464,3,15,0,550.173,-1.44975,-2.00622,-1.16883,-0.516731,4.14927,0.592803,-0.991921,4.94028,2.26404,4.45253e-05,6.00924e-05,8.11476e-05,0.000109663,0.000148352,0.000200969,0.000272765,0.000371155,0.00050676,0.000694964,0.000958155,0.00132846,0.00185029,0.00258181,0.00359497,0.00497369,0.00680966,0.00919468,0.012209,0.0159061,0.0202961,0.0253042,0.0307841,0.0365215,0.0422471,0.0476541,0.0524191,0.056225,0.0587913,0.0599166,0.059528,0.0577035,0.0546401,0.0506023,0.0458813,0.0407696,0.035542,0.0304386,0.0256509,0.0213115,0.017493,0.0142148,0.0114562,0.00917114,0.00730173,0.00578709,0.00456924,0.00359603,0.00282219,0.00220944,0.00172595,0.00134562,0.00104722,0.000813655,0.000631204,0.000488945,0.000378206,0.00029213,0.000225313,0.000173508,0.000133387,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95926,-11.2564,-0,-4.98941,-14.0674,-17.6223,-12.4232,-27.2813,-14.7071,-20.8845,-13.2394,-22.1495,-36.5254,-17.6909,-28.7839,-31.1714,-30.9628,-39.4983,-31.3768,-31.9769,-38.7889,-21.5719,-28.7984,-16.6852,-13.9682,-10.9895,-26.9396,-24.2757,-17.0139,-8.93845,-9.38339,-9.83929,-15.4564,-16.1652,-5.62793,-0,-0,-0,-0,-0,-0,-7.36788,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,6,5,6,4,11,12,8,10,15,10,6,16,13,16,10,9,9,4,3,7,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
-542.621,0.996745,0.20464,4,15,0,546.484,-2.16921,-2.35759,-1.0689,-0.656317,3.75736,0.308414,-0.719287,5.52388,2.66813,9.32172e-05,0.000120978,0.000157067,0.000204022,0.000265187,0.000344976,0.000449253,0.00058585,0.000765285,0.00100176,0.00131445,0.00172913,0.00227975,0.00300976,0.0039724,0.00522969,0.00684933,0.0088992,0.0114391,0.0145103,0.0181242,0.0222396,0.0267637,0.0315511,0.0364085,0.041105,0.0453878,0.0490033,0.0517254,0.0533882,0.0539112,0.053306,0.0516631,0.049132,0.0459001,0.0421735,0.0381588,0.0340464,0.0299983,0.0261399,0.0225581,0.0193045,0.0164011,0.0138478,0.011629,0.00971991,0.00809086,0.00671037,0.0055474,0.00457265,0.00375926,0.00308312,0.002523,0.0020604,0.00167938,0.0013663,0.00110963,0.000899609,0.000728074,0.000588205,0.000474334,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.8059,-11.0568,-0,-4.9836,-14.1654,-17.8829,-12.6987,-28.0735,-15.2235,-21.7243,-13.8246,-23.1907,-38.2995,-18.5551,-30.1587,-32.5799,-32.2318,-40.8858,-32.2488,-32.5931,-39.1722,-21.569,-28.4937,-16.33,-13.5201,-10.5198,-25.51,-22.75,-15.7897,-8.22081,-8.55926,-8.90851,-13.9007,-14.4511,-5.0041,-0,-0,-0,-0,-0,-0,-6.38933,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,4,5,2,4,6,10,11,3,11,7,11,7,11,9,14,10,9,10,8,7,5,5,4,5,1,2,1,2,3,1,2,0,0,0,2,1,0,0,0,0,1,0,0
-541.875,0.998069,0.20464,4,31,0,545.525,-2.04469,-2.36663,-1.07099,-0.584772,3.74267,0.134514,-0.783505,5.3905,2.55954,7.72506e-05,0.000102187,0.00013522,0.000179013,0.00023713,0.000314353,0.000417119,0.000554127,0.00073715,0.000982118,0.00131046,0.00175062,0.00233941,0.00312293,0.00415623,0.0055016,0.00722476,0.00938883,0.0120462,0.0152287,0.0189383,0.0231242,0.027687,0.0324773,0.0373014,0.0419314,0.0461208,0.0496262,0.0522334,0.0537862,0.0542082,0.0535098,0.0517793,0.0491643,0.0458508,0.0420433,0.0379468,0.0337513,0.02962,0.0256815,0.0220271,0.0187129,0.0157645,0.0131835,0.0109547,0.00905185,0.00744288,0.00609346,0.00496957,0.00403909,0.00327273,0.00264437,0.00213122,0.00171362,0.00137485,0.0011008,0.000879663,0.000701632,0.000558603,0.000443913,0.000352111,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.76898,-10.9663,-0,-4.93024,-14.0047,-17.676,-12.5537,-27.766,-15.0675,-21.5208,-13.7089,-23.0211,-38.0606,-18.4589,-30.0324,-32.4724,-32.1501,-40.8089,-32.2068,-32.5684,-39.1636,-21.5765,-28.5215,-16.3579,-13.5549,-10.5579,-25.6339,-22.8929,-15.9142,-8.29999,-8.65758,-9.02797,-14.1144,-14.7015,-5.10054,-0,-0,-0,-0,-0,-0,-6.58941,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,2,9,2,2,6,7,11,11,9,14,9,13,7,8,13,10,6,6,5,7,7,4,4,1,2,4,3,4,0,1,0,1,0,1,2,0,0,1,0,0,0,0
