# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 09:50:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2484f19f2.json
# init = /tmp/RtmpC8O1hA/init-b41c2481b186d_4.json
# random
#   seed = 2252007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0216_rep022_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605301050-4-44609c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0216_rep022_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605301050-4-6bc8a6.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.12947
# Diagonal elements of inverse mass matrix:
# 0.0438185, 0.030034, 0.00637447, 0.00343013, 0.00956839, 0.00674451, 0.00871555
-546.18,0.994393,0.12947,4,15,0,548.22,-1.49047,-3.61473,-0.999542,-0.590316,4.20631,0.471927,-1.1883,5.10876,2.34163,0.0001087,0.000143469,0.000189387,0.000250049,0.000330223,0.000436241,0.000576528,0.000762302,0.0010085,0.00133492,0.00176754,0.00233962,0.00309227,0.00407403,0.00533926,0.00694505,0.00894625,0.0113884,0.0142989,0.0176774,0.0214883,0.0256524,0.0300501,0.0345271,0.0389029,0.0429817,0.0465656,0.0494681,0.0515303,0.0526381,0.0527381,0.0518436,0.0500294,0.0474186,0.0441676,0.0404523,0.0364547,0.0323508,0.0282992,0.0244309,0.0208435,0.0175985,0.0147248,0.0122247,0.0100813,0.00826582,0.00674351,0.00547765,0.00443242,0.00357451,0.00287396,0.00230443,0.00184322,0.00147099,0.0011715,0.000931164,0.000738775,0.000585098,0.000462588,0.000365098,0.000287649,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.50312,-10.4653,-0,-4.71652,-13.4255,-16.9903,-12.1064,-26.8817,-14.6525,-21.0293,-13.464,-22.7268,-37.7638,-18.4014,-30.0643,-32.6214,-32.3875,-41.1938,-32.5548,-32.9466,-39.6336,-21.8383,-28.8687,-16.5584,-13.7245,-10.6948,-25.9833,-23.2243,-16.1598,-8.43644,-8.80859,-9.19415,-14.3869,-14.9975,-5.20708,-0,-0,-0,-0,-0,-0,-6.74947,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,3,3,2,5,4,3,8,12,7,10,9,12,11,14,4,13,10,10,9,7,4,4,4,3,7,4,2,1,2,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0
-543.544,0.999825,0.12947,5,31,0,548.145,-2.01601,-3.50113,-1.0924,-0.456919,4.0092,0.476221,-0.69858,5.14287,2.26301,5.07007e-05,6.96052e-05,9.55685e-05,0.000131235,0.000180246,0.000247625,0.000340301,0.00046785,0.000643495,0.000885427,0.0012184,0.00167539,0.00229879,0.00314074,0.00426236,0.00573122,0.0076167,0.00998245,0.0128759,0.0163163,0.0202831,0.0247035,0.0294549,0.0343694,0.0392444,0.0438548,0.0479676,0.0513574,0.0538261,0.055225,0.0554775,0.05459,0.052645,0.0497838,0.0461887,0.0420661,0.0376307,0.0330907,0.0286331,0.0244107,0.0205343,0.0170699,0.014044,0.0114515,0.00926544,0.00744652,0.00594976,0.00472951,0.00374251,0.00294955,0.0023162,0.00181291,0.00141477,0.00110107,0.000854784,0.000662046,0.000511653,0.00039461,0.000303743,0.000233353,0.000178939,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.7633,-10.9159,-0,-4.87741,-13.8208,-17.4096,-12.3468,-27.2858,-14.8032,-21.1494,-13.4824,-22.6656,-37.5224,-18.2234,-29.6895,-32.142,-31.8597,-40.4849,-31.9869,-32.386,-39.0009,-21.5251,-28.5166,-16.3997,-13.634,-10.6596,-25.9891,-23.314,-16.2817,-8.53111,-8.93927,-9.36293,-14.7,-15.3732,-5.35393,-0,-0,-0,-0,-0,-0,-7.06466,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,3,4,6,5,4,6,9,7,6,12,9,13,17,13,10,5,8,3,8,3,8,8,5,5,2,4,2,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-544.101,0.986848,0.12947,4,31,0,551.376,-0.966614,-1.4498,-1.10585,-0.854047,3.63064,0.207261,-0.873385,5.03199,2.82101,0.000117797,0.000146602,0.000182713,0.00022813,0.000285479,0.000358258,0.00045119,0.000570767,0.000726066,0.000930013,0.00120126,0.00156689,0.00206586,0.00275277,0.00370066,0.00500164,0.00676377,0.00910365,0.0121346,0.0159512,0.0206125,0.0259966,0.0318919,0.038001,0.0439569,0.0493527,0.0537857,0.0569133,0.0585125,0.0585227,0.0570486,0.0543228,0.0506486,0.0463472,0.0417192,0.037021,0.0324527,0.0281564,0.0242205,0.0206888,0.0175712,0.0148546,0.0125111,0.0105055,0.00879956,0.00735567,0.00613826,0.005115,0.00425708,0.00353925,0.00293965,0.0024395,0.00202276,0.00167583,0.00138718,0.00114709,0.000947367,0.000781166,0.000642757,0.00052738,0.000431097,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.89515,-11.1985,-0,-4.99617,-14.0972,-17.6468,-12.4147,-27.173,-14.5992,-20.6724,-13.0806,-21.8718,-36.1052,-17.5365,-28.6623,-31.2237,-31.2218,-40.0939,-32.0409,-32.8113,-39.9307,-22.2376,-29.6664,-17.1399,-14.2799,-11.1617,-27.1472,-24.249,-16.8378,-8.76227,-9.11172,-9.46611,-14.7369,-15.2796,-5.27558,-0,-0,-0,-0,-0,-0,-6.58048,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,2,3,5,6,4,4,6,11,8,13,17,10,10,15,12,12,8,4,12,7,3,7,3,4,0,0,0,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-542.639,0.999265,0.12947,4,15,0,544.77,-1.29838,-1.50205,-1.15754,-0.826582,3.8582,0.215527,-0.93014,5.34991,2.84496,9.83137e-05,0.000123039,0.000154199,0.00019359,0.000243583,0.000307342,0.000389159,0.000494946,0.000632989,0.000815092,0.00105825,0.00138697,0.00183604,0.00245342,0.00330224,0.00446115,0.00602217,0.00808538,0.0107502,0.0141036,0.0182066,0.0229995,0.0283493,0.0340448,0.0398022,0.045281,0.0501124,0.0539416,0.0564808,0.0575631,0.0571726,0.0554366,0.0525842,0.048897,0.0446658,0.0401611,0.0356137,0.0312047,0.0270636,0.0232715,0.019869,0.0168652,0.0142474,0.0119892,0.0100569,0.008414,0.00702415,0.00585314,0.00486973,0.00404608,0.00335773,0.00278351,0.0023052,0.00190727,0.00157651,0.00130178,0.00107367,0.000884303,0.000727076,0.000596499,0.00048801,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.01027,-11.4263,-0,-5.11231,-14.4531,-18.1313,-12.784,-28.0418,-15.0891,-21.3789,-13.5203,-22.5668,-37.1384,-17.9609,-29.1985,-31.6124,-31.4036,-40.0635,-31.8177,-32.3987,-39.2345,-21.7598,-28.9337,-16.6751,-13.8687,-10.8287,-26.3237,-23.5116,-16.33,-8.50236,-8.84749,-9.19898,-14.3336,-14.8752,-5.14078,-0,-0,-0,-0,-0,-0,-6.45254,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,3,2,3,4,8,6,6,7,12,13,14,12,8,7,17,11,9,8,7,9,5,3,3,2,4,1,0,1,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0
-542.064,0.990967,0.12947,5,31,0,546.394,-1.75843,-2.01658,-1.13989,-0.523538,4.34025,0.263826,-0.822021,5.39375,2.39996,4.29769e-05,5.7905e-05,7.80702e-05,0.000105351,0.000142332,0.000192595,0.000261137,0.000354993,0.000484131,0.000662697,0.000910629,0.00125548,0.00173413,0.002394,0.00329333,0.00450003,0.00608868,0.00813505,0.010708,0.0138592,0.017612,0.0219298,0.0267227,0.031845,0.0370989,0.0422437,0.0470104,0.0511206,0.0543108,0.0563638,0.0571429,0.0566187,0.0548705,0.0520641,0.0484184,0.0441763,0.0395823,0.0348647,0.0302229,0.0258167,0.0217617,0.0181285,0.0149473,0.012216,0.00990899,0.00798668,0.00640271,0.00510941,0.00406138,0.00321737,0.00254121,0.00200188,0.00157332,0.00123387,0.000965768,0.000754546,0.000588503,0.000458231,0.000356206,0.00027643,0.000214143,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.03479,-11.4317,-0,-5.10132,-14.4347,-18.1471,-12.8364,-28.2742,-15.2796,-21.7335,-13.7875,-23.0592,-37.9716,-18.3443,-29.7357,-32.0433,-31.6352,-40.0708,-31.5856,-31.9306,-38.4186,-21.1951,-28.0761,-16.1469,-13.4251,-10.4975,-25.5971,-22.9656,-16.0411,-8.40645,-8.81002,-9.22863,-14.4899,-15.1531,-5.27667,-0,-0,-0,-0,-0,-0,-6.94259,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,2,2,1,5,5,9,5,9,10,18,19,10,9,5,16,10,10,6,10,6,5,4,3,3,4,0,2,0,2,1,1,0,1,0,0,2,0,0,0,0,0,0
-542.051,0.993442,0.12947,5,31,0,544.723,-1.40112,-2.13469,-1.24924,-0.563669,4.1687,0.427176,-0.765052,5.06682,2.39848,6.8027e-05,9.05719e-05,0.000120655,0.000160851,0.000214648,0.000286812,0.000383896,0.000514988,0.000692788,0.0009351,0.00126672,0.00172136,0.00234308,0.00318649,0.00431562,0.00580105,0.00771506,0.0101245,0.0130816,0.0166129,0.0207096,0.0252893,0.0302173,0.0353104,0.040347,0.0450804,0.0492545,0.0526213,0.0549638,0.0561244,0.0560362,0.0547391,0.0523659,0.04911,0.0451941,0.0408487,0.0362959,0.0317367,0.027341,0.0232391,0.0195184,0.0162248,0.0133686,0.0109337,0.00888668,0.00718506,0.00578349,0.00463764,0.00370659,0.00295394,0.00234812,0.00186229,0.00147393,0.00116435,0.000918166,0.00072283,0.000568136,0.000445842,0.000349313,0.00027323,0.000213339,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.74884,-10.891,-0,-4.86458,-13.7784,-17.3462,-12.2927,-27.1401,-14.7095,-20.996,-13.3743,-22.4717,-37.1917,-18.0645,-29.4463,-31.9119,-31.682,-40.3446,-31.9569,-32.4445,-39.178,-21.6775,-28.7809,-16.5803,-13.8011,-10.7981,-26.3334,-23.6184,-16.4849,-8.62969,-9.03181,-9.4464,-14.8073,-15.4582,-5.37355,-0,-0,-0,-0,-0,-0,-6.99313,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,4,2,3,4,6,10,11,10,8,11,6,4,13,8,12,10,10,12,6,7,4,7,5,5,3,2,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0
