# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 09:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24c1944f4.json
# init = /tmp/RtmpC8O1hA/init-b41c225ca7017_3.json
# random
#   seed = 2252008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0217_rep022_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605301054-3-4d96ca.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0217_rep022_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301054-3-303de7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0889225
# Diagonal elements of inverse mass matrix:
# 0.0872433, 0.0712172, 0.07502, 0.0272903, 0.0870908, 0.196597, 0.201234
-545.278,0.991435,0.0889225,6,63,0,551.797,-2.92033,-4.02592,-1.42047,-0.449097,3.54121,0.1292,0.270919,5.29721,2.47561,5.85627e-05,8.05899e-05,0.000110907,0.000152637,0.000210076,0.000289133,0.000397913,0.000547492,0.000752895,0.00103423,0.00141789,0.00193745,0.00263406,0.00355577,0.00475578,0.00628915,0.00820826,0.0105567,0.0133624,0.0166308,0.0203393,0.0244114,0.0287363,0.0331711,0.0375474,0.0416795,0.0453758,0.0484515,0.0507441,0.0521318,0.0525482,0.0519907,0.0505168,0.0482323,0.0452771,0.0418118,0.0380058,0.0340252,0.0300237,0.0261335,0.0224596,0.0190769,0.0160311,0.0133416,0.0110069,0.00901012,0.00732413,0.00591644,0.0047525,0.00379827,0.00302179,0.00239409,0.00188963,0.0014863,0.00116534,0.000911002,0.000710215,0.000552253,0.000428375,0.000331507,0.000255963,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.63918,-10.6968,-0,-4.80261,-13.653,-17.2612,-12.2895,-27.2664,-14.8508,-21.2976,-13.6243,-22.9751,-38.133,-18.5567,-30.2719,-32.7905,-32.4938,-41.2444,-32.5236,-32.8399,-39.4125,-21.6647,-28.5712,-16.3501,-13.5226,-10.5173,-25.5118,-22.7762,-15.8371,-8.26645,-8.63373,-9.01846,-14.1282,-14.7497,-5.13002,-0,-0,-0,-0,-0,-0,-6.75474,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,7,4,7,9,7,3,8,4,10,11,12,12,9,9,7,9,6,10,6,4,8,11,4,3,0,5,2,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0
-544.126,0.973465,0.0889225,6,63,0,549.086,-1.40229,-2.391,-0.902677,-0.882278,3.89327,1.84419,-0.757892,5.25652,2.7444,0.000183752,0.000226632,0.000279702,0.000345482,0.000427166,0.000528835,0.00065574,0.000814723,0.0010148,0.00126808,0.0015911,0.00200711,0.00254961,0.00326569,0.0042166,0.00547779,0.0071373,0.00929096,0.0120326,0.0154358,0.0195244,0.0242284,0.0293864,0.0347728,0.0401181,0.0451238,0.0494776,0.0528746,0.0550459,0.0558369,0.0552808,0.0535111,0.0507219,0.0471459,0.0430368,0.0386539,0.0342438,0.0300108,0.0260861,0.0225323,0.0193663,0.0165789,0.014146,0.012037,0.0102185,0.00865712,0.00732139,0.00618206,0.00521271,0.00438978,0.00369245,0.00310251,0.00260412,0.00218356,0.001829,0.00153029,0.00127876,0.00106705,0.000888884,0.000738994,0.000612929,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.72429,-10.9375,-0,-4.94242,-14.0361,-17.6806,-12.5132,-27.5526,-14.8809,-21.1633,-13.4357,-22.5115,-37.1801,-18.0374,-29.3983,-31.8955,-31.7385,-40.5346,-32.2065,-32.7954,-39.7086,-22.0199,-29.278,-16.8712,-14.0248,-10.9391,-26.5496,-23.6653,-16.3985,-8.51664,-8.83954,-9.16712,-14.2481,-14.7509,-5.0861,-0,-0,-0,-0,-0,-0,-6.30398,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,3,4,3,2,8,8,11,5,6,7,14,8,11,12,16,7,9,5,5,7,9,4,3,3,7,3,2,1,3,0,0,2,2,1,2,0,0,0,1,1,0,0,0,0,0
-544.955,0.982209,0.0889225,3,15,0,546.175,-1.63713,-2.45042,-0.891734,-0.905242,4.10808,1.78335,-0.699232,5.59885,2.83906,0.000175565,0.000215568,0.00026487,0.000325726,0.000400992,0.000494305,0.000610343,0.000755187,0.00093686,0.00116612,0.00145774,0.00183251,0.00232022,0.00296175,0.00381021,0.00493164,0.00640449,0.00831635,0.0107562,0.0137992,0.017481,0.0217602,0.0265167,0.0315701,0.0366964,0.0416389,0.0461203,0.0498589,0.0525897,0.0541069,0.054357,0.0534093,0.0514016,0.0485183,0.0449736,0.040997,0.0368195,0.0326571,0.0286824,0.025003,0.0216692,0.0186934,0.0160659,0.013765,0.0117629,0.0100297,0.0085353,0.00725128,0.00615116,0.00521087,0.00440888,0.00372605,0.00314557,0.00265271,0.00223469,0.00188041,0.00158036,0.00132635,0.00111139,0.000929546,0.000775764,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.82197,-11.1401,-0,-5.05076,-14.3686,-18.1291,-12.8494,-28.3265,-15.3107,-21.7799,-13.8222,-23.1355,-38.1447,-18.459,-29.9856,-32.3976,-32.0847,-40.7705,-32.2275,-32.649,-39.3356,-21.7118,-28.7483,-16.5086,-13.6868,-10.6544,-25.8213,-22.9912,-15.9183,-8.26211,-8.57125,-8.8856,-13.8066,-14.2906,-4.92658,-0,-0,-0,-0,-0,-0,-6.10365,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,0,4,3,2,4,2,5,6,5,9,6,11,12,11,11,20,13,9,6,8,7,8,7,3,5,3,2,2,1,1,0,2,0,0,2,1,0,0,0,0,0,0,0,1
-546.422,0.978994,0.0889225,5,63,0,548.826,-1.34905,-2.48195,-1.29504,-0.511199,3.98539,2.03859,-0.689712,4.55171,2.17749,5.95811e-05,8.04699e-05,0.000108707,0.000146899,0.000198593,0.000268633,0.00036366,0.000492828,0.000668859,0.000909606,0.0012405,0.00169848,0.00233735,0.0032272,0.00445048,0.00609964,0.00827285,0.0110666,0.0145631,0.018809,0.0237817,0.0293253,0.0351931,0.0410987,0.04674,0.0518077,0.0559928,0.0589985,0.0605577,0.0604891,0.0588794,0.0559568,0.0519894,0.047261,0.0420575,0.0366584,0.0313317,0.0263228,0.0218125,0.0178829,0.0145375,0.0117368,0.00942138,0.00752609,0.00598697,0.00474525,0.00374897,0.00295337,0.00232062,0.00181919,0.00142306,0.00111102,0.000865837,0.000673623,0.000523246,0.000405819,0.000314278,0.000243028,0.00018765,0.000144663,0.000111335,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73614,-10.8295,-0,-4.79478,-13.5115,-16.9171,-11.9203,-26.1719,-14.1172,-20.0814,-12.7671,-21.4421,-35.5226,-17.2952,-28.3024,-30.8457,-30.8582,-39.6517,-31.7149,-32.5239,-39.6769,-22.181,-29.755,-17.3156,-14.5493,-11.4758,-28.1674,-25.3861,-17.7801,-9.32955,-9.77876,-10.2363,-16.0518,-16.7588,-5.82481,-0,-0,-0,-0,-0,-0,-7.55546,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2,2,7,6,5,4,11,17,16,13,12,11,9,13,9,9,6,9,8,5,3,4,2,4,1,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
-544.752,0.998558,0.0889225,5,31,0,548.738,-2.41537,-1.6905,-1.83359,-0.436469,4.91636,1.78294,-1.22213,5.59683,2.34783,2.48752e-05,3.44141e-05,4.76374e-05,6.59924e-05,9.15182e-05,0.000127109,0.000176915,0.00024698,0.000346281,0.000488509,0.000694389,0.000991964,0.00141623,0.00200972,0.00282305,0.00391525,0.00535333,0.00721062,0.00956249,0.0124768,0.0159957,0.0200773,0.0246248,0.029506,0.0345669,0.0396338,0.0445129,0.048989,0.0528228,0.0557472,0.0574633,0.0576915,0.0564675,0.0540477,0.0507021,0.0466829,0.0422196,0.0375184,0.0327629,0.0281163,0.0237237,0.01971,0.0161635,0.0131172,0.0105555,0.00843474,0.00670028,0.00529538,0.00416641,0.00326521,0.00254991,0.00198497,0.00154071,0.00119271,0.000921035,0.000709617,0.000545552,0.00041856,0.000320495,0.000244929,0.000186816,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.20976,-11.7399,-0,-5.23004,-14.7966,-18.5996,-13.1516,-28.9481,-15.6327,-22.224,-14.0926,-23.554,-38.7369,-18.6719,-30.1616,-32.3489,-31.7562,-39.9925,-31.3791,-31.615,-37.9325,-20.8725,-27.5794,-15.8243,-13.1317,-10.2554,-24.9998,-22.4477,-15.7065,-8.25,-8.66766,-9.10222,-14.3262,-15.0168,-5.24092,-0,-0,-0,-0,-0,-0,-6.99001,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,5,4,3,1,6,7,9,6,7,12,12,10,18,6,13,9,12,8,4,8,6,6,3,5,1,2,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1
-542.606,0.999921,0.0889225,5,31,0,545.997,-2.01455,-2.49687,-2.10841,-0.534115,3.60008,0.858169,-0.589117,4.95392,2.4913,8.07342e-05,0.000108285,0.000145264,0.000194916,0.000261622,0.000351308,0.000472007,0.000634661,0.000854227,0.00115123,0.00155375,0.00209947,0.00283627,0.00382043,0.00511358,0.0067792,0.00887849,0.0114645,0.0145741,0.0182186,0.0223744,0.0269272,0.0317205,0.0365661,0.041256,0.0455711,0.0492885,0.0521881,0.0540692,0.0547895,0.05432,0.0527517,0.050247,0.0469965,0.0431994,0.0390543,0.0347525,0.0304699,0.0263565,0.0225266,0.0190534,0.0159717,0.0132853,0.0109771,0.00901714,0.00736918,0.00599497,0.00485715,0.00392082,0.00315443,0.00253012,0.0020237,0.00161446,0.0012849,0.00102031,0.000808496,0.000639363,0.000504632,0.000397539,0.000312585,0.000245319,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.56739,-10.5517,-0,-4.72412,-13.4055,-16.914,-12.0159,-26.5989,-14.4585,-20.7048,-13.2345,-22.3157,-37.0618,-18.0604,-29.529,-32.0924,-31.9468,-40.7801,-32.3637,-32.8989,-39.7499,-21.9935,-29.1852,-16.7975,-13.9641,-10.9081,-26.5514,-23.7631,-16.5478,-8.6422,-9.02389,-9.41726,-14.7313,-15.3505,-5.3273,-0,-0,-0,-0,-0,-0,-6.88765,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,2,6,2,8,5,3,3,8,8,1,7,12,12,12,12,10,8,11,8,6,6,6,6,7,2,4,4,4,6,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
