# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 10:10:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26b91f1f1.json
# init = /tmp/RtmpC8O1hA/init-b41c275c3f315_2.json
# random
#   seed = 2252010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0219_rep022_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605301110-2-2811fa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0219_rep022_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605301110-2-9f787b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.237318
# Diagonal elements of inverse mass matrix:
# 0.0583576, 0.0435614, 0.00682239, 0.00492966, 0.00621352, 0.00726203, 0.00955396
-546.848,0.980491,0.237318,4,15,0,548.782,-1.0407,-3.34384,-0.903162,-0.650297,4.35812,0.98743,-0.649688,4.95951,2.32696,0.000124073,0.000161211,0.000209521,0.000272404,0.000354322,0.000461152,0.000600666,0.000783197,0.00102258,0.0013375,0.00175321,0.0023035,0.00303168,0.00399013,0.00523876,0.00684251,0.00886682,0.0113706,0.0143955,0.0179528,0.0220092,0.0264747,0.0312075,0.0360254,0.0407182,0.0450597,0.04882,0.0517811,0.0537575,0.0546209,0.0543267,0.0529256,0.0505448,0.0473605,0.0435752,0.0393989,0.0350363,0.0306767,0.0264836,0.0225837,0.0190591,0.0159473,0.01325,0.010945,0.008997,0.00736503,0.00600751,0.00488489,0.00396109,0.00320406,0.00258596,0.00208287,0.00167452,0.00134389,0.00107675,0.000861336,0.000687923,0.000548537,0.000436657,0.00034697,0.000275163,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.52393,-10.5033,-0,-4.72544,-13.4302,-16.9634,-12.06,-26.714,-14.5263,-20.8026,-13.2941,-22.4076,-37.1972,-18.1177,-29.6073,-32.156,-31.9807,-40.7784,-32.3275,-32.8339,-39.6496,-21.9329,-29.1062,-16.7569,-13.937,-10.8937,-26.5337,-23.7613,-16.5539,-8.64751,-9.02974,-9.42173,-14.733,-15.3442,-5.32161,-0,-0,-0,-0,-0,-0,-6.83381,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,5,1,4,3,2,6,6,6,7,7,16,9,11,7,14,7,12,10,10,10,6,8,2,5,4,2,3,2,0,0,0,1,2,0,0,2,0,1,0,0,1,0,0,0
-548.024,0.996787,0.237318,4,15,0,551.213,-2.46815,-3.43727,-1.04944,-0.498288,4.2131,0.773675,-0.692446,5.48612,2.32529,4.85051e-05,6.57449e-05,8.91225e-05,0.000120832,0.000163858,0.00022227,0.000301624,0.000409525,0.00055641,0.000756628,0.00102985,0.00140269,0.00191012,0.00259654,0.00351622,0.00473283,0.00631716,0.00834185,0.010872,0.0139519,0.0175897,0.0217433,0.0263175,0.0311694,0.0361164,0.0409466,0.0454285,0.0493233,0.0524024,0.0544722,0.0554059,0.0551675,0.0538084,0.0514479,0.0482525,0.0444188,0.0401579,0.0356831,0.0311957,0.0268699,0.0228399,0.0191922,0.0159685,0.0131743,0.0107903,0.00878229,0.00710872,0.00572623,0.00459275,0.00366943,0.00292152,0.0023187,0.00183494,0.00144824,0.00114022,0.000895644,0.000702006,0.000549101,0.00042865,0.000333976,0.000259717,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.95357,-11.3007,-0,-5.06448,-14.3594,-18.0862,-12.8164,-28.2831,-15.3138,-21.8251,-13.8733,-23.2471,-38.3458,-18.5497,-30.0936,-32.4368,-32.0107,-40.503,-31.8712,-32.1456,-38.5734,-21.2191,-28.0268,-16.0747,-13.3323,-10.4024,-25.3172,-22.6755,-15.813,-8.27428,-8.65897,-9.05821,-14.2051,-14.8393,-5.1627,-0,-0,-0,-0,-0,-0,-6.77653,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5,6,6,7,5,10,5,8,10,13,8,12,7,14,7,12,12,7,3,6,7,7,3,4,2,0,3,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0
-549.117,0.98758,0.237318,4,15,0,551.77,-2.5523,-4.09158,-0.889344,-0.559196,4.11776,0.722397,-0.808999,5.58075,2.404,6.68875e-05,8.90371e-05,0.000118529,0.000157805,0.00021012,0.000279824,0.000372729,0.000496617,0.000661917,0.000882616,0.00117743,0.0015712,0.00209626,0.00279358,0.00371338,0.00491484,0.0064641,0.0084295,0.0108731,0.0138384,0.0173369,0.0213354,0.0257513,0.0304547,0.0352732,0.04,0.0444037,0.0482436,0.051291,0.053357,0.0543222,0.0541532,0.052899,0.050675,0.0476444,0.0439999,0.0399476,0.0356924,0.0314233,0.0272994,0.0234402,0.0199223,0.0167837,0.0140323,0.0116545,0.0096237,0.00790635,0.00646611,0.00526684,0.00427437,0.00345747,0.00278828,0.00224241,0.00179881,0.00143954,0.00114948,0.000915944,0.000728395,0.00057813,0.000457996,0.000362144,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.88043,-11.1916,-0,-5.04149,-14.3281,-18.0859,-12.8409,-28.3844,-15.3896,-21.9556,-13.9661,-23.4124,-38.6265,-18.6866,-30.3149,-32.6726,-32.2383,-40.7795,-32.0753,-32.3331,-38.7702,-21.3079,-28.1121,-16.1009,-13.3313,-10.3806,-25.2062,-22.5198,-15.6637,-8.17469,-8.53279,-8.90413,-13.9306,-14.5203,-5.04118,-0,-0,-0,-0,-0,-0,-6.54343,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3,2,3,3,1,7,10,7,4,10,15,7,12,5,12,13,11,12,6,9,4,9,2,7,4,4,3,3,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
-545.644,0.977778,0.237318,4,15,0,553.547,-0.481254,-2.85075,-0.780966,-0.66315,4.30235,0.470828,-0.383169,4.86364,2.40913,0.000122922,0.000159323,0.000206612,0.000268122,0.000348255,0.000452867,0.000589799,0.000769652,0.00100688,0.00132132,0.00174023,0.00230037,0.00304942,0.00404573,0.00535577,0.00704957,0.00919409,0.0118445,0.0150337,0.0187611,0.0229827,0.0275905,0.0324277,0.0372962,0.0419695,0.0462098,0.049786,0.052493,0.0541711,0.0547258,0.0541428,0.0524889,0.049898,0.0465501,0.042651,0.0384146,0.0340467,0.029731,0.0256171,0.0218142,0.0183888,0.0153696,0.0127551,0.0105229,0.00863868,0.00706259,0.00575381,0.00467343,0.00378594,0.00305987,0.00246792,0.00198674,0.0015966,0.00128097,0.00102609,0.000820623,0.000655215,0.000522225,0.000415422,0.000329743,0.000261087,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.51009,-10.4592,-0,-4.68919,-13.3077,-16.7899,-11.9279,-26.4111,-14.3611,-20.5725,-13.1555,-22.1957,-36.8948,-18.0001,-29.4708,-32.0717,-31.9596,-40.8258,-32.4187,-32.9755,-39.874,-22.0829,-29.3339,-16.9001,-14.0623,-10.9935,-26.7764,-23.9761,-16.7014,-8.72365,-9.10841,-9.50301,-14.8588,-15.4737,-5.36586,-0,-0,-0,-0,-0,-0,-6.882,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,2,4,5,5,8,5,8,8,12,8,5,11,10,9,13,10,9,13,7,8,7,7,3,4,3,0,0,2,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0
-544.02,0.988282,0.237318,4,15,0,549.271,-0.541021,-1.92638,-0.841699,-0.821207,4.4365,0.665438,-0.294419,5.21608,2.66692,9.92772e-05,0.00012429,0.000155795,0.000195589,0.000246031,0.000310267,0.000392559,0.000498801,0.000637356,0.00082042,0.0010662,0.00140206,0.00186806,0.0025198,0.00342934,0.0046835,0.00637909,0.0086147,0.011479,0.0150363,0.0193108,0.0241956,0.02953,0.0350986,0.0406403,0.0458625,0.0504584,0.0541267,0.0565996,0.0576866,0.0573305,0.0556291,0.0527938,0.0490893,0.0447936,0.0401739,0.0354714,0.0308884,0.0265797,0.0226482,0.0191468,0.0160876,0.0134533,0.0112093,0.00931301,0.00772007,0.00638789,0.0052776,0.0043547,0.00358921,0.00295537,0.00243125,0.00199833,0.00164102,0.00134624,0.00110308,0.000902464,0.000736865,0.000600083,0.000487018,0.000393499,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.98358,-11.3508,-0,-5.05473,-14.2629,-17.8689,-12.5919,-27.6296,-14.8863,-21.1341,-13.3984,-22.421,-36.9853,-17.9196,-29.1643,-31.5893,-31.38,-40.0249,-31.7795,-32.355,-39.1835,-21.7398,-28.9308,-16.6951,-13.9095,-10.8828,-26.5137,-23.7337,-16.5188,-8.61707,-8.98203,-9.35269,-14.5918,-15.1601,-5.24428,-0,-0,-0,-0,-0,-0,-6.61044,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,5,8,5,7,5,8,7,6,8,4,19,10,14,12,17,10,5,7,3,6,7,2,8,3,0,1,1,2,0,2,0,0,1,0,1,1,0,0,0,0,0
-544.827,0.995822,0.237318,4,15,0,545.862,-1.09624,-2.46461,-0.944479,-0.641306,4.36467,0.60075,-0.891375,5.01842,2.3618,8.78346e-05,0.000114526,0.000149422,0.000195111,0.000255045,0.000333863,0.000437855,0.000575647,0.000759225,0.00100542,0.00133798,0.0017899,0.00240534,0.00324038,0.00436207,0.00584568,0.00776942,0.0102062,0.0132123,0.0168134,0.0209915,0.0256628,0.0306838,0.0358577,0.0409482,0.0456964,0.04984,0.0531334,0.0553695,0.0564052,0.0561867,0.0547608,0.0522603,0.0488765,0.044834,0.0403704,0.0357191,0.0310928,0.0266691,0.0225802,0.0189083,0.0156892,0.0129213,0.0105774,0.00861617,0.00699021,0.00565196,0.00455686,0.0036649,0.0029412,0.00235591,0.00188384,0.001504,0.00119898,0.000954476,0.000758783,0.000602365,0.000477485,0.000377889,0.000298533,0.000235364,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.73207,-10.8696,-0,-4.85756,-13.7543,-17.3064,-12.2567,-27.0455,-14.6509,-20.9041,-13.3128,-22.3681,-37.0288,-17.9936,-29.3495,-31.831,-31.6271,-40.3071,-31.9526,-32.4667,-39.24,-21.7335,-28.8869,-16.6603,-13.8831,-10.8727,-26.5348,-23.8089,-16.6191,-8.69776,-9.09807,-9.50823,-14.8897,-15.5273,-5.39112,-0,-0,-0,-0,-0,-0,-6.95435,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,2,1,5,2,8,3,5,11,6,12,7,10,7,15,13,21,9,10,6,5,4,6,5,4,6,1,4,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
