# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 10:41:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26690ccbe.json
# init = /tmp/RtmpC8O1hA/init-b41c26dd8abcc_3.json
# random
#   seed = 2352003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0222_rep023_accurate_moderate/prior_sensitivity_obspair_FAST-202605301141-3-39dea1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0222_rep023_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605301141-3-5bcd67.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.157404
# Diagonal elements of inverse mass matrix:
# 0.0790632, 0.0591555, 0.0511675, 0.0117146, 0.039307, 0.0278897, 0.046201
-538.761,0.969907,0.157404,4,31,0,542.051,-2.91807,-1.15277,-1.09189,-0.537149,2.45403,-0.125666,-0.810226,5.03852,2.61958,4.33998e-05,5.82038e-05,7.80897e-05,0.000104826,0.000140814,0.000189328,0.000254847,0.000343537,0.000463927,0.000627883,0.000851982,0.00115943,0.00158266,0.00216654,0.00297207,0.00407991,0.00559259,0.00763424,0.0103463,0.0138783,0.0183738,0.0238003,0.0300152,0.0367437,0.0435774,0.0500033,0.0554735,0.0595041,0.0617711,0.0621677,0.0608009,0.0579408,0.0539483,0.0492084,0.0440792,0.0388623,0.0337901,0.0290256,0.0246705,0.020776,0.0173556,0.0143961,0.0118671,0.00972872,0.00793682,0.00644679,0.00521605,0.00420539,0.00337971,0.00270822,0.00216434,0.00172542,0.00137237,0.00108924,0.000862785,0.000682111,0.000538279,0.000424002,0.000333364,0.000261584,0.000204809,-0,-0,-0,-0,-0,-0,-0,-15.9524,-7.67578,-0,-0,-0,-0,-0,-17.4555,-5.50168,-0,-9.75022,-4.57113,-17.1097,-7.99366,-18.6903,-14.0242,-29.7341,-18.7993,-29.9567,-23.1348,-31.0388,-44.5491,-22.2234,-25.2013,-48.4217,-40.8762,-39.152,-31.2177,-19.4864,-40.6511,-14.1583,-3.70215,-15.4958,-12.1615,-21.204,-4.43399,-9.26534,-9.67249,-0,-0,-0,-0,-5.91146,-6.13564,-0,-0,-6.82228,-7.05534,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,2,5,5,2,10,7,8,15,14,12,12,10,7,8,15,6,3,10,8,5,5,5,3,4,3,1,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0
-536.867,0.994266,0.157404,4,15,0,539.712,-2.00741,-1.9632,-1.4067,-0.511312,2.99196,0.0961267,-1.46883,4.91658,2.48604,6.51324e-05,8.79771e-05,0.000118866,0.000160656,0.000217235,0.000293909,0.00039793,0.000539232,0.000731433,0.00099316,0.00134972,0.00183499,0.00249317,0.00337974,0.00456094,0.00611112,0.00810762,0.0106234,0.0137178,0.0174259,0.0217493,0.0265972,0.0318176,0.0371977,0.0424719,0.0473369,0.0514788,0.0546089,0.0565081,0.0570643,0.0562878,0.0542993,0.0512989,0.0475309,0.0432525,0.0387098,0.0341201,0.0296609,0.0254648,0.02162,0.0181751,0.0151463,0.0125254,0.0102882,0.00840014,0.00682238,0.00551493,0.00443931,0.00355998,0.00284507,0.00226666,0.00180071,0.0014268,0.0011278,0.000889438,0.000699966,0.000549743,0.000430918,0.000337131,0.000263251,0.00020516,-0,-0,-0,-0,-0,-0,-0,-15.0507,-7.2205,-0,-0,-0,-0,-0,-16.1707,-5.09765,-0,-9.08939,-4.28906,-16.1992,-7.65634,-18.1347,-13.7909,-29.6236,-18.9535,-30.5046,-23.7327,-31.9831,-45.9739,-22.9086,-25.8955,-49.5252,-41.5812,-39.6029,-31.407,-19.51,-40.5344,-14.0717,-3.67046,-15.3365,-12.0231,-20.95,-4.37999,-9.15352,-9.55901,-0,-0,-0,-0,-5.86217,-6.08945,-0,-0,-6.78749,-7.02492,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,2,4,7,1,5,7,3,6,7,9,12,14,16,14,13,12,8,12,3,8,7,3,5,3,4,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-540.55,0.967931,0.157404,4,31,0,543.48,-1.04186,-2.27076,-1.32331,-0.314584,3.09901,-0.410414,-0.733171,4.52842,2.33329,5.80832e-05,8.34668e-05,0.000119834,0.000171834,0.00024599,0.000351368,0.000500415,0.000709962,0.00100231,0.00140626,0.00195795,0.00270098,0.00368575,0.0049675,0.00660303,0.00864607,0.0111417,0.0141203,0.0175919,0.0215412,0.0259248,0.0305942,0.0353651,0.0400264,0.0443529,0.048121,0.051127,0.0532056,0.0542472,0.0542086,0.0531179,0.0510686,0.0482063,0.0447107,0.0407757,0.0365928,0.0323374,0.0281598,0.0241804,0.0204881,0.017141,0.0141699,0.0115824,0.00936781,0.00750235,0.00595362,0.00468479,0.00365776,0.00283552,0.00218377,0.00167178,0.00127286,0.000964314,0.000727243,0.000546179,0.000408638,0.000304665,0.000226415,0.000167758,0.000123947,9.13322e-05,-0,-0,-0,-0,-0,-0,-0,-14.5006,-6.90545,-0,-0,-0,-0,-0,-15.0607,-4.75065,-0,-8.52028,-4.04032,-15.3512,-7.30511,-17.4347,-13.3681,-28.964,-18.6935,-30.3404,-23.7875,-32.2695,-46.6273,-23.3193,-26.4172,-50.5679,-42.4517,-40.3981,-31.9967,-19.8474,-41.1784,-14.2794,-3.72221,-15.5517,-12.1989,-21.2832,-4.45827,-9.34095,-9.78508,-0,-0,-0,-0,-6.1267,-6.39386,-0,-0,-7.22625,-7.51256,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,6,2,7,8,7,8,7,8,12,7,13,7,6,14,14,9,9,10,10,1,4,8,1,5,2,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-537.918,0.999994,0.157404,5,31,0,542.443,-2.85743,-2.64524,-0.750179,-0.452004,3.34678,0.271203,-0.867955,5.12952,2.30971,3.49659e-05,4.80839e-05,6.6133e-05,9.09753e-05,0.000125183,0.000172317,0.000237314,0.000327038,0.000451058,0.000622752,0.000860834,0.00119141,0.00165055,0.00228704,0.00316477,0.00436366,0.00597788,0.00810988,0.0108589,0.0143038,0.0184817,0.0233617,0.0288312,0.0346905,0.0406592,0.0463952,0.0515251,0.0556846,0.0585691,0.059981,0.0598563,0.0582628,0.0553799,0.0514675,0.0468314,0.0417871,0.036626,0.0315914,0.0268641,0.0225613,0.018743,0.0154249,0.0125906,0.0102039,0.00821798,0.00658205,0.00524592,0.00416267,0.00329005,0.00259104,0.00203388,0.00159175,0.0012423,0.000967096,0.000751066,0.00058199,0.000450021,0.00034727,0.000267451,0.000205577,0.000157708,-0,-0,-0,-0,-0,-0,-0,-16.0509,-7.70391,-0,-0,-0,-0,-0,-17.267,-5.43444,-0,-9.62934,-4.52277,-16.9889,-7.98195,-18.7833,-14.1852,-30.2516,-19.2152,-30.7056,-23.7255,-31.7686,-45.4008,-22.5098,-25.3423,-48.3274,-40.5095,-38.5685,-30.612,-19.051,-39.684,-13.8195,-3.61696,-15.1661,-11.9308,-20.8589,-4.3748,-9.16997,-9.60286,-0,-0,-0,-0,-5.9557,-6.19781,-0,-0,-6.94121,-7.19402,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,4,3,5,6,5,8,13,13,8,14,17,17,8,8,11,4,8,6,3,2,8,6,3,4,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-538.278,0.99833,0.157404,5,31,0,539.971,-2.95015,-2.26747,-0.955828,-0.512295,2.89525,0.220316,-0.562169,4.99837,2.46661,5.31694e-05,7.17755e-05,9.69094e-05,0.000130875,0.000176798,0.000238934,0.000323079,0.000437162,0.000592051,0.000802693,0.00108967,0.00148126,0.00201599,0.00274532,0.00373571,0.00506898,0.00683947,0.00914714,0.0120857,0.0157265,0.0200995,0.025152,0.0307469,0.0366558,0.0425657,0.0480994,0.0528552,0.0564649,0.0586589,0.0593121,0.0584514,0.0562324,0.0529006,0.0487509,0.0440898,0.0392032,0.0343339,0.029669,0.0253381,0.0214178,0.0179421,0.0149127,0.0123096,0.0100992,0.00824108,0.00669247,0.00541138,0.00435842,0.00349789,0.00279817,0.00223176,0.00177512,0.00140832,0.00111467,0.000880284,0.000693724,0.000545602,0.00042827,0.000335523,0.000262353,0.000204733,-0,-0,-0,-0,-0,-0,-0,-15.4704,-7.43192,-0,-0,-0,-0,-0,-16.7694,-5.28462,-0,-9.38863,-4.41573,-16.6096,-7.81413,-18.4141,-13.9279,-29.7556,-18.9402,-30.3449,-23.5216,-31.6155,-45.3763,-22.5995,-25.556,-48.9304,-41.1508,-39.2734,-31.2153,-19.434,-40.4595,-14.0706,-3.67545,-15.3741,-12.0618,-21.0277,-4.39738,-9.1906,-9.59725,-0,-0,-0,-0,-5.87879,-6.10497,-0,-0,-6.7992,-7.03527,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3,8,7,8,8,12,9,7,6,9,7,10,17,13,10,16,8,6,4,6,5,3,4,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-538.557,0.997205,0.157404,5,31,0,540.626,-2.39704,-1.60016,-1.23436,-0.67433,2.68536,0.389441,-0.619896,5.01808,2.75674,9.09615e-05,0.000117511,0.00015187,0.000196375,0.000254089,0.000329047,0.000426591,0.000553846,0.000720398,0.000939277,0.00122839,0.00161258,0.00212655,0.00281842,0.00375347,0.00501642,0.00671091,0.00895458,0.0118693,0.0155662,0.0201267,0.0254874,0.0314798,0.0378181,0.0441023,0.049846,0.0545442,0.0577782,0.0593173,0.0591538,0.0574623,0.0545298,0.0506916,0.0462827,0.0416038,0.0369013,0.0323596,0.0281036,0.0242074,0.0207054,0.0176034,0.014888,0.0125338,0.0105093,0.00878013,0.00731178,0.0060712,0.00502771,0.00415344,0.00342351,0.002816,0.00231182,0.00189448,0.00154982,0.00126579,0.00103217,0.000840341,0.000683058,0.000554269,0.000448931,0.00036286,-0,-0,-0,-0,-0,-0,-0,-14.9972,-7.23571,-0,-0,-0,-0,-0,-16.7552,-5.29504,-0,-9.43118,-4.4338,-16.6506,-7.81141,-18.3479,-13.8336,-29.4747,-18.7275,-29.9882,-23.2699,-31.3626,-45.1977,-22.6209,-25.7096,-49.4531,-41.7479,-39.9488,-31.7956,-19.797,-41.1701,-14.2874,-3.7211,-15.5094,-12.119,-21.036,-4.37932,-9.11098,-9.47053,-0,-0,-0,-0,-5.67709,-5.87244,-0,-0,-6.46962,-6.67206,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,3,7,4,6,10,11,6,10,13,17,16,7,13,11,7,3,8,10,3,5,3,5,2,3,1,0,1,2,3,1,0,0,0,0,0,1,0,0,0,0,1,0
