# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 10:46:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c272e87652.json
# init = /tmp/RtmpC8O1hA/init-b41c2350f45f0_2.json
# random
#   seed = 2352004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0223_rep023_accurate_strong/prior_sensitivity_obspair_FAST-202605301146-2-9a2841.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0223_rep023_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605301146-2-11656f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.196747
# Diagonal elements of inverse mass matrix:
# 0.0462986, 0.049215, 0.00613891, 0.00535084, 0.00870982, 0.00799762, 0.00526592
-537.325,0.991506,0.196747,4,31,0,540.339,-1.50094,-1.5569,-1.50066,-0.466084,3.75881,0.184731,-1.01671,4.93081,2.37138,3.94566e-05,5.40944e-05,7.42102e-05,0.000101894,0.000140067,0.000192832,0.000265993,0.00036781,0.000510091,0.000709694,0.00099045,0.00138529,0.00193812,0.00270496,0.00375374,0.00516256,0.00701602,0.00939958,0.0123919,0.0160555,0.0204278,0.0254202,0.0308844,0.0366115,0.0423363,0.0477488,0.0525127,0.0562934,0.0587983,0.0598262,0.0593136,0.0573514,0.0541598,0.0500348,0.0452941,0.0402391,0.0351324,0.0301863,0.0255592,0.0213563,0.0176342,0.0144096,0.0116679,0.00937387,0.0074802,0.00593459,0.00468495,0.00368256,0.0028838,0.00225088,0.00175175,0.00135975,0.00105298,0.000813672,0.000627501,0.000483029,0.000371163,0.000284715,0.000218029,0.00016667,0.000127172,-0,-0,-0,-0,-0,-0,-0,-15.8159,-7.58092,-0,-0,-0,-0,-0,-16.755,-5.26632,-0,-9.33418,-4.39072,-16.5268,-7.78171,-18.3611,-13.91,-29.7665,-18.9727,-30.418,-23.5736,-31.649,-45.3383,-22.5305,-25.4243,-48.5955,-40.8214,-38.9355,-30.9458,-19.2775,-40.1836,-14.0015,-3.66676,-15.3856,-12.1137,-21.1993,-4.45092,-9.33966,-9.79099,-0,-0,-0,-0,-6.09643,-6.34714,-0,-0,-7.11395,-7.37376,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,1,5,7,5,5,4,6,15,9,14,16,14,16,13,13,8,9,6,5,2,3,3,1,3,4,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-536.613,0.99537,0.196747,4,15,0,539.24,-1.4892,-1.64765,-1.27262,-0.593552,3.76407,0.162339,-0.972595,5.08043,2.5153,6.16089e-05,8.14058e-05,0.000107648,0.000142493,0.000188869,0.000250771,0.000333699,0.0004453,0.000596295,0.0008018,0.00108311,0.00146987,0.00200232,0.00273308,0.00372765,0.00506324,0.00682522,0.00910105,0.0119716,0.0155005,0.0197226,0.0245681,0.0299019,0.035521,0.04116,0.0465039,0.0512122,0.0549521,0.0574432,0.0585067,0.0580999,0.0563207,0.0533764,0.0495384,0.0450983,0.0403365,0.0355006,0.0307927,0.026364,0.0223149,0.0187003,0.0155372,0.0128151,0.0105044,0.0085651,0.00695264,0.00562219,0.00453137,0.00364174,0.0029194,0.00233512,0.00186402,0.00148526,0.00118147,0.000938331,0.00074411,0.000589217,0.00046587,0.000367768,0.000289832,0.00022798,-0,-0,-0,-0,-0,-0,-0,-15.4335,-7.42477,-0,-0,-0,-0,-0,-16.7759,-5.28575,-0,-9.39873,-4.42522,-16.6675,-7.85198,-18.5315,-14.0393,-30.0387,-19.1417,-30.6822,-23.7742,-31.9142,-45.7113,-22.7089,-25.6103,-48.9038,-41.0254,-39.0651,-30.9891,-19.263,-40.0585,-13.9219,-3.63576,-15.21,-11.9377,-20.8226,-4.35713,-9.11193,-9.52012,-0,-0,-0,-0,-5.83638,-6.05969,-0,-0,-6.741,-6.97141,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2,5,6,4,6,4,11,11,12,14,8,11,14,12,8,10,12,9,4,7,4,7,3,3,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-537.023,0.980156,0.196747,4,31,0,538.998,-2.17325,-1.7829,-1.25225,-0.531475,3.10043,0.02882,-1.05994,5.10574,2.54277,5.86876e-05,7.88234e-05,0.000105906,0.000142361,0.000191482,0.000257753,0.0003473,0.000468523,0.000632964,0.000856493,0.00116085,0.00157553,0.00213975,0.00290409,0.00393118,0.00529455,0.00707524,0.00935581,0.0122117,0.0157006,0.0198514,0.0246034,0.0298301,0.0353348,0.0408541,0.0460717,0.0506455,0.0542485,0.0566185,0.0576037,0.0571845,0.0554658,0.0526457,0.0489768,0.0447306,0.0401685,0.035522,0.0309804,0.0266859,0.0227339,0.0191786,0.0160405,0.0133146,0.0109785,0.00899924,0.00733865,0.00595696,0.00481556,0.00387851,0.0031134,0.00249166,0.00198858,0.00158303,0.00125723,0.000996285,0.000787866,0.000621816,0.000489822,0.000385115,0.00030221,0.000236682,-0,-0,-0,-0,-0,-0,-0,-15.3319,-7.3651,-0,-0,-0,-0,-0,-16.6164,-5.24108,-0,-9.34352,-4.40536,-16.6162,-7.83896,-18.5244,-14.049,-30.086,-19.1865,-30.7756,-23.8632,-32.056,-45.9427,-22.8334,-25.7533,-49.1638,-41.2184,-39.2133,-31.071,-19.288,-40.0513,-13.8976,-3.62362,-15.1356,-11.8619,-20.6632,-4.3189,-9.02364,-9.42123,-0,-0,-0,-0,-5.77204,-5.9948,-0,-0,-6.67885,-6.91148,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,2,0,2,9,5,4,6,11,8,9,14,10,15,15,11,10,7,8,5,8,4,4,3,6,4,2,4,1,0,1,2,1,0,1,0,1,0,0,0,1,0,0,0
-538.061,0.972011,0.196747,5,31,0,539.887,-2.15959,-2.1717,-1.32621,-0.44798,3.80976,0.0754733,-0.997987,5.3644,2.42818,4.44088e-05,6.11778e-05,8.43041e-05,0.000116218,0.000160291,0.000221211,0.000305497,0.000422213,0.000583907,0.0008078,0.00111714,0.00154251,0.0021228,0.00290543,0.0039455,0.00530361,0.00704204,0.00921929,0.0118831,0.0150626,0.0187606,0.0229263,0.0274657,0.0322407,0.0370725,0.0417497,0.0460397,0.0497049,0.0525248,0.0543223,0.0549903,0.0545082,0.0529414,0.050425,0.04714,0.0432912,0.0390875,0.0347278,0.0303888,0.0262166,0.0223217,0.0187783,0.0156264,0.0128774,0.0105204,0.00852891,0.0068676,0.00549673,0.00437612,0.00346748,0.00273588,0.00215042,0.00168443,0.00131529,0.00102409,0.000795247,0.000616016,0.00047607,0.000367102,0.000282471,0.000216894,-0,-0,-0,-0,-0,-0,-0,-15.54,-7.44577,-0,-0,-0,-0,-0,-16.6055,-5.23937,-0,-9.37291,-4.43264,-16.7822,-7.95199,-18.8773,-14.3793,-30.9107,-19.7693,-31.7606,-24.626,-33.0182,-47.1435,-23.3026,-26.1054,-49.4599,-41.14,-38.8345,-30.5463,-18.8388,-38.9034,-13.4409,-3.49368,-14.5655,-11.4066,-19.8753,-4.15879,-8.70456,-9.10889,-0,-0,-0,-0,-5.66433,-5.9013,-0,-0,-6.6337,-6.88395,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,3,2,1,8,8,9,15,6,10,10,9,13,11,11,19,7,7,8,4,7,4,5,2,2,2,2,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0
-537.283,0.998439,0.196747,5,31,0,539.745,-2.37608,-2.00806,-1.22001,-0.407287,3.21427,0.181799,-1.14639,4.9144,2.30158,3.24692e-05,4.53132e-05,6.32518e-05,8.83183e-05,0.000123368,0.00017242,0.000241142,0.000337554,0.000473014,0.000663617,0.000932064,0.00130998,0.00184042,0.00257992,0.00359929,0.00498219,0.00682096,0.00920895,0.0122294,0.0159415,0.0203656,0.0254378,0.0310203,0.0368988,0.0427878,0.0483462,0.0532039,0.0570021,0.0594464,0.0603611,0.0597199,0.0576396,0.0543437,0.0501198,0.0452801,0.0401287,0.0349374,0.0299283,0.0252647,0.021051,0.0173387,0.014137,0.0114247,0.00916136,0.0072966,0.00577669,0.0045492,0.00356566,0.00278297,0.00216382,0.0016766,0.001295,0.000997359,0.00076608,0.000586977,0.000448705,0.000342256,0.000260516,0.000197898,0.000150032,0.000113516,-0,-0,-0,-0,-0,-0,-0,-15.9876,-7.65639,-0,-0,-0,-0,-0,-16.8811,-5.30189,-0,-9.37516,-4.40391,-16.5553,-7.78781,-18.3576,-13.8925,-29.6962,-18.909,-30.2937,-23.469,-31.5113,-45.1629,-22.4593,-25.3628,-48.5103,-40.774,-38.9134,-30.9489,-19.294,-40.2504,-14.0358,-3.67835,-15.4432,-12.1644,-21.2948,-4.47198,-9.38552,-9.84069,-0,-0,-0,-0,-6.13588,-6.39099,-0,-0,-7.17422,-7.44053,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,3,2,3,3,4,9,6,4,11,9,12,13,14,11,15,9,8,9,12,9,6,3,6,2,1,5,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-538.472,0.980453,0.196747,4,15,0,540.595,-2.60328,-2.0583,-1.33424,-0.359957,3.7701,0.0719879,-0.98917,5.38759,2.33228,2.56939e-05,3.64439e-05,5.17037e-05,7.3376e-05,0.000104173,0.000147966,0.000210278,0.000298983,0.000425249,0.000604761,0.000859181,0.00121766,0.00171815,0.00240808,0.00334413,0.00459066,0.00621648,0.00828967,0.0108705,0.0140027,0.0177049,0.0219409,0.0266279,0.0316331,0.0367754,0.0418314,0.046547,0.050653,0.0538899,0.0560386,0.0569549,0.0565948,0.0550187,0.0523736,0.0488638,0.0447231,0.0401905,0.0354927,0.0308296,0.0263657,0.0222236,0.0184838,0.0151875,0.0123428,0.00993294,0.00792394,0.00627235,0.00493087,0.0038526,0.00299371,0.00231495,0.00178221,0.00136663,0.00104416,0.000795154,0.000603686,0.000457031,0.000345093,0.000259923,0.000195309,0.00014642,-0,-0,-0,-0,-0,-0,-0,-16.2302,-7.76284,-0,-0,-0,-0,-0,-17.1016,-5.38373,-0,-9.58549,-4.52171,-17.074,-8.06783,-19.097,-14.5032,-31.082,-19.8176,-31.7411,-24.5384,-32.8103,-46.733,-23.0537,-25.7895,-48.8212,-40.6011,-38.3416,-30.1872,-18.6436,-38.5695,-13.3537,-3.47928,-14.5428,-11.4198,-19.9543,-4.18728,-8.78936,-9.2238,-0,-0,-0,-0,-5.81124,-6.06837,-0,-0,-6.86454,-7.13697,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,3,4,4,4,10,6,9,9,10,19,10,13,7,4,14,13,6,12,9,6,4,7,0,5,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
