# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:10:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2675b2e7c.json
# init = /tmp/RtmpC8O1hA/init-b41c23bff4d0_1.json
# random
#   seed = 2352008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0227_rep023_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605301210-1-9e9b6a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0227_rep023_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301210-1-7677b7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0898463
# Diagonal elements of inverse mass matrix:
# 0.0954926, 0.0766968, 0.111854, 0.0112633, 0.0858931, 0.138721, 0.287416
-539.01,0.984315,0.0898463,4,15,0,543.019,-2.81412,-2.42778,-0.153201,-0.74137,3.36373,0.566182,-0.486968,5.40656,2.64145,5.03582e-05,6.4022e-05,8.14339e-05,0.000103647,0.000132028,0.000168355,0.000214966,0.000274959,0.000352484,0.000453191,0.000584909,0.00075874,0.000990869,0.0013056,0.00174035,0.00235349,0.00323506,0.0045192,0.006393,0.00909141,0.0128645,0.0179083,0.0242748,0.0317906,0.0400211,0.0482969,0.0558096,0.0617674,0.0655696,0.0669268,0.0658886,0.0627942,0.0581707,0.0526093,0.0466536,0.0407296,0.0351252,0.0300054,0.0254425,0.0214476,0.0179953,0.0150408,0.0125314,0.0104124,0.00863166,0.0071409,0.00589699,0.00486194,0.00400273,0.003291,0.00270251,0.00221673,0.00181633,0.00148673,0.00121573,0.00099312,0.000810397,0.000660492,0.000537548,0.000436729,0.000354064,-0,-0,-0,-0,-0,-0,-0,-16.3978,-7.9505,-0,-0,-0,-0,-0,-19.061,-6.05186,-0,-10.7988,-5.05255,-18.8017,-8.70657,-20.1124,-14.8733,-31.0372,-19.3101,-30.3039,-23.0865,-30.6282,-43.5943,-21.6332,-24.4781,-47.0542,-39.8212,-38.2832,-30.6501,-19.2048,-40.186,-14.0255,-3.67133,-15.3686,-12.0529,-20.9849,-4.37952,-9.12951,-9.50464,-0,-0,-0,-0,-5.71657,-5.91358,-0,-0,-6.51117,-6.71241,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,1,0,6,7,7,8,5,18,13,14,8,16,14,14,12,6,4,7,5,5,5,2,4,3,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-539.521,0.999689,0.0898463,5,63,0,541.449,-1.87197,-3.2936,-0.0940066,-0.811393,3.00732,0.882705,0.0826536,4.78146,2.62153,0.000171196,0.000214009,0.000267601,0.000334729,0.000418876,0.000524463,0.000657118,0.000824043,0.00103452,0.00130061,0.00163813,0.00206818,0.00261936,0.00333133,0.00426043,0.00548752,0.00712658,0.00932921,0.0122763,0.0161463,0.0210551,0.0269787,0.0337009,0.0408035,0.047706,0.0537511,0.0583277,0.0610092,0.0616391,0.0603282,0.0573971,0.0532906,0.048483,0.0433946,0.0383447,0.0335439,0.0291125,0.0251062,0.0215388,0.0183981,0.0156576,0.0132829,0.0112372,0.00948334,0.00798571,0.00671139,0.00563038,0.00471581,0.00394389,0.00329376,0.00274725,0.00228863,0.00190438,0.00158287,0.00131418,0.00108986,0.000902714,0.000746647,0.000616515,0.000508005,0.000417529,-0,-0,-0,-0,-0,-0,-0,-14.2026,-6.87382,-0,-0,-0,-0,-0,-16.3752,-5.20528,-0,-9.34921,-4.40008,-16.5043,-7.72122,-18.0635,-13.5609,-28.7909,-18.2562,-29.2339,-22.7334,-30.764,-44.5833,-22.4636,-25.7199,-49.8439,-42.3716,-40.7865,-32.6114,-20.3694,-42.4391,-14.7386,-3.8379,-15.982,-12.4704,-21.6064,-4.48852,-9.31644,-9.6602,-0,-0,-0,-0,-5.71573,-5.89716,-0,-0,-6.44852,-6.63454,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,3,0,5,5,7,7,18,8,17,11,13,9,11,8,7,10,7,9,5,5,7,5,3,0,0,4,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
-536.933,0.997367,0.0898463,6,63,0,542.227,-0.740983,-1.72963,-0.895131,-0.814249,3.79141,0.390581,-1.07907,4.80989,2.62525,0.000104386,0.000130969,0.000164546,0.00020709,0.000261204,0.000330374,0.000419338,0.000534662,0.000685631,0.000885669,0.00115457,0.00152186,0.00203118,0.00274494,0.00374721,0.00514276,0.00705097,0.00959394,0.0128795,0.0169802,0.0219122,0.0275551,0.0336873,0.0399938,0.0460874,0.0515452,0.0559551,0.0589705,0.0603685,0.060093,0.0582595,0.0551163,0.0509876,0.0462223,0.0411532,0.0360676,0.0311892,0.0266718,0.0226035,0.0190187,0.0159124,0.0132549,0.0110034,0.0091095,0.0075253,0.00620572,0.00511014,0.00420288,0.00345312,0.00283454,0.00232488,0.00190542,0.0015605,0.00127705,0.00104419,0.000852891,0.000695679,0.000566398,0.000459999,0.000372357,0.000300124,-0,-0,-0,-0,-0,-0,-0,-15.0678,-7.28517,-0,-0,-0,-0,-0,-16.7602,-5.27016,-0,-9.29325,-4.35212,-16.3028,-7.64142,-17.9578,-13.5625,-28.9713,-18.4633,-29.653,-23.0656,-31.1379,-44.9166,-22.4949,-25.5856,-49.2713,-41.6664,-39.9658,-31.9045,-19.9342,-41.6122,-14.4966,-3.78965,-15.8493,-12.422,-21.6169,-4.50956,-9.39688,-9.77897,-0,-0,-0,-0,-5.86588,-6.06409,-0,-0,-6.6632,-6.86451,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,4,7,6,3,4,8,4,10,6,9,17,11,9,11,13,17,11,6,6,7,4,4,5,1,0,5,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
-535.914,0.997279,0.0898463,5,31,0,538.697,-1.4088,-2.04945,-0.698044,-0.894786,3.6812,0.813758,-0.747541,5.1921,2.76285,0.000125533,0.000154645,0.000190694,0.000235433,0.000291107,0.000360627,0.000447804,0.000557713,0.000697224,0.000875847,0.00110708,0.00141066,0.00181605,0.0023675,0.00312939,0.00419042,0.00566464,0.00768711,0.0104008,0.013932,0.0183561,0.0236423,0.0296378,0.0360634,0.0425329,0.0485898,0.0537553,0.057592,0.0597869,0.0602243,0.0589871,0.0563048,0.0525,0.0479408,0.0429936,0.037981,0.0331509,0.0286661,0.0246121,0.0210174,0.0178731,0.0151498,0.0128082,0.0108057,0.00910034,0.00765284,0.00642745,0.00539235,0.00451956,0.00378474,0.00316687,0.00264791,0.0022124,0.00184718,0.00154103,0.00128443,0.00106932,0.000888899,0.000737465,0.000610265,0.00050336,-0,-0,-0,-0,-0,-0,-0,-14.9833,-7.2684,-0,-0,-0,-0,-0,-17.3007,-5.47495,-0,-9.73642,-4.56587,-17.0943,-7.99559,-18.7236,-14.0748,-29.9023,-18.9449,-30.2434,-23.3865,-31.3981,-45.0715,-22.4774,-25.4739,-48.9086,-41.2572,-39.4913,-31.467,-19.624,-40.8802,-14.2082,-3.70452,-15.4496,-12.0734,-20.9488,-4.35767,-9.05536,-9.39889,-0,-0,-0,-0,-5.57678,-5.75501,-0,-0,-6.2941,-6.4753,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1,2,6,6,2,4,3,5,7,11,13,11,19,11,15,9,12,12,2,7,10,6,2,2,4,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-538.587,0.974759,0.0898463,6,63,0,540.752,-1.45411,-2.1223,-1.43708,-0.442023,4.48264,1.92573,-0.687697,4.81145,2.15231,3.54979e-05,4.89979e-05,6.76561e-05,9.34657e-05,0.00012921,0.000178796,0.000247743,0.000343926,0.000478733,0.000668947,0.000939951,0.00133016,0.00189106,0.00268529,0.00378609,0.00527588,0.00724339,0.00977815,0.0129608,0.016846,0.0214339,0.0266008,0.0321438,0.0378232,0.0433842,0.0485636,0.0530946,0.0567116,0.0591572,0.0601918,0.0596457,0.0576371,0.0544357,0.0503211,0.0455642,0.0404224,0.0351356,0.0299253,0.0249928,0.0205119,0.0165998,0.0132906,0.0105527,0.00832303,0.0065284,0.00509704,0.0039637,0.00307171,0.00237318,0.0018285,0.00140538,0.00107777,0.000824836,0.000630072,0.000480449,0.000365748,0.000277988,0.000210959,0.000159846,0.000120927,9.13335e-05,-0,-0,-0,-0,-0,-0,-0,-15.9502,-7.64437,-0,-0,-0,-0,-0,-16.7293,-5.24461,-0,-9.25521,-4.34583,-16.3346,-7.68556,-18.1341,-13.7501,-29.4735,-18.826,-30.2488,-23.4854,-31.5675,-45.2409,-22.4818,-25.374,-48.511,-40.7503,-38.8613,-30.8863,-19.2502,-40.1825,-14.0362,-3.68917,-15.547,-12.2951,-21.6035,-4.55137,-9.57746,-10.0632,-0,-0,-0,-0,-6.30426,-6.56744,-0,-0,-7.36968,-7.64079,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,1,2,4,9,8,12,13,11,9,14,9,16,16,10,3,7,9,8,6,7,4,2,2,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.021,0.988154,0.0898463,6,63,0,542.723,-2.01341,-1.04017,0.68281,-0.3633,2.86254,-0.620268,-0.946027,5.33638,2.37426,2.99457e-05,4.23395e-05,5.98393e-05,8.45294e-05,0.00011933,0.000168319,0.000237171,0.000333743,0.00046885,0.000657257,0.000918925,0.00128049,0.00177692,0.0024531,0.00336507,0.00458014,0.00617515,0.00823175,0.0108278,0.0140249,0.0178524,0.0222897,0.0272511,0.0325768,0.0380346,0.0433341,0.0481559,0.0521884,0.0551675,0.0569097,0.0573315,0.0564549,0.0543963,0.0513451,0.0475357,0.043219,0.0386375,0.0340062,0.0295013,0.0252554,0.0213583,0.0178615,0.0147848,0.0121237,0.0098566,0.00795068,0.00636731,0.00506575,0.00400595,0.00315033,0.00246484,0.00191947,0.0014883,0.00114937,0.000884329,0.000678059,0.000518226,0.00039487,0.000300014,0.000227322,0.000171788,-0,-0,-0,-0,-0,-0,-0,-16.0103,-7.66523,-0,-0,-0,-0,-0,-17.0829,-5.38603,-0,-9.59951,-4.52564,-17.0677,-8.05123,-19.0182,-14.4106,-30.8174,-19.6156,-31.3882,-24.2665,-32.4818,-46.3581,-22.9303,-25.7301,-48.8633,-40.7604,-38.5994,-30.4628,-18.8489,-39.0424,-13.5249,-3.52332,-14.7149,-11.539,-20.1256,-4.21416,-8.82518,-9.23923,-0,-0,-0,-0,-5.76025,-6.00563,-0,-0,-6.76854,-7.03068,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,5,1,3,2,2,7,8,7,8,13,13,9,18,13,7,11,13,8,5,4,8,5,1,7,4,2,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
