# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:10:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2675b2e7c.json
# init = /tmp/RtmpC8O1hA/init-b41c23bff4d0_3.json
# random
#   seed = 2352008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0227_rep023_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605301210-3-9e9b6a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0227_rep023_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301210-3-7677b7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0473289
# Diagonal elements of inverse mass matrix:
# 0.119799, 0.0909268, 0.151924, 0.0113579, 0.0546104, 0.298115, 0.267907
-544.274,1,0.0473289,5,31,0,545.044,-2.53063,-2.22465,-0.134556,0.0849931,3.50617,-0.969369,0.181135,5.41017,2.17257,7.41747e-06,1.23176e-05,2.03188e-05,3.32616e-05,5.39774e-05,8.67427e-05,0.000137887,0.000216573,0.000335746,0.000513216,0.000772798,0.00114536,0.00166957,0.00239209,0.00336686,0.0046533,0.00631303,0.00840522,0.0109805,0.0140737,0.0176968,0.0218192,0.0263655,0.0312106,0.0361812,0.0410631,0.0456171,0.0495985,0.0527815,0.0549825,0.0560793,0.0560225,0.0548382,0.052622,0.0495253,0.0457379,0.0414692,0.0369298,0.0323164,0.0278003,0.0235199,0.0195777,0.01604,0.0129403,0.0102842,0.00805514,0.00622087,0.00473925,0.00356336,0.00264557,0.00194047,0.00140684,0.0010087,0.000715622,0.000502611,0.000349646,0.000241042,0.000164754,0.000111703,7.51588e-05,5.02074e-05,-0,-0,-0,-0,-0,-0,-0,-16.8752,-7.99916,-0,-0,-0,-0,-0,-17.0813,-5.37018,-0,-9.5578,-4.51164,-17.0538,-8.06875,-19.1248,-14.5428,-31.203,-19.9153,-31.9264,-24.6998,-33.0418,-47.0655,-23.2059,-25.9289,-48.994,-40.6471,-38.2801,-30.0527,-18.509,-38.1936,-13.1949,-3.43218,-14.3308,-11.2497,-19.6668,-4.13267,-8.69482,-9.15429,-0,-0,-0,-0,-5.93487,-6.24483,-0,-0,-7.24236,-7.59569,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,3,3,4,6,9,8,7,11,9,9,6,6,13,12,12,9,13,9,6,8,7,6,5,1,1,3,2,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0
-539.571,0.99772,0.0473289,6,63,0,545.496,-2.51486,-1.79353,-1.64256,-0.174559,3.3295,-0.315912,-0.414086,5.22938,2.31854,1.81974e-05,2.76082e-05,4.18338e-05,6.32806e-05,9.54979e-05,0.000143662,0.000215213,0.000320646,0.000474441,0.000696055,0.00101086,0.00145088,0.00205515,0.00286953,0.00394585,0.00534028,0.00711092,0.00931472,0.0120039,0.0152222,0.0190016,0.0232779,0.0279491,0.0328726,0.0378667,0.0427152,0.0471767,0.0510012,0.0539516,0.0558311,0.0565119,0.0559563,0.0542242,0.051463,0.0478815,0.0437185,0.0392132,0.0345839,0.0300153,0.0256533,0.0216045,0.0179389,0.014694,0.0118801,0.0094864,0.00748608,0.00584207,0.00451167,0.00345039,0.00261495,0.00196525,0.00146562,0.00108529,0.000798453,0.000583937,0.000424731,0.000307392,0.000221451,0.000158865,0.000113522,8.08265e-05,-0,-0,-0,-0,-0,-0,-0,-16.0903,-7.65337,-0,-0,-0,-0,-0,-16.6053,-5.23248,-0,-9.35232,-4.42252,-16.74,-7.92647,-18.8013,-14.3095,-30.736,-19.6421,-31.532,-24.4308,-32.735,-46.7147,-23.0834,-25.8597,-49.0141,-40.8048,-38.5696,-30.3903,-18.7799,-38.8649,-13.4575,-3.50605,-14.6523,-11.5046,-20.1039,-4.22032,-8.86578,-9.31579,-0,-0,-0,-0,-5.94651,-6.23213,-0,-0,-7.13283,-7.44572,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,5,2,4,4,7,7,5,9,3,8,11,13,13,7,16,11,14,4,5,12,7,6,4,2,2,4,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-539.074,0.999986,0.0473289,6,127,0,541.331,-1.61698,-2.60524,-1.34875,-0.164235,4.00326,0.13245,-1.02227,4.77723,2.03517,1.43906e-05,2.19987e-05,3.36296e-05,5.14089e-05,7.85794e-05,0.000120075,0.000183362,0.000279629,0.00042536,0.000644203,0.000968846,0.00144239,0.00211872,0.00306156,0.00434176,0.00603285,0.00820435,0.0109132,0.014194,0.0180492,0.022441,0.0272687,0.0323828,0.037592,0.0426729,0.0473846,0.051483,0.0547384,0.0569537,0.0579855,0.0577653,0.0563139,0.0537399,0.050221,0.0459774,0.0412471,0.0362667,0.0312574,0.026413,0.0218909,0.0178053,0.014225,0.0111753,0.00864459,0.00659389,0.00496701,0.00370026,0.00272983,0.0019968,0.00144974,0.00104569,0.00074992,0.000535077,0.000380062,0.000268867,0.000189514,0.000133142,9.3258e-05,6.51419e-05,4.53862e-05,3.15463e-05,-0,-0,-0,-0,-0,-0,-0,-16.3641,-7.76258,-0,-0,-0,-0,-0,-16.3184,-5.11054,-0,-9.03556,-4.25493,-16.0586,-7.59373,-18.0101,-13.7205,-29.5287,-18.9251,-30.4946,-23.732,-31.9571,-45.8483,-22.7805,-25.6623,-48.9058,-40.9304,-38.8872,-30.7961,-19.129,-39.8023,-13.862,-3.6339,-15.2867,-12.0848,-21.2638,-4.49405,-9.50164,-10.0432,-0,-0,-0,-0,-6.53637,-6.86308,-0,-0,-7.87518,-8.22129,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,3,2,4,4,7,4,10,12,8,10,7,14,20,13,9,9,9,9,6,12,6,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-538.114,0.997192,0.0473289,6,127,0,542.21,-3.0621,-1.64115,-0.750546,-0.458858,3.00335,0.0731576,-0.0448485,5.00063,2.38412,2.99666e-05,4.11293e-05,5.6463e-05,7.75369e-05,0.00010652,0.000146416,0.000201397,0.00027728,0.0003822,0.00052758,0.000729494,0.00101056,0.00140244,0.0019489,0.00270923,0.00376134,0.00520371,0.0071551,0.009751,0.0131373,0.0174641,0.0227686,0.0289854,0.0359068,0.0431573,0.050199,0.0563937,0.0611248,0.0639434,0.0646678,0.0633897,0.0604054,0.0561226,0.0509791,0.0453862,0.0396938,0.0341739,0.0290181,0.0243441,0.0202088,0.0166225,0.0135635,0.0109902,0.00885056,0.00708885,0.00565051,0.00448466,0.0035456,0.00279338,0.00219375,0.00171783,0.00134156,0.00104512,0.000812311,0.000630004,0.000487619,0.000376679,0.000290428,0.000223505,0.000171671,0.000131589,-0,-0,-0,-0,-0,-0,-0,-16.381,-7.86957,-0,-0,-0,-0,-0,-17.7333,-5.58298,-0,-9.87986,-4.63039,-17.3292,-8.09521,-18.9119,-14.1639,-29.9415,-18.8574,-29.9176,-23.0032,-30.7432,-43.9961,-21.9079,-24.8261,-47.7135,-40.323,-38.6924,-30.9255,-19.3594,-40.5155,-14.1593,-3.71547,-15.6066,-12.291,-21.5019,-4.51075,-9.45455,-9.89846,-0,-0,-0,-0,-6.12214,-6.36669,-0,-0,-7.11563,-7.36978,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,2,4,5,8,10,7,12,7,11,18,10,15,13,9,9,11,5,6,4,7,4,5,4,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-537.085,0.999823,0.0473289,6,127,0,541.253,-1.49737,-2.2816,-1.13445,-0.691962,4.46217,1.45165,-1.16556,5.28714,2.4541,8.96307e-05,0.00011537,0.000148594,0.00019154,0.000247157,0.000319356,0.000413382,0.000536344,0.00069804,0.00091224,0.00119874,0.00158607,0.00211313,0.00282945,0.00379519,0.00508041,0.00676277,0.00892262,0.0116341,0.0149497,0.0188793,0.023358,0.0282531,0.0333813,0.0385257,0.0434481,0.0478983,0.0516255,0.0543911,0.0559887,0.0562933,0.0553333,0.053245,0.0502127,0.0464467,0.0421698,0.0376071,0.0329761,0.0284759,0.0242715,0.0204738,0.0171317,0.0142457,0.0117871,0.00971354,0.00797796,0.00653394,0.00533825,0.00435209,0.00354144,0.00287692,0.00233351,0.00189008,0.00152887,0.00123512,0.000996558,0.000803055,0.000646271,0.00051936,0.000416721,0.00033378,-0,-0,-0,-0,-0,-0,-0,-15.0615,-7.26723,-0,-0,-0,-0,-0,-16.7221,-5.28236,-0,-9.43833,-4.45382,-16.8122,-7.93937,-18.7841,-14.2662,-30.5978,-19.5386,-31.3619,-24.3094,-32.6011,-46.5849,-23.0609,-25.8946,-49.2045,-41.0599,-38.8893,-30.6945,-18.9963,-39.3667,-13.6479,-3.5587,-14.8738,-11.6658,-20.3341,-4.2513,-8.8815,-9.26847,-0,-0,-0,-0,-5.64322,-5.85104,-0,-0,-6.48323,-6.69659,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,3,3,3,7,4,4,5,11,7,10,13,10,16,14,9,8,10,7,4,3,9,3,5,9,2,2,0,2,4,0,0,0,1,1,0,0,1,0,0,0,0,0
-536.296,0.999717,0.0473289,6,63,0,538.924,-1.32406,-2.48714,-0.771171,-0.761707,3.94838,0.743085,-1.64127,5.00946,2.467,0.000126158,0.000159709,0.000202311,0.000256484,0.000325498,0.000413622,0.000526486,0.000671587,0.000859045,0.00110272,0.00142192,0.00184379,0.00240637,0.00316141,0.00417599,0.00553222,0.00732394,0.00964892,0.0125952,0.0162213,0.0205336,0.0254609,0.0308494,0.0364684,0.0420265,0.0471961,0.0516411,0.0550506,0.0571796,0.0578913,0.0571812,0.0551637,0.052041,0.0480731,0.0435482,0.0387548,0.0339534,0.0293537,0.0251012,0.0212777,0.0179121,0.0149963,0.0125001,0.0103823,0.00859797,0.00710264,0.00585496,0.00481757,0.00395756,0.00324637,0.0026595,0.0021761,0.00177854,0.00145204,0.00118418,0.000964646,0.000784844,0.000637673,0.000517269,0.000418807,0.00033833,-0,-0,-0,-0,-0,-0,-0,-14.6117,-7.05969,-0,-0,-0,-0,-0,-16.4352,-5.19717,-0,-9.28182,-4.37444,-16.4857,-7.77139,-18.3531,-13.9145,-29.8018,-19.0167,-30.5344,-23.7075,-31.8945,-45.7849,-22.7935,-25.7538,-49.2567,-41.3801,-39.4554,-31.3389,-19.503,-40.5932,-14.1134,-3.68484,-15.4004,-12.0668,-20.9998,-4.38202,-9.1353,-9.51246,-0,-0,-0,-0,-5.73022,-5.92962,-0,-0,-6.53479,-6.7387,-0,-0,-0,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,2,9,7,4,8,12,6,5,9,12,17,15,9,16,12,2,6,7,2,4,6,5,4,2,4,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
