# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:20:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26834b6a3.json
# init = /tmp/RtmpC8O1hA/init-b41c223f4e2ef_4.json
# random
#   seed = 2352009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0228_rep023_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301220-4-825e6d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0228_rep023_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301220-4-30c8cd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.157071
# Diagonal elements of inverse mass matrix:
# 0.0887972, 0.0864947, 0.0333625, 0.00717199, 0.0334675, 0.0541299, 0.0849027
-539.943,0.81155,0.157071,3,7,0,543.863,-0.82789,-3.20573,-0.683085,-0.729316,4.12636,0.735724,-1.29838,4.87059,2.40332,0.000162814,0.000207493,0.000264532,0.000337414,0.00043064,0.000550059,0.000703305,0.000900415,0.00115469,0.00148389,0.00191194,0.00247094,0.00320313,0.00416181,0.00541053,0.0070204,0.00906492,0.0116115,0.0147094,0.0183749,0.0225766,0.0272222,0.0321584,0.0371783,0.0420362,0.0464655,0.0502013,0.0530059,0.0546973,0.0551756,0.0544392,0.0525801,0.0497626,0.0461979,0.0421197,0.0377629,0.0333444,0.0290483,0.025014,0.0213321,0.0180475,0.0151693,0.0126818,0.0105551,0.00875204,0.00723374,0.00596222,0.00490222,0.00402193,0.00329329,0.00269187,0.00219669,0.00178985,0.00145622,0.00118307,0.000959745,0.000777374,0.000628603,0.000507358,0.000408636,0.000328333,-0,-0,-0,-0,-0,-0,-0,-14.0253,-6.76393,-0,-0,-0,-0,-0,-15.6582,-4.95893,-0,-8.91152,-4.21927,-15.9871,-7.58168,-18.0186,-13.7483,-29.6283,-19.0153,-30.6904,-23.9337,-32.3109,-46.4951,-23.1779,-26.196,-50.0721,-42.0069,-39.9727,-31.6724,-19.6586,-40.8104,-14.1552,-3.68832,-15.3902,-12.0442,-20.9424,-4.36759,-9.1023,-9.47694,-0,-0,-0,-0,-5.71587,-5.91752,-0,-0,-6.53191,-6.73964,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,4,2,6,5,7,5,8,8,8,15,10,8,5,6,10,10,13,16,7,9,3,5,5,5,3,2,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
-540.896,0.984192,0.157071,5,31,0,544.005,-2.71417,-2.5964,-0.50402,-0.752274,3.94514,0.749084,-0.330903,5.82158,2.69828,6.82386e-05,8.65115e-05,0.000109725,0.000139246,0.000176834,0.000224774,0.000286046,0.000364573,0.000465575,0.000596097,0.00076581,0.000988274,0.00128287,0.00167765,0.0022131,0.0029467,0.00395769,0.0053502,0.00725137,0.00979969,0.0131202,0.0172863,0.0222851,0.0279935,0.0341739,0.0404878,0.0465222,0.0518309,0.0559933,0.05869,0.0597588,0.0592024,0.0571652,0.0539014,0.0497352,0.0450169,0.0400774,0.035191,0.0305563,0.0262953,0.0224668,0.019085,0.0161356,0.0135884,0.0114051,0.00954508,0.00796841,0.00663745,0.00551785,0.00457891,0.00379355,0.00313817,0.00259237,0.00213867,0.00176211,0.00145002,0.00119166,0.000978014,0.000801492,0.00065576,0.00053554,-0,-0,-0,-0,-0,-0,-0,-15.8336,-7.67224,-0,-0,-0,-0,-0,-18.3401,-5.82707,-0,-10.4612,-4.92656,-18.5016,-8.66721,-20.2892,-15.2153,-32.1821,-20.2578,-32.0676,-24.5426,-32.5575,-46.1204,-22.6839,-25.3569,-48.0555,-40.0653,-37.9678,-30.0104,-18.6043,-38.6033,-13.3879,-3.48818,-14.5535,-11.3872,-19.7943,-4.12672,-8.59708,-8.9474,-0,-0,-0,-0,-5.38629,-5.57445,-0,-0,-6.14757,-6.34124,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,3,2,4,9,5,6,13,9,14,15,12,13,10,12,5,9,6,6,3,4,8,5,5,0,1,2,4,0,0,0,1,1,0,1,1,2,0,0,0,0,0
-538.555,0.983493,0.157071,4,15,0,543.805,-1.37573,-2.92215,-0.656618,-0.786497,3.58896,0.929758,-0.33046,4.91129,2.56385,0.00017362,0.00021832,0.000274626,0.000345607,0.000435182,0.000548369,0.00069163,0.000873339,0.00110445,0.00139943,0.00177765,0.00226545,0.00289905,0.00372811,0.0048184,0.00625223,0.00812555,0.0105401,0.0135885,0.0173315,0.0217703,0.0268153,0.0322841,0.0379123,0.0433765,0.0483226,0.0523997,0.0553026,0.0568246,0.0569001,0.0556003,0.0531008,0.0496481,0.0455284,0.0410357,0.0364405,0.0319622,0.0277544,0.0239069,0.0204592,0.0174157,0.0147595,0.0124617,0.0104879,0.00880212,0.00736923,0.00615616,0.00513272,0.00427185,0.00354962,0.0029451,0.00244015,0.00201913,0.00166865,0.0013773,0.00113537,0.000934683,0.000768333,0.000630539,0.00051647,0.000422107,-0,-0,-0,-0,-0,-0,-0,-14.0864,-6.80841,-0,-0,-0,-0,-0,-16.0059,-5.07482,-0,-9.10514,-4.29853,-16.2209,-7.65442,-18.0939,-13.7327,-29.4523,-18.827,-30.2986,-23.5908,-31.8443,-45.8846,-22.9317,-26.0061,-49.9046,-42.0391,-40.1624,-31.9331,-19.8724,-41.3184,-14.3374,-3.73359,-15.5573,-12.1511,-21.0793,-4.3851,-9.11507,-9.46553,-0,-0,-0,-0,-5.64092,-5.82761,-0,-0,-6.39574,-6.58763,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,5,8,3,2,3,5,6,10,11,9,13,8,11,8,9,9,12,6,8,5,10,8,6,6,2,3,1,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0
-537.919,0.992746,0.157071,5,31,0,540.255,-0.60308,-2.31706,-0.91215,-0.547048,4.32253,0.535777,-0.849026,4.67483,2.23823,6.06256e-05,8.11314e-05,0.000108647,0.00014563,0.000195445,0.000262739,0.000354,0.000478399,0.000649087,0.00088514,0.00121428,0.00167597,0.00232381,0.00322588,0.0044625,0.00612143,0.00829046,0.0110471,0.0144457,0.0185029,0.023184,0.0283692,0.0338728,0.0394526,0.0448274,0.0496996,0.0537787,0.056805,0.0585751,0.0589689,0.0579746,0.0556952,0.0523252,0.048115,0.0433392,0.0382726,0.03317,0.0282501,0.023682,0.0195783,0.0159952,0.0129402,0.0103856,0.0082819,0.00657015,0.00519022,0.00408582,0.00320699,0.00251088,0.00196158,0.00152949,0.00119052,0.000925202,0.000717948,0.000556329,0.000430483,0.000332619,0.000256601,0.000197611,0.000151879,0.000116456,-0,-0,-0,-0,-0,-0,-0,-15.2901,-7.33994,-0,-0,-0,-0,-0,-16.2361,-5.09596,-0,-9.01118,-4.23736,-15.9593,-7.52859,-17.8123,-13.5406,-29.0939,-18.6296,-30.0176,-23.383,-31.5494,-45.3991,-22.646,-25.6297,-49.0937,-41.3039,-39.4441,-31.387,-19.5781,-40.8733,-14.2666,-3.74304,-15.7333,-12.4064,-21.7371,-4.56734,-9.58737,-10.0504,-0,-0,-0,-0,-6.23401,-6.48282,-0,-0,-7.23911,-7.49415,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,2,4,1,2,3,5,12,9,5,12,9,7,8,17,17,13,12,8,6,5,11,6,5,5,1,1,0,1,2,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0
-537.217,0.997658,0.157071,4,15,0,538.43,-1.53716,-1.94118,-0.930224,-0.69813,4.50281,0.453632,-0.601561,5.50544,2.54393,5.5513e-05,7.14391e-05,9.2027e-05,0.000118704,0.000153375,0.000198617,0.00025796,0.000336329,0.00044073,0.000581326,0.000773054,0.00103786,0.00140736,0.00192551,0.00265074,0.00365684,0.00503171,0.00687277,0.00927818,0.0123336,0.0160954,0.0205502,0.0256155,0.0311341,0.036877,0.0425563,0.0478451,0.052403,0.0559098,0.0581068,0.0588456,0.0581194,0.0560548,0.0528721,0.0488417,0.0442508,0.0393776,0.0344716,0.0297382,0.0253297,0.0213427,0.0178233,0.0147769,0.0121804,0.00999393,0.00816966,0.00665844,0.00541347,0.00439228,0.00355753,0.00287709,0.0023237,0.0018745,0.00151044,0.00121577,0.000977527,0.000785066,0.000629693,0.000504327,0.00040321,0.00032168,-0,-0,-0,-0,-0,-0,-0,-15.9948,-7.72708,-0,-0,-0,-0,-0,-17.7988,-5.61116,-0,-9.96038,-4.68009,-17.5817,-8.25844,-19.4244,-14.6582,-31.2251,-19.801,-31.5693,-24.3183,-32.4367,-46.1443,-22.7638,-25.4955,-48.3693,-40.3399,-38.2184,-30.1917,-18.7073,-38.8147,-13.4705,-3.51532,-14.7031,-11.5411,-20.1362,-4.21469,-8.81585,-9.21156,-0,-0,-0,-0,-5.63869,-5.85098,-0,-0,-6.49535,-6.71238,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,1,5,1,1,4,7,4,10,9,10,8,12,12,12,11,15,14,8,9,7,8,6,5,0,2,4,0,0,1,0,2,0,2,2,0,0,1,0,1,0,0,0,0
-536.594,0.990767,0.157071,4,15,0,539.519,-1.37735,-1.93302,-0.902309,-0.681169,4.47195,0.411061,-0.706843,5.35759,2.48619,5.20304e-05,6.72555e-05,8.70299e-05,0.000112777,0.000146412,0.000190538,0.000248755,0.000326124,0.000429911,0.000570756,0.000764446,0.00103437,0.00141449,0.00195219,0.00271051,0.00376871,0.00522032,0.0071675,0.00971104,0.0129358,0.0168933,0.0215596,0.0268375,0.0325501,0.0384464,0.0442163,0.0495136,0.0539866,0.0573142,0.0592498,0.059667,0.0585846,0.0561542,0.0526191,0.048271,0.0434143,0.0383388,0.0332987,0.0284968,0.0240769,0.0201239,0.0166711,0.0137122,0.0112143,0.00913009,0.00740658,0.00599111,0.00483478,0.00389406,0.00313124,0.0025143,0.00201641,0.0016153,0.00129264,0.00103337,0.000825253,0.000658306,0.00052446,0.000417191,0.000331245,0.000262398,-0,-0,-0,-0,-0,-0,-0,-16.0565,-7.75193,-0,-0,-0,-0,-0,-17.7319,-5.58102,-0,-9.8764,-4.63449,-17.391,-8.16168,-19.1847,-14.4718,-30.8248,-19.5509,-31.1866,-24.0441,-32.1092,-45.7473,-22.6079,-25.3708,-48.2338,-40.3152,-38.2808,-30.3092,-18.8218,-39.1355,-13.6089,-3.55796,-14.906,-11.7175,-20.4704,-4.28947,-8.98113,-9.39236,-0,-0,-0,-0,-5.76633,-5.98576,-0,-0,-6.65107,-6.87493,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,1,4,7,3,4,7,9,13,13,10,13,8,10,18,10,13,3,8,5,8,5,2,3,2,4,1,2,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0
