# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:30:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2519cbbc8.json
# init = /tmp/RtmpC8O1hA/init-b41c27186a2f_1.json
# random
#   seed = 2352011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0230_rep023_manuscript_default/prior_sensitivity_obspair_FAST-202605301230-1-8d7d67.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0230_rep023_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605301230-1-1acd62.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0645476
# Diagonal elements of inverse mass matrix:
# 0.066279, 0.0892095, 0.137695, 0.0122078, 0.102169, 0.157403, 0.279803
-542.209,0.974109,0.0645476,6,63,0,546.957,-1.7172,-2.34439,-0.906135,-0.292656,2.30335,-0.269079,-1.85535,4.24337,2.16993,3.23537e-05,4.6969e-05,6.81744e-05,9.89275e-05,0.000143498,0.000208033,0.000301344,0.000435994,0.000629735,0.000907363,0.00130293,0.00186212,0.00264438,0.00372385,0.00518825,0.00713437,0.00965949,0.0128489,0.0167604,0.021409,0.0267528,0.032626,0.0387725,0.0448563,0.0504872,0.0552637,0.0588262,0.0609111,0.0613899,0.0602823,0.0577426,0.0540249,0.0494408,0.0443177,0.0389645,0.0336478,0.0285775,0.0239025,0.0197139,0.0160526,0.0129203,0.0102903,0.00811813,0.00634982,0.00492846,0.00379872,0.00290961,0.00221599,0.00167908,0.00126634,0.000951015,0.000711453,0.000530356,0.000394074,0.000291935,0.000215669,0.000158914,0.000116811,8.56642e-05,6.26831e-05,4.57676e-05,-0,-0,-0,-0,-0,-0,-0,-15.4758,-7.37021,-0,-0,-0,-0,-0,-15.7841,-4.94283,-0,-8.709,-4.08873,-15.3758,-7.24223,-17.1132,-13.0002,-27.9386,-17.9162,-28.9564,-22.6653,-30.7817,-44.6482,-22.4697,-25.6658,-49.6113,-42.0977,-40.5128,-32.451,-20.3508,-42.6616,-14.9351,-3.92643,-16.5275,-13.0469,-22.8828,-4.81366,-10.1187,-10.6255,-0,-0,-0,-0,-6.67163,-6.95798,-0,-0,-7.83897,-8.13898,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,3,1,3,2,8,7,11,14,13,9,13,10,16,4,14,11,11,8,7,6,1,2,3,3,1,2,2,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-538.575,0.994571,0.0645476,6,63,0,546.108,-2.0436,-1.53114,-1.66301,0.0466594,3.25843,-0.633423,-0.57479,5.25595,2.34682,1.37536e-05,2.24787e-05,3.64478e-05,5.85458e-05,9.3026e-05,0.000146005,0.000226052,0.00034484,0.000517837,0.000764966,0.00111118,0.00158687,0.00222805,0.00307619,0.00417772,0.00558309,0.00734543,0.00951883,0.0121563,0.0153076,0.0190168,0.0232036,0.0277549,0.0325248,0.037337,0.0419898,0.0462658,0.0499448,0.0528208,0.0547216,0.0555281,0.0551909,0.0537387,0.0512767,0.047974,0.0440416,0.0397068,0.0351889,0.0306811,0.0263397,0.0222805,0.0185804,0.0152822,0.0124012,0.00993114,0.00785018,0.00612611,0.00472057,0.0035925,0.00270081,0.00200635,0.00147324,0.00106968,0.000768295,0.000546118,0.000384358,0.000267975,0.000185174,0.000126888,8.62647e-05,5.82152e-05,-0,-0,-0,-0,-0,-0,-0,-15.9449,-7.56585,-0,-0,-0,-0,-0,-16.434,-5.18801,-0,-9.30897,-4.40991,-16.7176,-7.92486,-18.8172,-14.3374,-30.8318,-19.7266,-31.7033,-24.5868,-32.9652,-47.0536,-23.244,-26.0178,-49.2483,-40.9307,-38.6167,-30.371,-18.7357,-38.7148,-13.3881,-3.48411,-14.5467,-11.4121,-19.9283,-4.18107,-8.77992,-9.22416,-0,-0,-0,-0,-5.9142,-6.21144,-0,-0,-7.17134,-7.51268,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,2,4,4,5,9,6,8,10,8,11,8,7,8,15,15,13,10,5,10,3,7,5,3,3,1,2,1,4,2,0,2,1,0,1,0,0,1,0,0,0,0,0,0
-539.412,0.976983,0.0645476,6,127,0,543.406,-2.93838,-1.00664,-1.12143,-0.125045,1.79835,-0.984356,-0.668654,5.08933,2.49466,3.00884e-05,4.53519e-05,6.79958e-05,0.000101333,0.000149997,0.00022037,0.0003211,0.000463705,0.000663248,0.000939064,0.0013155,0.0018226,0.00249673,0.00338093,0.00452505,0.00598542,0.00782394,0.0101065,0.0129007,0.0162724,0.0202818,0.0248254,0.0297495,0.0348528,0.0398957,0.0446167,0.0487529,0.0520654,0.054363,0.0555232,0.0555034,0.0543435,0.0521566,0.0491126,0.0454163,0.0412849,0.0369279,0.0325323,0.028253,0.0242085,0.0204816,0.0171219,0.0141519,0.0115716,0.00936522,0.00750565,0.00595926,0.00468923,0.0036583,0.00283059,0.00217291,0.00165545,0.0012521,0.00094046,0.000701707,0.00052025,0.000383384,0.000280894,0.000204669,0.000148344,0.000106979,-0,-0,-0,-0,-0,-0,-0,-15.3525,-7.31836,-0,-0,-0,-0,-0,-16.1944,-5.11843,-0,-9.18915,-4.35047,-16.4731,-7.79607,-18.4794,-14.0598,-30.2096,-19.3289,-31.0965,-24.1679,-32.5078,-46.5931,-23.1276,-26.0218,-49.5113,-41.3491,-39.1773,-30.9188,-19.1236,-39.5855,-13.7021,-3.56656,-14.8842,-11.6647,-20.337,-4.25791,-8.9184,-9.3415,-0,-0,-0,-0,-5.86727,-6.13169,-0,-0,-6.96914,-7.262,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,4,2,3,5,6,15,8,10,15,6,17,9,8,11,11,6,7,7,8,10,5,9,2,2,2,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-538.52,0.99998,0.0645476,6,63,0,542.964,-2.21307,-1.62664,-1.63855,-0.696929,2.44124,0.878929,-1.10476,4.72074,2.76835,0.000120327,0.000154531,0.000198519,0.000255134,0.000328068,0.000422138,0.000543656,0.000700949,0.000905074,0.00117086,0.00151845,0.00197552,0.00258074,0.00338851,0.00447441,0.00593774,0.00789795,0.0104854,0.0138269,0.0180259,0.0231375,0.0290167,0.0354012,0.041914,0.0480782,0.0533513,0.0572107,0.0593143,0.0596052,0.0582531,0.0555521,0.0518525,0.0475122,0.0428568,0.0381522,0.0335933,0.0293087,0.025373,0.0218206,0.0186584,0.0158748,0.0134469,0.0113457,0.00953904,0.00799456,0.00668076,0.0055681,0.00462946,0.00384041,0.00317922,0.00262676,0.00216636,0.0017836,0.00146609,0.00120322,0.000985971,0.000806717,0.00065901,0.000537444,0.000437495,0.000355393,-0,-0,-0,-0,-0,-0,-0,-14.5262,-7.00749,-0,-0,-0,-0,-0,-16.2281,-5.12643,-0,-9.11555,-4.28114,-16.0638,-7.5326,-17.6994,-13.364,-28.5492,-18.2096,-29.3086,-22.8881,-31.074,-45.1202,-22.7437,-26.0139,-50.309,-42.6548,-40.9486,-32.6617,-20.3606,-42.3584,-14.6963,-3.8249,-15.9258,-12.4291,-21.545,-4.47892,-9.30472,-9.65799,-0,-0,-0,-0,-5.75112,-5.942,-0,-0,-6.52516,-6.72276,-0,-0,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,3,3,6,3,9,10,11,6,7,16,10,8,5,14,14,4,13,5,6,8,5,8,4,1,3,0,2,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
-540.187,0.9901,0.0645476,6,63,0,544.937,-0.755136,-0.870663,-1.79993,-0.725027,3.85943,0.0111899,-2.75995,4.97152,2.74044,4.22177e-05,5.43909e-05,7.02904e-05,9.11939e-05,0.000118902,0.000156,0.000206271,0.000275344,0.000371714,0.00050825,0.00070433,0.000988578,0.00140198,0.00200102,0.00286023,0.00407381,0.00575577,0.00803831,0.0110682,0.0150013,0.0199949,0.0257729,0.0320307,0.0384396,0.044653,0.0503165,0.0550836,0.0586399,0.0607363,0.0612279,0.0601089,0.0575242,0.0537469,0.0491247,0.044019,0.0387558,0.0335977,0.0287353,0.0242911,0.0203295,0.0168699,0.0138996,0.0113846,0.00927957,0.00753392,0.00609718,0.00492177,0.00396477,0.00318854,0.00256081,0.00205439,0.00164657,0.00131863,0.0010552,0.000843743,0.000674071,0.000537923,0.000428621,0.000340779,0.00027006,0.00021298,-0,-0,-0,-0,-0,-0,-0,-16.395,-7.89739,-0,-0,-0,-0,-0,-17.5706,-5.50318,-0,-9.64707,-4.50368,-16.7985,-7.82456,-18.2922,-13.7642,-29.328,-18.653,-29.8942,-23.1912,-31.1997,-44.8194,-22.3452,-25.3044,-48.5443,-40.9286,-39.1741,-31.2313,-19.5028,-40.7196,-14.1985,-3.71765,-15.5827,-12.2467,-21.3795,-4.47549,-9.35988,-9.77668,-0,-0,-0,-0,-5.96743,-6.18778,-0,-0,-6.85403,-7.07766,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,5,6,6,7,11,10,10,10,17,15,12,8,11,7,9,9,7,11,4,1,3,3,4,3,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0
-539.619,0.999465,0.0645476,6,63,0,542.461,-1.33123,-1.9417,-1.15909,-0.466539,4.38178,1.06607,0.461388,4.90645,2.27272,3.74939e-05,5.13581e-05,7.03765e-05,9.64901e-05,0.000132393,0.000181846,0.000250137,0.000344782,0.000476618,0.000661522,0.000922948,0.00129454,0.00182104,0.00255811,0.00357313,0.00494696,0.00677541,0.00916822,0.0122417,0.016109,0.0210104,0.0263818,0.031995,0.0376295,0.0430959,0.0482143,0.0527796,0.0565261,0.0591013,0.0600928,0.0592639,0.0568678,0.0534006,0.0492645,0.0447264,0.0399662,0.0351237,0.0303321,0.0257322,0.0214636,0.0176387,0.0143184,0.0115096,0.00917957,0.00727485,0.00573509,0.00450116,0.00351922,0.0027423,0.00213058,0.00165094,0.00127622,0.000984403,0.000757787,0.00058225,0.00044659,0.000341964,0.000261421,0.000199519,0.000152009,0.000115581,-0,-0,-0,-0,-0,-0,-0,-15.9452,-7.6488,-0,-0,-0,-0,-0,-16.9029,-5.30898,-0,-9.38402,-4.40291,-16.5135,-7.72547,-18.1754,-13.7687,-29.5197,-18.866,-30.321,-23.5331,-31.6036,-45.256,-22.4949,-25.4318,-48.7395,-41.0191,-39.1372,-31.0719,-19.3183,-40.1865,-13.9822,-3.66001,-15.3656,-12.113,-21.231,-4.46457,-9.38155,-9.84666,-0,-0,-0,-0,-6.15136,-6.40641,-0,-0,-7.18511,-7.44861,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,0,4,5,5,2,9,6,8,12,12,11,11,12,13,11,11,5,6,10,4,2,6,7,4,1,4,2,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0
