# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:41:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c253582401.json
# init = /tmp/RtmpC8O1hA/init-b41c266fa608_1.json
# random
#   seed = 2452002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0231_rep024_accurate_weak/prior_sensitivity_obspair_FAST-202605301241-1-62e55a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0231_rep024_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605301241-1-1aaa51.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0862427
# Diagonal elements of inverse mass matrix:
# 0.0797468, 0.0603276, 0.24776, 0.0518622, 0.144115, 0.143935, 0.17789
-534.534,0.999224,0.0862427,5,31,0,538.162,-1.7442,-2.40387,-1.59206,0.0203302,4.81184,0.243209,0.076342,5.13274,2.06897,5.74386e-06,9.56683e-06,1.59308e-05,2.6515e-05,4.40849e-05,7.31435e-05,0.000120876,0.000198384,0.000322052,0.000514793,0.000806944,0.00123675,0.00185043,0.00270159,0.00384981,0.00535796,0.00728796,0.00969514,0.0126215,0.01609,0.0201026,0.0245309,0.0292327,0.034047,0.0387992,0.0433083,0.0473926,0.0508749,0.0535861,0.0553727,0.056109,0.0557196,0.0542071,0.0516704,0.0482922,0.0442971,0.0399083,0.0353238,0.0307119,0.0262135,0.0219463,0.0180059,0.0144653,0.0113727,0.00874946,0.0065897,0.00486342,0.00352238,0.00250789,0.00175865,0.00121693,0.000832385,0.000563686,0.000378435,0.000252166,0.000166934,0.00010988,7.19606e-05,4.69161e-05,3.04651e-05,1.97109e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.22917,-9.84306,-23.1807,-13.1171,-8.25911,-11.7207,-25.9548,-17.6623,-27.0401,-42.2416,-18.8365,-36.5915,-38.719,-26.3382,-14.4683,-25.9241,-46.1988,-34.9793,-11.8515,-24.2439,-34.2852,-16.1059,-33.432,-48.7635,-7.28296,-15.2766,-8.03412,-4.236,-0,-9.47753,-10.0445,-0,-0,-5.98831,-6.34321,-6.71143,-0,-7.48101,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,3,6,7,11,8,6,6,9,11,12,13,10,9,12,10,9,8,8,4,6,4,4,2,5,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-537.311,0.985046,0.0862427,5,31,0,538.708,-1.72407,-1.88164,-0.808572,-0.51938,2.65625,-0.282188,0.352202,4.65324,2.56192,7.78293e-05,0.000104819,0.000141175,0.000190149,0.000256118,0.000344971,0.000464614,0.000625633,0.000842139,0.00113282,0.0015222,0.00204203,0.00273276,0.00364503,0.00484104,0.00639605,0.00839984,0.0109573,0.0141879,0.0182389,0.0234132,0.0292667,0.0354798,0.0416644,0.047391,0.0522421,0.0558693,0.0580442,0.0586866,0.0578632,0.0557568,0.0526219,0.0487406,0.0443881,0.0398109,0.0352147,0.0307603,0.0265649,0.0227057,0.0192262,0.0161425,0.01345,0.0111294,0.00915189,0.00748348,0.00608817,0.00493027,0.00397596,0.00319424,0.00255736,0.00204101,0.00162419,0.00128905,0.00102053,0.000806081,0.000635308,0.000499676,0.000392208,0.000307238,0.000240185,0.000187355,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.05207,-9.55908,-22.5688,-12.7661,-8.0084,-11.2634,-24.7191,-16.694,-25.4249,-39.6412,-17.7112,-34.6169,-37.0052,-25.5199,-14.2484,-25.9808,-47.114,-36.2549,-12.4591,-25.7889,-36.8092,-17.4077,-36.2817,-52.992,-7.90296,-16.5052,-8.61755,-4.49816,-0,-9.79011,-10.2028,-0,-0,-5.74641,-5.96878,-6.19431,-0,-6.65385,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,3,3,3,5,3,7,7,7,10,16,1,10,11,9,13,11,6,13,7,10,8,8,5,5,4,1,0,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
-536.416,0.982351,0.0862427,6,63,0,540.818,-3.69056,-2.15976,-2.08685,0.310655,3.36611,-0.284636,-1.94308,5.18721,2.03852,2.18938e-06,4.24241e-06,8.15223e-06,1.54911e-05,2.90107e-05,5.33434e-05,9.59386e-05,0.000168188,0.000286616,0.000473975,0.000760058,0.00118208,0.00178448,0.00261797,0.00373776,0.00520069,0.00706143,0.00936778,0.0121554,0.015443,0.0192276,0.0234455,0.028,0.0327628,0.037577,0.0422619,0.0466203,0.0504467,0.0535387,0.0557108,0.0568126,0.0567498,0.0555041,0.0531448,0.0498243,0.0457567,0.041185,0.0363496,0.0314662,0.0267151,0.0222386,0.0181417,0.0144943,0.0113341,0.00866961,0.00648392,0.0047402,0.00338744,0.00236687,0.00161782,0.00108261,0.000709937,0.000456749,0.000288663,0.000179448,0.000109878,6.63554e-05,3.95727e-05,2.3334e-05,1.36189e-05,7.87578e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.25896,-9.90622,-23.3524,-13.2299,-8.3412,-11.8542,-26.2715,-17.8778,-27.3477,-42.6577,-18.9832,-36.7886,-38.8289,-26.3461,-14.4379,-25.812,-45.9056,-34.6956,-11.7389,-23.994,-33.9286,-15.9484,-33.1457,-48.4238,-7.24505,-15.2237,-8.01909,-4.234,-0,-9.49586,-10.0769,-0,-0,-6.04619,-6.42668,-6.82838,-0,-7.69138,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,3,3,7,6,8,6,7,9,16,11,11,9,10,7,12,10,12,10,6,8,4,9,2,1,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-538.618,0.96362,0.0862427,5,31,0,541.177,-0.823659,-1.59097,-0.400885,-0.947232,3.55699,-0.0482544,-0.0293511,5.23546,3.02248,0.000155845,0.000190186,0.000232363,0.000284299,0.000348455,0.000428018,0.000527162,0.000651439,0.000808351,0.00100821,0.00126546,0.00160061,0.0020431,0.00263529,0.00343757,0.00453437,0.00603943,0.00809638,0.0108703,0.0145297,0.0192224,0.0247911,0.0309745,0.0374001,0.0436134,0.0491305,0.053509,0.0564259,0.0577316,0.0574595,0.0557926,0.0530071,0.0494154,0.0453217,0.0409926,0.0366435,0.0324344,0.0284742,0.0248285,0.0215287,0.0185819,0.0159777,0.0136956,0.0117089,0.00998872,0.00850561,0.00723137,0.00613972,0.00520671,0.00441084,0.00373306,0.00315663,0.00266693,0.00225125,0.00189857,0.00159938,0.00134543,0.00112962,0.00094581,0.000788748,0.000654001,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.39607,-10.2189,-24.0817,-13.5652,-8.46312,-11.855,-25.8809,-17.373,-26.2887,-40.7211,-18.0796,-35.1349,-37.3728,-25.6676,-14.2834,-25.975,-46.9973,-36.0899,-12.3759,-25.5549,-36.3717,-17.1427,-35.5876,-51.7407,-7.67673,-15.9423,-8.27312,-4.29068,-0,-9.2126,-9.53406,-0,-0,-5.25781,-5.42369,-5.59053,-0,-5.92683,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,2,1,1,3,5,7,7,7,6,9,15,12,12,8,13,13,10,8,8,4,8,4,4,1,6,3,1,7,0,2,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0
-535.185,0.999865,0.0862427,5,31,0,539.981,-2.27072,-2.97232,-1.77958,0.440325,4.51349,-0.0461787,-0.924834,5.24087,1.9233,9.52337e-07,2.03865e-06,4.32665e-06,9.06602e-06,1.86546e-05,3.7453e-05,7.28887e-05,0.000136728,0.000246302,0.0004255,0.000705442,0.00112477,0.00172948,0.00257208,0.00370968,0.00520081,0.00710049,0.00945388,0.0122889,0.0156091,0.0193881,0.0235544,0.0280026,0.032599,0.0371888,0.0416046,0.0456741,0.0492282,0.0521075,0.0541698,0.0552992,0.0554174,0.0544969,0.0525731,0.0497473,0.0461765,0.0420502,0.0375656,0.0329098,0.028252,0.02374,0.019499,0.0156295,0.012205,0.00926964,0.00683693,0.00489124,0.00339173,0.00227928,0.00148509,0.00093917,0.000577382,0.000345761,0.000202142,0.000115645,6.48948e-05,3.5799e-05,1.9454e-05,1.04334e-05,5.53143e-06,2.90311e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.25894,-9.89518,-23.3066,-13.1972,-8.31981,-11.8293,-26.2391,-17.8773,-27.3878,-42.7927,-19.0773,-37.0347,-39.1468,-26.59,-14.5782,-26.055,-46.2858,-34.9153,-11.7822,-24.0064,-33.8281,-15.8445,-32.8167,-47.7958,-7.13318,-14.9624,-7.87478,-4.15859,-0,-9.36202,-9.97083,-0,-0,-6.08389,-6.51228,-6.97051,-0,-7.96976,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,5,2,5,6,8,7,7,9,10,14,8,11,3,7,11,9,14,9,9,3,7,6,7,6,2,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-535.686,0.93489,0.0862427,6,63,0,538.141,-1.94617,-2.64568,-1.06164,0.386964,3.61629,-0.485489,-1.7062,4.7392,1.88132,1.24843e-06,2.52722e-06,5.06586e-06,1.00292e-05,1.95524e-05,3.74175e-05,7.00639e-05,0.000127982,0.000227465,0.000392588,0.000657142,0.00106612,0.00167631,0.00255537,0.00377915,0.0054267,0.00757317,0.0102809,0.0135897,0.017507,0.0220005,0.0269779,0.0322953,0.0377605,0.0431414,0.0481794,0.0526074,0.0561701,0.0586478,0.0598786,0.0597781,0.0583521,0.0556967,0.0519877,0.0474586,0.0423739,0.037003,0.0315984,0.0263799,0.0215239,0.0171574,0.0133575,0.0101537,0.00753511,0.00545898,0.00386152,0.00266792,0.00180126,0.00118923,0.000768428,0.00048642,0.000301967,0.000184057,0.000110283,6.50381e-05,3.77966e-05,2.16711e-05,1.22729e-05,6.87258e-06,3.80925e-06,2.09176e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.21642,-9.76629,-22.8873,-12.8953,-8.09031,-11.4501,-25.2892,-17.1642,-26.2119,-40.8626,-18.1969,-35.3388,-37.4318,-25.5258,-14.0772,-25.354,-45.4602,-34.654,-11.827,-24.3832,-34.7734,-16.4838,-34.5465,-50.8921,-7.67719,-16.2613,-8.63136,-4.58991,-0,-10.421,-11.1134,-0,-0,-6.73445,-7.17116,-7.62844,-0,-8.60027,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,5,3,2,6,5,8,6,7,15,18,6,9,15,9,17,5,14,7,6,10,8,4,1,4,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
