# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:52:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c263b0d23f.json
# init = /tmp/RtmpC8O1hA/init-b41c2654a4b6b_1.json
# random
#   seed = 2452003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0232_rep024_accurate_moderate/prior_sensitivity_obspair_FAST-202605301252-1-5493f2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0232_rep024_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605301252-1-7bcdc7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.152416
# Diagonal elements of inverse mass matrix:
# 0.0634075, 0.0799121, 0.0242591, 0.0128775, 0.0381926, 0.0428447, 0.0443431
-536.473,0.942765,0.152416,4,31,0,543.336,-0.425599,-1.57034,-1.26495,-0.320642,4.43967,-0.432816,-0.785761,4.88221,2.47057,4.52957e-05,6.48825e-05,9.28428e-05,0.000132678,0.000189293,0.000269511,0.00038274,0.000541814,0.000763994,0.00107207,0.00149549,0.0020712,0.00284407,0.0038665,0.00519684,0.00689673,0.00902702,0.0116429,0.0147882,0.0184901,0.0227537,0.0274014,0.0322384,0.0370585,0.0416505,0.0458059,0.0493285,0.0520459,0.0538206,0.0545627,0.0542401,0.0528842,0.0505893,0.0475037,0.0438131,0.0397203,0.0354251,0.0311077,0.0269181,0.0229718,0.0193487,0.0160965,0.0132357,0.0107644,0.00866474,0.0069076,0.00545739,0.00427564,0.00332383,0.00256539,0.00196691,0.00149886,0.00113578,0.000856224,0.000642416,0.000479892,0.000357034,0.000264626,0.000195435,0.000143839,0.000105504,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.97671,-9.41507,-22.2653,-12.6418,-7.98104,-11.3491,-25.1801,-17.173,-26.3621,-41.3197,-18.5001,-36.111,-38.4232,-26.2989,-14.542,-26.229,-47.0344,-35.8082,-12.1878,-25.0226,-35.4848,-16.7017,-34.703,-50.6094,-7.54698,-15.7805,-8.2583,-4.32484,-0,-9.49699,-9.95027,-0,-0,-5.70664,-5.96565,-6.23129,-0,-6.78043,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,5,3,2,5,0,5,9,8,9,13,6,12,12,13,10,10,13,10,8,5,7,4,8,4,0,3,0,2,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0
-536.385,0.995247,0.152416,5,31,0,538.911,-0.933455,-1.22562,-1.50903,-0.722445,4.31719,0.0192702,-1.62161,5.28099,2.74055,5.73853e-05,7.38215e-05,9.52028e-05,0.000123167,0.000159985,0.000208857,0.000274363,0.000363145,0.000484923,0.00065391,0.000890648,0.0012241,0.00169364,0.00235061,0.00325876,0.0044935,0.00613946,0.00828647,0.0110239,0.0144336,0.0185822,0.0233573,0.0285981,0.0340978,0.0396082,0.0448506,0.0495312,0.0533626,0.0560918,0.0575323,0.0575959,0.0563127,0.053828,0.0503746,0.0462303,0.0416767,0.0369691,0.0323192,0.0278888,0.0237894,0.0200881,0.0168144,0.0139689,0.0115315,0.00946902,0.00774141,0.00630622,0.00512194,0.00415,0.0033558,0.0027091,0.00218396,0.00175848,0.00141434,0.00113635,0.000912017,0.000731081,0.000585187,0.000467539,0.00037263,0.000296011,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.40512,-10.186,-23.9657,-13.5231,-8.4764,-11.9567,-26.2979,-17.7721,-27.0282,-41.9734,-18.6265,-36.0618,-38.0984,-25.9269,-14.277,-25.6887,-46.0294,-35.0635,-11.9531,-24.593,-34.956,-16.4884,-34.3209,-50.1134,-7.47703,-15.6305,-8.17104,-4.27092,-0,-9.31946,-9.72234,-0,-0,-5.48465,-5.69706,-5.91114,-0,-6.3433,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,2,2,10,10,5,9,8,12,9,13,9,15,13,12,12,4,10,4,5,4,4,5,2,0,1,2,5,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0
-535.033,0.99341,0.152416,5,31,0,537.776,-2.56423,-2.85085,-1.0535,-0.269768,3.5227,-0.0685743,-0.401132,5.07801,2.19369,2.07154e-05,3.03451e-05,4.44488e-05,6.51011e-05,9.53317e-05,0.000139555,0.00020418,0.000298449,0.000435572,0.000634152,0.000919849,0.00132709,0.00190043,0.00269514,0.00377633,0.00521626,0.00708921,0.00946395,0.0123941,0.0159073,0.0199952,0.0245927,0.0295813,0.0347899,0.040001,0.0449633,0.0494095,0.0530786,0.0557428,0.0572351,0.0574711,0.0564587,0.0542932,0.0511395,0.0472097,0.0427408,0.0379725,0.03313,0.0284082,0.0239626,0.0199035,0.0162969,0.0131692,0.0105146,0.00830431,0.00649462,0.00503479,0.00387243,0.00295746,0.00224441,0.00169363,0.00127147,0.000950135,0.000707033,0.000524122,0.000387172,0.000285086,0.000209291,0.000153221,0.000111879,8.14885e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.25597,-9.89836,-23.3013,-13.1716,-8.28195,-11.7368,-25.9372,-17.6031,-26.8674,-41.845,-18.6114,-36.0914,-38.1678,-25.9831,-14.3029,-25.7083,-45.9879,-34.9603,-11.8928,-24.4252,-34.6786,-16.3545,-34.0732,-49.8551,-7.46252,-15.6674,-8.23356,-4.32988,-0,-9.58196,-10.0736,-0,-0,-5.82343,-6.09931,-6.38088,-0,-6.95891,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,4,4,3,3,10,15,15,7,10,7,6,7,12,10,10,13,6,10,3,7,5,7,5,4,0,1,2,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0
-536.952,0.9739,0.152416,5,31,0,539.976,-1.29656,-2.66252,-1.40818,-0.615618,3.1191,0.169876,-1.42419,4.67986,2.51913,0.00014718,0.000192951,0.000253003,0.000331823,0.000435328,0.00057133,0.000750149,0.000985428,0.00129517,0.00170302,0.00223966,0.00294407,0.00386406,0.00505531,0.00657834,0.00849339,0.0108534,0.0136962,0.0170357,0.0208554,0.0251031,0.029652,0.0343324,0.0389402,0.0432486,0.0470243,0.0500482,0.0521391,0.0531777,0.0531246,0.0520221,0.0499818,0.0471638,0.0437553,0.0399524,0.035944,0.0318997,0.0279609,0.0242356,0.020798,0.0176911,0.014932,0.0125177,0.0104313,0.00864726,0.0071353,0.00586366,0.00480114,0.00391835,0.00318849,0.00258767,0.00209497,0.00169229,0.00136418,0.00109756,0.000881423,0.000706602,0.000565479,0.000451764,0.000360288,0.000286816,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.76847,-9.04655,-21.4532,-12.2173,-7.74029,-11.0543,-24.6276,-16.8583,-25.9658,-40.8303,-18.3425,-35.9372,-38.3999,-26.407,-14.6756,-26.6048,-47.9375,-36.6495,-12.5166,-25.7605,-36.5837,-17.2258,-35.7695,-52.0791,-7.7458,-16.1388,-8.4085,-4.38061,-0,-9.50102,-9.8854,-0,-0,-5.54209,-5.74821,-5.957,-0,-6.38167,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,6,1,1,3,3,4,10,3,13,5,10,16,7,12,8,15,14,10,10,4,5,2,3,6,5,5,2,4,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
-539.844,0.990947,0.152416,4,31,0,545.789,-2.10608,-1.20421,-1.55102,-0.280287,4.54722,0.195673,-0.452313,5.50067,2.27378,9.71014e-06,1.41926e-05,2.07596e-05,3.03954e-05,4.45631e-05,6.54465e-05,9.63152e-05,0.000142064,0.000209974,0.000310707,0.000459519,0.000677616,0.000993642,0.00144524,0.00208065,0.00296015,0.00415725,0.00575935,0.00786782,0.0105979,0.0140791,0.0182985,0.0232063,0.0287061,0.0346461,0.0408117,0.0469213,0.0526259,0.0575216,0.0611814,0.0632202,0.0633897,0.061669,0.058288,0.0536548,0.048237,0.0424644,0.0366831,0.0311461,0.0260239,0.0214189,0.0173808,0.013918,0.0110089,0.00861057,0.00666692,0.00511581,0.00389466,0.00294458,0.00221289,0.00165428,0.00123098,0.000912272,0.000673627,0.000495792,0.000363829,0.000266268,0.000194381,0.000141566,0.000102868,7.45795e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.82252,-10.9658,-25.7847,-14.5349,-9.0942,-12.7892,-28.0065,-18.8166,-28.4052,-43.7134,-19.1927,-36.7114,-38.2791,-25.7004,-13.9696,-24.8502,-44.1353,-33.4317,-11.3694,-23.4015,-33.3479,-15.7954,-33.0544,-48.5669,-7.29748,-15.3739,-8.10478,-4.27457,-0,-9.50953,-10.0212,-0,-0,-5.82779,-6.11346,-6.40439,-0,-6.99957,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,7,3,6,6,2,19,14,10,13,9,11,14,15,6,7,7,8,4,8,5,6,2,1,0,2,2,1,1,0,0,1,0,0,1,0,1,0,0,0,0
-540.507,0.997875,0.152416,4,15,0,545.046,-0.427191,-2.10303,-1.31939,-0.642684,3.66701,0.00854325,-0.21596,4.57748,2.58212,0.000159274,0.000207593,0.000270724,0.000353304,0.000461477,0.000603411,0.000789987,0.00103571,0.00135986,0.00178784,0.00235252,0.00309521,0.00406564,0.00532043,0.00691981,0.00892272,0.011381,0.0143334,0.0177996,0.0217768,0.0262367,0.0309326,0.0356473,0.0401657,0.0442743,0.0477687,0.0504658,0.0522202,0.0529421,0.0526117,0.051284,0.0490796,0.0461646,0.0427264,0.0389531,0.0350191,0.031076,0.0272478,0.0236294,0.0202869,0.0172601,0.0145662,0.0122045,0.0101609,0.00841222,0.00693035,0.00568492,0.0046456,0.00378356,0.0030723,0.00248809,0.00201012,0.0016204,0.00130358,0.00104671,0.000838908,0.000671139,0.000535926,0.000427117,0.000339672,0.000269476,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.71915,-8.95162,-21.2258,-12.0857,-7.65382,-10.9218,-24.3316,-16.6704,-25.7179,-40.5256,-18.2483,-35.8375,-38.3797,-26.447,-14.7241,-26.7334,-48.229,-36.9065,-12.6118,-25.9632,-36.8705,-17.3566,-36.0278,-52.4337,-7.79556,-16.2374,-8.4581,-4.40595,-0,-9.55614,-9.94369,-0,-0,-5.57709,-5.78533,-5.99624,-0,-6.42508,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,6,4,8,8,7,3,13,12,9,3,9,11,6,7,10,10,10,10,5,6,4,5,8,4,1,3,2,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
-539.724,0.998927,0.152416,4,15,0,542.548,-0.482835,-2.05544,-1.33806,-0.657671,3.72364,0.0789296,-0.272579,4.61376,2.58472,0.000156788,0.000203593,0.000264535,0.000343994,0.000447768,0.000583567,0.000761695,0.000995943,0.00130478,0.00171277,0.00225208,0.00296367,0.00389747,0.00511108,0.00666648,0.0086252,0.0110424,0.0139602,0.0174023,0.0213684,0.0258317,0.0305601,0.0353371,0.0399438,0.0441607,0.047775,0.0505937,0.0524604,0.0532743,0.0530075,0.0517117,0.0495095,0.0465725,0.043095,0.0392721,0.0352839,0.0312871,0.0274095,0.0237487,0.0203721,0.0173197,0.0146081,0.0122352,0.0101852,0.00843361,0.00695087,0.00570566,0.00466693,0.0038054,0.00309433,0.00250991,0.00203132,0.00164064,0.00132259,0.00106428,0.000854939,0.000685581,0.000548788,0.000438449,0.000349553,0.000278005,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.75307,-9.01203,-21.3577,-12.1535,-7.69169,-10.9685,-24.4164,-16.7141,-25.7622,-40.559,-18.2475,-35.8071,-38.3201,-26.3907,-14.6866,-26.6586,-48.0895,-36.8009,-12.5774,-25.8979,-36.7876,-17.3228,-35.9687,-52.3632,-7.78718,-16.2236,-8.45236,-4.40344,-0,-9.55106,-9.93778,-0,-0,-5.57134,-5.77819,-5.98751,-0,-6.41267,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,1,0,4,1,1,4,6,6,5,8,6,10,14,12,9,9,9,11,11,9,6,8,8,6,5,6,5,3,0,5,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
