# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:52:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c263b0d23f.json
# init = /tmp/RtmpC8O1hA/init-b41c2654a4b6b_3.json
# random
#   seed = 2452003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0232_rep024_accurate_moderate/prior_sensitivity_obspair_FAST-202605301252-3-5493f2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0232_rep024_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605301252-3-7bcdc7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.109932
# Diagonal elements of inverse mass matrix:
# 0.0736505, 0.0642191, 0.0565039, 0.0138993, 0.035794, 0.0246721, 0.0463374
-533.135,0.998147,0.109932,5,31,0,536.92,-2.00493,-1.71015,-1.12737,-0.493123,3.56474,0.149253,-1.06513,5.11313,2.40176,3.63361e-05,4.93834e-05,6.71497e-05,9.13695e-05,0.000124438,0.000169677,0.000231729,0.000317119,0.000435092,0.000598824,0.000827117,0.00114664,0.00159456,0.00222109,0.00309127,0.00428517,0.00589554,0.00802227,0.0107632,0.0142013,0.0183893,0.0232954,0.0288131,0.0347522,0.0408388,0.0467272,0.0520245,0.0563324,0.0593051,0.0607121,0.0604832,0.0587122,0.0556223,0.0515153,0.0467228,0.0415681,0.0363383,0.0312672,0.0265265,0.0222265,0.018423,0.0151285,0.0123238,0.0099702,0.00801857,0.00641615,0.00511125,0.00405596,0.00320753,0.00252883,0.00198827,0.00155937,0.00122021,0.000952813,0.000742561,0.000577637,0.000448551,0.000347711,0.000269078,0.000207858,0.000160267,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.45259,-10.2671,-24.1277,-13.5949,-8.50885,-11.988,-26.3165,-17.7346,-26.8761,-41.5756,-18.3806,-35.4725,-37.3943,-25.4255,-14.0081,-25.2485,-45.3617,-34.67,-11.8635,-24.5082,-34.9847,-16.5744,-34.6519,-50.8146,-7.61294,-15.9766,-8.38235,-4.39623,-0,-9.65199,-10.0979,-0,-0,-5.74225,-5.98,-6.22049,-0,-6.70873,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,3,3,6,6,7,7,8,15,12,9,10,8,6,20,13,17,4,8,5,8,4,1,2,3,4,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0
-533.61,0.997331,0.109932,4,31,0,536.274,-1.4356,-1.47537,-1.69908,-0.36339,4.03973,-0.00710595,-1.17682,5.09983,2.37304,2.986e-05,4.23499e-05,6.01004e-05,8.5356e-05,0.000121338,0.000172672,0.000246002,0.000350814,0.000500526,0.000713766,0.00101573,0.00143939,0.00202624,0.00282645,0.00389816,0.00530574,0.0071171,0.00939984,0.0122165,0.0156192,0.0196441,0.0242038,0.0291703,0.0343741,0.0396075,0.0446307,0.0491822,0.0529948,0.055818,0.0574472,0.0577566,0.0567274,0.0544582,0.0511482,0.0470588,0.0424703,0.0376467,0.0328152,0.028157,0.0238058,0.0198505,0.0163403,0.0132914,0.0106939,0.00851922,0.00672655,0.00526908,0.00409845,0.00316814,0.00243562,0.00186343,0.00141959,0.00107735,0.000814857,0.000614435,0.000462025,0.000346537,0.000259302,0.000193593,0.000144223,0.000107212,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.23897,-9.89051,-23.3353,-13.2149,-8.31851,-11.7899,-26.0487,-17.673,-26.9636,-41.9736,-18.656,-36.1467,-38.1883,-25.9709,-14.2844,-25.6637,-45.912,-34.9239,-11.8921,-24.4509,-34.7484,-16.3975,-34.1686,-49.9794,-7.47565,-15.6781,-8.22824,-4.32064,-0,-9.53086,-10.0034,-0,-0,-5.75461,-6.01756,-6.28533,-0,-6.83325,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,2,4,6,6,6,10,10,10,10,15,17,9,18,9,6,5,10,8,5,6,3,4,3,0,2,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-534.78,0.970355,0.109932,4,31,0,538.1,-2.39798,-1.59915,-1.60025,-0.310966,4.0237,0.0935442,-1.11101,5.45022,2.31933,1.75102e-05,2.52871e-05,3.65335e-05,5.28117e-05,7.63983e-05,0.000110616,0.000160319,0.000232578,0.000337623,0.000490039,0.000710143,0.00102537,0.00147144,0.00209307,0.00294404,0.00408631,0.005588,0.00751983,0.00995017,0.0129386,0.0165288,0.0206951,0.0253698,0.0304383,0.0357371,0.0410549,0.0461387,0.0507045,0.054456,0.0571159,0.0584688,0.0584066,0.0569566,0.0542733,0.0505998,0.0462184,0.041412,0.0364379,0.0315154,0.0268186,0.022475,0.0185672,0.0151371,0.012192,0.00971274,0.00766191,0.00599142,0.00464892,0.00358254,0.00274403,0.00209046,0.00158491,0.00119644,0.000899687,0.000674153,0.00050353,0.000374976,0.000278475,0.000206274,0.000152418,0.000112355,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.50011,-10.3743,-24.4511,-13.8305,-8.69508,-12.3079,-27.145,-18.371,-27.9364,-43.3104,-19.1571,-36.9132,-38.7626,-26.1933,-14.3134,-25.5534,-45.4452,-34.3856,-11.6549,-23.8705,-33.8181,-15.9209,-33.1214,-48.4019,-7.23732,-15.1814,-7.97271,-4.19061,-0,-9.26863,-9.74299,-0,-0,-5.63168,-5.89833,-6.17037,-0,-6.7284,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,2,1,4,3,9,9,5,12,9,11,7,7,11,13,12,7,12,11,8,3,6,9,2,2,4,1,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
-537.669,0.983842,0.109932,4,15,0,538.455,-0.785083,-2.12903,-1.57362,-0.20205,3.50202,-0.150229,-1.20859,4.27325,2.14181,3.20795e-05,4.82233e-05,7.24552e-05,0.000108779,0.000163121,0.000244171,0.000364515,0.000542047,0.00080157,0.00117632,0.00170902,0.00245186,0.00346501,0.00481349,0.00656245,0.0087712,0.0114866,0.0147367,0.0185245,0.0228242,0.027579,0.0326105,0.0377088,0.0426412,0.0471655,0.0510445,0.054063,0.0560452,0.0568726,0.0564991,0.05496,0.0523695,0.0489069,0.0447915,0.0402572,0.0355289,0.0308073,0.0262589,0.0220124,0.0181575,0.014747,0.0118006,0.00931105,0.00725051,0.00557726,0.00424211,0.0031936,0.00238198,0.00176181,0.00129335,0.000943105,0.000683596,0.00049285,0.000353633,0.000252655,0.000179817,0.000127532,9.01639e-05,6.35603e-05,4.46857e-05,3.13364e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.73628,-8.93314,-21.0871,-11.966,-7.55987,-10.7721,-23.9618,-16.3893,-25.2395,-39.7032,-17.8503,-35.0113,-37.4608,-25.8025,-14.3677,-26.1104,-47.1909,-36.2141,-12.4229,-25.6997,-36.7115,-17.4,-36.3975,-53.4261,-8.01734,-16.8669,-8.87921,-4.67655,-0,-10.3781,-10.9254,-0,-0,-6.34142,-6.65052,-6.96633,-0,-7.61531,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,3,5,3,6,8,5,17,16,12,10,17,9,14,8,6,7,7,6,7,4,8,2,4,1,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-535.706,0.995217,0.109932,4,23,0,543.328,-1.20869,-1.1871,-1.6651,-0.135847,4.12573,-0.383448,-0.718779,5.09784,2.3746,1.57212e-05,2.41158e-05,3.689e-05,5.6232e-05,8.53405e-05,0.000128829,0.00019325,0.000287761,0.000424932,0.000621695,0.000900423,0.00129007,0.00182734,0.00255774,0.00353641,0.0048287,0.00651017,0.0086661,0.0113903,0.0147835,0.0189507,0.0237398,0.028971,0.0344374,0.0399072,0.0451292,0.0498416,0.0537854,0.0567229,0.0584604,0.058873,0.0579269,0.055692,0.052339,0.0481178,0.0433218,0.0382471,0.0331585,0.0282681,0.0237274,0.0196307,0.0160234,0.0129137,0.0102828,0.00809428,0.00630203,0.00485541,0.00370353,0.00279804,0.0020948,0.00155486,0.00114476,0.000836419,0.000606785,0.000437279,0.000313186,0.00022303,0.000157989,0.000111369,7.81491e-05,5.46054e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.33318,-10.0688,-23.7417,-13.425,-8.42848,-11.8977,-26.1842,-17.7073,-26.9489,-41.8756,-18.5893,-35.9869,-37.9958,-25.8262,-14.197,-25.4913,-45.5772,-34.655,-11.8001,-24.2728,-34.5301,-16.3184,-34.0646,-49.9243,-7.48225,-15.7226,-8.2674,-4.34946,-0,-9.6332,-10.1338,-0,-0,-5.87884,-6.1683,-6.46637,-0,-7.08638,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,4,6,4,9,10,13,11,8,10,10,14,11,9,9,12,8,6,11,7,5,3,4,2,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
-536.963,0.996851,0.109932,5,31,0,538.565,-0.885693,-1.25545,-1.60082,0.00840839,3.84299,-0.637285,-0.747084,4.88716,2.39218,2.01295e-05,3.20725e-05,5.06651e-05,7.92552e-05,0.000122626,0.000187468,0.00028294,0.000421325,0.000618767,0.000896077,0.00127957,0.0018019,0.00250279,0.00342953,0.00463723,0.00618855,0.00815287,0.0106048,0.0136221,0.0172825,0.0216606,0.0265441,0.0317065,0.0369123,0.0419222,0.0465009,0.0504262,0.053501,0.0555652,0.0565095,0.0562868,0.0549204,0.0525047,0.0491985,0.0452087,0.0407677,0.0361087,0.0314434,0.0269468,0.0227493,0.0189364,0.0155536,0.0126139,0.0101058,0.00800169,0.0062635,0.0048483,0.00371185,0.00281128,0.00210673,0.00156239,0.00114694,0.00083361,0.000600038,0.000427878,0.000302368,0.000211829,0.000147177,0.000101456,6.94179e-05,4.71634e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.08505,-9.61877,-22.7322,-12.8882,-8.11613,-11.4968,-25.4026,-17.2562,-26.3937,-41.2352,-18.4097,-35.8469,-38.0647,-26.0118,-14.3667,-25.8957,-46.4299,-35.3622,-12.0476,-24.7717,-35.1985,-16.6061,-34.5957,-50.5945,-7.56644,-15.8667,-8.32692,-4.37296,-0,-9.65621,-10.146,-0,-0,-5.87412,-6.16262,-6.46154,-0,-7.08975,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,8,7,4,7,10,10,12,10,8,9,8,13,5,15,12,12,11,8,4,4,3,6,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
