# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 11:59:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2e1ef1c1.json
# init = /tmp/RtmpC8O1hA/init-b41c278b6dca6_1.json
# random
#   seed = 2452004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0233_rep024_accurate_strong/prior_sensitivity_obspair_FAST-202605301259-1-3bcb14.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0233_rep024_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605301259-1-10d0b2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.221544
# Diagonal elements of inverse mass matrix:
# 0.0406455, 0.0458424, 0.00632145, 0.00393675, 0.00983685, 0.00405976, 0.00693411
-534.081,0.987396,0.221544,4,15,0,536.723,-2.08303,-2.83014,-1.22775,-0.339854,3.37267,0.184725,-1.00154,4.78126,2.18387,3.10279e-05,4.43025e-05,6.32614e-05,9.03429e-05,0.000129034,0.000184323,0.000263341,0.000376267,0.000537577,0.000767688,0.00109497,0.00155787,0.00220659,0.00310361,0.00432231,0.00594314,0.00804706,0.010706,0.013971,0.0178591,0.0223422,0.0273223,0.0326413,0.0380857,0.0433985,0.0482965,0.0524911,0.0557153,0.057754,0.0584758,0.0578536,0.0559643,0.0529701,0.0490915,0.0445815,0.039702,0.0347024,0.029802,0.0251762,0.0209497,0.017196,0.0139432,0.0111836,0.00888479,0.0069993,0.00547325,0.00425205,0.00328427,0.00252374,0.00193041,0.00147047,0.00111593,0.000843995,0.00063634,0.000478404,0.000358715,0.000268308,0.000200221,0.000149083,0.000110773,8.21376e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.12552,-9.6449,-22.6847,-12.8123,-8.05049,-11.4038,-25.2004,-17.1109,-26.1433,-40.7853,-18.1824,-35.3653,-37.5375,-25.6641,-14.1957,-25.6486,-46.1287,-35.2563,-12.0563,-24.8835,-35.4899,-16.8047,-35.1318,-51.546,-7.73126,-16.2523,-8.54553,-4.4933,-0,-9.92389,-10.4158,-0,-0,-5.98201,-6.25002,-6.52217,-0,-7.07736,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,4,4,2,4,5,6,10,16,15,12,14,10,8,13,12,6,7,7,7,5,4,4,8,2,0,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-536.139,0.963805,0.221544,3,15,0,539.848,-1.84811,-3.25282,-1.20621,-0.31427,3.28051,0.175015,-1.13367,4.58068,2.12089,3.06486e-05,4.41616e-05,6.36346e-05,9.16978e-05,0.000132142,0.000190427,0.000274409,0.000395361,0.000569374,0.000819189,0.0011764,0.00168369,0.00239648,0.00338303,0.00472231,0.00649892,0.00879511,0.0116796,0.0151947,0.0193424,0.0240739,0.0292671,0.0347381,0.0402502,0.045528,0.0502782,0.0542128,0.0570773,0.0586811,0.0589256,0.0578184,0.0554676,0.0520602,0.0478354,0.0430588,0.0379983,0.0329032,0.0279861,0.0234108,0.0192867,0.0156712,0.0125774,0.00998473,0.00785056,0.00612057,0.00473647,0.00364144,0.00278341,0.00211663,0.0016022,0.0012078,0.000907095,0.000678955,0.000506626,0.000376966,0.000279756,0.000207108,0.000152976,0.000112748,8.29266e-05,6.08702e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.03612,-9.46712,-22.2495,-12.5604,-7.89091,-11.1799,-24.719,-16.7996,-25.7011,-40.1626,-17.9411,-34.9781,-37.2235,-25.5207,-14.1574,-25.654,-46.2713,-35.4642,-12.16,-25.1615,-35.9724,-17.0709,-35.7605,-52.5638,-7.89668,-16.6237,-8.7517,-4.6067,-0,-10.1922,-10.7049,-0,-0,-6.15793,-6.43638,-6.71896,-0,-7.29496,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,4,3,4,7,7,6,4,9,16,11,17,6,15,8,8,11,9,7,6,9,4,5,3,4,4,1,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
-534.398,0.997459,0.221544,4,15,0,537.668,-2.43778,-2.49077,-1.45962,-0.3171,3.71653,0.0816643,-1.10674,5.24414,2.28105,2.73256e-05,3.93403e-05,5.66426e-05,8.15621e-05,0.000117454,0.000169144,0.000243553,0.000350547,0.000504045,0.000723352,0.00103456,0.00147173,0.00207753,0.00290292,0.00400575,0.0054478,0.00729042,0.00958832,0.0123822,0.0156908,0.0195039,0.0237595,0.0283539,0.0331433,0.037949,0.0425655,0.0467721,0.0503467,0.0530833,0.0548144,0.0554341,0.0549162,0.0533161,0.0507584,0.047415,0.0434844,0.0391735,0.0346835,0.030198,0.0258736,0.0218331,0.0181622,0.01491,0.012093,0.00970131,0.00770643,0.00606814,0.0047408,0.00367802,0.00283577,0.00217423,0.0016587,0.00125972,0.000952801,0.000717987,0.000539203,0.000403669,0.000301326,0.00022432,0.000166567,0.00012338,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.21254,-9.84239,-23.236,-13.1745,-8.30936,-11.8114,-26.1784,-17.815,-27.2553,-42.5297,-18.9403,-36.7496,-38.8547,-26.423,-14.519,-26.033,-46.4312,-35.1782,-11.9227,-24.3905,-34.4889,-16.1988,-33.6149,-48.9997,-7.30906,-15.2973,-8.01683,-4.20572,-0,-9.27099,-9.7314,-0,-0,-5.60538,-5.86544,-6.13108,-0,-6.67687,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,0,1,2,1,5,6,10,3,5,11,8,14,9,15,11,6,14,7,6,9,4,5,8,9,2,4,6,3,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
-535.098,0.997401,0.221544,4,15,0,535.773,-2.52089,-2.09867,-1.3524,-0.223048,3.48323,0.199161,-1.0619,4.86143,2.083,1.25777e-05,1.877e-05,2.80147e-05,4.18199e-05,6.24427e-05,9.32621e-05,0.000139339,0.000208244,0.000311264,0.000465079,0.000693934,0.00103212,0.00152625,0.00223682,0.00323817,0.00461652,0.00646528,0.00887711,0.0119327,0.0156868,0.0201542,0.0252693,0.0308972,0.0368331,0.0428089,0.048507,0.0535802,0.0576793,0.0604919,0.0617922,0.0614881,0.0596401,0.0564397,0.0521642,0.0471318,0.0416658,0.0360693,0.0306049,0.0254808,0.0208431,0.016775,0.0133042,0.010414,0.00805756,0.00617095,0.00468385,0.00352719,0.00263776,0.00196051,0.00144918,0.00106598,0.000780652,0.00056942,0.000413837,0.000299765,0.000216473,0.000155882,0.000111954,8.02062e-05,5.73259e-05,4.08798e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.37811,-10.0826,-23.6214,-13.2854,-8.30987,-11.713,-25.7472,-17.3855,-26.4109,-40.9631,-18.1563,-35.1189,-37.0871,-25.2472,-13.9199,-25.1002,-45.1108,-34.495,-11.8134,-24.4385,-34.9588,-16.6116,-34.866,-51.3776,-7.74147,-16.3515,-8.63936,-4.56461,-0,-10.1758,-10.7273,-0,-0,-6.23455,-6.53676,-6.84386,-0,-7.47089,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,4,2,7,4,10,7,8,13,14,10,15,13,12,12,10,7,4,13,5,6,3,4,2,2,2,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-537.281,0.988184,0.221544,4,15,0,539.926,-2.6109,-2.59509,-1.14293,-0.474372,3.48383,0.266799,-1.36077,5.24928,2.40627,4.78802e-05,6.5385e-05,8.93038e-05,0.000121999,0.000166711,0.000227896,0.000311687,0.00042654,0.000584127,0.00080053,0.00109778,0.00150563,0.00206331,0.00282069,0.00383827,0.00518552,0.00693686,0.00916493,0.0119309,0.0152724,0.0191915,0.0236337,0.0284889,0.0335911,0.0387258,0.043642,0.0480691,0.0517397,0.0544186,0.0559362,0.0562147,0.0552738,0.0532187,0.0502189,0.0464861,0.0422527,0.0377514,0.0331963,0.0287679,0.0246039,0.0207967,0.0173969,0.0144204,0.0118576,0.00968167,0.00785596,0.00633944,0.00509055,0.00406971,0.00324065,0.00257119,0.00203331,0.00160311,0.0012604,0.000988401,0.000773224,0.000603512,0.000470028,0.000365302,0.00028333,0.000219307,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.26189,-9.94181,-23.4619,-13.2859,-8.36342,-11.8599,-26.2156,-17.7912,-27.148,-42.2662,-18.7904,-36.4214,-38.4999,-26.1994,-14.4177,-25.9072,-46.3273,-35.2001,-11.9655,-24.5488,-34.805,-16.3837,-34.0532,-49.6789,-7.4097,-15.4918,-8.10293,-4.23911,-0,-9.27504,-9.69297,-0,-0,-5.50418,-5.73198,-5.96339,-0,-6.43581,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,4,1,6,6,4,10,7,6,8,10,14,11,13,14,8,11,6,7,5,13,4,6,1,5,3,5,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-535.027,0.998793,0.221544,4,15,0,540.079,-2.31556,-1.61493,-1.4363,-0.358083,3.4035,0.148673,-1.28171,4.99939,2.28018,2.19621e-05,3.11771e-05,4.42735e-05,6.29003e-05,8.94196e-05,0.000127225,0.000181209,0.000258447,0.000369188,0.000528254,0.000756909,0.00108511,0.00155386,0.00221704,0.00314226,0.00440998,0.00611057,0.00833867,0.0111849,0.014725,0.0190076,0.0239854,0.0295439,0.0354948,0.0415755,0.0474571,0.052763,0.0571014,0.0601166,0.0615534,0.0613146,0.059479,0.0562714,0.0520054,0.0470267,0.0416713,0.0362373,0.0309689,0.0260484,0.0215957,0.0176738,0.0142988,0.0114517,0.00909047,0.00716023,0.00560159,0.00435611,0.0033697,0.00259446,0.00198921,0.00151942,0.00115661,0.000877705,0.000664154,0.000501239,0.000377361,0.000283447,0.000212441,0.000158889,0.000118592,8.83327e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.42388,-10.1955,-23.9343,-13.4796,-8.43642,-11.8888,-26.1122,-17.6094,-26.7069,-41.3432,-18.2876,-35.3033,-37.218,-25.3032,-13.9393,-25.1256,-45.1541,-34.5308,-11.8256,-24.4563,-34.9574,-16.5883,-34.7477,-51.0692,-7.67053,-16.1427,-8.49516,-4.46961,-0,-9.87843,-10.3694,-0,-0,-5.95438,-6.22002,-6.48943,-0,-7.0382,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,3,1,3,4,3,7,6,8,8,11,11,17,14,14,10,11,10,6,9,7,4,6,5,1,3,3,4,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
