# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 12:23:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27429d98d.json
# init = /tmp/RtmpC8O1hA/init-b41c26f0845fa_2.json
# random
#   seed = 2452008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0237_rep024_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605301323-2-4b04ac.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0237_rep024_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301323-2-5d43ae.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0637441
# Diagonal elements of inverse mass matrix:
# 0.117676, 0.0674744, 0.120758, 0.030471, 0.0911095, 0.134501, 0.479755
-533.691,0.999994,0.0637441,6,63,0,535.73,-1.02329,-2.01596,-1.09991,-0.264896,5.29476,0.296532,-0.523089,5.27462,2.14985,1.30542e-05,1.92034e-05,2.82784e-05,4.17018e-05,6.16186e-05,9.12864e-05,0.000135681,0.000202411,0.000302991,0.000454444,0.000681017,0.00101574,0.0015015,0.00219136,0.00314769,0.00443992,0.00614042,0.00831849,0.0110325,0.0143209,0.0181933,0.0225872,0.0273953,0.0324677,0.0376175,0.0426307,0.0472779,0.0513271,0.0545566,0.0567703,0.0578153,0.0576045,0.0561411,0.0535305,0.0499662,0.0456919,0.0409627,0.0360193,0.0310752,0.0263099,0.0218654,0.0178442,0.0143091,0.0112853,0.00876482,0.00671377,0.00508052,0.00380455,0.00282388,0.00208043,0.00152318,0.00110935,0.00080438,0.000581032,0.000418317,0.000300295,0.000215011,0.000153583,0.000109463,7.78519e-05,5.52537e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.41712,-10.1857,-23.9464,-13.5207,-8.49206,-12.0201,-26.5326,-17.9869,-27.4201,-42.6437,-18.9311,-36.6205,-38.604,-26.1767,-14.3437,-25.6545,-45.6665,-34.5587,-11.71,-23.9713,-33.9442,-15.9755,-33.237,-48.5988,-7.27562,-15.2914,-8.05215,-4.24686,-0,-9.47402,-10.0072,-0,-0,-5.86965,-6.17518,-6.48696,-0,-7.12544,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,4,3,3,3,12,7,4,7,10,8,9,7,14,17,18,13,9,4,6,7,8,4,4,2,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-535.851,0.992011,0.0637441,6,63,0,537.028,-0.960461,-3.45621,-1.19012,-0.42844,4.66327,1.05259,0.321761,4.88962,2.22642,5.00853e-05,6.94164e-05,9.62324e-05,0.000133454,0.000185162,0.000257081,0.000357279,0.000497212,0.000693275,0.000969018,0.00135755,0.00190207,0.00265372,0.00366929,0.00500936,0.00673594,0.00890849,0.0115774,0.0147738,0.0184966,0.0227006,0.027242,0.0319599,0.0366761,0.0412074,0.0453721,0.0489916,0.0518925,0.0539126,0.054913,0.0548052,0.0535951,0.0513948,0.0483744,0.0447206,0.0406201,0.036252,0.031785,0.0273766,0.0231704,0.0192895,0.0158236,0.0128183,0.0102763,0.00816807,0.00644624,0.00505692,0.00394671,0.00306656,0.00237341,0.0018306,0.00140758,0.00107929,0.000825479,0.000629885,0.000479599,0.000364431,0.000276385,0.000209218,0.00015808,0.000119216,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.0003,-9.4415,-22.2935,-12.6447,-7.98033,-11.3561,-25.221,-17.2164,-26.445,-41.4588,-18.5571,-36.1933,-38.4616,-26.2835,-14.51,-26.1357,-46.8208,-35.6186,-12.1151,-24.8586,-35.2384,-16.5863,-34.4876,-50.3729,-7.52976,-15.7928,-8.29251,-4.35688,-0,-9.61504,-10.0885,-0,-0,-5.7872,-6.04343,-6.30311,-0,-6.83145,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2,0,3,4,8,7,6,7,8,11,8,19,12,11,8,10,9,5,10,7,6,10,6,4,4,0,2,1,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
-540.354,0.998917,0.0637441,6,63,0,542.595,-3.92729,-2.05715,-0.739395,-0.134792,4.0966,-0.0248375,1.08375,5.26365,2.09275,7.26139e-06,1.12382e-05,1.73903e-05,2.69033e-05,4.16021e-05,6.42856e-05,9.92205e-05,0.000152853,0.00023479,0.000359085,0.000545783,0.000822602,0.00122646,0.00180438,0.00261323,0.00371731,0.00518327,0.00707173,0.00942969,0.0123289,0.0166811,0.0214961,0.0269372,0.032867,0.0390533,0.0452009,0.0509534,0.0558819,0.0595099,0.0614313,0.0614886,0.05986,0.0569492,0.0531797,0.0488649,0.044204,0.0393378,0.0343978,0.0295242,0.0248598,0.0205335,0.0166442,0.0132515,0.0103746,0.00799771,0.0060795,0.00456353,0.00338736,0.00248945,0.00181352,0.00131089,0.000941066,0.00067146,0.000476494,0.000336496,0.000236592,0.000165693,0.000115623,8.04186e-05,5.57637e-05,3.85583e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.59475,-10.5246,-24.7582,-13.9917,-8.79161,-12.2804,-26.8792,-18.0712,-27.3223,-42.1568,-18.5798,-35.7221,-37.4987,-25.3945,-13.9492,-25.1001,-45.052,-34.3871,-11.7363,-24.1496,-34.3083,-16.1779,-33.6976,-49.3156,-7.38901,-15.5428,-8.19139,-4.32364,-0,-9.6572,-10.2057,-0,-0,-5.9957,-6.31248,-6.63705,-0,-7.30606,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,2,8,4,0,8,8,12,12,13,10,13,11,8,5,12,12,8,10,6,8,9,2,6,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-552.188,0.886335,0.0637441,3,7,0,553.362,-4.07728,-1.42735,-0.474791,-0.0672274,3.86559,0.304464,1.08179,4.85194,1.81966,2.26164e-06,3.60964e-06,5.76113e-06,9.19506e-06,1.46757e-05,2.34222e-05,3.73775e-05,5.9631e-05,9.50755e-05,0.000151397,0.000240511,0.000380536,0.000598385,0.000932984,0.00143873,0.00218811,0.0032719,0.00479542,0.00686976,0.00960593,0.0141506,0.0197027,0.0267175,0.0351582,0.0447248,0.0548282,0.0645477,0.0725251,0.0771437,0.0774356,0.0739026,0.0679885,0.0609649,0.0535504,0.0461212,0.0389341,0.0322038,0.0260997,0.0207325,0.0161521,0.0123535,0.00928808,0.00687595,0.00502065,0.00362197,0.00258561,0.00182899,0.00128353,0.000894499,0.000619578,0.000426835,0.000292636,0.000199764,0.000135835,9.20373e-05,6.21602e-05,4.18572e-05,2.81083e-05,1.88271e-05,1.25802e-05,8.38677e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.12472,-11.4448,-26.7005,-14.9419,-9.29075,-12.774,-27.489,-18.1122,-26.7832,-40.394,-17.4213,-32.8842,-34.1097,-23.0588,-12.7915,-23.4451,-43.0147,-33.5695,-11.7085,-24.6119,-35.7047,-17.1784,-36.4583,-54.2647,-8.25141,-17.5753,-9.35805,-4.97973,-0,-11.2415,-11.9156,-0,-0,-7.01925,-7.38647,-7.75911,-0,-8.51837,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,5,8,15,10,6,17,16,11,14,12,9,19,6,7,12,0,2,3,4,3,3,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.731,0.999152,0.0637441,3,7,0,552.831,-4.04299,-1.55129,-0.736044,-0.181178,3.89243,0.0254479,1.08774,5.13841,2.10509,7.63107e-06,1.15808e-05,1.75739e-05,2.66658e-05,4.04535e-05,6.13481e-05,9.29756e-05,0.000140754,0.0002127,0.000320506,0.000480898,0.000717236,0.0010612,0.00155424,0.00224832,0.00320511,0.00449296,0.00618115,0.00833122,0.011005,0.0156297,0.0207857,0.0269012,0.0338466,0.0413344,0.0489206,0.0560079,0.0618693,0.0657611,0.0671751,0.0660953,0.0629941,0.0585457,0.053335,0.0477593,0.0420728,0.0364579,0.0310659,0.026026,0.0214405,0.0173774,0.0138675,0.0109071,0.00846476,0.00648987,0.00492149,0.00369573,0.00275113,0.00203213,0.00149072,0.00108687,0.000788089,0.000568645,0.000408496,0.000292279,0.000208366,0.000148052,0.000104875,7.40786e-05,5.21867e-05,3.66716e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.74301,-10.8105,-25.4313,-14.3632,-9.01882,-12.4758,-27.1144,-18.0779,-27.0873,-41.4188,-18.1053,-34.5872,-36.1755,-24.4955,-13.5023,-24.4499,-44.2354,-34.0554,-11.7246,-24.3326,-34.8519,-16.558,-34.7165,-51.0812,-7.68495,-16.2103,-8.55641,-4.51834,-0,-10.075,-10.6283,-0,-0,-6.19867,-6.50849,-6.82446,-0,-7.47225,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,3,6,4,2,7,6,9,9,18,9,17,20,15,6,14,13,3,4,5,6,3,6,1,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-539.869,0.999157,0.0637441,6,63,0,545.536,-1.61789,-4.31991,-1.20858,-0.594914,3.77876,0.883114,0.668576,4.87739,2.52438,0.000112431,0.00014821,0.000195405,0.000257681,0.000339898,0.000448512,0.000592124,0.000782232,0.00103428,0.00136913,0.00181502,0.00240981,0.00320218,0.0042498,0.00561519,0.00736186,0.00955027,0.0122317,0.0154394,0.0191772,0.0234136,0.0279777,0.0327053,0.0374079,0.0418833,0.045923,0.0493176,0.0518665,0.0534002,0.0538245,0.0531518,0.0514789,0.0489476,0.0457244,0.0419901,0.037934,0.0337443,0.0295957,0.0256333,0.0219616,0.0186423,0.0157003,0.0131333,0.010922,0.00903671,0.00744327,0.00610631,0.00499157,0.00406715,0.00330421,0.00267719,0.00216381,0.00174489,0.00140408,0.00112756,0.000903773,0.000723064,0.000577444,0.000460323,0.000366286,0.000290907,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.91144,-9.30237,-22.0186,-12.5125,-7.90806,-11.2633,-25.0344,-17.1011,-26.287,-41.2473,-18.4847,-36.1137,-38.4681,-26.3695,-14.6101,-26.4114,-47.4653,-36.2041,-12.3405,-25.3626,-35.991,-16.9447,-35.2013,-51.2941,-7.63692,-15.9293,-8.30816,-4.3326,-0,-9.41292,-9.80089,-0,-0,-5.50481,-5.71256,-5.92299,-0,-6.35106,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,5,2,4,6,8,6,6,8,4,13,13,6,7,9,14,13,5,10,6,9,7,8,7,2,1,1,0,2,3,1,2,0,0,3,0,1,0,1,0,0,0,0,0,0
