# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 12:43:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c256295c1b.json
# init = /tmp/RtmpC8O1hA/init-b41c25d21b414_2.json
# random
#   seed = 2452011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0240_rep024_manuscript_default/prior_sensitivity_obspair_FAST-202605301343-2-18db90.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0240_rep024_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605301343-2-7c665c.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0552859
# Diagonal elements of inverse mass matrix:
# 0.101407, 0.0925973, 0.171789, 0.056095, 0.173457, 0.188123, 0.249119
-533.366,0.999955,0.0552859,6,63,0,537.818,-1.72127,-2.38709,-0.731068,0.0652319,4.3425,-0.496516,-1.00181,5.13881,2.02008,5.42208e-06,9.12347e-06,1.52888e-05,2.54888e-05,4.22237e-05,6.94071e-05,0.000113046,0.000182158,0.00028995,0.000455228,0.000703957,0.00107076,0.00160007,0.00234639,0.00337343,0.00475131,0.00655183,0.00884164,0.0116736,0.0150772,0.0190493,0.0235386,0.0284445,0.0336153,0.0388527,0.0439217,0.0485663,0.0525301,0.0555797,0.057528,0.0582551,0.0577217,0.0559733,0.0531337,0.0493894,0.0449682,0.040116,0.0350751,0.030066,0.0252744,0.0208431,0.0168691,0.0134047,0.0104638,0.00802848,0.00605861,0.00449998,0.00329207,0.00237405,0.00168898,0.0011864,0.000823506,0.000565316,0.000384108,0.00025852,0.00017248,0.000114155,7.49988e-05,4.89428e-05,3.1743e-05,2.0472e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.34934,-10.056,-23.6414,-13.3513,-8.38914,-11.8822,-26.2438,-17.799,-27.1422,-42.2237,-18.7521,-36.2979,-38.3028,-26.0094,-14.2774,-25.5863,-45.6339,-34.5946,-11.7398,-24.0642,-34.1198,-16.0799,-33.5026,-49.0611,-7.35593,-15.4829,-8.16455,-4.31215,-0,-9.64952,-10.2126,-0,-0,-6.04316,-6.38363,-6.73683,-0,-7.47813,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,4,1,2,7,3,6,10,6,10,8,15,4,8,15,12,12,9,14,8,9,5,9,3,1,2,2,3,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
-533.618,0.997265,0.0552859,6,63,0,534.531,-1.9573,-1.4726,-1.95728,0.087228,2.80002,-0.489521,-1.42097,4.88298,2.21627,8.86666e-06,1.49928e-05,2.51936e-05,4.20049e-05,6.93653e-05,0.000113237,0.000182391,0.000289325,0.000451265,0.000691147,0.00103846,0.00152981,0.00220906,0.00312692,0.00433986,0.00590837,0.00789446,0.0103587,0.0133565,0.0169348,0.0211283,0.0258261,0.0308803,0.036107,0.0412895,0.0461867,0.0505443,0.054112,0.0566649,0.0580281,0.0581007,0.0568742,0.0544385,0.0509729,0.0467213,0.0419585,0.036956,0.0319546,0.0271487,0.0226807,0.0186428,0.0150837,0.0120171,0.00942994,0.00729031,0.00555423,0.00417125,0.00308901,0.0022566,0.00162693,0.0011582,0.000814616,0.000566417,0.000389596,0.000265262,0.000178898,0.00011959,7.92899e-05,5.21729e-05,3.40901e-05,2.21312e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.13139,-9.68319,-22.8497,-12.9473,-8.15677,-11.5714,-25.5946,-17.3882,-26.5702,-41.4329,-18.4504,-35.8189,-37.9171,-25.8354,-14.2341,-25.6102,-45.8706,-34.9282,-11.9058,-24.5084,-34.8818,-16.4901,-34.4344,-50.4899,-7.57248,-15.9292,-8.38828,-4.42143,-0,-9.84242,-10.3864,-0,-0,-6.0939,-6.42106,-6.76088,-0,-7.47618,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,6,8,3,7,13,7,11,10,11,18,10,13,8,11,9,12,3,9,4,5,2,0,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-538.466,0.986279,0.0552859,6,127,0,540.622,-1.80516,-1.00132,-2.68168,0.387789,1.08977,-0.878327,-1.7598,5.03876,2.43095,1.31977e-05,2.32318e-05,3.99541e-05,6.70717e-05,0.000109852,0.000175532,0.000273749,0.000416988,0.000621034,0.000905447,0.00129405,0.00181546,0.00250366,0.0033986,0.00454688,0.00600249,0.00782757,0.0100932,0.0128803,0.0162803,0.0203961,0.02502,0.029942,0.0349498,0.0398307,0.0443751,0.0483822,0.0516672,0.0540712,0.0554717,0.0557934,0.0550172,0.0531862,0.0504056,0.0468356,0.0426777,0.038155,0.03349,0.0288845,0.0245036,0.0204675,0.0168505,0.0136857,0.0109737,0.00869159,0.00680223,0.00526092,0.00402077,0.0030361,0.00226443,0.0016676,0.00121215,0.00086935,0.000614984,0.000428983,0.000295003,0.000199967,0.000133599,8.79768e-05,5.71076e-05,3.65473e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.11558,-9.70021,-22.9795,-13.0562,-8.2356,-11.6772,-25.8166,-17.5425,-26.8307,-41.9005,-18.6905,-36.3435,-38.5181,-26.2571,-14.4594,-25.9749,-46.4018,-35.2075,-11.9506,-24.4889,-34.6949,-16.3305,-33.9651,-49.6223,-7.41787,-15.5557,-8.16675,-4.2914,-0,-9.4908,-9.98101,-0,-0,-5.79718,-6.09043,-6.39637,-0,-7.04777,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,5,1,1,4,5,1,6,12,10,9,9,16,6,9,12,5,14,11,10,9,5,3,9,3,3,5,4,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-540.171,0.994931,0.0552859,5,31,0,541.217,-2.03386,-0.519604,-2.82267,0.348958,1.14841,-0.826403,-1.54771,5.17451,2.44833,6.74479e-06,1.17736e-05,2.01099e-05,3.35836e-05,5.48213e-05,8.74956e-05,0.000136635,0.000209014,0.000313671,0.000462585,0.000671612,0.000961743,0.00136083,0.0019059,0.00264632,0.00364795,0.00499871,0.00681587,0.00925557,0.0125251,0.0168988,0.0220615,0.0277309,0.0336429,0.0395416,0.0451743,0.0502906,0.0546472,0.058018,0.060209,0.0610771,0.0605493,0.0586389,0.0554543,0.0511956,0.0461375,0.0405989,0.0349056,0.029353,0.0241767,0.0195371,0.0155182,0.0121381,0.00936589,0.00714019,0.00538487,0.00402113,0.00297497,0.00218123,0.00158491,0.00114106,0.000813669,0.000574416,0.000401257,0.000277214,0.000189323,0.000127765,8.51729e-05,5.60767e-05,3.64592e-05,2.34083e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.61359,-10.5972,-24.9425,-14.0476,-8.76004,-12.2415,-26.6974,-17.926,-27.1356,-41.9952,-18.5834,-35.8792,-37.7891,-25.623,-14.0497,-25.1606,-44.8688,-34.0363,-11.5688,-23.7768,-33.8374,-16.0201,-33.5511,-49.397,-7.44473,-15.7418,-8.33149,-4.41141,-0,-9.88403,-10.4483,-0,-0,-6.12787,-6.44722,-6.7758,-0,-7.46216,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,11,9,3,8,4,14,7,9,12,17,10,16,15,11,5,11,5,4,3,7,3,2,2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-538.135,0.987931,0.0552859,5,31,0,541.445,-2.25255,-1.51621,-2.89671,0.380449,1.26942,-0.665577,-1.63087,4.92577,2.27751,7.47619e-06,1.40489e-05,2.58539e-05,4.64803e-05,8.1463e-05,0.000138966,0.000230505,0.000371633,0.000582505,0.000888247,0.00131908,0.00191017,0.00270116,0.00373543,0.0050591,0.00671977,0.00876519,0.0112418,0.0141934,0.0176598,0.0216761,0.0261006,0.0307748,0.0355251,0.0401661,0.0445049,0.0483481,0.0515106,0.0538271,0.0551643,0.0554356,0.0546126,0.0527342,0.0499072,0.0462987,0.042119,0.0375973,0.0329566,0.0283922,0.0240587,0.0200651,0.0164778,0.0133271,0.0106156,0.00832641,0.00642889,0.00488445,0.00365022,0.00268209,0.00193701,0.00137459,0.000958349,0.000656382,0.000441669,0.000292027,0.000189786,0.000121284,7.6254e-05,4.71958e-05,2.87752e-05,1.72952e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.0027,-9.47393,-22.4406,-12.7649,-8.07293,-11.4946,-25.5206,-17.4053,-26.7001,-41.7915,-18.6729,-36.3519,-38.5576,-26.2978,-14.4872,-26.0328,-46.5198,-35.3099,-11.9904,-24.5811,-34.8398,-16.4041,-34.1256,-49.863,-7.45451,-15.6351,-8.21148,-4.31796,-0,-9.57665,-10.0939,-0,-0,-5.92116,-6.24661,-6.5896,-0,-7.32877,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,2,6,3,5,9,10,7,9,12,3,10,6,15,7,11,12,9,7,8,9,5,5,6,4,4,1,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-536.75,0.9867,0.0552859,6,127,0,540.932,-1.09436,-0.261861,-1.27294,0.328992,2.37176,-1.24395,-1.17016,5.06816,2.47943,1.27012e-05,2.07933e-05,3.34479e-05,5.28621e-05,8.20955e-05,0.000125337,0.000188244,0.000278377,0.000405779,0.000583748,0.00082988,0.00116746,0.00162734,0.00225032,0.00309014,0.00421715,0.00572236,0.00772171,0.01036,0.0138139,0.0182925,0.0235707,0.0293839,0.0354364,0.0414124,0.0469919,0.0518693,0.0557745,0.0584933,0.0598848,0.059894,0.0585559,0.055991,0.0523917,0.0480017,0.0430904,0.0379274,0.0327595,0.027793,0.0231839,0.0190351,0.0154001,0.0122905,0.00968615,0.00754573,0.0058157,0.00443795,0.00335513,0.0025141,0.00186786,0.00137616,0.00100551,0.000728597,0.000523503,0.000372919,0.000263324,0.000184273,0.000127774,8.7772e-05,5.97225e-05,4.02474e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.4686,-10.3267,-24.3186,-13.7094,-8.56415,-12.0038,-26.2343,-17.6365,-26.7201,-41.3943,-18.3467,-35.5083,-37.5237,-25.5496,-14.0767,-25.3366,-45.4044,-34.5908,-11.796,-24.2922,-34.589,-16.3604,-34.1856,-50.1616,-7.5286,-15.8459,-8.34676,-4.39893,-0,-9.77355,-10.2944,-0,-0,-5.98584,-6.28296,-6.58846,-0,-7.22439,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,3,3,6,9,1,5,11,9,11,7,14,11,8,15,9,13,13,9,4,8,3,7,6,2,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
