# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 12:55:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c233273dae.json
# init = /tmp/RtmpC8O1hA/init-b41c223ded2b_2.json
# random
#   seed = 2552002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0241_rep025_accurate_weak/prior_sensitivity_obspair_FAST-202605301355-2-6aa659.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0241_rep025_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605301355-2-61cf16.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0744146
# Diagonal elements of inverse mass matrix:
# 0.105721, 0.0653278, 0.13904, 0.0629654, 0.211271, 0.101402, 0.141044
-551.015,0.993641,0.0744146,6,63,0,554.348,-1.89064,-2.493,-0.344036,-0.445952,3.79595,-0.465479,-0.551469,5.3723,2.41677,4.79298e-05,6.59838e-05,9.08244e-05,0.000124991,0.000171963,0.000236498,0.000325085,0.000446544,0.000612798,0.000839856,0.00114899,0.00156809,0.00213299,0.00288857,0.00388905,0.00519701,0.00688022,0.00900605,0.011633,0.0148001,0.0185155,0.0227407,0.0273835,0.0322954,0.0372746,0.0420791,0.0464472,0.0501241,0.0528903,0.0545865,0.0551302,0.0545221,0.0528404,0.0502278,0.0468711,0.0429807,0.0387693,0.034435,0.0301486,0.0260462,0.0222272,0.0187553,0.0156634,0.0129589,0.0106301,0.00865263,0.00699378,0.00561718,0.00448568,0.0035635,0.00281758,0.00221825,0.0017396,0.00135937,0.00105878,0.000822175,0.00063666,0.000491715,0.000378829,0.000291167,0.000223275,-0,-0,-0,-0,-0,-0,-8.03142,-0,-0,-0,-6.76887,-0,-6.15023,-5.84699,-0,-10.5193,-9.95821,-4.70986,-13.3617,-8.42624,-19.9457,-22.7016,-7.19563,-20.597,-26.3155,-38.0184,-21.4861,-47.892,-17.6372,-29.0797,-40.5728,-32.0006,-26.4643,-17.9471,-27.5432,-31.47,-26.001,-23.5808,-31.5146,-14.5915,-15.2258,-19.8814,-4.15643,-4.34598,-13.6322,-0,-0,-10.3639,-0,-11.274,-11.7438,-6.11104,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,3,1,5,5,2,11,10,7,7,13,17,11,11,9,10,7,9,9,7,2,6,6,3,3,2,5,1,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0
-551.988,0.972595,0.0744146,6,63,0,554.813,-2.35752,-3.109,-1.92067,-0.34438,4.44986,0.907424,-1.64551,5.32839,2.24769,3.11604e-05,4.4421e-05,6.33311e-05,9.03041e-05,0.000128791,0.000183733,0.000262213,0.000374401,0.000534858,0.000764148,0.00109018,0.00154839,0.00218099,0.00303614,0.00416697,0.00562973,0.00748055,0.00976997,0.0125346,0.0157861,0.0195012,0.0236025,0.027974,0.0324725,0.0369399,0.0412112,0.045119,0.0484955,0.0511764,0.0530074,0.0538604,0.0536685,0.0524592,0.0503393,0.0474549,0.0439677,0.0400428,0.035844,0.0315306,0.0272552,0.0231582,0.0193592,0.0159449,0.0129618,0.0104181,0.00829256,0.00654556,0.00512913,0.00399367,0.00309211,0.00238209,0.00182687,0.00139537,0.00106186,0.00080533,0.000608881,0.000459031,0.000345135,0.000258847,0.000193672,0.000144577,-0,-0,-0,-0,-0,-0,-8.24635,-0,-0,-0,-6.82141,-0,-6.12798,-5.79717,-0,-10.3594,-9.7909,-4.62844,-13.1378,-8.29725,-19.6864,-22.4784,-7.15296,-20.5642,-26.3877,-38.2685,-21.6892,-48.4206,-17.8349,-29.3732,-40.899,-32.1742,-26.5295,-17.9338,-27.4318,-31.243,-25.7425,-23.3001,-31.1112,-14.41,-15.0616,-19.7229,-4.13862,-4.34575,-13.6926,-0,-0,-10.5456,-0,-11.5578,-12.0796,-6.30515,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,4,2,4,6,4,9,4,10,12,9,6,9,7,11,12,8,6,12,10,6,4,9,6,2,1,5,4,2,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-551.374,0.995972,0.0744146,6,63,0,552.742,-1.27284,-1.35184,-0.826905,-0.210921,2.99473,-0.991311,-0.57571,5.26785,2.57695,5.09241e-05,7.41188e-05,0.000107355,0.000154651,0.000221437,0.000314963,0.000444755,0.000623153,0.000865874,0.0011926,0.00162753,0.00219984,0.00294393,0.00389932,0.00511018,0.00662403,0.00848982,0.0107549,0.0134614,0.0166412,0.0203112,0.0243915,0.028759,0.0332514,0.0376764,0.0418252,0.0454897,0.0484808,0.0506463,0.0518844,0.052152,0.051466,0.0498983,0.0475652,0.0446135,0.0412055,0.0375051,0.0336665,0.0298255,0.0260946,0.0225611,0.019287,0.0163118,0.0136547,0.0113191,0.00929548,0.00756551,0.00610487,0.00488587,0.00387959,0.0030574,0.0023921,0.00185867,0.00143468,0.00110043,0.000838972,0.000635965,0.000479438,0.000359546,0.000268287,0.000199235,-0,-0,-0,-0,-0,-0,-7.71799,-0,-0,-0,-6.42069,-0,-5.82801,-5.54695,-0,-10.0341,-9.53778,-4.53239,-12.9238,-8.19175,-19.4829,-22.2811,-7.09761,-20.4219,-26.2298,-38.0911,-21.6319,-48.4254,-17.8973,-29.5874,-41.3503,-32.6352,-26.9799,-18.2739,-27.9875,-31.8918,-26.2662,-23.7388,-31.6115,-14.5841,-15.1661,-19.7416,-4.11587,-4.29367,-13.4438,-0,-0,-10.1973,-0,-11.1041,-11.5804,-6.03559,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,4,5,8,5,3,8,9,13,6,4,9,8,9,10,15,13,9,9,12,7,6,5,2,2,5,0,1,1,1,2,1,0,2,0,0,0,1,0,0,0,0,0
-550.375,0.999886,0.0744146,6,63,0,553.37,-2.26397,-2.43736,-1.89521,-0.607428,3.06956,0.429351,-0.915592,5.11601,2.67556,0.000111588,0.000146609,0.000192657,0.000253227,0.000332944,0.000437933,0.000576325,0.000758942,0.00100021,0.00131937,0.00174192,0.00230113,0.00303911,0.00400655,0.00526082,0.00686245,0.0088702,0.0113349,0.0142923,0.017755,0.0217067,0.0260525,0.0306555,0.0353402,0.0399005,0.0441093,0.0477319,0.0505462,0.0523719,0.0531058,0.0527407,0.0513556,0.04909,0.0461181,0.0426296,0.0388153,0.0348541,0.030903,0.027089,0.0235059,0.0202147,0.0172478,0.0146145,0.0123077,0.010309,0.00859319,0.00713202,0.00589622,0.00485732,0.00398857,0.00326551,0.00266625,0.00217145,0.00176432,0.00143034,0.00115716,0.000934264,0.000752837,0.000605479,0.000486032,0.000389386,-0,-0,-0,-0,-0,-0,-7.45884,-0,-0,-0,-6.35277,-0,-5.79619,-5.51983,-0,-9.96338,-9.45012,-4.47987,-12.7441,-8.06217,-19.1507,-21.8858,-6.96989,-20.0564,-25.7709,-37.453,-21.2951,-47.7579,-17.6963,-29.3547,-41.1932,-32.6588,-27.1269,-18.4593,-28.3969,-32.4894,-26.8527,-24.3383,-32.4776,-15.002,-15.6054,-20.3004,-4.22574,-4.39753,-13.7242,-0,-0,-10.2669,-0,-11.0486,-11.4487,-5.92708,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,3,0,2,1,0,5,4,4,3,9,3,12,12,12,15,8,5,15,7,9,12,6,6,7,6,5,4,4,3,1,3,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
-550.744,0.99849,0.0744146,5,63,0,553.207,-2.27513,-2.51472,-1.98383,-0.628237,3.00058,0.461849,-1.08658,5.12603,2.71959,0.00012571,0.000164233,0.000214594,0.000280459,0.00036664,0.000479475,0.000627321,0.000821229,0.00107583,0.00141049,0.00185073,0.0024297,0.00318912,0.00417899,0.00545548,0.00707725,0.00910057,0.0115732,0.0145275,0.0179728,0.0218898,0.0261814,0.03071,0.0353022,0.0397559,0.0438503,0.0473587,0.0500676,0.0518068,0.0524825,0.0520938,0.050721,0.0485003,0.0455995,0.0422009,0.0384876,0.0346314,0.0307826,0.0270628,0.0235615,0.0203375,0.017422,0.0148252,0.0125412,0.0105536,0.00883941,0.00737253,0.0061257,0.00507212,0.00418648,0.00344545,0.00282799,0.0023154,0.00189132,0.00154152,0.00125381,0.00101777,0.000824558,0.000666752,0.000538116,0.00043345,-0,-0,-0,-0,-0,-0,-7.37405,-0,-0,-0,-6.29217,-0,-5.74801,-5.47768,-0,-9.90174,-9.39884,-4.45906,-12.6951,-8.03779,-19.1087,-21.8562,-6.96633,-20.0629,-25.8,-37.5237,-21.35,-47.9101,-17.7614,-29.4728,-41.3659,-32.7956,-27.2357,-18.5272,-28.4878,-32.5742,-26.9039,-24.3656,-32.4864,-14.9926,-15.5812,-20.2501,-4.21142,-4.37873,-13.6539,-0,-0,-10.1905,-0,-10.9518,-11.3414,-5.86819,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,3,1,3,3,3,7,7,11,5,6,12,9,9,10,13,9,9,11,10,5,3,10,11,3,4,2,3,4,0,1,0,2,0,1,0,1,2,0,0,0,0,0,0,1,0
-552.61,0.998436,0.0744146,5,47,0,553.721,-1.67587,-1.19571,-1.00261,-0.0973016,3.83262,-0.9068,-0.903424,5.6749,2.52219,2.06758e-05,3.12463e-05,4.69139e-05,6.99372e-05,0.000103463,0.000151821,0.000220904,0.000318634,0.000455554,0.000645533,0.000906615,0.00126197,0.00174089,0.00237975,0.00322269,0.0043218,0.00573657,0.00753213,0.00977629,0.0125351,0.0158671,0.0197467,0.0241051,0.0288267,0.0337489,0.0386679,0.0433506,0.0475517,0.0510353,0.0535988,0.0550941,0.0554436,0.0546488,0.0527875,0.0500025,0.0464834,0.0424441,0.0381016,0.0336568,0.0292824,0.025115,0.021253,0.0177588,0.0146634,0.0119723,0.00967181,0.00773514,0.0061274,0.00480979,0.00374278,0.00288828,0.00221109,0.00167969,0.00126657,0.000948254,0.000705064,0.000520773,0.000382197,0.000278771,0.000202129,0.00014572,-0,-0,-0,-0,-0,-0,-8.41778,-0,-0,-0,-7.00579,-0,-6.35336,-6.04076,-0,-10.8882,-10.3218,-4.88858,-13.8834,-8.75844,-20.7175,-23.5486,-7.45066,-21.2787,-27.1105,-39.0329,-21.969,-48.735,-17.8514,-29.2623,-40.582,-31.8163,-26.1614,-17.6489,-26.9611,-30.6866,-25.2765,-22.8725,-30.5239,-14.1231,-14.7372,-19.2563,-4.03088,-4.2224,-13.2755,-0,-0,-10.19,-0,-11.1759,-11.6942,-6.11427,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6,2,4,5,6,8,9,8,6,6,15,5,9,12,11,7,11,11,4,14,4,6,3,7,2,2,2,2,1,0,1,1,2,1,1,1,0,0,0,0,0,0
