# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:04:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c236d6e109.json
# init = /tmp/RtmpC8O1hA/init-b41c271299db7_2.json
# random
#   seed = 2552003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0242_rep025_accurate_moderate/prior_sensitivity_obspair_FAST-202605301404-2-81989f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0242_rep025_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605301404-2-23028a.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.158063
# Diagonal elements of inverse mass matrix:
# 0.0724773, 0.056765, 0.0405438, 0.0067302, 0.0455179, 0.0252313, 0.0228771
-552.102,0.977954,0.158063,4,15,0,554.645,-1.53551,-2.70038,-1.39042,-0.186079,4.15609,-0.0292659,-1.45177,4.97113,2.13692,2.11822e-05,3.20686e-05,4.85355e-05,7.34213e-05,0.000110973,0.0001675,0.000252255,0.000378576,0.000565194,0.000837547,0.00122878,0.00178009,0.00254016,0.00356349,0.00490736,0.0066277,0.00877356,0.0113808,0.0144653,0.0180172,0.0219967,0.026316,0.0308529,0.035455,0.0399472,0.044141,0.0478455,0.0508794,0.0530838,0.0543364,0.0545652,0.0537589,0.0519711,0.0493126,0.045937,0.0420231,0.0377584,0.0333269,0.0288986,0.024622,0.0206177,0.0169746,0.0137483,0.0109628,0.00861421,0.0066772,0.00511153,0.00386894,0.00289878,0.00215226,0.00158514,0.00115912,0.000842233,0.000608533,0.000437475,0.000313092,0.000223173,0.0001585,0.000112197,7.91806e-05,5.57241e-05,-0,-0,-0,-0,-0,-0,-8.28507,-0,-0,-0,-6.70174,-0,-5.97553,-5.63702,-0,-10.033,-9.47203,-4.47583,-12.708,-8.03285,-19.0843,-21.8255,-6.95705,-20.0369,-25.7616,-37.4444,-21.2784,-47.6528,-17.6153,-29.1256,-40.717,-32.1557,-26.6136,-18.0575,-27.7244,-31.6954,-26.2124,-23.8097,-31.8957,-14.8165,-15.5264,-20.3802,-4.28684,-4.51325,-14.263,-0,-0,-11.1095,-0,-12.2825,-12.8942,-6.76009,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,2,2,5,5,1,5,3,10,10,8,8,12,9,16,11,9,11,13,4,9,8,4,7,2,5,5,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-552.131,0.978877,0.158063,5,31,0,554.181,-2.29512,-2.7613,-1.20336,-0.250416,3.11673,-0.20008,-1.37266,4.88943,2.21917,2.45897e-05,3.62707e-05,5.34854e-05,7.88367e-05,0.000116129,0.000170898,0.000251141,0.000368293,0.000538479,0.000783995,0.00113487,0.00163023,0.00231904,0.00325962,0.00451764,0.00616207,0.00825917,0.0108648,0.0140155,0.0177198,0.021951,0.0266219,0.0315962,0.0366915,0.0416861,0.0463332,0.050378,0.0535817,0.0557467,0.0567413,0.0565168,0.055112,0.0526442,0.0492906,0.0452657,0.0407991,0.0361158,0.0314205,0.026886,0.0226461,0.0187932,0.0153802,0.0124252,0.00991894,0.00783205,0.00612284,0.00474347,0.0036448,0.00277989,0.00210604,0.00158588,0.00118765,0.000884997,0.000656487,0.000484969,0.00035691,0.000261752,0.000191349,0.000139464,0.000101363,7.34762e-05,-0,-0,-0,-0,-0,-0,-8.2895,-0,-0,-0,-6.78124,-0,-6.0666,-5.72614,-0,-10.1787,-9.59286,-4.52223,-12.8028,-8.06614,-19.0947,-21.7561,-6.90944,-19.8313,-25.4207,-36.8628,-20.9174,-46.8248,-17.3216,-28.6925,-40.225,-31.8823,-26.4978,-18.0601,-27.8568,-31.991,-26.5682,-24.2221,-32.5454,-15.1511,-15.897,-20.8734,-4.38803,-4.61331,-14.5486,-0,-0,-11.2289,-0,-12.3259,-12.8932,-6.73578,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,5,4,7,2,5,8,8,10,10,9,15,8,11,13,16,5,9,9,4,6,5,2,9,1,1,3,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-552.545,0.996706,0.158063,5,31,0,555.235,-1.42307,-2.23727,-1.91585,-0.555458,3.60673,-0.0643547,-0.72289,5.22083,2.67215,0.000120834,0.000161156,0.000214987,0.000286874,0.000382896,0.00051115,0.000682368,0.00091063,0.00121412,0.00161579,0.00214369,0.00283081,0.00371421,0.00483342,0.00622823,0.00793596,0.00998839,0.0124086,0.0152079,0.0183836,0.021917,0.0257119,0.0296513,0.0336014,0.0374155,0.0409403,0.0440231,0.0465215,0.0483139,0.049312,0.0494715,0.0487999,0.0473548,0.0452352,0.0425674,0.0394903,0.0361431,0.0326568,0.0291484,0.0257171,0.022443,0.0193858,0.0165858,0.0140655,0.0118321,0.00988014,0.00819536,0.00675711,0.0055412,0.00452206,0.00367426,0.00297368,0.00239813,0.00192773,0.00154502,0.00123493,0.000984584,0.000783126,0.000621483,0.000492127,0.000388856,-0,-0,-0,-0,-0,-0,-7.28994,-0,-0,-0,-6.14523,-0,-5.59559,-5.3322,-0,-9.6727,-9.21266,-4.38937,-12.5578,-7.9926,-19.1025,-21.9648,-7.0365,-20.3591,-26.2854,-38.3477,-21.8613,-49.0855,-18.1802,-30.0959,-42.089,-33.2203,-27.4508,-18.5753,-28.41,-32.317,-26.5622,-23.9519,-31.8182,-14.6424,-15.1871,-19.7161,-4.09921,-4.26403,-13.3108,-0,-0,-9.99432,-0,-10.7976,-11.2128,-5.81796,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,2,0,6,2,4,6,6,9,13,10,6,15,6,9,9,9,9,9,3,15,6,4,7,6,4,3,3,1,0,1,1,2,1,1,2,0,0,1,0,0,0,0,1,0,0
-549.748,0.999746,0.158063,5,31,0,553.502,-2.10105,-2.75231,-1.22705,-0.404277,3.65338,-0.0780619,-1.14863,5.26544,2.38836,4.84625e-05,6.76754e-05,9.45075e-05,0.000131978,0.000184293,0.000257305,0.000359116,0.000500873,0.000697751,0.000970076,0.00134446,0.00185472,0.00254215,0.00345504,0.00464677,0.00617271,0.00808551,0.0104292,0.0132322,0.0165011,0.0202141,0.0243054,0.0286714,0.0331733,0.0376417,0.041886,0.0457056,0.0489051,0.0513112,0.0527915,0.0532701,0.0527362,0.0512432,0.0488987,0.0458495,0.0422666,0.0383302,0.0342166,0.0300872,0.0260799,0.0223038,0.0188362,0.0157243,0.0129877,0.0106244,0.00861556,0.00693192,0.00553813,0.00439669,0.00347077,0.00272589,0.00213106,0.00165912,0.00128682,0.000994632,0.000766361,0.000588759,0.000451089,0.000344731,0.000262816,0.000199902,-0,-0,-0,-0,-0,-0,-7.93187,-0,-0,-0,-6.61176,-0,-5.97474,-5.66792,-0,-10.1752,-9.63536,-4.56315,-12.9753,-8.20865,-19.5069,-22.3023,-7.10371,-20.4361,-26.2371,-38.0736,-21.5987,-48.286,-17.8191,-29.414,-41.0533,-32.367,-26.7405,-18.108,-27.7415,-31.6376,-26.0921,-23.6253,-31.5329,-14.5864,-15.212,-19.8599,-4.15255,-4.34375,-13.6338,-0,-0,-10.3922,-0,-11.3268,-11.8099,-6.15114,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,4,7,8,6,7,6,7,8,11,17,12,12,10,10,6,11,10,7,6,5,4,2,4,3,2,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0
-553.285,0.977275,0.158063,4,15,0,554.551,-1.52968,-3.38276,-1.35193,-0.262017,4.19474,0.172448,-0.575673,4.91267,2.14547,2.83474e-05,4.16558e-05,6.12135e-05,8.99533e-05,0.000132175,0.000194167,0.000285068,0.000418019,0.000611572,0.000891176,0.00129039,0.00185136,0.00262427,0.00366561,0.00503514,0.00679149,0.00898617,0.0116564,0.0148175,0.0184552,0.0225214,0.0269195,0.031517,0.0361517,0.040641,0.0447924,0.0484151,0.0513317,0.0533902,0.0544774,0.0545326,0.053557,0.0516156,0.0488278,0.0453508,0.0413638,0.0370535,0.0326028,0.0281814,0.0239369,0.0199879,0.0164197,0.013282,0.0105915,0.00833669,0.00648566,0.00499352,0.00380967,0.00288326,0.00216683,0.0016184,0.00120222,0.000888782,0.000654256,0.000479775,0.000350614,0.000255425,0.000185547,0.000134432,9.71596e-05,7.00591e-05,-0,-0,-0,-0,-0,-0,-8.16278,-0,-0,-0,-6.65281,-0,-5.94295,-5.60876,-0,-9.98417,-9.42414,-4.4519,-12.6358,-7.98481,-18.9664,-21.6894,-6.91446,-19.9202,-25.6238,-37.2686,-21.1956,-47.5112,-17.5808,-29.0997,-40.7254,-32.1971,-26.6754,-18.1167,-27.8399,-31.8535,-26.3631,-23.9635,-32.1218,-14.9293,-15.6505,-20.5464,-4.32134,-4.54771,-14.3613,-0,-0,-11.1404,-0,-12.269,-12.8526,-6.72358,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,6,4,5,4,8,7,6,2,13,12,12,13,10,16,10,10,11,7,7,6,6,4,2,2,1,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-555.024,0.996034,0.158063,5,31,0,557.951,-3.30311,-1.48084,-0.906004,-0.580007,3.05087,-0.169102,-1.63047,5.65231,2.74373,4.51756e-05,5.98748e-05,7.9399e-05,0.000105362,0.000139938,0.00018607,0.00024776,0.000330489,0.000441801,0.000592142,0.000796032,0.00107364,0.00145285,0.00197156,0.00268013,0.00364306,0.00493915,0.00665919,0.00890039,0.0117571,0.015308,0.0195677,0.0244856,0.0299301,0.0356796,0.0414274,0.0468056,0.0514301,0.0549577,0.0571433,0.057875,0.0571803,0.0552061,0.0521819,0.0483799,0.0440785,0.0395347,0.0349664,0.0305439,0.026389,0.0225794,0.0191556,0.0161292,0.0134913,0.0112189,0.009281,0.0076424,0.00626712,0.00512024,0.00416919,0.00338442,0.00273971,0.00221211,0.00178187,0.00143211,0.00114859,0.00091934,0.00073439,0.000585482,0.000465809,0.000369789,-0,-0,-0,-0,-0,-0,-8.30305,-0,-0,-0,-7.13587,-0,-6.53423,-6.22893,-0,-11.2299,-10.6211,-5.01176,-14.165,-8.8866,-20.8969,-23.6033,-7.41934,-21.0533,-26.6654,-38.2058,-21.4323,-47.4805,-17.4071,-28.6219,-39.8926,-31.477,-26.0701,-17.7181,-27.258,-31.2178,-25.8446,-23.4736,-31.3973,-14.5392,-15.1629,-19.7758,-4.12712,-4.30571,-13.4705,-0,-0,-10.1449,-0,-10.9601,-11.3771,-5.8999,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,3,5,2,6,6,3,6,9,8,11,9,18,10,7,9,7,10,7,6,7,6,5,4,6,4,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
