# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:14:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2339a7197.json
# init = /tmp/RtmpC8O1hA/init-b41c21b73dffd_1.json
# random
#   seed = 2552005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0244_rep025_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301414-1-78e41c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0244_rep025_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301414-1-1912c8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0630749
# Diagonal elements of inverse mass matrix:
# 0.112258, 0.0774331, 0.0889592, 0.0208462, 0.119848, 0.126083, 0.235017
-551.771,0.998028,0.0630749,5,31,0,552.607,-1.11982,-1.49576,-2.36403,-0.485901,4.67696,0.469947,-0.30572,5.19745,2.58228,6.31548e-05,8.61347e-05,0.000117591,0.000160746,0.000220114,0.000302064,0.000415585,0.00057327,0.000792293,0.001095,0.00150885,0.00206595,0.00280252,0.00375866,0.00497816,0.00650842,0.00840039,0.0107088,0.0134931,0.0168208,0.0207749,0.0250997,0.0295961,0.0340939,0.0384379,0.0424818,0.0460832,0.0491003,0.0513909,0.0528151,0.0532486,0.0526118,0.0509139,0.0482823,0.0449396,0.0411381,0.0371054,0.0330224,0.0290238,0.0252064,0.0216383,0.0183654,0.0154163,0.0128046,0.0105306,0.00858267,0.00693901,0.00557082,0.00444528,0.00352863,0.00278838,0.00219479,0.00172164,0.00134637,0.00105003,0.000816875,0.000634035,0.000491059,0.000379534,0.000292731,0.000225295,-0,-0,-0,-0,-0,-0,-7.78582,-0,-0,-0,-6.4964,-0,-5.87724,-5.58369,-0,-10.0693,-9.55895,-4.53669,-12.9167,-8.17028,-19.37,-22.1094,-7.04022,-20.2718,-26.0697,-37.9042,-21.5412,-48.2222,-17.8098,-29.4096,-41.059,-32.393,-26.7986,-18.1841,-27.9219,-31.9082,-26.3519,-23.874,-31.8568,-14.7226,-15.3332,-19.9864,-4.17233,-4.35795,-13.6604,-0,-0,-10.3804,-0,-11.2937,-11.7646,-6.12167,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,2,8,2,6,13,7,7,12,6,16,14,5,10,11,9,16,4,3,5,4,11,2,4,3,5,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-558.769,0.983674,0.0630749,6,63,0,560.986,-5.07748,-3.26672,-1.88495,-0.519878,2.74871,0.754962,-1.94281,4.85936,2.50924,7.28481e-05,9.80803e-05,0.000132058,0.000177815,0.000239443,0.000322463,0.000434324,0.000585089,0.000788367,0.00106258,0.00143265,0.00193222,0.00260617,0.00351249,0.00472198,0.00631481,0.00837463,0.01098,0.0141924,0.0180412,0.0225088,0.0274862,0.0327976,0.0382092,0.0434428,0.0481926,0.052144,0.0550094,0.0565877,0.0568109,0.055736,0.0535087,0.050334,0.0464533,0.0421224,0.0375878,0.0330641,0.0287192,0.0246701,0.0209869,0.0177016,0.0148182,0.0123215,0.010184,0.00837208,0.00684898,0.00557817,0.00452481,0.00365679,0.00294522,0.00236467,0.00189302,0.00151134,0.00120357,0.000956189,0.000757947,0.000599515,0.000473217,0.00037277,0.000293054,0.000229918,-0,-0,-0,-0,-0,-0,-7.74172,-0,-0,-0,-6.54823,-0,-5.94987,-5.65143,-0,-10.1297,-9.5651,-4.51168,-12.7651,-8.03019,-18.9692,-21.5644,-6.8348,-19.5881,-25.0905,-36.3906,-20.6762,-46.404,-17.2318,-28.6803,-40.4198,-32.207,-26.9017,-18.4159,-28.5046,-32.8108,-27.2745,-24.8513,-33.3195,-15.4554,-16.1364,-21.0595,-4.39641,-4.58693,-14.3486,-0,-0,-10.7964,-0,-11.6551,-12.0942,-6.26958,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,3,2,2,6,8,8,4,7,11,8,14,12,11,13,11,10,9,7,5,10,4,1,5,2,5,2,3,1,1,3,1,0,1,2,0,0,0,0,0,2,0,0,0,0
-556.505,0.997278,0.0630749,5,63,0,562.373,-4.46446,-2.38348,-0.634179,-0.519387,3.48133,0.305503,-0.742187,5.68367,2.49417,3.19752e-05,4.30797e-05,5.80535e-05,7.82555e-05,0.00010553,0.000142389,0.00019226,0.000259852,0.000351656,0.000476693,0.00064757,0.000882007,0.00120492,0.0016511,0.00226821,0.00311966,0.00428635,0.00586575,0.00796651,0.0106964,0.0141435,0.018349,0.0232838,0.0288305,0.034776,0.040819,0.0465909,0.051692,0.0557441,0.0584505,0.0596406,0.0592867,0.0574934,0.0544716,0.0505043,0.0459061,0.0409856,0.0360135,0.0312042,0.026709,0.0226207,0.0189833,0.0158045,0.0130667,0.0107375,0.00877586,0.00713818,0.00578109,0.0046638,0.00374915,0.00300416,0.00240008,0.00191223,0.00151968,0.00120485,0.0009531,0.000752346,0.00059265,0.000465903,0.000365517,0.000286166,-0,-0,-0,-0,-0,-0,-8.55666,-0,-0,-0,-7.34228,-0,-6.72134,-6.40631,-0,-11.5401,-10.9046,-5.13862,-14.4975,-9.07569,-21.2925,-23.9891,-7.51999,-21.2779,-26.8706,-38.3833,-21.4645,-47.3992,-17.3219,-28.3958,-39.4719,-31.0791,-25.7048,-17.4605,-26.8713,-30.8116,-25.5563,-23.267,-31.2048,-14.491,-15.1556,-19.821,-4.14746,-4.33769,-13.602,-0,-0,-10.3063,-0,-11.1724,-11.6155,-6.03225,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,2,3,1,6,6,4,11,9,14,9,15,9,6,6,12,16,9,12,3,10,6,1,6,3,1,3,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
-552.321,0.999995,0.0630749,6,63,0,557.99,-2.3104,-3.20529,-1.6453,-0.227232,2.45808,-0.536296,-1.28965,5.03941,2.42508,4.16804e-05,6.16834e-05,9.1101e-05,0.000134194,0.000197005,0.000287976,0.0004187,0.000604751,0.000866514,0.00122987,0.00172655,0.00239393,0.00327407,0.00441194,0.0058527,0.00763828,0.00980343,0.0123716,0.015351,0.0187315,0.0224827,0.0265149,0.0307104,0.0349267,0.0390022,0.0427651,0.0460438,0.0486803,0.0505434,0.0515415,0.0516316,0.0508231,0.0491763,0.046794,0.0438099,0.0403754,0.0366468,0.0327743,0.0288939,0.0251217,0.0215504,0.0182482,0.0152599,0.0126085,0.0102988,0.0083207,0.00665311,0.00526786,0.00413277,0.00321439,0.00248002,0.00189911,0.00144417,0.00109113,0.000819472,0.000612047,0.000454786,0.00033633,0.000247634,0.000181583,0.000132641,-0,-0,-0,-0,-0,-0,-7.77835,-0,-0,-0,-6.36163,-0,-5.72172,-5.42344,-0,-9.74917,-9.25005,-4.39235,-12.5297,-7.95509,-18.975,-21.7803,-6.96631,-20.127,-25.9531,-37.8244,-21.5471,-48.3597,-17.9095,-29.6537,-41.4907,-32.7734,-27.1111,-18.372,-28.1511,-32.0953,-26.4514,-23.9268,-31.8971,-14.7361,-15.3495,-20.0185,-4.18253,-4.37338,-13.7272,-0,-0,-10.4923,-0,-11.4802,-11.999,-6.26637,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0,0,2,6,2,6,6,7,10,14,6,12,7,9,8,10,9,11,10,7,7,7,6,8,3,5,5,2,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-553.082,0.993564,0.0630749,6,63,0,557.02,-1.04343,-0.946323,-2.21184,-0.0567652,4.49935,-0.402471,-0.895103,5.37771,2.54979,1.67089e-05,2.61088e-05,4.0507e-05,6.23215e-05,9.49732e-05,0.000143211,0.000213507,0.000314541,0.000457766,0.000658096,0.000934705,0.00131197,0.00182055,0.00249871,0.00339372,0.00456366,0.00607936,0.00802686,0.0105102,0.0136547,0.0176113,0.0221338,0.0270024,0.0320159,0.0369856,0.0417306,0.0460752,0.0498482,0.0528865,0.0550404,0.0561844,0.0562312,0.0551476,0.0529688,0.0498071,0.0458475,0.0413295,0.0365172,0.0316639,0.0269842,0.0226365,0.0187202,0.015282,0.0123278,0.00983546,0.0077657,0.00607068,0.00469999,0.00360453,0.00273874,0.00206183,0.00153815,0.0011372,0.000833377,0.000605472,0.000436216,0.000311738,0.000221057,0.000155597,0.000108754,7.5508e-05,-0,-0,-0,-0,-0,-0,-8.45184,-0,-0,-0,-6.97528,-0,-6.30861,-5.99198,-0,-10.7793,-10.2057,-4.82496,-13.6662,-8.58735,-20.1961,-22.8639,-7.22366,-20.6491,-26.3778,-38.1182,-21.5424,-47.9804,-17.6376,-28.9969,-40.3076,-31.6611,-26.0797,-17.6283,-26.9964,-30.8244,-25.4894,-23.1698,-31.0732,-14.45,-15.1528,-19.8908,-4.18108,-4.3959,-13.8653,-0,-0,-10.7204,-0,-11.8005,-12.3683,-6.47718,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,2,4,2,5,4,4,8,12,6,5,9,13,11,8,8,14,10,11,6,3,9,6,7,4,3,5,3,3,3,2,0,1,2,0,0,1,0,0,0,0,0,0,0
-552.777,1,0.0630749,6,63,0,554.451,-0.815454,-1.80054,-2.06979,-0.123318,4.8649,0.00049933,0.0927672,5.08148,2.4381,2.86624e-05,4.44869e-05,6.89329e-05,0.000106523,0.000163907,0.000250583,0.000379586,0.000567997,0.000837111,0.00121226,0.0017224,0.00239958,0.0032784,0.00439547,0.00578884,0.00749739,0.00956053,0.0120189,0.0149183,0.0183218,0.0223484,0.0265588,0.0307723,0.0348595,0.0387091,0.0422175,0.045284,0.0478097,0.0496983,0.0508595,0.0512159,0.0507161,0.0493512,0.047172,0.0442963,0.0408966,0.0371695,0.0333006,0.0294426,0.0257082,0.0221745,0.0188921,0.0158922,0.0131929,0.0108021,0.00871927,0.00693627,0.00543764,0.00420163,0.00320146,0.00240714,0.00178757,0.00131241,0.000953618,0.000686497,0.000490115,0.00034734,0.000244553,0.000171187,0.000119212,8.26333e-05,-0,-0,-0,-0,-0,-0,-7.87643,-0,-0,-0,-6.36404,-0,-5.7204,-5.42718,-0,-9.7864,-9.30022,-4.42128,-12.6155,-7.99933,-19.005,-21.7704,-6.96228,-20.1386,-26.0134,-37.9791,-21.6636,-48.6484,-18.0107,-29.7869,-41.6039,-32.7966,-27.0791,-18.3237,-28.0517,-31.9671,-26.3381,-23.8153,-31.7278,-14.6438,-15.2352,-19.8451,-4.14193,-4.32808,-13.5841,-0,-0,-10.4288,-0,-11.4883,-12.0586,-6.3269,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,4,2,8,9,5,11,11,10,10,15,4,11,7,11,9,11,7,7,4,6,5,6,3,6,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
