# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:14:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2339a7197.json
# init = /tmp/RtmpC8O1hA/init-b41c21b73dffd_3.json
# random
#   seed = 2552005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0244_rep025_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301414-3-78e41c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0244_rep025_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301414-3-1912c8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.085599
# Diagonal elements of inverse mass matrix:
# 0.0910397, 0.0793868, 0.168414, 0.024798, 0.108534, 0.140171, 0.225088
-552.083,0.947991,0.085599,3,15,0,554.975,-1.99098,-2.03202,-0.499527,-0.656352,2.82893,-0.436002,-1.61648,5.48464,2.85576,0.000133091,0.000172603,0.000223873,0.000290411,0.000376782,0.000488913,0.000634504,0.000823531,0.00106889,0.00138719,0.00179959,0.00233286,0.00302018,0.00390173,0.00502455,0.00644118,0.00820659,0.0103732,0.0129838,0.0160637,0.0196115,0.0235755,0.0278546,0.0322973,0.0367069,0.0408581,0.0445194,0.0474813,0.0495817,0.050723,0.0508795,0.0500936,0.0484634,0.0461269,0.043244,0.0399802,0.0364934,0.0329243,0.0293905,0.0259845,0.0227737,0.0198029,0.0170975,0.0146669,0.012509,0.0106126,0.00896081,0.00753344,0.00630852,0.00526379,0.0043776,0.00362959,0.00300097,0.00247477,0.00203588,0.00167099,0.00136849,0.00111839,0.000912104,0.000742326,0.000602882,-0,-0,-0,-0,-0,-0,-7.36267,-0,-0,-0,-6.32019,-0,-5.80244,-5.54634,-0,-10.0901,-9.60563,-4.56853,-13.0321,-8.26239,-19.6582,-22.4853,-7.16151,-20.5966,-26.4383,-38.3718,-21.7828,-48.7587,-18.0248,-29.8138,-41.6961,-32.9325,-27.2425,-18.4581,-28.2681,-32.1937,-26.485,-23.8948,-31.7437,-14.601,-15.1286,-19.6096,-4.06883,-4.22216,-13.1439,-0,-0,-9.77681,-0,-10.4938,-10.8625,-5.61864,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,2,1,6,4,6,8,13,9,4,11,12,18,18,10,8,8,4,4,5,10,3,5,2,1,2,5,1,3,1,4,1,1,2,0,0,0,0,0,0,0,0,0
-550.333,0.999606,0.085599,5,63,0,554.547,-1.77665,-2.24796,-0.535867,-0.542459,3.30421,-0.200614,-1.15426,5.01149,2.44169,6.85573e-05,9.17667e-05,0.000122867,0.000164564,0.000220508,0.000295629,0.000396601,0.000532471,0.00071551,0.00096236,0.0012955,0.00174506,0.00235082,0.00316403,0.00424841,0.00567923,0.00753959,0.00991282,0.012871,0.0164605,0.0206864,0.0254866,0.0307266,0.0361966,0.0416199,0.0466751,0.0510307,0.0543879,0.0565218,0.0573115,0.056751,0.0549414,0.0520681,0.0483709,0.0441128,0.039551,0.0349154,0.0303942,0.0261281,0.022211,0.018695,0.0155988,0.0129157,0.0106221,0.00868396,0.00706236,0.005717,0.00460891,0.00370196,0.00296371,0.00236564,0.00188318,0.00149544,0.00118485,0.000936804,0.00073923,0.000582233,0.000457749,0.000359236,0.000281413,0.000220036,-0,-0,-0,-0,-0,-0,-7.83258,-0,-0,-0,-6.64886,-0,-6.05299,-5.75591,-0,-10.3419,-9.77517,-4.61393,-13.0583,-8.21358,-19.3914,-22.0176,-6.96525,-19.9127,-25.4334,-36.7745,-20.8273,-46.5858,-17.2388,-28.5925,-40.1671,-31.9164,-26.5968,-18.1731,-28.089,-32.3016,-26.8386,-24.4545,-32.8027,-15.2287,-15.918,-20.8028,-4.34931,-4.54482,-14.2388,-0,-0,-10.7595,-0,-11.6426,-12.0934,-6.27479,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,1,9,12,5,9,8,4,8,8,13,16,6,5,12,12,12,11,7,5,6,7,2,3,3,2,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
-549.713,0.994976,0.085599,5,63,0,551.038,-1.87626,-2.39972,-1.49672,-0.489596,4.06217,0.261056,-1.29207,5.35191,2.44669,6.19952e-05,8.43018e-05,0.00011467,0.000156042,0.000212453,0.000289449,0.000394663,0.000538597,0.000735628,0.00100521,0.00137305,0.00187199,0.00254217,0.0034303,0.004588,0.00606895,0.00792484,0.0101999,0.0129246,0.0161086,0.0197352,0.0237396,0.0280212,0.0324467,0.0368557,0.0410686,0.0448957,0.0481478,0.0506495,0.0522567,0.0528767,0.0524857,0.051131,0.048919,0.0459951,0.042526,0.0386861,0.0346469,0.0305679,0.0265889,0.0228228,0.0193526,0.0162297,0.0134771,0.0110944,0.00906335,0.00735479,0.00593346,0.00476223,0.00380487,0.00302771,0.00240059,0.00189718,0.0014949,0.00117473,0.000920832,0.000720129,0.000561936,0.000437579,0.000340053,0.000263739,-0,-0,-0,-0,-0,-0,-7.83748,-0,-0,-0,-6.59072,-0,-5.97474,-5.67511,-0,-10.2091,-9.67551,-4.58538,-13.0459,-8.25681,-19.6268,-22.4437,-7.14959,-20.5689,-26.406,-38.3101,-21.7239,-48.5357,-17.897,-29.5159,-41.1571,-32.4194,-26.7603,-18.1055,-27.713,-31.5764,-26.0182,-23.5378,-31.3902,-14.509,-15.12,-19.7247,-4.12092,-4.30676,-13.504,-0,-0,-10.2543,-0,-11.1429,-11.5999,-6.03204,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,2,0,1,4,1,8,4,6,8,9,5,8,8,17,10,8,15,12,5,9,8,6,5,5,6,3,1,3,1,2,5,2,1,2,1,0,1,0,0,2,0,0,0,0,0
-551.001,0.999042,0.085599,5,31,0,551.848,-2.59392,-1.4919,-1.4184,-0.651374,2.87529,0.355596,-0.68207,5.19063,2.75575,7.59575e-05,9.87238e-05,0.000128371,0.000167018,0.000217464,0.000283425,0.000369866,0.000483473,0.000633328,0.000831908,0.00109651,0.0014513,0.00192995,0.00257874,0.00345917,0.00464929,0.00624274,0.00834497,0.011066,0.0145097,0.0187606,0.0237701,0.0294072,0.0354467,0.0415653,0.0473529,0.0523501,0.0561215,0.0583553,0.0589366,0.057948,0.0556144,0.0522357,0.0481332,0.0436124,0.0389389,0.0343253,0.0299275,0.0258483,0.0221454,0.0188417,0.0159348,0.0134062,0.0112273,0.00936441,0.00778242,0.00644668,0.00532449,0.00438587,0.00360383,0.00295454,0.00241714,0.00197361,0.00160849,0.00130863,0.00106286,0.00086181,0.000697615,0.000563717,0.000454665,0.000365948,-0,-0,-0,-0,-0,-0,-7.90237,-0,-0,-0,-6.81562,-0,-6.25026,-5.96046,-0,-10.7421,-10.1527,-4.7861,-13.5116,-8.46588,-19.88,-22.436,-7.05303,-20.0384,-25.4439,-36.6015,-20.6486,-46.0838,-17.0472,-28.3129,-39.8749,-31.7824,-26.5679,-18.2027,-28.1917,-32.4576,-26.975,-24.5628,-32.8996,-15.2405,-15.8867,-20.6962,-4.31204,-4.48941,-14.0125,-0,-0,-10.4709,-0,-11.2515,-11.6488,-6.02517,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,3,4,6,4,6,8,5,7,9,8,10,17,10,9,15,8,12,10,8,6,6,6,0,1,3,3,3,1,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
-550.802,0.998066,0.085599,5,31,0,552.926,-1.71346,-2.80722,-1.62933,-0.547562,3.46459,0.205335,-1.67055,5.06742,2.52873,0.000103237,0.000137921,0.000184284,0.000246279,0.000329204,0.000440168,0.000588705,0.000787574,0.00105376,0.00140964,0.00188407,0.00251314,0.00334002,0.00441351,0.00578539,0.00750641,0.00962132,0.012163,0.0151462,0.018562,0.0223738,0.0264906,0.0307883,0.0351141,0.039294,0.043142,0.046471,0.049107,0.0509049,0.0517677,0.0516609,0.0506167,0.0487242,0.0461135,0.0429393,0.0393669,0.0355612,0.0316764,0.0278482,0.0241873,0.020776,0.0176679,0.0148908,0.0124508,0.0103374,0.00852946,0.00699896,0.00571501,0.00464622,0.00376253,0.00303616,0.00244218,0.00195866,0.00156666,0.00125001,0.00099505,0.00079037,0.000626492,0.000495603,0.000391295,0.000308343,-0,-0,-0,-0,-0,-0,-7.43759,-0,-0,-0,-6.27432,-0,-5.70178,-5.42308,-0,-9.784,-9.28755,-4.40936,-12.57,-7.97327,-18.9993,-21.7858,-6.96124,-20.0949,-25.8935,-37.7191,-21.4825,-48.2201,-17.8668,-29.6099,-41.4827,-32.8182,-27.1942,-18.4599,-28.3317,-32.3483,-26.692,-24.1653,-32.2289,-14.8877,-15.4958,-20.18,-4.20701,-4.38597,-13.716,-0,-0,-10.3293,-0,-11.1653,-11.5943,-6.01486,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,6,1,5,8,10,5,9,11,8,10,7,10,9,9,9,5,10,7,7,3,4,8,7,6,6,2,2,2,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0
-552.462,0.967632,0.085599,3,7,0,553.068,-1.72673,-2.9512,-1.64784,-0.625008,3.61052,0.0961152,-1.65431,5.38123,2.70929,0.000150277,0.000196501,0.000256982,0.000336135,0.000439754,0.000575429,0.000753088,0.000985653,0.0012898,0.00168671,0.00220267,0.00286915,0.00372226,0.00480117,0.00614581,0.00779367,0.00977608,0.012114,0.0148138,0.017864,0.0212323,0.0248461,0.0286085,0.0324017,0.0360916,0.0395349,0.0425858,0.0451063,0.0469764,0.0481073,0.0484514,0.0480088,0.0468242,0.0449787,0.0425786,0.0397453,0.0366061,0.0332868,0.0299048,0.0265634,0.0233482,0.0203243,0.0175367,0.0150114,0.0127582,0.0107739,0.00904645,0.00755725,0.0062844,0.00520453,0.00429429,0.00353139,0.00289516,0.00236692,0.00193006,0.00157005,0.00127431,0.00103205,0.000834127,0.000672807,0.000541609,-0,-0,-0,-0,-0,-0,-7.19133,-0,-0,-0,-6.11809,-0,-5.59342,-5.3389,-0,-9.70889,-9.25563,-4.4134,-12.6366,-8.04994,-19.2612,-22.1703,-7.1081,-20.5773,-26.5736,-38.7669,-22.0936,-49.5797,-18.3487,-30.3432,-42.3807,-33.4001,-27.5522,-18.6094,-28.4076,-32.2526,-26.4603,-23.8181,-31.5876,-14.5129,-15.029,-19.4797,-4.04346,-4.19894,-13.0848,-0,-0,-9.7705,-0,-10.5165,-10.9009,-5.64606,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,2,3,1,6,2,5,3,11,5,12,6,15,13,7,11,10,8,7,9,4,3,3,7,3,0,6,3,2,6,5,2,3,0,2,1,1,1,2,0,0,1,0,1,0,1
