# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:26:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c274b0192a.json
# init = /tmp/RtmpC8O1hA/init-b41c2772d7a72_1.json
# random
#   seed = 2552006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0245_rep025_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301426-1-5ae5b3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0245_rep025_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301426-1-772277.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.145638
# Diagonal elements of inverse mass matrix:
# 0.0775379, 0.0588029, 0.0392271, 0.00819314, 0.0349108, 0.04675, 0.0450604
-554.282,0.976179,0.145638,5,31,0,556.219,-3.02311,-2.16612,-1.96794,-0.436434,3.57165,0.499485,-1.19325,5.26919,2.42894,4.222e-05,5.83583e-05,8.06816e-05,0.000111575,0.000154357,0.000213653,0.000295927,0.000410238,0.000569288,0.000790821,0.00109927,0.0015273,0.00211651,0.00291721,0.00398705,0.00538882,0.00718687,0.00944185,0.0122035,0.0155018,0.0193392,0.0236486,0.0283197,0.0332016,0.0381092,0.0428303,0.0471336,0.0507779,0.0535281,0.0551863,0.0556374,0.0548806,0.0530194,0.0502241,0.0466973,0.0426519,0.0382985,0.0338346,0.0294358,0.0252465,0.0213741,0.0178862,0.0148139,0.0121586,0.00990004,0.00800477,0.00643236,0.00514044,0.00408779,0.0032363,0.00255189,0.00200487,0.00156982,0.00122539,0.000953792,0.000740414,0.000573335,0.000442908,0.000341376,0.000262543,0.000201478,-0,-0,-0,-0,-0,-0,-8.1254,-0,-0,-0,-6.81311,-0,-6.15799,-5.83713,-0,-10.4469,-9.871,-4.6626,-13.2181,-8.3336,-19.7281,-22.4667,-7.1284,-20.4309,-26.1384,-37.8061,-21.3834,-47.6847,-17.5653,-28.9704,-40.4446,-31.9286,-26.4339,-17.9476,-27.5766,-31.5468,-26.0988,-23.7039,-31.7299,-14.7163,-15.3823,-20.1186,-4.21219,-4.40972,-13.8456,-0,-0,-10.5412,-0,-11.4666,-11.9418,-6.21218,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,0,5,0,3,4,7,5,7,10,9,10,3,16,10,12,8,13,10,6,9,11,3,4,4,2,4,3,2,3,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0
-554.141,0.999973,0.145638,5,31,0,556.657,-3.29389,-2.15333,-1.76218,-0.554127,3.63398,0.725187,-1.19655,5.4826,2.6035,6.28614e-05,8.38417e-05,0.000111851,0.000149265,0.000199278,0.0002662,0.000355865,0.00047621,0.000638095,0.000856452,0.00115183,0.0015522,0.00209436,0.00282436,0.00379687,0.00507368,0.00672109,0.00880528,0.0113849,0.0145011,0.0181664,0.0223291,0.0268901,0.0317049,0.0365911,0.0413362,0.0457043,0.0494443,0.052307,0.0540858,0.0546746,0.0540882,0.0524326,0.0498663,0.0465768,0.0427659,0.0386382,0.0343892,0.030192,0.0261859,0.0224694,0.0191013,0.0161069,0.0134861,0.0112216,0.00928605,0.00764665,0.00626892,0.00511894,0.00416476,0.00337721,0.00273024,0.00220099,0.00176969,0.00141943,0.00113586,0.000906943,0.000722634,0.000574595,0.000455953,0.000361065,-0,-0,-0,-0,-0,-0,-7.94096,-0,-0,-0,-6.7664,-0,-6.16851,-5.86947,-0,-10.5674,-10.005,-4.7324,-13.4264,-8.46706,-20.0409,-22.8112,-7.23199,-20.7077,-26.4636,-38.2322,-21.5989,-48.1105,-17.7038,-29.1718,-40.689,-32.0885,-26.534,-17.9905,-27.5999,-31.5201,-26.0281,-23.5901,-31.5016,-14.5701,-15.1824,-19.79,-4.12851,-4.3061,-13.4697,-0,-0,-10.1443,-0,-10.9622,-11.3814,-5.90337,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,5,1,2,1,6,3,6,5,6,14,12,11,14,17,12,10,14,5,8,8,1,5,6,2,3,4,2,3,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0
-551.46,0.994929,0.145638,4,31,0,557.655,-2.83341,-2.54719,-0.928338,-0.465815,3.33542,9.3216e-05,-0.655402,5.32135,2.44567,4.60328e-05,6.30299e-05,8.63155e-05,0.000118226,0.00016197,0.000221962,0.000304276,0.000417262,0.000572393,0.000785361,0.00107747,0.00147723,0.00202199,0.00275919,0.00374664,0.00505129,0.00674566,0.00890174,0.0115821,0.0148292,0.0186532,0.0230117,0.0278069,0.0328827,0.0380286,0.0429906,0.04749,0.0512505,0.0540312,0.0556595,0.0560535,0.0552279,0.053284,0.0503901,0.0467581,0.0426193,0.0382027,0.0337169,0.0293368,0.0251965,0.0213883,0.0179655,0.0149493,0.0123356,0.0101033,0.00822007,0.00664832,0.0053486,0.00428245,0.00341406,0.00271113,0.00214527,0.00169198,0.00133046,0.00104328,0.000815972,0.000636635,0.000495566,0.000384901,0.000298304,0.000230698,-0,-0,-0,-0,-0,-0,-8.09758,-0,-0,-0,-6.83314,-0,-6.20367,-5.89282,-0,-10.5762,-9.99771,-4.72151,-13.3749,-8.42232,-19.9087,-22.6305,-7.16494,-20.4889,-26.1553,-37.7613,-21.3307,-47.5365,-17.5092,-28.885,-40.3403,-31.8592,-26.3891,-17.9278,-27.5649,-31.5545,-26.1188,-23.7283,-31.7602,-14.7242,-15.3796,-20.0965,-4.20309,-4.39526,-13.7847,-0,-0,-10.4618,-0,-11.3597,-11.8208,-6.14449,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,6,2,2,3,6,7,7,8,8,4,10,14,11,17,7,16,13,6,4,4,7,8,5,2,1,2,1,2,1,2,0,3,0,1,1,2,0,0,0,0,0,0,0,0
-551.263,0.98761,0.145638,5,31,0,555.057,-1.74962,-2.30152,-1.42357,-0.671021,3.64605,0.768247,-0.771511,5.11314,2.6237,0.000119358,0.000154292,0.000199516,0.000258105,0.000334086,0.000432745,0.000561068,0.000728332,0.000946967,0.00123376,0.00161153,0.00211132,0.00277434,0.00365276,0.00480846,0.0063103,0.00822968,0.0106338,0.0135759,0.0170829,0.0211433,0.0256681,0.0305129,0.0354853,0.0403574,0.0448791,0.0487911,0.0518429,0.0538221,0.0546021,0.0541761,0.0526398,0.0501528,0.0469097,0.043123,0.0390087,0.0347723,0.0305933,0.0266129,0.0229278,0.0195925,0.0166276,0.0140291,0.0117776,0.00984452,0.00819744,0.00680296,0.00562871,0.00464452,0.00382299,0.0031397,0.00257319,0.00210484,0.00171863,0.00140088,0.00114,0.000926204,0.000751299,0.000608429,0.000491894,0.000396966,-0,-0,-0,-0,-0,-0,-7.48567,-0,-0,-0,-6.43057,-0,-5.88734,-5.61227,-0,-10.1311,-9.60002,-4.54372,-12.8984,-8.13936,-19.2822,-21.975,-6.97921,-20.0318,-25.6798,-37.2454,-21.1414,-47.3526,-17.5324,-29.0768,-40.8172,-32.3871,-26.9341,-18.3572,-28.2933,-32.4397,-26.8715,-24.4088,-32.6372,-15.1016,-15.7304,-20.4835,-4.26662,-4.44156,-13.8625,-0,-0,-10.3598,-0,-11.1334,-11.5273,-5.96261,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,1,2,5,8,9,12,7,12,10,19,13,9,13,5,5,13,6,8,8,7,3,1,2,1,1,4,0,0,2,1,0,0,2,1,2,0,0,0,0,0,0,1
-550.759,0.992689,0.145638,4,23,0,555.61,-1.2169,-2.3224,-0.893078,-0.770524,3.66276,0.0903614,-1.03743,5.06284,2.67795,0.000182659,0.000230763,0.000291714,0.000369051,0.000467342,0.000592527,0.000752368,0.000957075,0.00122015,0.00155953,0.001999,0.0025698,0.00331218,0.00427614,0.00552073,0.00711105,0.00911268,0.0115835,0.0145637,0.018065,0.0220617,0.0264642,0.0311299,0.035867,0.0404458,0.0446168,0.0481346,0.0507853,0.0524136,0.0529429,0.0523816,0.0508155,0.0483898,0.0452877,0.0417097,0.0378542,0.0339015,0.0300036,0.0262777,0.0228059,0.0196377,0.0167961,0.014283,0.0120862,0.0101842,0.00855042,0.00715613,0.00597276,0.00497302,0.00413171,0.0034261,0.00283601,0.00234374,0.00193398,0.00159353,0.00131112,0.00107717,0.000883605,0.000723617,0.000591509,0.000482525,-0,-0,-0,-0,-0,-0,-7.19228,-0,-0,-0,-6.21511,-0,-5.71015,-5.4547,-0,-9.89221,-9.39618,-4.45817,-12.6877,-8.02756,-19.0696,-21.7918,-6.93917,-19.9676,-25.6623,-37.3157,-21.2363,-47.6824,-17.6915,-29.3854,-41.2888,-32.7751,-27.2562,-18.5683,-28.5932,-32.7401,-27.0744,-24.5451,-32.7513,-15.123,-15.7212,-20.4331,-4.24868,-4.41569,-13.7607,-0,-0,-10.2411,-0,-10.9781,-11.3527,-5.86536,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,1,2,3,3,7,3,9,9,17,5,13,12,14,14,4,14,9,9,7,6,6,4,2,3,3,4,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,2,0
-551.206,0.956154,0.145638,5,31,0,553.923,-1.42592,-3.00696,-1.25447,-0.617416,4.33603,0.640737,-0.658503,5.20059,2.45991,0.000114701,0.000150341,0.00019711,0.000258525,0.00033924,0.000445441,0.000585373,0.000770083,0.00101441,0.00133828,0.00176809,0.0023377,0.00308852,0.00406841,0.0053297,0.00692614,0.00890844,0.011318,0.0141788,0.0174892,0.0212142,0.0252721,0.0295443,0.0338825,0.0381182,0.0420728,0.0455667,0.0484293,0.0505101,0.0516934,0.0519167,0.0511848,0.0495654,0.0471724,0.044148,0.0406511,0.0368468,0.0328977,0.0289555,0.0251516,0.0215894,0.0183394,0.0154392,0.0128984,0.0107058,0.00883676,0.00725926,0.00593874,0.00484085,0.00393328,0.00318673,0.00257523,0.00207619,0.00167026,0.00134101,0.00107464,0.000859639,0.00068646,0.000547231,0.00043549,0.000345954,-0,-0,-0,-0,-0,-0,-7.44326,-0,-0,-0,-6.33786,-0,-5.78006,-5.5045,-0,-9.94491,-9.44151,-4.48136,-12.768,-8.09235,-19.2654,-22.0683,-7.04373,-20.3091,-26.1365,-38.0203,-21.62,-48.4424,-17.9135,-29.6243,-41.4136,-32.6954,-27.0402,-18.3237,-28.0819,-32.0273,-26.4079,-23.9005,-31.878,-14.7313,-15.3422,-19.9935,-4.17085,-4.35065,-13.6109,-0,-0,-10.2525,-0,-11.0766,-11.4975,-5.96182,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,3,2,9,3,5,11,7,12,8,8,16,5,15,9,11,12,4,9,8,5,5,1,2,4,5,1,3,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0
