# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:26:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c274b0192a.json
# init = /tmp/RtmpC8O1hA/init-b41c2772d7a72_3.json
# random
#   seed = 2552006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0245_rep025_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301426-3-5ae5b3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0245_rep025_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301426-3-772277.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.160301
# Diagonal elements of inverse mass matrix:
# 0.0783708, 0.0527441, 0.0379606, 0.00890189, 0.0358568, 0.0230308, 0.0316081
-552.126,0.997908,0.160301,5,31,0,554.755,-0.677836,-2.47957,-1.32962,-0.592078,4.81661,0.558516,-0.922986,5.03296,2.43411,0.000109269,0.000144404,0.00019097,0.000252791,0.000335039,0.000444767,0.000591663,0.000789114,0.00105558,0.00141606,0.001903,0.00255589,0.00341966,0.00454224,0.00597175,0.00775295,0.00992313,0.0125071,0.0155114,0.0189192,0.0226859,0.0267138,0.030878,0.0350331,0.039022,0.042685,0.0458673,0.0484267,0.0502402,0.0512131,0.0512893,0.0504655,0.0487984,0.0463956,0.0433959,0.0399511,0.036215,0.0323354,0.0284492,0.0246773,0.02112,0.0178527,0.0149239,0.012355,0.0101439,0.00827071,0.00670426,0.00540802,0.00434446,0.00347777,0.0027755,0.0022091,0.00175408,0.00138976,0.00109889,0.000867268,0.000683218,0.000537262,0.000421717,0.000330394,0.000258321,-0,-0,-0,-0,-0,-0,-7.43257,-0,-0,-0,-6.26432,-0,-5.67822,-5.39433,-0,-9.71936,-9.22577,-4.38146,-12.4985,-7.93516,-18.9301,-21.7354,-6.95542,-20.1088,-25.949,-37.8469,-21.574,-48.4433,-17.9456,-29.7176,-41.5838,-32.8511,-27.1805,-18.4233,-28.2365,-32.201,-26.5463,-24.0211,-32.0367,-14.8075,-15.4301,-20.128,-4.20479,-4.39369,-13.7726,-0,-0,-10.4397,-0,-11.3227,-11.7738,-6.11517,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,2,2,3,2,6,2,5,4,9,8,8,11,8,13,5,14,15,4,4,9,8,8,5,10,4,3,2,3,2,4,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0
-552.038,0.999294,0.160301,5,31,0,554.306,-2.16989,-3.23483,-0.698832,-0.603199,3.16979,0.202286,-1.06071,5.05511,2.51484,0.00010232,0.00013456,0.000176977,0.000232801,0.000306292,0.000403082,0.00053062,0.00069878,0.000920652,0.0012136,0.00160059,0.00211185,0.00278662,0.00367462,0.00483655,0.00634262,0.0082681,0.0106853,0.013652,0.0171964,0.0213035,0.0258975,0.030839,0.0359271,0.0409115,0.0455118,0.0494451,0.0524594,0.0543667,0.0550671,0.0545568,0.0529207,0.0503159,0.0469494,0.0430524,0.0388555,0.0345675,0.0303614,0.0263672,0.0226723,0.0193268,0.0163505,0.0137411,0.011481,0.00954332,0.00789652,0.00650726,0.00534278,0.00437216,0.00356711,0.00290229,0.00235541,0.00190711,0.00154077,0.00124227,0.00099966,0.000802942,0.000643774,0.00051524,0.000411631,0.000328255,-0,-0,-0,-0,-0,-0,-7.54146,-0,-0,-0,-6.43738,-0,-5.88293,-5.60631,-0,-10.1209,-9.5907,-4.53888,-12.8816,-8.12611,-19.2444,-21.9216,-6.95795,-19.9576,-25.5708,-37.0774,-21.0482,-47.1634,-17.472,-28.992,-40.7192,-32.3286,-26.9049,-18.3521,-28.308,-32.4791,-26.9187,-24.4621,-32.7207,-15.1465,-15.7851,-20.5675,-4.28737,-4.46707,-13.9557,-0,-0,-10.464,-0,-11.272,-11.6845,-6.05104,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,2,3,1,4,2,5,7,8,8,7,7,20,13,12,12,16,7,12,7,5,4,5,6,4,2,5,5,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-551.551,0.99411,0.160301,5,31,0,556.043,-1.39402,-1.93603,-1.14315,-0.5148,4.81183,0.323741,-0.822294,5.39609,2.35174,3.56463e-05,4.8203e-05,6.52506e-05,8.84511e-05,0.000120126,0.000163554,0.000223419,0.000306492,0.000422645,0.00058625,0.000817911,0.00114628,0.00160962,0.0022567,0.0031468,0.00434828,0.00593537,0.00798268,0.0105574,0.0137097,0.0174619,0.0217734,0.0265524,0.0316548,0.0368884,0.0420228,0.0468026,0.0509641,0.054255,0.0564574,0.057417,0.0570732,0.0554753,0.0527718,0.0491777,0.0449381,0.0403012,0.0355008,0.0307432,0.0261989,0.0219964,0.0182202,0.0149126,0.0120795,0.00969888,0.00773048,0.00612429,0.00482762,0.00378978,0.00296481,0.00231268,0.00179949,0.00139714,0.00108267,0.000837511,0.00064682,0.000498777,0.000384037,0.000295236,0.000226599,0.000173609,-0,-0,-0,-0,-0,-0,-8.40646,-0,-0,-0,-7.10876,-0,-6.43176,-6.09385,-0,-10.8759,-10.2537,-4.83048,-13.6528,-8.5793,-20.2387,-22.9624,-7.25727,-20.7172,-26.3989,-38.0345,-21.4327,-47.6261,-17.4844,-28.7427,-40.0038,-31.4976,-26.0264,-17.6507,-27.1108,-31.0247,-25.691,-23.3674,-31.3388,-14.5681,-15.2675,-20.0261,-4.20555,-4.41625,-13.9072,-0,-0,-10.6668,-0,-11.6419,-12.1387,-6.32025,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,5,7,3,5,9,8,9,9,19,12,5,13,8,6,10,13,14,8,3,3,4,5,3,1,2,3,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0
-552.137,0.998511,0.160301,5,31,0,554.133,-1.9589,-1.99689,-1.47767,-0.743308,3.14783,0.644708,-0.911606,5.18824,2.84404,0.000148421,0.000188527,0.000239563,0.000304563,0.000387441,0.000493264,0.00062863,0.000802186,0.00102536,0.00131339,0.00168681,0.0021734,0.00281065,0.00364781,0.00474632,0.00617793,0.00802039,0.0103507,0.0132355,0.0167189,0.0208099,0.0254227,0.0304086,0.0355582,0.0406113,0.0452705,0.0492231,0.0521789,0.0539288,0.0543957,0.0536332,0.0517872,0.0490574,0.04567,0.0418562,0.0378326,0.0337854,0.02986,0.0261589,0.0227454,0.0196514,0.0168853,0.0144397,0.0122969,0.0104336,0.00882366,0.00744016,0.00625685,0.00524895,0.00439359,0.00367005,0.00305981,0.00254646,0.00211564,0.00175486,0.00145329,0.00120166,0.000992001,0.000817564,0.00067261,0.000552295,-0,-0,-0,-0,-0,-0,-7.37197,-0,-0,-0,-6.38492,-0,-5.87434,-5.61363,-0,-10.1735,-9.65154,-4.5707,-12.9746,-8.18243,-19.3616,-22.0327,-6.98606,-20.0195,-25.6297,-37.1412,-21.0797,-47.2492,-17.5205,-29.1147,-40.9582,-32.5667,-27.1329,-18.5179,-28.5616,-32.7458,-27.1018,-24.5787,-32.7921,-15.1336,-15.7184,-20.4066,-4.23778,-4.39841,-13.6882,-0,-0,-10.1482,-0,-10.8552,-11.2151,-5.7894,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,4,2,4,8,6,7,11,10,9,12,5,13,9,11,9,5,12,9,11,8,4,5,1,5,5,2,2,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0
-553.014,0.998775,0.160301,5,31,0,555.063,-1.16496,-3.03444,-1.36941,-0.42138,3.82753,-0.279936,-0.923007,4.98582,2.45089,9.49155e-05,0.000131639,0.000182479,0.000252769,0.000349758,0.000483215,0.000666124,0.000915451,0.00125284,0.00170512,0.00230432,0.00308702,0.00409296,0.00536265,0.00693424,0.00883991,0.0111018,0.0137283,0.0167105,0.0200203,0.0236091,0.027387,0.0312425,0.0350476,0.0386631,0.0419467,0.0447608,0.0469825,0.0485122,0.0492821,0.0492628,0.0484659,0.0469424,0.0447766,0.0420778,0.0389703,0.0355842,0.0320468,0.0284766,0.0249775,0.0216356,0.018517,0.0156676,0.0131141,0.0108657,0.00891809,0.00725571,0.00585583,0.00469132,0.00373321,0.0029527,0.00232247,0.00181762,0.00141606,0.00109867,0.000849223,0.000654162,0.000502318,0.000384595,0.000293659,0.000223647,-0,-0,-0,-0,-0,-0,-7.31404,-0,-0,-0,-6.07297,-0,-5.49849,-5.2283,-0,-9.45696,-9.00129,-4.2883,-12.2752,-7.82202,-18.7306,-21.5861,-6.93195,-20.1063,-26.023,-38.0563,-21.745,-48.9277,-18.1556,-30.1019,-42.1482,-33.2958,-27.5295,-18.6364,-28.5141,-32.4496,-26.6868,-24.0839,-32.0281,-14.7591,-15.3337,-19.9453,-4.15616,-4.33407,-13.5664,-0,-0,-10.2806,-0,-11.181,-11.6501,-6.06512,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,1,5,7,3,4,6,4,4,8,12,9,16,4,10,10,8,10,7,12,2,14,6,4,4,1,1,4,1,2,2,3,2,0,2,2,0,1,1,0,0,0,0,0,0,0
-554.195,0.977375,0.160301,5,31,0,555.871,-1.26643,-2.3004,-1.29553,-0.682978,3.49811,0.935551,-0.832305,4.66165,2.49023,0.00013687,0.000176404,0.000227434,0.000293355,0.000378602,0.000488985,0.00063216,0.000818286,0.00106095,0.00137853,0.00179614,0.00234845,0.00308301,0.00406229,0.00536216,0.00706739,0.009265,0.0120348,0.0154358,0.0194896,0.0241628,0.0293169,0.0347422,0.0401746,0.0453164,0.0498571,0.053493,0.055955,0.0570564,0.0567533,0.0551468,0.0524284,0.0488361,0.0446306,0.0400761,0.0354215,0.0308793,0.026609,0.0227109,0.0192323,0.0161817,0.0135418,0.0112811,0.00936114,0.00774167,0.00638331,0.00524939,0.00430667,0.0035257,0.00288073,0.00234955,0.00191314,0.00155539,0.00126269,0.00102363,0.000828681,0.000669923,0.000540796,0.000435886,0.00035074,0.000281699,-0,-0,-0,-0,-0,-0,-7.36637,-0,-0,-0,-6.32212,-0,-5.78185,-5.50601,-0,-9.90453,-9.36302,-4.41996,-12.5132,-7.87575,-18.6147,-21.1776,-6.7196,-19.2871,-24.7527,-35.9831,-20.4974,-46.1313,-17.1823,-28.6904,-40.5686,-32.4314,-27.1736,-18.656,-28.9528,-33.4044,-27.8214,-25.3855,-34.0642,-15.8047,-16.4955,-21.5099,-4.48463,-4.67119,-14.5834,-0,-0,-10.8952,-0,-11.6994,-12.1071,-6.25901,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,3,1,3,5,9,4,14,2,11,15,22,6,7,12,14,15,10,10,6,4,5,2,3,3,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
