# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:36:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2233be5d5.json
# init = /tmp/RtmpC8O1hA/init-b41c2582fde82_3.json
# random
#   seed = 2552008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0247_rep025_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605301436-3-7548d8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0247_rep025_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301436-3-869eb5.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.109139
# Diagonal elements of inverse mass matrix:
# 0.14765, 0.0751844, 0.101185, 0.0130054, 0.0847883, 0.266748, 0.319195
-554.093,0.933849,0.109139,5,31,0,558.292,-1.05244,-1.27584,0.226,-0.466217,3.52545,-0.727905,0.0549925,5.38435,2.55148,5.25334e-05,7.17025e-05,9.78082e-05,0.000133323,0.000181578,0.000247045,0.000335711,0.000455551,0.000617146,0.000834452,0.00112577,0.00151491,0.00203264,0.00271827,0.00362142,0.00480348,0.00633809,0.0083096,0.0108079,0.0139181,0.0177043,0.0221574,0.0271829,0.0325912,0.0381064,0.0433951,0.0481093,0.0519349,0.0546323,0.0560626,0.0561959,0.0551027,0.0529331,0.04989,0.0462018,0.0420981,0.0377909,0.0334625,0.0292594,0.0252907,0.0216302,0.0183208,0.0153803,0.0128068,0.0105844,0.00868777,0.00708615,0.00574639,0.00463515,0.0037205,0.00297286,0.00236556,0.00187506,0.00148096,0.00116581,0.000914878,0.000715864,0.000558594,0.00043472,0.000337443,0.000261263,-0,-0,-0,-0,-0,-0,-7.99926,-0,-0,-0,-6.78929,-0,-6.19842,-5.90776,-0,-10.6768,-10.1224,-4.79034,-13.5824,-8.54912,-20.1697,-22.8575,-7.21033,-20.5423,-26.139,-37.6489,-21.24,-47.3242,-17.4428,-28.8129,-40.3047,-31.8841,-26.4485,-17.9876,-27.6726,-31.6775,-26.2055,-23.7813,-31.784,-14.7093,-15.3347,-19.9986,-4.17467,-4.35778,-13.6451,-0,-0,-10.3184,-0,-11.1878,-11.6365,-6.04674,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,2,1,4,4,6,8,5,7,10,10,6,11,7,7,10,14,18,7,9,10,3,5,6,3,2,0,4,2,1,3,2,2,0,2,0,1,0,0,0,0,1,0,0,0
-556.078,0.154735,0.109139,5,31,0,559.463,-0.925649,-1.20802,0.143512,-0.48334,3.51967,-0.598056,-0.246984,4.97962,2.40977,3.70262e-05,5.03848e-05,6.85621e-05,9.32983e-05,0.000126965,0.000172799,0.000235223,0.000320301,0.00043636,0.00059489,0.000811799,0.0011092,0.00151794,0.00208098,0.00285794,0.00393014,0.00540522,0.00741823,0.0101249,0.0136825,0.0182162,0.0237361,0.0301041,0.0370129,0.0440069,0.0505434,0.0560798,0.0601635,0.0625014,0.0629922,0.0617217,0.0589256,0.0549356,0.0501232,0.0448511,0.0394384,0.0341414,0.0291474,0.0245784,0.0204998,0.016933,0.0138673,0.0112707,0.00909893,0.00730185,0.00582863,0.00463061,0.00366323,0.00288689,0.00226725,0.00177505,0.00138577,0.00107904,0.000838203,0.000649674,0.0005025,0.000387891,0.000298836,0.000229767,0.000176285,0.000134932,-0,-0,-0,-0,-0,-0,-8.35497,-0,-0,-0,-7.11626,-0,-6.4904,-6.17491,-0,-11.0782,-10.4408,-4.90382,-13.7783,-8.58327,-20.0272,-22.4445,-7.00619,-19.7789,-24.9873,-35.8191,-20.1669,-44.971,-16.6354,-27.6474,-38.9917,-31.1463,-26.1143,-17.9596,-27.9397,-32.3302,-27.018,-24.7477,-33.353,-15.5494,-16.314,-21.3911,-4.48555,-4.6996,-14.7589,-0,-0,-11.2188,-0,-12.1784,-12.6678,-6.5815,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,3,4,3,5,10,12,7,16,13,22,9,9,16,7,14,8,4,4,8,2,6,4,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-554.116,0.387097,0.109139,5,31,0,559.158,-1.05217,-1.52257,0.314187,-0.558271,3.95303,-0.680175,-0.655602,5.52789,2.524,5.13463e-05,6.83471e-05,9.09834e-05,0.000121131,0.000161297,0.000214841,0.000286274,0.00038167,0.000509241,0.000680123,0.000909474,0.00121796,0.0016337,0.00219469,0.00295146,0.00396937,0.00532929,0.00712517,0.00945639,0.012414,0.0160612,0.0204083,0.0253912,0.0308564,0.0365598,0.0421838,0.047371,0.0517696,0.0550804,0.0570955,0.0577206,0.0569792,0.0549991,0.0519865,0.0481932,0.043885,0.0393143,0.0347009,0.030221,0.0260044,0.022136,0.0186625,0.0155999,0.0129408,0.0106625,0.00873251,0.00711364,0.00576725,0.00465574,0.00374407,0.00300056,0.00239721,0.00190977,0.00151751,0.00120294,0.00095146,0.000750966,0.000591509,0.000464963,0.000364729,0.000285477,-0,-0,-0,-0,-0,-0,-8.15856,-0,-0,-0,-7.00264,-0,-6.41691,-6.12171,-0,-11.0583,-10.4691,-4.94412,-13.9832,-8.77786,-20.6568,-23.3509,-7.34671,-20.8705,-26.4704,-37.9886,-21.3482,-47.3752,-17.3938,-28.6303,-39.93,-31.5158,-26.1039,-17.7406,-27.2928,-31.2618,-25.8893,-23.5269,-31.493,-14.598,-15.2422,-19.9062,-4.16049,-4.34737,-13.6231,-0,-0,-10.3111,-0,-11.1752,-11.6179,-6.03345,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,2,1,1,9,5,5,5,10,13,16,8,10,12,12,8,7,14,5,4,7,6,4,3,2,6,2,4,1,1,1,1,1,1,2,0,0,0,0,1,2,0,0,1
-554.116,0.0646511,0.109139,4,15,0,556.882,-1.05217,-1.52257,0.314187,-0.558271,3.95303,-0.680175,-0.655602,5.52789,2.524,5.13463e-05,6.83471e-05,9.09834e-05,0.000121131,0.000161297,0.000214841,0.000286274,0.00038167,0.000509241,0.000680123,0.000909474,0.00121796,0.0016337,0.00219469,0.00295146,0.00396937,0.00532929,0.00712517,0.00945639,0.012414,0.0160612,0.0204083,0.0253912,0.0308564,0.0365598,0.0421838,0.047371,0.0517696,0.0550804,0.0570955,0.0577206,0.0569792,0.0549991,0.0519865,0.0481932,0.043885,0.0393143,0.0347009,0.030221,0.0260044,0.022136,0.0186625,0.0155999,0.0129408,0.0106625,0.00873251,0.00711364,0.00576725,0.00465574,0.00374407,0.00300056,0.00239721,0.00190977,0.00151751,0.00120294,0.00095146,0.000750966,0.000591509,0.000464963,0.000364729,0.000285477,-0,-0,-0,-0,-0,-0,-8.15856,-0,-0,-0,-7.00264,-0,-6.41691,-6.12171,-0,-11.0583,-10.4691,-4.94412,-13.9832,-8.77786,-20.6568,-23.3509,-7.34671,-20.8705,-26.4704,-37.9886,-21.3482,-47.3752,-17.3938,-28.6303,-39.93,-31.5158,-26.1039,-17.7406,-27.2928,-31.2618,-25.8893,-23.5269,-31.493,-14.598,-15.2422,-19.9062,-4.16049,-4.34737,-13.6231,-0,-0,-10.3111,-0,-11.1752,-11.6179,-6.03345,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,6,5,7,4,9,10,13,11,7,16,12,11,9,14,9,4,12,9,6,3,2,3,0,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0
-554.116,0.0183102,0.109139,5,31,0,557.221,-1.05217,-1.52257,0.314187,-0.558271,3.95303,-0.680175,-0.655602,5.52789,2.524,5.13463e-05,6.83471e-05,9.09834e-05,0.000121131,0.000161297,0.000214841,0.000286274,0.00038167,0.000509241,0.000680123,0.000909474,0.00121796,0.0016337,0.00219469,0.00295146,0.00396937,0.00532929,0.00712517,0.00945639,0.012414,0.0160612,0.0204083,0.0253912,0.0308564,0.0365598,0.0421838,0.047371,0.0517696,0.0550804,0.0570955,0.0577206,0.0569792,0.0549991,0.0519865,0.0481932,0.043885,0.0393143,0.0347009,0.030221,0.0260044,0.022136,0.0186625,0.0155999,0.0129408,0.0106625,0.00873251,0.00711364,0.00576725,0.00465574,0.00374407,0.00300056,0.00239721,0.00190977,0.00151751,0.00120294,0.00095146,0.000750966,0.000591509,0.000464963,0.000364729,0.000285477,-0,-0,-0,-0,-0,-0,-8.15856,-0,-0,-0,-7.00264,-0,-6.41691,-6.12171,-0,-11.0583,-10.4691,-4.94412,-13.9832,-8.77786,-20.6568,-23.3509,-7.34671,-20.8705,-26.4704,-37.9886,-21.3482,-47.3752,-17.3938,-28.6303,-39.93,-31.5158,-26.1039,-17.7406,-27.2928,-31.2618,-25.8893,-23.5269,-31.493,-14.598,-15.2422,-19.9062,-4.16049,-4.34737,-13.6231,-0,-0,-10.3111,-0,-11.1752,-11.6179,-6.03345,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2,3,3,2,4,6,9,13,10,12,7,11,9,14,14,10,9,9,4,4,8,11,4,0,2,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0
-554.116,0.0321398,0.109139,3,7,0,558.633,-1.05217,-1.52257,0.314187,-0.558271,3.95303,-0.680175,-0.655602,5.52789,2.524,5.13463e-05,6.83471e-05,9.09834e-05,0.000121131,0.000161297,0.000214841,0.000286274,0.00038167,0.000509241,0.000680123,0.000909474,0.00121796,0.0016337,0.00219469,0.00295146,0.00396937,0.00532929,0.00712517,0.00945639,0.012414,0.0160612,0.0204083,0.0253912,0.0308564,0.0365598,0.0421838,0.047371,0.0517696,0.0550804,0.0570955,0.0577206,0.0569792,0.0549991,0.0519865,0.0481932,0.043885,0.0393143,0.0347009,0.030221,0.0260044,0.022136,0.0186625,0.0155999,0.0129408,0.0106625,0.00873251,0.00711364,0.00576725,0.00465574,0.00374407,0.00300056,0.00239721,0.00190977,0.00151751,0.00120294,0.00095146,0.000750966,0.000591509,0.000464963,0.000364729,0.000285477,-0,-0,-0,-0,-0,-0,-8.15856,-0,-0,-0,-7.00264,-0,-6.41691,-6.12171,-0,-11.0583,-10.4691,-4.94412,-13.9832,-8.77786,-20.6568,-23.3509,-7.34671,-20.8705,-26.4704,-37.9886,-21.3482,-47.3752,-17.3938,-28.6303,-39.93,-31.5158,-26.1039,-17.7406,-27.2928,-31.2618,-25.8893,-23.5269,-31.493,-14.598,-15.2422,-19.9062,-4.16049,-4.34737,-13.6231,-0,-0,-10.3111,-0,-11.1752,-11.6179,-6.03345,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,4,2,4,4,10,6,3,9,8,9,13,16,9,11,5,10,11,5,5,13,7,6,4,0,6,2,3,4,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0
