# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:47:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2317da7f2.json
# init = /tmp/RtmpC8O1hA/init-b41c25eca97f1_1.json
# random
#   seed = 2552009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0248_rep025_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301447-1-0cfebe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0248_rep025_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301447-1-3a29e2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.133247
# Diagonal elements of inverse mass matrix:
# 0.129122, 0.0449971, 0.0258155, 0.0109253, 0.0377159, 0.0419848, 0.0527928
-556.365,0.999158,0.133247,4,15,0,558.682,0.436451,-3.53028,-0.443863,-0.666271,4.16917,0.653574,-0.828337,4.72595,2.34123,0.000124439,0.000161085,0.000208604,0.000270275,0.000350409,0.000454688,0.000590657,0.000768399,0.00100151,0.00130849,0.00171465,0.00225441,0.00297328,0.0039283,0.00518669,0.00682332,0.00891649,0.0115403,0.0147527,0.0185787,0.0229931,0.0279036,0.0331503,0.038511,0.0437145,0.0484596,0.0524405,0.0553799,0.0570653,0.0573843,0.0563431,0.0540615,0.050747,0.0466606,0.0420833,0.0372869,0.0325118,0.027951,0.0237415,0.0199637,0.0166485,0.0137902,0.0113595,0.00931435,0.00760802,0.00619391,0.00502833,0.00407194,0.00329018,0.00265322,0.00213569,0.00171623,0.00137695,0.00110302,0.000882196,0.000704401,0.000561406,0.000446506,0.000354259,0.00028027,0.000221002,-0,-0,-0,-0,-0,-0,-7.43428,-0,-0,-0,-6.36855,-0,-5.81809,-5.53955,-0,-9.97482,-9.43971,-4.46191,-12.649,-7.97148,-18.8628,-21.474,-6.81341,-19.5409,-25.0406,-36.3243,-20.6365,-46.2966,-17.1814,-28.5799,-40.2681,-32.094,-26.8281,-18.3891,-28.5129,-32.8911,-27.4092,-25.0411,-33.6648,-15.6554,-16.3817,-21.419,-4.4777,-4.6762,-14.6357,-0,-0,-11.0073,-0,-11.864,-12.2979,-6.36763,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,0,4,1,9,5,7,4,10,12,9,8,14,12,6,11,6,14,7,12,7,5,7,6,5,3,1,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-562.472,0.988492,0.133247,4,23,0,565.037,1.14796,-3.0232,-0.378116,-0.662729,5.09942,-0.0837333,0.103993,5.60126,2.60044,0.000106078,0.000137705,0.000178921,0.000232732,0.000303144,0.000395526,0.000517097,0.000677591,0.000890093,0.00117202,0.00154612,0.0020412,0.00269243,0.00354089,0.00463208,0.00601332,0.00773022,0.00982247,0.0123188,0.0152313,0.0185498,0.0222217,0.0261723,0.030295,0.0344534,0.0384878,0.042224,0.045486,0.0481098,0.0499582,0.0509349,0.0509954,0.0501512,0.048467,0.0460516,0.0430457,0.0396084,0.0359034,0.0320873,0.0282993,0.0246544,0.0212396,0.0181135,0.0153086,0.0128353,0.0106866,0.00884369,0.00728008,0.0059656,0.00486907,0.00396032,0.00321129,0.00259677,0.00209453,0.00168539,0.00135299,0.00108356,0.00086562,0.000689646,0.000547811,0.000433702,-0,-0,-0,-0,-0,-0,-7.56728,-0,-0,-0,-6.47201,-0,-5.91731,-5.64338,-0,-10.2276,-9.72524,-4.62308,-13.1899,-8.36881,-19.9365,-22.8401,-7.28611,-20.9806,-26.9452,-39.089,-22.1534,-49.4456,-18.2056,-29.9657,-41.6809,-32.7362,-26.9344,-18.1612,-27.7019,-31.4549,-25.8297,-23.2885,-30.9537,-14.2597,-14.8112,-19.2595,-4.0111,-4.17934,-13.0667,-0,-0,-9.84523,-0,-10.6497,-11.0629,-5.74108,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,2,4,4,2,4,4,7,5,11,7,9,14,14,12,8,10,6,5,11,7,4,10,9,7,3,7,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-560.204,0.999302,0.133247,5,31,0,566.57,-1.66198,-3.48446,-0.864672,-0.784001,4.9956,1.48449,-1.44359,5.85514,2.52428,0.000155995,0.000196273,0.000247039,0.000311075,0.000391935,0.000494174,0.000623659,0.000788001,0.000997156,0.00126426,0.0016067,0.00204697,0.00261329,0.00334016,0.00426856,0.00544556,0.00692272,0.00875273,0.0109834,0.0136481,0.0167527,0.020265,0.0241157,0.0282061,0.0324135,0.0365916,0.0405715,0.0441664,0.0471822,0.0494352,0.0507778,0.05113,0.0505017,0.0489774,0.046689,0.0437923,0.0404498,0.0368203,0.033053,0.0292852,0.0256396,0.022218,0.0190906,0.0162916,0.0138257,0.0116792,0.00982784,0.00824257,0.00689316,0.00575013,0.00478586,0.00397523,0.00329579,0.0027278,0.00225404,0.00185966,0.00153194,0.00126004,0.00103475,0.000848312,0.000694218,-0,-0,-0,-0,-0,-0,-7.37991,-0,-0,-0,-6.43358,-0,-5.94714,-5.70174,-0,-10.4259,-9.94589,-4.73839,-13.5341,-8.58832,-20.446,-23.3932,-7.44979,-21.4093,-27.4334,-39.6952,-22.4328,-49.9167,-18.3224,-30.0709,-41.7241,-32.7072,-26.8717,-18.0984,-27.5782,-31.283,-25.6615,-23.1119,-30.6868,-14.1227,-14.6545,-19.0343,-3.95856,-4.11711,-12.8437,-0,-0,-9.59689,-0,-10.3171,-10.6842,-5.52767,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,1,2,3,5,1,8,12,4,10,7,8,18,17,9,9,6,9,11,7,8,8,5,2,1,4,6,3,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0
-553.985,0.996879,0.133247,5,31,0,564.08,-1.9319,-3.45598,-1.24181,-0.376249,4.19633,0.173599,-0.223233,5.24237,2.29647,4.14775e-05,5.84806e-05,8.24623e-05,0.000116293,0.000164022,0.000231364,0.00032635,0.000460216,0.000648498,0.000912295,0.00127947,0.00178545,0.0024734,0.00339329,0.00459997,0.0061497,0.00809522,0.0104794,0.0133275,0.0166404,0.0203879,0.024496,0.0288552,0.0333241,0.037737,0.041913,0.045667,0.0488207,0.051215,0.052724,0.0532689,0.0528284,0.0514418,0.049201,0.0462376,0.0427094,0.0387872,0.0346441,0.0304449,0.0263371,0.0224434,0.0188561,0.0156351,0.0128092,0.0103808,0.00833161,0.00662973,0.00523561,0.00410706,0.00320278,0.00248454,0.0019184,0.00147509,0.00112997,0.000862659,0.000656543,0.000498252,0.000377129,0.000284748,0.000214496,0.000161218,-0,-0,-0,-0,-0,-0,-8.02754,-0,-0,-0,-6.66131,-0,-6.00216,-5.68595,-0,-10.1827,-9.63296,-4.55835,-12.9538,-8.19184,-19.4641,-22.2555,-7.09093,-20.4088,-26.2169,-38.0659,-21.6047,-48.3136,-17.8303,-29.4268,-41.0536,-32.3478,-26.7057,-18.0711,-27.6657,-31.5334,-25.9973,-23.5384,-31.4265,-14.5471,-15.187,-19.8546,-4.15824,-4.35759,-13.7034,-0,-0,-10.5045,-0,-11.4875,-11.9953,-6.25626,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,6,3,4,2,4,4,10,8,13,6,15,8,19,13,11,14,10,7,6,7,3,2,4,5,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-553.139,0.995065,0.133247,5,31,0,557.746,-0.225624,-1.95718,-0.906649,-1.0331,4.22731,1.04875,-0.495044,5.34504,3.03016,0.000204306,0.000245957,0.000296558,0.000358248,0.000433775,0.000526727,0.000641865,0.000785642,0.000967019,0.00119882,0.0015,0.00189921,0.00243894,0.00317719,0.00418565,0.00554554,0.00734197,0.00965638,0.0125567,0.0160844,0.0202402,0.0249013,0.0298968,0.0350115,0.0399985,0.0445942,0.0485328,0.0515623,0.0534674,0.0541153,0.0535143,0.0517996,0.0491698,0.045848,0.042063,0.0380348,0.0339627,0.0300116,0.0263024,0.0229074,0.0198574,0.0171531,0.0147774,0.0127039,0.010903,0.00934448,0.00799949,0.00684132,0.00584575,0.00499116,0.00425837,0.00363049,0.00309273,0.0026321,0.00223729,0.00189854,0.00160747,0.001357,0.00114116,0.000954958,0.000794266,-0,-0,-0,-0,-0,-0,-7.35113,-0,-0,-0,-6.50229,-0,-6.01619,-5.75176,-0,-10.3895,-9.8283,-4.64014,-13.1325,-8.25981,-19.5004,-22.157,-7.02001,-20.1125,-25.7513,-37.3218,-21.1786,-47.4394,-17.5721,-29.1664,-40.9893,-32.5641,-27.1123,-18.4945,-28.5173,-32.6925,-27.0599,-24.5432,-32.7429,-15.1052,-15.6767,-20.3279,-4.21466,-4.36585,-13.5562,-0,-0,-9.96955,-0,-10.6002,-10.9177,-5.61839,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,8,4,5,6,4,6,5,4,11,8,11,15,11,9,8,10,13,10,9,10,2,2,4,1,3,1,1,1,0,2,0,2,1,1,2,0,0,0,1,0,1,0,0
-554.008,0.999549,0.133247,5,31,0,555.672,0.218861,-2.20183,-0.839294,-0.822553,4.75411,1.23987,-0.678064,5.26083,2.66924,9.58056e-05,0.000120067,0.000150708,0.000189545,0.000238997,0.00030234,0.000384107,0.000490738,0.000631707,0.000821519,0.0010831,0.00145157,0.00197478,0.00271093,0.00372593,0.00509064,0.00687781,0.00915798,0.0119929,0.0154247,0.0194596,0.0240153,0.0289575,0.0341026,0.0392297,0.044095,0.0484461,0.0520374,0.0546451,0.0560848,0.0562436,0.0551345,0.0528923,0.0497141,0.0458258,0.0414646,0.0368657,0.0322478,0.0278014,0.0236759,0.0199688,0.0167222,0.0139316,0.0115636,0.00957149,0.00790574,0.00651887,0.00536792,0.00441508,0.00362776,0.00297818,0.00244282,0.00200192,0.00163895,0.00134013,0.0010941,0.000891444,0.000724453,0.000586801,0.000473324,0.000379818,-0,-0,-0,-0,-0,-0,-7.86459,-0,-0,-0,-6.82792,-0,-6.2273,-5.91046,-0,-10.5607,-9.95891,-4.69313,-13.2703,-8.34356,-19.6971,-22.3744,-7.08385,-20.2703,-25.9066,-37.4569,-21.1911,-47.2927,-17.4414,-28.8089,-40.2929,-31.8778,-26.4555,-18.0088,-27.7462,-31.8291,-26.4038,-24.0401,-32.244,-14.9732,-15.6543,-20.4551,-4.2736,-4.4599,-13.9469,-0,-0,-10.4546,-0,-11.2383,-11.6329,-6.0146,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,6,3,0,3,2,4,6,11,13,8,16,11,14,10,8,18,18,7,6,2,2,4,1,3,3,1,5,1,0,2,0,1,3,0,0,0,1,0,0,0,1,0,0
