# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 13:53:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c210fee6b5.json
# init = /tmp/RtmpC8O1hA/init-b41c23d9581f2_2.json
# random
#   seed = 2552010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0249_rep025_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605301453-2-4a8592.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0249_rep025_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605301453-2-400d9e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.15013
# Diagonal elements of inverse mass matrix:
# 0.0580805, 0.0299581, 0.00645087, 0.00513278, 0.00926847, 0.00868132, 0.0131268
-551.521,0.99764,0.15013,4,15,0,554.521,-1.31742,-2.18558,-0.894523,-0.744889,4.08651,0.654112,-0.63543,5.14564,2.54251,0.000100825,0.000128184,0.000163089,0.000207693,0.000264819,0.000338185,0.000432751,0.000555219,0.000714793,0.000924349,0.00120223,0.00157483,0.0020797,0.00276842,0.00370812,0.00498104,0.00668112,0.00890654,0.0117472,0.0152672,0.0194855,0.0243378,0.0296812,0.0352976,0.0409078,0.0461931,0.0508211,0.0544754,0.0568924,0.0579073,0.0574904,0.0557428,0.0528593,0.0490905,0.044713,0.0400046,0.0352214,0.0305779,0.0262333,0.0222878,0.0187879,0.0157392,0.0131198,0.0108927,0.00901416,0.00743938,0.00612565,0.00503398,0.00412975,0.00338278,0.00276712,0.00226068,0.00184477,0.0015037,0.00122433,0.000995723,0.000808803,0.000656063,0.000531314,0.000429471,0.000346363,-0,-0,-0,-0,-0,-0,-7.74535,-0,-0,-0,-6.72358,-0,-6.17553,-5.88948,-0,-10.6042,-10.0169,-4.72097,-13.3324,-8.36409,-19.6904,-22.2943,-7.03448,-20.0636,-25.5715,-36.8991,-20.8561,-46.5601,-17.1996,-28.4891,-39.9859,-31.7571,-26.4611,-18.0845,-27.9674,-32.1876,-26.7688,-24.4123,-32.7665,-15.2149,-15.8982,-20.758,-4.33363,-4.51966,-14.1269,-0,-0,-10.5831,-0,-11.3781,-11.7799,-6.09209,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,6,4,4,2,7,7,10,9,18,12,8,9,19,11,8,8,8,9,8,5,5,1,3,2,4,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
-553.675,0.99546,0.15013,5,31,0,555.542,-0.284249,-2.96781,-0.868331,-0.721381,4.79415,0.679562,-0.61481,5.21012,2.53524,0.000148197,0.00018943,0.000242301,0.000310203,0.000397587,0.000510341,0.000656327,0.000846164,0.00109434,0.00142069,0.00185199,0.00242289,0.00317544,0.00415747,0.00542031,0.00701581,0.00899243,0.0113897,0.0142312,0.0175158,0.0212101,0.0252346,0.0294733,0.0337791,0.0379834,0.0419069,0.0453698,0.0482033,0.050261,0.0514316,0.0516535,0.0509271,0.0493149,0.0469287,0.043913,0.0404298,0.0366467,0.0327269,0.0288202,0.0250556,0.0215342,0.018325,0.0154644,0.0129607,0.0108011,0.00895966,0.00740351,0.00609777,0.00500834,0.00410358,0.00335505,0.00273773,0.00222998,0.00181331,0.00147204,0.00119299,0.000965151,0.000779365,0.000628048,0.000504946,0.00040492,-0,-0,-0,-0,-0,-0,-7.32885,-0,-0,-0,-6.29149,-0,-5.75231,-5.48285,-0,-9.91918,-9.42274,-4.47504,-12.757,-8.08931,-19.2664,-22.0772,-7.04854,-20.3275,-26.1648,-38.0677,-21.6504,-48.5172,-17.9432,-29.675,-41.4848,-32.751,-27.0858,-18.3547,-28.1299,-32.0819,-26.4515,-23.9369,-31.9201,-14.7466,-15.3525,-19.9975,-4.16922,-4.34584,-13.5843,-0,-0,-10.1997,-0,-10.9918,-11.3946,-5.90063,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,1,4,1,2,2,5,6,5,8,12,8,6,13,12,15,6,11,14,4,10,7,4,10,8,3,5,5,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-554.912,0.98776,0.15013,4,31,0,561.081,-0.0294461,-2.89665,-0.850881,-0.821237,4.53519,0.927779,-0.514214,5.12812,2.65649,0.00021288,0.000265992,0.000332589,0.000416228,0.000521487,0.000654297,0.000822428,0.00103618,0.00130942,0.00166107,0.00211716,0.00271256,0.00349083,0.00450184,0.00579891,0.00743572,0.00946265,0.0119214,0.0148374,0.0182099,0.0220019,0.0261203,0.0304335,0.0347788,0.0389745,0.0428308,0.046161,0.0487926,0.0505797,0.0514198,0.0512732,0.0501757,0.0482251,0.0455599,0.0423415,0.0387411,0.0349292,0.0310667,0.0272956,0.02373,0.0204492,0.0174966,0.0148847,0.0126043,0.0106328,0.00894137,0.0074989,0.00627459,0.00523951,0.00436724,0.00363418,0.00301951,0.00250508,0.00207523,0.00171651,0.00141747,0.00116842,0.000961173,0.000788847,0.000645685,0.000526881,-0,-0,-0,-0,-0,-0,-7.10325,-0,-0,-0,-6.15768,-0,-5.65762,-5.40327,-0,-9.80292,-9.32081,-4.42942,-12.6318,-8.01158,-19.0831,-21.8703,-6.98442,-20.1525,-25.9588,-37.806,-21.5293,-48.3228,-17.9052,-29.6773,-41.5882,-32.9145,-27.2869,-18.5324,-28.4579,-32.5086,-26.8354,-24.3013,-32.4093,-14.9641,-15.5592,-20.2287,-4.20742,-4.37372,-13.6314,-0,-0,-10.1425,-0,-10.8672,-11.2347,-5.80266,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,4,1,1,4,6,3,5,7,8,6,4,9,13,7,11,12,10,9,5,6,9,4,5,5,6,8,1,3,1,7,1,3,2,1,1,0,0,0,0,0,0,0,1,2,0
-553.637,0.996173,0.15013,4,15,0,556.935,-0.153292,-2.68958,-0.774211,-0.659214,4.5487,0.723448,-0.519996,4.93557,2.39576,9.68912e-05,0.000125791,0.000163428,0.00021253,0.000276728,0.000360913,0.000471738,0.000618383,0.000813733,0.00107616,0.00143196,0.00191801,0.00258297,0.00348646,0.00469631,0.00628474,0.00832318,0.010875,0.0139857,0.0176701,0.0218997,0.026577,0.0315506,0.0366224,0.0415612,0.0461196,0.0500513,0.0531296,0.0551654,0.0560292,0.0556744,0.0541499,0.0515878,0.0481761,0.0441339,0.039692,0.0350763,0.0304936,0.026118,0.0220804,0.0184626,0.0152994,0.0125872,0.0102966,0.00838437,0.00680183,0.00550099,0.00443736,0.00357137,0.00286875,0.00230033,0.0018416,0.00147216,0.00117514,0.000936699,0.00074552,0.000592394,0.00046986,0.000371886,0.000293615,0.000231145,-0,-0,-0,-0,-0,-0,-7.65909,-0,-0,-0,-6.54871,-0,-5.95881,-5.65887,-0,-10.1393,-9.57742,-4.52129,-12.8092,-8.07176,-19.1064,-21.7663,-6.91232,-19.8426,-25.4447,-36.9182,-20.9629,-46.9603,-17.3845,-28.8188,-40.4353,-32.076,-26.6802,-18.1974,-28.0847,-32.2661,-26.8018,-24.4317,-32.8062,-15.2523,-15.968,-20.8997,-4.37508,-4.57594,-14.3442,-0,-0,-10.8354,-0,-11.7078,-12.1494,-6.29712,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,6,1,4,7,4,6,5,6,8,11,8,16,17,12,9,13,7,13,8,6,5,4,7,4,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
-554.598,0.996971,0.15013,4,15,0,556.286,-1.82443,-2.24583,-0.953826,-0.857311,4.37572,0.422272,-0.474925,5.97442,2.93548,0.000136827,0.000169743,0.000210753,0.000261944,0.000325993,0.000406371,0.000507622,0.000635767,0.0007989,0.00100805,0.00127838,0.00163073,0.00209331,0.00270327,0.0035076,0.00456306,0.00593439,0.00769015,0.00989575,0.0126037,0.0158423,0.0195911,0.0237819,0.0282953,0.0329648,0.037585,0.0419249,0.0457449,0.0488188,0.0509616,0.052059,0.0520838,0.0510901,0.0491944,0.0465544,0.0433513,0.0397738,0.0360035,0.0322022,0.0285026,0.0250034,0.0217693,0.0188351,0.0162119,0.013894,0.0118647,0.0101009,0.00857706,0.00726676,0.00614453,0.00518653,0.00437099,0.00367833,0.00309121,0.00259439,0.00217455,0.00182019,0.00152139,0.00126966,0.00105772,0.000879414,-0,-0,-0,-0,-0,-0,-7.58577,-0,-0,-0,-6.66216,-0,-6.16901,-5.91329,-0,-10.7795,-10.254,-4.86782,-13.847,-8.74753,-20.7254,-23.5961,-7.47766,-21.3904,-27.2985,-39.3738,-22.2031,-49.3548,-18.1178,-29.7668,-41.3753,-32.5039,-26.7675,-18.0719,-27.6042,-31.3842,-25.7964,-23.269,-30.9215,-14.231,-14.755,-19.1363,-3.97203,-4.12201,-12.8289,-0,-0,-9.51733,-0,-10.1844,-10.5234,-5.43277,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,4,4,5,9,7,11,4,8,13,7,16,9,11,12,11,5,7,7,4,6,4,3,2,5,2,2,2,3,4,0,1,0,1,2,0,0,0,0,0,0,0
-554.632,0.994167,0.15013,5,31,0,560.147,-1.14105,-1.47744,-0.835033,-0.92064,4.24512,0.548662,-0.624756,5.49847,2.8564,5.22531e-05,6.42902e-05,7.92503e-05,9.79229e-05,0.000121355,0.000150957,0.000188677,0.000237269,0.000300753,0.000385206,0.000500152,0.000660948,0.000892524,0.00123443,0.00174654,0.0025141,0.0036505,0.00529566,0.0076076,0.0107458,0.0148466,0.0199205,0.0258727,0.0324875,0.0394289,0.0462584,0.0524703,0.0575445,0.0610234,0.0626114,0.0622561,0.0601446,0.0566204,0.0520934,0.0469733,0.0416275,0.0363548,0.031373,0.0268194,0.0227612,0.0192123,0.0161518,0.0135386,0.0113233,0.0094547,0.00788447,0.00656849,0.00546782,0.00454865,0.00378194,0.00314299,0.00261087,0.00216794,0.0017993,0.00149246,0.0012369,0.00102378,0.000845726,0.000696593,0.00057131,0.000465735,-0,-0,-0,-0,-0,-0,-8.57547,-0,-0,-0,-7.6006,-0,-7.02146,-6.69714,-0,-11.9717,-11.2258,-5.24087,-14.6358,-9.06648,-21.0499,-23.496,-7.30914,-20.5614,-25.866,-36.8821,-20.6326,-45.6831,-16.779,-27.7081,-38.871,-30.921,-25.8425,-17.7283,-27.5236,-31.7899,-26.5154,-24.2327,-32.5677,-15.1308,-15.8088,-20.6286,-4.30221,-4.4809,-13.9837,-0,-0,-10.4177,-0,-11.155,-11.5252,-5.94807,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,3,6,3,3,8,10,10,12,12,10,7,15,6,13,8,11,7,6,9,6,3,8,1,1,3,3,0,1,1,2,1,0,3,1,0,0,0,0,0,0,0,0
-552.775,0.993415,0.15013,3,7,0,555.895,-1.05777,-1.64499,-0.858104,-0.892509,4.2228,0.470704,-0.619713,5.4004,2.8135,7.70098e-05,9.51653e-05,0.000117793,0.000146099,0.000181673,0.000226642,0.000283911,0.000357533,0.000453316,0.000579831,0.000750066,0.000984058,0.00131262,0.00178183,0.00245714,0.00342601,0.00479721,0.00669556,0.00925071,0.0125799,0.0167663,0.0217756,0.0274811,0.0336572,0.0399874,0.0460848,0.0515252,0.0558908,0.0588293,0.0601216,0.0597337,0.0578119,0.0546284,0.0505168,0.0458214,0.0408616,0.0359081,0.031168,0.0267822,0.0228296,0.0193391,0.0163039,0.0136949,0.0114712,0.00958788,0.00800021,0.00666646,0.00554899,0.00461465,0.00383468,0.0031844,0.00264278,0.00219198,0.00181695,0.00150498,0.00124539,0.00102923,0.000849021,0.00069855,0.000572685,0.000467223,-0,-0,-0,-0,-0,-0,-8.16685,-0,-0,-0,-7.19535,-0,-6.63573,-6.33012,-0,-11.3527,-10.6794,-5.00631,-14.0492,-8.75131,-20.4419,-22.9618,-7.18851,-20.3492,-25.7535,-36.9273,-20.7598,-46.1497,-16.9987,-28.1139,-39.45,-31.3562,-26.1648,-17.9127,-27.747,-31.9756,-26.6143,-24.2785,-32.5802,-15.1188,-15.7825,-20.5818,-4.29073,-4.46792,-13.9418,-0,-0,-10.3883,-0,-11.1273,-11.499,-5.93592,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4,6,6,9,10,8,9,10,12,13,13,18,6,15,8,4,3,7,6,4,3,4,2,1,1,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0
-552.704,0.979372,0.15013,4,15,0,556.608,-0.305433,-2.62252,-0.975258,-0.812497,4.54688,0.706262,-0.612863,5.13804,2.67431,0.000202656,0.000253818,0.000318157,0.000399222,0.000501603,0.000631299,0.000796234,0.00100701,0.00127801,0.00162896,0.00208678,0.00268713,0.00347424,0.00449889,0.00581527,0.0074771,0.00953299,0.0120206,0.0149594,0.0183428,0.0221308,0.0262262,0.0304974,0.0347845,0.0389101,0.0426905,0.0459468,0.0485156,0.0502605,0.0510865,0.0509567,0.0499026,0.0480157,0.0454275,0.042292,0.0387733,0.0350354,0.0312329,0.0275029,0.0239568,0.0206748,0.0177048,0.0150658,0.0127542,0.010752,0.00903258,0.00756606,0.00632191,0.00527098,0.0043864,0.00364404,0.00302255,0.00250332,0.00207025,0.00170956,0.0014095,0.00116012,0.000953052,0.000781255,0.000638843,0.000520904,-0,-0,-0,-0,-0,-0,-7.13562,-0,-0,-0,-6.17213,-0,-5.66238,-5.40393,-0,-9.79182,-9.30599,-4.42113,-12.6072,-7.99704,-19.0539,-21.846,-6.98023,-20.1515,-25.972,-37.8453,-21.5619,-48.4139,-17.9432,-29.7423,-41.6749,-32.9745,-27.326,-18.5498,-28.4684,-32.5002,-26.8112,-24.264,-32.3412,-14.926,-15.5154,-20.1696,-4.19533,-4.36189,-13.598,-0,-0,-10.1275,-0,-10.8585,-11.2293,-5.80165,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,3,1,9,2,2,4,5,6,15,7,8,6,12,9,7,5,8,10,15,10,8,8,7,2,5,1,2,7,2,0,0,2,1,1,1,1,0,1,0,0,0,1,0,0,0
-553.474,0.99626,0.15013,4,31,0,556.185,-0.159512,-2.93569,-0.919921,-0.788843,4.43861,0.643643,-0.688546,5.00421,2.62771,0.000225687,0.000283916,0.000357385,0.000450213,0.000567707,0.000716753,0.000906356,0.0011484,0.00145873,0.00185854,0.00237603,0.00304751,0.00391702,0.00503398,0.00644982,0.00821407,0.0103697,0.0129471,0.0159573,0.0193839,0.023177,0.0272369,0.0314304,0.0355986,0.039567,0.0431571,0.0461975,0.0485355,0.0500485,0.0506581,0.0503435,0.0491452,0.0471565,0.0445071,0.0413478,0.0378391,0.03414,0.0303993,0.0267466,0.0232854,0.0200886,0.0171985,0.0146307,0.0123807,0.0104308,0.00875546,0.0073261,0.0061134,0.00508927,0.00422771,0.00350526,0.00290113,0.00239711,0.00197744,0.0016286,0.00133906,0.00109903,0.000900288,0.000735899,0.000600077,0.000487994,-0,-0,-0,-0,-0,-0,-7.00608,-0,-0,-0,-6.04233,-0,-5.54242,-5.29154,-0,-9.60381,-9.13774,-4.34689,-12.4135,-7.88663,-18.823,-21.6191,-6.91996,-20.0127,-25.8381,-37.7149,-21.5238,-48.4074,-17.9686,-29.8266,-41.8444,-33.1427,-27.4885,-18.6726,-28.6716,-32.7441,-27.0183,-24.4534,-32.5921,-15.0397,-15.6304,-20.3147,-4.22464,-4.39162,-13.689,-0,-0,-10.1945,-0,-10.9322,-11.307,-5.84266,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,2,4,3,3,4,6,2,4,11,3,8,9,9,9,10,7,10,12,14,6,12,7,9,4,6,2,1,1,2,2,1,3,0,2,1,1,0,0,0,1,0,0,0,1,1,1
