# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 14:18:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25cfcfc72.json
# init = /tmp/RtmpC8O1hA/init-b41c259871abd_3.json
# random
#   seed = 2652003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0252_rep026_accurate_moderate/prior_sensitivity_obspair_FAST-202605301518-3-8e58b4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0252_rep026_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605301518-3-81f5f9.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0850096
# Diagonal elements of inverse mass matrix:
# 0.087643, 0.0644867, 0.0324329, 0.0125585, 0.0362801, 0.0252947, 0.0319216
-545.555,0.999831,0.0850096,5,31,0,547.536,-1.86646,-0.913835,-1.10828,-0.593978,3.3019,-0.65371,-1.18438,5.89699,2.94598,4.59875e-05,6.06822e-05,8.0109e-05,0.000105819,0.000139893,0.00018513,0.00024532,0.000325617,0.000433071,0.000577354,0.000771771,0.0010346,0.00139078,0.00187402,0.00252902,0.00341363,0.00460049,0.00617734,0.0082455,0.0109159,0.0143021,0.0183787,0.0230626,0.0282072,0.0336019,0.0389824,0.0440495,0.0484987,0.0520542,0.0545024,0.0557178,0.0556748,0.0544442,0.0521759,0.0490733,0.0453652,0.0412804,0.0370277,0.032784,0.0286883,0.0248408,0.0213068,0.0181214,0.0152959,0.0128238,0.0106865,0.0088573,0.00730577,0.00599993,0.0049083,0.00400119,0.00325136,0.0026344,0.00212886,0.00171612,0.00138024,0.00110766,0.000887015,0.000708782,0.000565064,0.000449345,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.7475,-0,-0,-0,-0,-0,-5.08687,-9.59618,-9.03508,-25.4841,-27.9759,-37.6954,-21.4091,-27.1454,-6.48929,-15.6122,-21.1835,-53.1985,-23.2761,-34.6495,-31.7705,-29.1058,-23.6251,-39.1877,-21.6511,-31.8737,-32.9609,-20.5069,-14.2051,-14.7811,-19.2436,-12.032,-8.36034,-8.7129,-4.53878,-4.72651,-9.83818,-5.11601,-10.6337,-5.52116,-0,-0,-0,-6.36769,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,2,4,4,4,2,8,8,12,7,11,9,14,13,11,6,6,12,7,6,4,9,4,3,8,4,1,0,1,1,3,2,3,0,1,1,0,0,1,1,0,0,0
-543.308,0.995289,0.0850096,5,31,0,548.929,-2.62957,-1.37273,-1.40903,-0.344234,3.25133,-0.334144,-0.977217,5.42936,2.47949,2.47411e-05,3.52487e-05,5.02096e-05,7.15011e-05,0.000101782,0.000144805,0.000205851,0.000292302,0.000414402,0.000586217,0.000826796,0.00116147,0.00162323,0.00225386,0.00310478,0.00423705,0.00572041,0.007631,0.0100477,0.0130469,0.0166963,0.0209685,0.025788,0.0310226,0.0364799,0.0419098,0.047016,0.0514792,0.0549921,0.0573006,0.0582444,0.0577826,0.0559973,0.0530736,0.0492637,0.0448483,0.0401016,0.0352674,0.0305452,0.0260849,0.0219887,0.0183157,0.0150898,0.0123075,0.00994622,0.00797049,0.00633823,0.00500496,0.0039269,0.00306308,0.00237655,0.00183492,0.00141041,0.00107967,0.000823381,0.00062574,0.000474003,0.000357974,0.000269575,0.000202449,0.000151631,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5161,-0,-0,-0,-0,-0,-4.87554,-9.20083,-8.67841,-24.5554,-27.0531,-36.5785,-20.8382,-26.4879,-6.34447,-15.2863,-20.766,-52.2102,-22.8756,-34.1173,-31.3617,-28.8245,-23.4886,-39.1374,-21.7313,-32.1634,-33.448,-20.9313,-14.5856,-15.2689,-20,-12.5812,-8.79509,-9.22112,-4.83201,-5.06115,-10.5947,-5.53991,-11.5767,-6.0421,-0,-0,-0,-7.10209,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,2,5,9,7,4,7,9,12,16,11,15,13,7,12,8,5,7,12,4,7,2,8,4,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
-544.208,0.990583,0.0850096,5,31,0,547.659,-2.14176,-1.31671,-1.72023,-0.245985,3.49991,-0.393493,-1.42309,5.47643,2.46488,2.11762e-05,3.11916e-05,4.58867e-05,6.73951e-05,9.87776e-05,0.000144386,0.000210343,0.000305156,0.000440462,0.000631905,0.000900092,0.00127155,0.00177957,0.0024648,0.00337536,0.00456645,0.00609917,0.00803855,0.0104508,0.0133996,0.0169424,0.0210297,0.0255763,0.0304573,0.0355071,0.0405211,0.0452634,0.0494795,0.0529164,0.0553489,0.0566084,0.0566095,0.0553653,0.0529865,0.0496642,0.0456387,0.0411673,0.0364941,0.0318312,0.0273473,0.0231651,0.0193646,0.0159881,0.0130477,0.0105326,0.00841583,0.00666053,0.00522451,0.00406416,0.00313718,0.00240433,0.00183047,0.00138504,0.00104207,0.000779923,0.000580901,0.00043073,0.000318054,0.000233946,0.000171456,0.000125226,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.335,-0,-0,-0,-0,-0,-4.82351,-9.12216,-8.62506,-24.4676,-27.0327,-36.6609,-20.9486,-26.7042,-6.41186,-15.4763,-21.0434,-52.9027,-23.1528,-34.4592,-31.5874,-28.938,-23.5017,-39.0321,-21.609,-31.9011,-33.106,-20.6838,-14.3966,-15.0604,-19.7215,-12.4077,-8.67828,-9.10656,-4.77764,-5.01156,-10.5088,-5.50555,-11.5289,-6.03049,-0,-0,-0,-7.15631,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,7,4,10,10,12,11,5,9,9,11,10,19,14,11,5,6,6,4,0,5,6,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
-544.093,0.994277,0.0850096,5,31,0,548.453,-2.01119,-2.07939,-1.52976,-0.155531,3.47315,-0.403655,-0.972352,5.20887,2.32402,2.24539e-05,3.42517e-05,5.21421e-05,7.91627e-05,0.000119761,0.000180354,0.000270037,0.000401419,0.000591543,0.000862772,0.0012435,0.00176847,0.00247859,0.0034199,0.00464178,0.00619425,0.00812442,0.0104724,0.0132667,0.0165203,0.0202265,0.0243164,0.028688,0.0332069,0.0377101,0.0420122,0.0459155,0.0492233,0.0517558,0.053368,0.0539667,0.0535226,0.0520751,0.0497265,0.0466282,0.0429613,0.0389173,0.0346815,0.0304209,0.0262769,0.0223613,0.0187557,0.0155122,0.0126568,0.0101932,0.00810712,0.00637173,0.0049517,0.00380753,0.00289879,0.00218658,0.00163523,0.00121322,0.000893542,0.000653673,0.000475241,0.000343555,0.000247063,0.00017682,0.000125989,8.94035e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.6753,-0,-0,-0,-0,-0,-4.55902,-8.645,-8.20634,-23.4046,-26.0162,-35.5128,-20.43,-26.2226,-6.33959,-15.4048,-21.0797,-53.302,-23.4444,-35.0327,-32.2042,-29.5507,-24.0097,-39.8521,-22.0322,-32.4632,-33.6155,-20.9558,-14.5563,-15.2017,-19.8813,-12.4984,-8.73912,-9.17208,-4.81501,-5.05588,-10.616,-5.57077,-11.6869,-6.12542,-0,-0,-0,-7.3329,-0,-0,-0,-0,-0,-0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,1,2,2,0,1,4,4,2,1,8,14,15,8,10,10,12,7,12,8,15,8,10,4,9,8,2,2,3,1,2,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0
-544.65,0.999168,0.0850096,5,63,0,548.645,-2.41291,-1.85007,-1.59033,-0.67848,2.95198,0.13406,-1.07313,5.43379,2.87291,0.000117654,0.000151841,0.00019604,0.000253232,0.000327319,0.000423425,0.000548302,0.000710889,0.000923057,0.00120059,0.00156444,0.00204208,0.00266889,0.00348893,0.00455474,0.00592571,0.00766476,0.00983358,0.0124863,0.0156625,0.0193803,0.023574,0.028131,0.032889,0.0376396,0.0421377,0.0461194,0.0493307,0.0515649,0.0526969,0.052701,0.0516441,0.0496629,0.0469365,0.0436613,0.0400324,0.0362284,0.0324029,0.0286788,0.0251471,0.0218691,0.0188804,0.0161958,0.0138141,0.0117233,0.00990441,0.00833408,0.00698735,0.00583903,0.00486486,0.00404213,0.00335006,0.00277,0.00228536,0.00188163,0.00154617,0.0012681,0.00103809,0.000848202,0.000691714,0.000562958,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.3876,-0,-0,-0,-0,-0,-4.62195,-8.76625,-8.31297,-23.661,-26.2333,-35.7088,-20.4877,-26.2376,-6.33362,-15.3826,-21.0645,-53.3685,-23.5456,-35.3174,-32.5972,-30.025,-24.4717,-40.7068,-22.5265,-33.1791,-34.2951,-21.3096,-14.7321,-15.2907,-19.8481,-12.369,-8.56414,-8.89235,-4.61478,-4.7874,-9.92731,-5.14319,-10.6514,-5.51098,-0,-0,-0,-6.27562,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,4,1,2,4,9,6,7,10,14,8,8,9,7,6,16,9,6,9,6,12,5,5,1,3,6,4,3,5,2,0,0,0,1,1,0,1,2,0,0,0,1,0,0
-544.698,0.998876,0.0850096,5,63,0,546.904,-2.32955,-1.95196,-1.0833,-0.324454,4.50427,-0.0404654,-1.46145,5.74955,2.28145,1.48096e-05,2.12855e-05,3.06076e-05,4.40396e-05,6.3416e-05,9.14065e-05,0.000131902,0.000190569,0.000275635,0.000398927,0.000577187,0.000833557,0.00119908,0.00171397,0.0024283,0.00340172,0.00470182,0.00640054,0.00856851,0.0112672,0.0145394,0.0183889,0.0227768,0.027614,0.0327585,0.038017,0.0431528,0.0478995,0.0519808,0.055136,0.0571513,0.057891,0.0573188,0.0555019,0.0525952,0.0488145,0.0444076,0.0396289,0.0347184,0.0298862,0.0253022,0.0210902,0.0173276,0.0140496,0.0112567,0.00892317,0.00700666,0.00545595,0.00421728,0.00323881,0.00247324,0.00187916,0.00142142,0.00107091,0.000803954,0.000601594,0.000448841,0.000333963,0.000247857,0.000183511,0.000135556,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.1796,-0,-0,-0,-0,-0,-5.05137,-9.51932,-8.97172,-25.3854,-27.9721,-37.8201,-21.5366,-27.3487,-6.53944,-15.715,-21.2705,-53.2239,-23.1836,-34.3446,-31.3411,-28.5913,-23.1307,-38.2867,-21.1381,-31.1434,-32.282,-20.1629,-14.0414,-14.7075,-19.2947,-12.1664,-8.53032,-8.97359,-4.7191,-4.96089,-10.4221,-5.46856,-11.4651,-6.00223,-0,-0,-0,-7.12597,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,2,3,8,6,1,6,4,13,6,10,14,10,12,9,9,8,12,10,8,12,4,6,7,3,2,1,1,1,2,0,0,0,1,0,1,0,0,0,0,0,1
