# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 14:29:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23b0944e.json
# init = /tmp/RtmpC8O1hA/init-b41c26c3462ab_1.json
# random
#   seed = 2652005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0254_rep026_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301529-1-8cdbf9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0254_rep026_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301529-1-200f8d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0467652
# Diagonal elements of inverse mass matrix:
# 0.0844634, 0.0849215, 0.131184, 0.0501928, 0.186019, 0.115958, 0.14886
-547.893,0.991687,0.0467652,6,63,0,549.947,-2.87187,-3.89715,-2.19521,0.179199,5.26612,0.625101,-1.18614,5.62904,1.95258,2.46879e-06,4.48964e-06,8.16312e-06,1.48345e-05,2.69205e-05,4.86831e-05,8.73384e-05,0.000154239,0.000265584,0.000442527,0.00071116,0.00110273,0.00165401,0.00240759,0.00341172,0.00471916,0.00638427,0.00845738,0.0109759,0.0139529,0.0173676,0.0211529,0.0252086,0.0294133,0.0336385,0.037756,0.0416404,0.0451682,0.0482159,0.0506601,0.0523802,0.0532658,0.0532305,0.0522361,0.0503204,0.0476033,0.044253,0.0404463,0.0363477,0.0321029,0.0278382,0.0236642,0.0196788,0.0159701,0.0126168,0.00968339,0.00721203,0.00521384,0.00366495,0.00251188,0.00168413,0.0011082,0.000717786,0.00045875,0.000289892,0.000181418,0.000112584,6.93571e-05,4.2452e-05,2.58352e-05,1.5642e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6199,-0,-0,-0,-0,-0,-4.77272,-9.02412,-8.54413,-24.3189,-26.9918,-36.8057,-21.1578,-27.1367,-6.55322,-15.8934,-21.6815,-54.5772,-23.8609,-35.3907,-32.2571,-29.3312,-23.6159,-38.8615,-21.314,-31.1783,-32.0778,-19.8877,-13.7552,-14.3254,-18.719,-11.7846,-8.27407,-8.74545,-4.63734,-4.932,-10.5129,-5.60894,-11.9734,-6.3865,-0,-0,-0,-8.146,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,4,5,9,4,7,5,5,8,9,10,8,16,17,11,10,12,10,7,6,5,7,1,1,2,1,2,2,3,1,1,3,0,0,0,0,1,0,0,0,0,0,0
-545.052,0.999068,0.0467652,7,127,0,550.447,-2.34166,-1.01699,-0.255629,-0.687231,2.66101,-0.453353,-1.01437,5.65416,2.96573,7.58362e-05,9.77179e-05,0.00012598,0.000162525,0.000209845,0.000271224,0.000351005,0.00045497,0.000590862,0.000769121,0.00100391,0.00131452,0.00172732,0.00227819,0.0030155,0.00400302,0.00532195,0.00707045,0.00935865,0.0122978,0.0159832,0.0204293,0.0255589,0.0311834,0.0370041,0.0426403,0.047684,0.0517647,0.0546083,0.0560711,0.0561462,0.054945,0.0526629,0.0495425,0.0458379,0.041789,0.0376044,0.0334522,0.0294593,0.0257134,0.0222691,0.0191537,0.0163743,0.013923,0.0117821,0.00992796,0.00833365,0.00697132,0.00581355,0.00483436,0.0040097,0.00331782,0.0027393,0.00225701,0.00185605,0.0015235,0.00124826,0.00102089,0.000833359,0.000678885,0.000551793,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.2686,-0,-0,-0,-0,-0,-4.95183,-9.34291,-8.79667,-24.8173,-27.2355,-36.6677,-20.8072,-26.3738,-6.30991,-15.2158,-20.7273,-52.3363,-23.0491,-34.5575,-31.9157,-29.4384,-24.0394,-40.0744,-22.2258,-32.8064,-33.9764,-21.1485,-14.643,-15.2182,-19.7763,-12.3361,-8.54843,-8.88235,-4.6124,-4.78745,-9.9319,-5.14756,-10.664,-5.51904,-0,-0,-0,-6.2893,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,3,5,4,5,6,8,7,7,10,10,19,6,10,12,9,10,6,11,5,5,3,2,6,4,5,1,3,1,2,2,3,1,0,0,1,0,0,1,0,0,0,0
-544.036,0.999318,0.0467652,6,127,0,547.979,-2.0158,-2.59974,-0.831632,-0.397731,5.01694,0.0706614,-2.17194,5.77326,2.19346,2.17975e-05,3.05502e-05,4.28434e-05,6.0132e-05,8.44866e-05,0.000118867,0.000167517,0.000236542,0.000334698,0.000474455,0.000673292,0.000955148,0.00135185,0.0019043,0.00266299,0.0036875,0.00504425,0.00680208,0.00902532,0.0117646,0.0150463,0.0188608,0.0231549,0.0278283,0.0327343,0.0376861,0.0424675,0.0468469,0.0505945,0.0535008,0.0553969,0.0561729,0.0557912,0.0542901,0.0517767,0.0484124,0.0443956,0.0399434,0.0352749,0.0305951,0.0260811,0.0218728,0.0180671,0.0147181,0.0118419,0.00942382,0.00742833,0.00580746,0.00450844,0.00347901,0.00267086,0.00204141,0.00155434,0.00117955,0.000892501,0.000673536,0.000507089,0.000380947,0.000285605,0.000213713,0.000159621,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.9073,-0,-0,-0,-0,-0,-4.99053,-9.41544,-8.88532,-25.1797,-27.7947,-37.6555,-21.4902,-27.3547,-6.55693,-15.7951,-21.4261,-53.7104,-23.4245,-34.7188,-31.6725,-28.8614,-23.3073,-38.4906,-21.196,-31.1462,-32.2029,-20.0675,-13.9477,-14.5862,-19.1126,-12.041,-8.43735,-8.87223,-4.66452,-4.90245,-10.2972,-5.4018,-11.322,-5.92535,-0,-0,-0,-7.02148,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,7,10,7,6,12,8,10,6,7,11,11,13,9,11,7,5,13,6,5,6,0,3,4,2,3,1,1,1,1,1,1,0,0,1,0,0,0,0,0
-543.427,0.998357,0.0467652,6,127,0,545.805,-1.08086,-2.89476,-0.638631,-0.683313,4.99559,0.672369,-0.474344,5.5827,2.4022,6.57824e-05,8.4896e-05,0.000109648,0.000141758,0.000183514,0.000237984,0.000309337,0.000403325,0.000528036,0.000695053,0.00092111,0.00123014,0.00165535,0.00224088,0.00304274,0.0041284,0.00557436,0.007461,0.0098639,0.0128414,0.0164196,0.020575,0.0252271,0.0302367,0.0354124,0.040522,0.0453087,0.0495097,0.0528784,0.0552069,0.056351,0.0562524,0.0549476,0.0525569,0.0492623,0.0452835,0.040857,0.0362168,0.0315777,0.0271218,0.0229879,0.019266,0.0159984,0.0131876,0.0108078,0.00881704,0.00716693,0.00580852,0.00469616,0.00378903,0.00305171,0.00245403,0.0019706,0.00158031,0.00126568,0.00101236,0.000808612,0.000644877,0.000513389,0.000407866,0.000323239,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.4013,-0,-0,-0,-0,-0,-4.89807,-9.23775,-8.71016,-24.6557,-27.1858,-36.7984,-20.9922,-26.7255,-6.41182,-15.4713,-21.0391,-52.9157,-23.1733,-34.5139,-31.657,-29.0138,-23.5669,-39.1378,-21.6637,-31.9768,-33.1823,-20.7318,-14.4297,-15.0911,-19.7471,-12.4058,-8.65696,-9.05498,-4.73107,-4.93828,-10.2969,-5.36101,-11.1513,-5.79205,-0,-0,-0,-6.67215,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,1,2,2,3,3,4,7,5,11,5,8,20,11,9,12,9,8,17,11,3,9,7,4,6,2,5,1,2,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0
-543.54,0.993693,0.0467652,6,127,0,545.23,-0.920758,-2.14192,-0.740245,-0.675239,4.75528,0.484865,-0.235221,5.37277,2.45364,5.32595e-05,6.89264e-05,8.92915e-05,0.000115826,0.000150506,0.000196019,0.000256076,0.000335897,0.000442993,0.000588402,0.000788572,0.00106795,0.001462,0.00202013,0.00280752,0.00390504,0.00540601,0.00740924,0.0100078,0.0132746,0.0172455,0.0218698,0.0270334,0.0325571,0.0382047,0.043697,0.0487308,0.0529998,0.0562202,0.0581626,0.0586925,0.0578039,0.0556195,0.0523541,0.0482701,0.0436451,0.0387478,0.033821,0.0290677,0.0246417,0.020644,0.0171246,0.0140915,0.0115214,0.00937254,0.00759403,0.00613347,0.00494112,0.00397217,0.00318759,0.00255409,0.00204377,0.00163344,0.00130402,0.00103986,0.000828248,0.000658836,0.000523272,0.000414821,0.000328072,0.000258691,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.684,-0,-0,-0,-0,-0,-4.90503,-9.20877,-8.64381,-24.3612,-26.7585,-36.1068,-20.5486,-26.1184,-6.26095,-15.1072,-20.5623,-51.8126,-22.7561,-34.0253,-31.3577,-28.8922,-23.5978,-39.4022,-21.9216,-32.5068,-33.8667,-21.2288,-14.8133,-15.5213,-20.3362,-12.7866,-8.92709,-9.33994,-4.88039,-5.09399,-10.6203,-5.52844,-11.497,-5.97006,-0,-0,-0,-6.86867,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,2,5,4,7,8,7,10,12,9,10,12,11,7,10,14,8,10,8,8,6,8,2,3,0,1,1,1,1,1,0,1,2,0,0,1,0,0,1,1,0,0,0
-543.797,0.998982,0.0467652,6,63,0,544.733,-0.980323,-2.2484,-0.907146,-0.728709,5.40361,0.67342,-0.408136,5.87886,2.58574,6.06085e-05,7.75216e-05,9.92926e-05,0.000127409,0.00016388,0.000211459,0.000274006,0.000357064,0.000468768,0.000621189,0.000831975,0.00112601,0.0015368,0.00210725,0.00288974,0.00394489,0.00533888,0.00713879,0.00940574,0.0121859,0.0155001,0.0193174,0.0235639,0.0281236,0.0328433,0.037541,0.0420166,0.0460628,0.0494763,0.0520699,0.0536874,0.0542253,0.0536593,0.052056,0.0495523,0.0463233,0.0425606,0.0384576,0.0341999,0.0299565,0.025872,0.0220604,0.0186009,0.0155367,0.0128785,0.0106109,0.00870166,0.00711005,0.005793,0.00470914,0.0038209,0.00309529,0.002504,0.00202308,0.00163252,0.0013157,0.00105893,0.000850962,0.0006826,0.000546356,0.000436145,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5781,-0,-0,-0,-0,-0,-4.94221,-9.33287,-8.81496,-25.0014,-27.6273,-37.4804,-21.4269,-27.3281,-6.56464,-15.8484,-21.5442,-54.1127,-23.6413,-35.0949,-32.0607,-29.251,-23.6435,-39.0614,-21.5048,-31.5683,-32.582,-20.2532,-14.032,-14.6184,-19.0699,-11.9536,-8.3291,-8.70439,-4.54588,-4.74424,-9.89249,-5.15111,-10.7165,-5.56727,-0,-0,-0,-6.41763,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,6,1,0,4,2,8,3,7,5,6,21,10,13,9,15,13,11,7,9,8,6,10,2,2,3,2,4,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
