# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 14:29:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c23b0944e.json
# init = /tmp/RtmpC8O1hA/init-b41c26c3462ab_4.json
# random
#   seed = 2652005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0254_rep026_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301529-4-8cdbf9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0254_rep026_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301529-4-200f8d.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0784211
# Diagonal elements of inverse mass matrix:
# 0.105966, 0.0802441, 0.101221, 0.0242457, 0.162661, 0.193299, 0.502464
-553.355,0.999786,0.0784211,5,31,0,555.018,1.15503,-1.3992,-1.57956,0.297987,7.49911,0.958717,-1.20232,5.64874,2.49627,2.03491e-06,4.06018e-06,8.20382e-06,1.68108e-05,3.4464e-05,6.85955e-05,0.00012943,0.000230045,0.000386748,0.000619497,0.00095216,0.00141256,0.00203231,0.00284641,0.00389269,0.00521111,0.00684288,0.00882938,0.0112107,0.0140234,0.0172976,0.0207728,0.0243757,0.0280634,0.0317917,0.0355078,0.0391464,0.0426285,0.0458605,0.048734,0.0511271,0.0529063,0.0539295,0.0540502,0.0531248,0.0510306,0.0477198,0.0433391,0.0382967,0.0330592,0.0279636,0.0232115,0.0189142,0.0151252,0.0118601,0.00910815,0.00684002,0.0050135,0.00357843,0.00248077,0.00166598,0.00108146,0.000678139,0.000411519,0.000242748,0.000140017,7.94184e-05,4.44931e-05,2.46956e-05,1.36075e-05,7.45347e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.1247,-0,-0,-0,-0,-0,-4.72967,-8.98178,-8.53406,-24.3431,-27.1188,-37.1417,-21.4397,-27.5884,-6.67601,-16.2022,-22.0866,-55.4787,-24.171,-35.6813,-32.3316,-29.2008,-23.3427,-38.1565,-20.8273,-30.4241,-31.387,-19.5743,-13.6378,-14.3074,-18.8155,-11.9035,-8.38279,-8.86916,-4.69859,-4.98496,-10.5912,-5.63283,-11.9984,-6.39734,-0,-0,-0,-8.32349,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,1,5,4,3,1,4,8,3,6,6,12,13,14,11,6,13,20,9,13,14,2,4,3,4,5,1,1,2,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
-551.868,0.991156,0.0784211,5,31,0,554.965,0.78857,-1.59009,-1.58862,0.275933,7.49766,0.802765,-1.22206,5.7307,2.5111,3.69902e-06,7.24976e-06,1.43086e-05,2.83225e-05,5.53768e-05,0.000104639,0.0001882,0.000320879,0.000520233,0.000806616,0.00120316,0.0017356,0.00243198,0.00332219,0.00443746,0.00580968,0.00747059,0.00945067,0.0117775,0.0144736,0.017553,0.0208548,0.0242984,0.0278239,0.0313723,0.0348788,0.0382706,0.0414671,0.0443798,0.0469138,0.0489699,0.0504461,0.0512408,0.0512557,0.0504014,0.0486102,0.0458679,0.0422758,0.0380886,0.0336269,0.0291552,0.0248527,0.0208333,0.0171668,0.013893,0.0110293,0.00857593,0.00651903,0.00483405,0.00348829,0.00244344,0.00165781,0.00108814,0.000691288,0.000426163,0.000256032,0.000150649,8.72157e-05,4.98627e-05,2.82287e-05,1.58555e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7128,-0,-0,-0,-0,-0,-4.66167,-8.88312,-8.47086,-24.2552,-27.0912,-37.1735,-21.4912,-27.6946,-6.71175,-16.3154,-22.28,-56.0695,-24.4755,-36.1986,-32.8554,-29.7122,-23.7674,-38.8406,-21.1675,-30.8199,-31.6354,-19.607,-13.5697,-14.1405,-18.4739,-11.6136,-8.12955,-8.55274,-4.5072,-4.7588,-10.0661,-5.33207,-11.3167,-6.01435,-0,-0,-0,-7.76069,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,3,5,1,4,1,5,10,5,9,7,11,18,9,11,7,6,10,9,17,4,4,4,8,6,1,4,2,2,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0
-547.295,0.977156,0.0784211,6,63,0,555.545,-1.50889,-0.331223,-1.19881,-0.318284,3.32914,-1.09934,-0.0789603,5.97391,2.97667,4.80376e-05,6.62376e-05,9.08684e-05,0.000123989,0.000168238,0.000226971,0.000304437,0.000405998,0.000538413,0.000710211,0.000932187,0.00121808,0.00158547,0.0020571,0.00266275,0.0034423,0.0044512,0.00577078,0.00752873,0.00994853,0.0135477,0.0179412,0.0228714,0.0281062,0.0334133,0.0385547,0.043293,0.0474041,0.0506932,0.0530103,0.0542626,0.0544225,0.0535281,0.0516772,0.0490152,0.045719,0.0419793,0.0379839,0.0339038,0.029884,0.0260388,0.0224504,0.0191713,0.0162284,0.0136281,0.0113614,0.00940877,0.00774394,0.00633746,0.00515888,0.00417848,0.00336831,0.0027029,0.00215944,0.00171793,0.00136103,0.0010739,0.000843954,0.000660603,0.000515012,0.000399845,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.421,-0,-0,-0,-0,-0,-5.15495,-9.77806,-9.22066,-25.8092,-28.1446,-37.7787,-21.4306,-27.1904,-6.51135,-15.6988,-21.3433,-53.6753,-23.4982,-34.967,-32.0207,-29.2755,-23.7019,-39.2031,-21.5967,-31.7058,-32.7059,-20.3054,-14.0417,-14.5927,-18.9822,-11.863,-8.24199,-8.59124,-4.47753,-4.66611,-9.72169,-5.06128,-10.5341,-5.47781,-0,-0,-0,-6.36664,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,2,5,7,5,9,10,8,7,9,11,15,15,14,9,9,8,6,7,8,5,5,4,2,2,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-546.276,0.735989,0.0784211,6,63,0,553.118,-2.76861,-1.4874,-1.92886,-0.391962,4.35836,1.26151,-1.98438,5.34056,2.29287,1.85376e-05,2.60192e-05,3.65374e-05,5.13418e-05,7.22125e-05,0.000101702,0.000143506,0.00020304,0.000288381,0.000411832,0.000592317,0.000857731,0.00124557,0.00180309,0.00258793,0.00366872,0.005125,0.00704548,0.009523,0.0126438,0.0164698,0.0209655,0.0260347,0.0315289,0.0372585,0.0429988,0.0484885,0.0534261,0.0574632,0.0602055,0.0612783,0.0605627,0.0582778,0.0547631,0.0503602,0.0453826,0.0401096,0.034786,0.0296239,0.0248001,0.0204474,0.0166417,0.0134003,0.0106954,0.00847358,0.00667105,0.00522331,0.00407015,0.00315807,0.00244103,0.00188029,0.00144382,0.00110547,0.000844179,0.000643061,0.000488733,0.000370637,0.000280498,0.000211856,0.000159695,0.000120136,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.1224,-0,-0,-0,-0,-0,-4.95537,-9.30809,-8.74118,-24.6374,-27.0541,-36.4832,-20.7411,-26.319,-6.29317,-15.1321,-20.5062,-51.419,-22.4799,-33.5079,-30.8448,-28.4253,-23.2379,-38.8512,-21.6484,-32.1614,-33.5854,-21.115,-14.7876,-15.5596,-20.4792,-12.9374,-9.07588,-9.5416,-5.00998,-5.25462,-11.0082,-5.75779,-12.0307,-6.27633,-0,-0,-0,-7.34927,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,4,3,1,5,10,11,8,9,8,10,11,14,8,12,11,9,11,7,5,6,3,6,2,3,3,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0
-546.908,0.99923,0.0784211,5,63,0,551.238,-1.17008,-1.99685,-1.88081,-0.486234,5.32603,0.483821,-2.4621,5.52062,2.49001,7.04902e-05,9.61754e-05,0.000131369,0.000179711,0.000246318,0.00033841,0.000466144,0.000643547,0.000889257,0.00122669,0.00168359,0.0022912,0.00308329,0.00409499,0.00536136,0.00691555,0.00878656,0.0109964,0.0135568,0.0164663,0.0197078,0.0232128,0.0268941,0.0306495,0.0343659,0.037924,0.0412023,0.044081,0.0464452,0.0481885,0.0492187,0.0494667,0.0489005,0.0475422,0.0454732,0.0428191,0.0397232,0.0363269,0.0327606,0.0291406,0.0255688,0.0221321,0.0189019,0.0159333,0.0132642,0.0109147,0.00888738,0.00716992,0.00573831,0.00456145,0.00360515,0.0028355,0.00222091,0.0017333,0.00134851,0.00104624,0.000809686,0.000625183,0.00048169,0.000370374,0.000284215,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.1574,-0,-0,-0,-0,-0,-4.51019,-8.60173,-8.21287,-23.5604,-26.3414,-36.1585,-20.9108,-26.9655,-6.54434,-15.9463,-21.8521,-55.2507,-24.2611,-36.1378,-33.071,-30.1797,-24.3691,-40.1782,-22.0554,-32.2582,-33.152,-20.5112,-14.1425,-14.6655,-19.0536,-11.9055,-8.27869,-8.64537,-4.51765,-4.72312,-9.87572,-5.16059,-10.7802,-5.62539,-0,-0,-0,-6.60875,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,4,3,2,5,2,6,4,8,6,11,10,12,10,8,14,10,7,11,5,10,7,8,7,6,5,3,0,1,3,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
-546.695,0.998204,0.0784211,5,31,0,550.07,-0.916972,-1.12946,-1.58146,-0.249609,5.8774,0.146152,-1.72278,5.6013,2.39488,4.44792e-06,6.64263e-06,9.96854e-06,1.50589e-05,2.29464e-05,3.53404e-05,5.50841e-05,8.686e-05,0.000138184,0.00022068,0.000351553,0.000555154,0.000864458,0.0013223,0.00198214,0.00290823,0.00417491,0.00586494,0.00806683,0.0108709,0.0143642,0.0184863,0.0231484,0.0282322,0.0335896,0.0390424,0.0443851,0.0493883,0.053805,0.0573803,0.0598658,0.0610423,0.0607518,0.0589389,0.055689,0.0512404,0.0459483,0.0402124,0.0344032,0.0288178,0.0236662,0.0190761,0.0151071,0.0117657,0.0090208,0.00681619,0.00508221,0.00374435,0.00272991,0.0019725,0.00141454,0.00100813,0.000714887,0.000504899,0.000355439,0.000249566,0.000174846,0.000122265,8.53438e-05,5.94626e-05,4.13421e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.9925,-0,-0,-0,-0,-0,-5.13876,-9.63999,-9.04334,-25.4581,-27.9351,-37.6583,-21.4037,-27.1483,-6.48622,-15.5743,-21.0563,-52.603,-22.8644,-33.7878,-30.7581,-28.0096,-22.65,-37.5436,-20.7986,-30.8024,-32.1358,-20.2176,-14.187,-14.9748,-19.7966,-12.5778,-8.88513,-9.41645,-4.98845,-5.28201,-11.175,-5.90349,-12.4569,-6.56095,-0,-0,-0,-7.94216,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,2,3,5,2,2,8,9,11,9,17,10,13,16,17,3,10,11,8,5,5,6,3,4,4,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
