# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 15:08:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24e3a93.json
# init = /tmp/RtmpC8O1hA/init-b41c2462e5c7c_1.json
# random
#   seed = 2652009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0258_rep026_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301608-1-48bcbc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0258_rep026_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301608-1-2540d8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.103359
# Diagonal elements of inverse mass matrix:
# 0.129104, 0.0687219, 0.0331597, 0.0128804, 0.0376993, 0.0291873, 0.0789346
-545.903,0.919308,0.103359,4,31,0,551.361,-1.49897,-2.18024,-1.00286,-0.906839,5.05759,1.05513,-0.74044,6.12757,2.86125,0.000103466,0.000127365,0.000157002,0.00019387,0.000239918,0.000297725,0.000370765,0.000463833,0.00058372,0.000740322,0.000948196,0.00122822,0.00160901,0.00212807,0.00283264,0.00377971,0.00503483,0.00666885,0.00875173,0.0113425,0.014476,0.0181388,0.0222686,0.0267545,0.0314438,0.0361514,0.0406701,0.0447821,0.04827,0.0509312,0.0525963,0.0531649,0.0526412,0.0511173,0.0487348,0.0456633,0.0420866,0.0381925,0.0341623,0.0301607,0.0263266,0.0227641,0.0195373,0.0166723,0.014166,0.0119966,0.0101332,0.00854152,0.00718768,0.00603988,0.0050692,0.00424994,0.00355956,0.00297846,0.00248979,0.00207909,0.00173406,0.00144427,0.00120089,0.000996495,0.000824856,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.4044,-0,-0,-0,-0,-0,-5.01031,-9.47701,-8.95839,-25.4116,-28.0679,-38.0458,-21.7263,-27.6764,-6.64008,-16.0113,-21.7416,-54.557,-23.8182,-35.3413,-32.2779,-29.4426,-23.7891,-39.2777,-21.6052,-31.6803,-32.6512,-20.2598,-14.0049,-14.5487,-18.9129,-11.8063,-8.18801,-8.51382,-4.42313,-4.59194,-9.52563,-4.93539,-10.2187,-5.28457,-0,-0,-0,-5.99556,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,3,3,1,5,5,5,3,7,12,8,5,9,8,8,10,10,8,7,8,11,9,6,4,6,5,6,3,1,2,4,1,3,2,1,1,2,1,0,1,0,0,0,0,1
-546.923,0.97646,0.103359,4,15,0,550.665,-0.769063,-1.67001,-0.874278,-0.814405,5.16031,1.16982,-0.789128,5.72293,2.64615,1.99883e-05,2.51851e-05,3.18147e-05,4.03227e-05,5.13269e-05,6.57074e-05,8.4762e-05,0.000110496,0.00014619,0.000197582,0.000275045,0.000396593,0.000591105,0.000901444,0.00138697,0.00212475,0.00320891,0.0047476,0.00685701,0.00965128,0.0132266,0.0176011,0.022725,0.0284699,0.0346288,0.0409248,0.0470266,0.052569,0.0571769,0.06049,0.0621972,0.0621151,0.0603062,0.0570428,0.0526763,0.0475743,0.0420904,0.036542,0.0311932,0.026242,0.021816,0.0179737,0.0147147,0.0119961,0.00975301,0.00791499,0.00641535,0.0051952,0.00420433,0.00340072,0.00274956,0.00222228,0.00179543,0.00144989,0.00117008,0.000943312,0.000759312,0.000609767,0.000487989,0.000388618,0.000307382,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.6652,-0,-0,-0,-0,-0,-5.35012,-9.96497,-9.28133,-25.9532,-28.2785,-37.8429,-21.3535,-26.9046,-6.39204,-15.2852,-20.6194,-51.5089,-22.4422,-33.3293,-30.5664,-28.0832,-22.9116,-38.2667,-21.3182,-31.6794,-33.0929,-20.8053,-14.5616,-15.3004,-20.0942,-12.6567,-8.84635,-9.26036,-4.839,-5.04906,-10.52,-5.47164,-11.3675,-5.89631,-0,-0,-0,-6.75069,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,4,6,4,3,6,8,5,13,13,18,9,13,12,9,11,9,5,12,9,3,5,5,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0
-548.079,0.997692,0.103359,5,31,0,550.988,-0.618486,-1.71659,-0.823173,-0.862694,5.26453,1.24401,-0.743481,5.89315,2.73634,1.84256e-05,2.30128e-05,2.8825e-05,3.62388e-05,4.57783e-05,5.81943e-05,7.46047e-05,9.67591e-05,0.000127578,0.000172298,0.000240622,0.000349613,0.00052679,0.000813101,0.00126517,0.00195621,0.00297514,0.00442378,0.00641177,0.00904819,0.0124279,0.0165762,0.0214583,0.0269677,0.0329232,0.0390746,0.0451149,0.0506982,0.0554623,0.0590526,0.0611498,0.0615331,0.0602049,0.057391,0.0534119,0.0486157,0.0433481,0.0379289,0.0326313,0.0276677,0.0231816,0.0192481,0.0158814,0.0130497,0.0106947,0.00874989,0.00715052,0.00583878,0.00476485,0.00388668,0.00316918,0.00258325,0.00210486,0.00171418,0.00139493,0.00113374,0.000919689,0.000743884,0.000599136,0.000479669,0.000380879,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.9174,-0,-0,-0,-0,-0,-5.42076,-10.0992,-9.41038,-26.3269,-28.6985,-38.4164,-21.6787,-27.3086,-6.48456,-15.4927,-20.8731,-52.0569,-22.6346,-33.5332,-30.67,-28.1,-22.8629,-38.0864,-21.1667,-31.3849,-32.7204,-20.5349,-14.35,-15.0576,-19.7517,-12.4278,-8.67798,-9.076,-4.73871,-4.94057,-10.2865,-5.34649,-11.1004,-5.75428,-0,-0,-0,-6.57491,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,6,4,9,10,12,10,13,9,15,4,9,10,7,12,9,8,8,4,8,4,2,2,1,0,1,2,0,3,2,3,1,0,0,0,0,0,0,0,0
-547.426,0.996942,0.103359,5,31,0,551.71,-1.11724,-2.86161,-1.13876,-0.661517,4.54963,1.31502,-0.718657,5.08315,2.39546,0.000121083,0.000156933,0.000203478,0.000263961,0.000342651,0.000445185,0.000579063,0.000754338,0.000984631,0.00128863,0.00169219,0.00223021,0.00294648,0.00389224,0.00512455,0.0067039,0.00869031,0.0111374,0.0140834,0.0175385,0.0214704,0.0257855,0.030343,0.0349706,0.0394797,0.0436734,0.047354,0.0503315,0.0524341,0.0535244,0.0535268,0.0524649,0.0504469,0.0476263,0.0441783,0.0402863,0.0361334,0.031895,0.0277341,0.0237925,0.020178,0.0169533,0.0141373,0.0117176,0.00966345,0.00793588,0.00649373,0.0052971,0.00430915,0.00349694,0.00283163,0.00228835,0.00184593,0.00148652,0.00119515,0.000959402,0.000768972,0.000615382,0.000491676,0.000392165,0.000312213,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.2113,-0,-0,-0,-0,-0,-4.49745,-8.52552,-8.08671,-23.0465,-25.6056,-34.9519,-20.1195,-25.8558,-6.26203,-15.2505,-20.9239,-53.0676,-23.4209,-35.1309,-32.4237,-29.8683,-24.355,-40.5538,-22.4822,-33.2054,-34.4531,-21.5106,-14.9535,-15.6127,-20.3865,-12.7768,-8.89332,-9.27881,-4.83636,-5.03692,-10.4812,-5.44701,-11.3117,-5.8669,-0,-0,-0,-6.72948,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,2,4,1,5,4,5,10,8,4,7,11,10,6,4,10,10,15,7,8,4,11,4,3,4,6,3,5,7,1,1,5,1,3,1,1,0,0,0,0,0,2,0,0,0,0,0
-546.324,0.998752,0.103359,6,63,0,550.379,-1.38642,-1.59471,-0.994582,-0.668405,3.825,-0.0559968,-0.355124,5.23455,2.67064,7.46555e-05,9.67523e-05,0.000125497,0.000162958,0.000211894,0.000276007,0.000360303,0.000471615,0.000619337,0.000816475,0.00108108,0.00143813,0.00192182,0.002578,0.00346633,0.00466147,0.00625236,0.00833886,0.0110253,0.0144108,0.0185773,0.0234498,0.0288787,0.0346377,0.040431,0.0459116,0.0507127,0.0544911,0.0569767,0.0580165,0.0575979,0.0558413,0.0529665,0.0492474,0.0449703,0.0404028,0.0357746,0.0312685,0.0270181,0.0231111,0.0195959,0.016489,0.0137836,0.011457,0.00947698,0.00780644,0.00640724,0.00524243,0.00427772,0.0034822,0.0028286,0.00229332,0.00185613,0.00149989,0.0012102,0.000975039,0.000784427,0.000630112,0.000505303,0.000404434,0.000322951,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0888,-0,-0,-0,-0,-0,-4.78683,-9.01513,-8.47956,-23.9149,-26.2703,-35.4465,-20.1769,-25.6653,-6.16208,-14.9079,-20.368,-51.572,-22.7762,-34.2512,-31.7377,-29.381,-24.0872,-40.3228,-22.462,-33.3052,-34.6514,-21.6675,-15.0698,-15.7297,-20.5253,-12.8528,-8.9383,-9.31778,-4.85281,-5.05033,-10.5019,-5.45433,-11.3202,-5.86797,-0,-0,-0,-6.71697,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,4,5,5,5,6,9,9,11,12,7,15,9,6,14,5,9,12,9,11,6,6,1,3,2,6,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
-544.964,1,0.103359,6,63,0,547.597,-1.54474,-2.75704,-0.778266,-0.650658,5.00029,1.27002,-0.668407,5.60915,2.30994,5.26775e-05,6.85258e-05,8.92013e-05,0.000116216,0.000151587,0.000198026,0.000259223,0.000340274,0.000448366,0.000593896,0.00079217,0.00106538,0.00144448,0.00197101,0.00269881,0.00369483,0.00503858,0.00681878,0.00912567,0.0120366,0.0155947,0.0197838,0.0245209,0.0296619,0.0350142,0.0403467,0.0454012,0.0499053,0.0535905,0.0562149,0.0575918,0.0576295,0.056363,0.0539292,0.0505275,0.0463925,0.0417717,0.0369091,0.0320316,0.0273386,0.0229914,0.0191007,0.0157186,0.0128435,0.0104381,0.00844809,0.00681494,0.00548269,0.00440092,0.00352576,0.00281986,0.0022519,0.00179589,0.0014304,0.00113791,0.000904145,0.000717528,0.000568691,0.000450083,0.000355636,0.000280482,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6888,-0,-0,-0,-0,-0,-4.98807,-9.39333,-8.8396,-24.9649,-27.4602,-37.0823,-21.1073,-26.816,-6.42049,-15.4611,-20.9834,-52.6749,-23.0286,-34.2525,-31.3909,-28.7594,-23.3607,-38.8081,-21.4943,-31.7554,-32.993,-20.6462,-14.3978,-15.0905,-19.7902,-12.4587,-8.70983,-9.12458,-4.77382,-4.98864,-10.4123,-5.42594,-11.2953,-5.87107,-0,-0,-0,-6.77856,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,3,2,6,11,8,9,7,13,11,6,5,18,15,8,10,4,6,9,8,7,4,4,3,4,1,4,0,2,2,1,0,2,0,1,0,0,0,0,0,0,0,0
