# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 15:20:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25318d74b.json
# init = /tmp/RtmpC8O1hA/init-b41c21ffe1e6a_1.json
# random
#   seed = 2652011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0260_rep026_manuscript_default/prior_sensitivity_obspair_FAST-202605301620-1-83ad15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0260_rep026_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605301620-1-90ac4f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0793722
# Diagonal elements of inverse mass matrix:
# 0.0959813, 0.0886176, 0.109234, 0.0333494, 0.18072, 0.148194, 0.24519
-546.103,0.995794,0.0793722,6,63,0,548.033,-1.75343,-0.855431,-0.204321,-0.0416201,3.27635,-1.13423,-0.0136832,5.59678,2.42593,2.07261e-05,3.19546e-05,4.89377e-05,7.4394e-05,0.000112176,0.000167657,0.000248198,0.000363701,0.000527226,0.000755652,0.00107032,0.00149761,0.00206937,0.00282302,0.00380132,0.00505154,0.00662401,0.00856995,0.0109386,0.0137735,0.0171094,0.0209282,0.0251688,0.0297204,0.0344227,0.0390728,0.0434402,0.0472891,0.0504017,0.0526028,0.0537775,0.0538816,0.0529423,0.0510509,0.0483478,0.0450061,0.0412123,0.0371514,0.0329935,0.0288852,0.0249449,0.0212616,0.0178952,0.0148803,0.0122295,0.00993806,0.00798839,0.00635387,0.00500254,0.00389999,0.00301163,0.00230435,0.00174762,0.00131411,0.000980054,0.000725162,0.000532508,0.000388202,0.000281036,0.0002021,0.000144411,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.0078,-0,-0,-0,-0,-0,-4.75949,-9.03092,-8.57001,-24.4088,-27.0666,-36.8215,-21.0955,-26.9523,-6.48466,-15.6818,-21.3603,-53.7791,-23.5599,-35.0748,-32.1306,-29.3855,-23.7995,-39.3813,-21.7067,-31.8902,-32.9275,-20.4687,-14.1777,-14.7643,-19.2543,-12.0697,-8.41544,-8.80782,-4.61138,-4.82977,-10.1174,-5.29781,-11.0936,-5.80527,-0,-0,-0,-6.9279,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,5,4,4,9,9,11,7,7,8,8,17,12,10,7,11,6,5,12,7,7,2,3,2,2,5,2,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0
-544.419,0.98662,0.0793722,5,63,0,550.481,-2.02057,-1.53049,-1.92192,-0.777818,3.81246,0.762716,-0.577568,5.66582,2.99987,0.000122632,0.000154717,0.000195333,0.000246836,0.000312276,0.000395645,0.000502216,0.000639033,0.000815647,0.00104519,0.00134589,0.00174283,0.00226933,0.00296726,0.00388676,0.00508554,0.0066278,0.00858209,0.0110178,0.0140001,0.0175845,0.0216978,0.0262296,0.0310322,0.0359218,0.0406809,0.0450595,0.0487808,0.0515619,0.0531693,0.0535055,0.0526413,0.050757,0.0480711,0.0448024,0.0411547,0.0373113,0.0334308,0.0296441,0.0260504,0.0227168,0.0196812,0.0169573,0.0145418,0.0124198,0.0105701,0.00896786,0.00758748,0.00640362,0.00539231,0.00453137,0.00380064,0.00318211,0.00265978,0.00221961,0.00184939,0.00153851,0.00127784,0.00105956,0.000876973,0.000724375,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.7045,-0,-0,-0,-0,-0,-4.75808,-9.01648,-8.53738,-24.2444,-26.8138,-36.4087,-20.8364,-26.6113,-6.40399,-15.4989,-21.1429,-53.3695,-23.4742,-35.1357,-32.3868,-29.8071,-24.2806,-40.3714,-22.3329,-32.8846,-33.9828,-21.111,-14.5909,-15.1386,-19.6405,-12.2312,-8.46146,-8.77693,-4.54973,-4.71411,-9.76251,-5.05089,-10.4456,-5.39673,-0,-0,-0,-6.11042,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,2,2,2,6,8,6,8,3,12,9,7,17,8,15,11,10,9,9,9,5,7,4,5,2,3,3,5,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0
-543.095,0.989451,0.0793722,5,31,0,546.734,-2.55168,-2.2655,-1.50005,-0.417857,4.80456,0.814431,-1.31371,5.82404,2.32965,2.7379e-05,3.80924e-05,5.3019e-05,7.38356e-05,0.000102905,0.000143573,0.000200612,0.000280872,0.00039424,0.000554872,0.000782434,0.00110297,0.00154947,0.00216232,0.00298949,0.00408611,0.00551275,0.00733178,0.00960059,0.0123617,0.0156308,0.0193777,0.02353,0.0279768,0.0325781,0.0371731,0.0415862,0.0456326,0.0491212,0.0518614,0.0536753,0.0544293,0.05408,0.0526867,0.0503763,0.0473072,0.0436516,0.0395857,0.0352846,0.0309176,0.0266421,0.0225957,0.018886,0.0155823,0.0127139,0.0102757,0.00823864,0.00656036,0.00519322,0.00408986,0.00320634,0.00250352,0.00194766,0.00151022,0.00116751,0.000900059,0.000692089,0.00053089,0.000406307,0.00031028,0.000236446,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.6195,-0,-0,-0,-0,-0,-4.91554,-9.29186,-8.78631,-24.9511,-27.6054,-37.4948,-21.4583,-27.3929,-6.58434,-15.8999,-21.6099,-54.2424,-23.6734,-35.0976,-32.0194,-29.1729,-23.5471,-38.8471,-21.3576,-31.3152,-32.2929,-20.0659,-13.9057,-14.5011,-18.95,-11.908,-8.32324,-8.73012,-4.57798,-4.79892,-10.0534,-5.2604,-10.9985,-5.74263,-0,-0,-0,-6.75288,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,5,2,5,2,10,8,8,6,12,7,5,11,6,16,10,7,10,10,5,8,8,7,4,4,6,2,2,4,1,1,0,1,0,1,0,0,0,1,0,0,0,0
-545.157,0.9691,0.0793722,5,31,0,547.085,-2.51587,-2.51892,-1.31341,-0.67425,4.31031,0.814586,-0.270655,5.91696,2.74404,9.27615e-05,0.000119817,0.000154816,0.000200127,0.000258849,0.000335054,0.000434125,0.000563218,0.000731938,0.000953265,0.00124479,0.00163001,0.00213938,0.00281074,0.00368945,0.00482783,0.00628342,0.00811523,0.0103773,0.0131094,0.016326,0.0199932,0.0240355,0.0283389,0.0327578,0.0371232,0.0412484,0.0449358,0.0479849,0.05021,0.0514753,0.0517319,0.0510158,0.049419,0.0470668,0.0441051,0.0406927,0.0369943,0.0331717,0.0293732,0.0257224,0.0223097,0.0191916,0.016394,0.0139206,0.0117592,0.00988857,0.00828239,0.00691248,0.00575075,0.00477045,0.00394681,0.00325744,0.00268242,0.00220423,0.00180766,0.00147959,0.0012088,0.000985758,0.000802387,0.0006519,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.8383,-0,-0,-0,-0,-0,-4.81401,-9.13626,-8.66885,-24.69,-27.3865,-37.2822,-21.3811,-27.3489,-6.58703,-15.9407,-21.7176,-54.6636,-23.9323,-35.5998,-32.5785,-29.7562,-24.0594,-39.7304,-21.8483,-32.0171,-32.9699,-20.4364,-14.1107,-14.6416,-19.0137,-11.8599,-8.22168,-8.54878,-4.44312,-4.61638,-9.58725,-4.97443,-10.3168,-5.34532,-0,-0,-0,-6.11738,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,0,6,4,8,5,11,10,6,8,10,5,7,15,10,12,7,5,9,9,7,7,6,5,3,3,0,0,2,0,4,1,2,0,0,0,0,0,1,0,0
-544.362,0.997547,0.0793722,6,63,0,547.673,-1.09255,-1.31758,-2.1431,0.0181783,5.54174,-0.181859,-1.12452,5.67978,2.50531,1.62274e-05,2.64153e-05,4.26499e-05,6.81579e-05,0.000107574,0.000167346,0.000256162,0.00038537,0.00056938,0.000826016,0.00117681,0.00164719,0.00226663,0.00306852,0.00409005,0.00537174,0.00695686,0.00889062,0.0112192,0.0139887,0.0172438,0.0208804,0.0247892,0.0288561,0.032962,0.0369835,0.0407937,0.0442637,0.0472642,0.0496691,0.0513605,0.0522359,0.0522185,0.0512701,0.049405,0.0467,0.0432962,0.0393859,0.0351861,0.0309071,0.0267274,0.0227804,0.0191541,0.0158971,0.0130278,0.0105429,0.00842494,0.00664685,0.00517628,0.00397817,0.0030168,0.00225725,0.0016665,0.00121423,0.0008734,0.000620497,0.000435646,0.000302477,0.000207844,0.000141451,9.54206e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.8174,-0,-0,-0,-0,-0,-4.72276,-8.98025,-8.53901,-24.3618,-27.0826,-36.9735,-21.2726,-27.2992,-6.59457,-15.9961,-21.8231,-54.936,-24.019,-35.6266,-32.4718,-29.5232,-23.7652,-39.1002,-21.4481,-31.3969,-32.3435,-20.0826,-13.9071,-14.4883,-18.9093,-11.8657,-8.28324,-8.68135,-4.5523,-4.77656,-10.0272,-5.26367,-11.0539,-5.80356,-0,-0,-0,-7.04312,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,1,6,0,8,7,14,5,8,8,8,10,8,10,7,16,10,7,6,8,7,6,6,11,1,1,3,3,3,2,0,1,1,0,0,0,0,1,0,0,0,0,0
-549.404,0.982784,0.0793722,5,31,0,552.489,-1.13608,-3.5106,-0.0441407,-0.897182,3.99172,0.835123,-1.10995,5.29071,2.60588,0.000102023,0.000125574,0.000154697,0.000190783,0.000235606,0.00029145,0.000361288,0.000449042,0.000559962,0.000701223,0.000882848,0.00111923,0.00143161,0.00185198,0.00242855,0.00323253,0.00436492,0.00596069,0.00818589,0.0112219,0.0152326,0.020315,0.0264453,0.0334336,0.0409008,0.0482904,0.0549306,0.060149,0.063417,0.0644703,0.0633527,0.0603699,0.0559878,0.0507241,0.0450633,0.0394037,0.0340316,0.0291203,0.0247485,0.0209284,0.0176328,0.0148148,0.0124205,0.0103953,0.00868833,0.00725334,0.00604949,0.00504125,0.00419796,0.00349344,0.00290539,0.00241492,0.00200606,0.00166535,0.00138141,0.00114465,0.000947036,0.000781802,0.000643336,0.000527032,0.000429186,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.5902,-0,-0,-0,-0,-0,-5.12257,-9.61069,-8.97977,-25.1059,-27.2748,-36.3268,-20.3892,-25.5729,-6.06104,-14.5084,-19.6765,-49.6444,-21.9324,-33.1085,-30.8799,-28.8262,-23.8508,-40.2959,-22.6373,-33.8047,-35.3632,-22.1939,-15.4666,-16.152,-21.0606,-13.1652,-9.1328,-9.49155,-4.92629,-5.10778,-10.5802,-5.47316,-11.3137,-5.84119,-0,-0,-0,-6.58465,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,2,0,4,5,8,9,15,15,13,13,6,20,7,14,10,9,8,6,7,7,3,5,2,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0
