# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 15:20:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25318d74b.json
# init = /tmp/RtmpC8O1hA/init-b41c21ffe1e6a_2.json
# random
#   seed = 2652011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0260_rep026_manuscript_default/prior_sensitivity_obspair_FAST-202605301620-2-83ad15.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0260_rep026_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605301620-2-90ac4f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.036285
# Diagonal elements of inverse mass matrix:
# 0.0968536, 0.0754614, 0.137831, 0.0657689, 0.124179, 0.187154, 0.275092
-545.587,0.999462,0.036285,6,63,0,547.255,-2.64354,-2.94302,-1.10635,0.420235,4.43004,-0.495597,-0.346804,5.51803,1.98318,1.40918e-06,2.85776e-06,5.70684e-06,1.11874e-05,2.14621e-05,4.01773e-05,7.32178e-05,0.000129665,0.000222924,0.000371927,0.000602299,0.000947259,0.00144804,0.00215352,0.00311874,0.00440217,0.00606143,0.00814781,0.0106998,0.0137367,0.017252,0.021203,0.025512,0.030067,0.0347247,0.0393171,0.0436594,0.0475615,0.0508391,0.0533269,0.0548918,0.055445,0.0549525,0.0534398,0.0509911,0.0477404,0.0438576,0.0395316,0.0349552,0.0303119,0.0257669,0.0214598,0.0175002,0.0139651,0.0108985,0.00831335,0.00619551,0.00450956,0.0032054,0.00222501,0.00150862,0.000999556,0.000647556,0.000410514,0.000254896,0.00015518,9.27343e-05,5.44623e-05,3.14725e-05,1.79175e-05,1.00611e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13.9239,-0,-0,-0,-0,-0,-4.81001,-9.07505,-8.57538,-24.359,-26.9753,-36.6861,-21.026,-26.8824,-6.47219,-15.6567,-21.3201,-53.6236,-23.4505,-34.8287,-31.816,-29.0129,-23.4336,-38.6894,-21.2938,-31.2681,-32.3065,-20.1221,-13.9849,-14.6347,-19.2079,-12.1366,-8.54239,-9.03826,-4.78989,-5.08393,-10.8031,-5.74292,-12.216,-6.49656,-0,-0,-0,-8.27466,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,3,3,7,7,10,6,11,10,11,14,10,4,13,9,11,8,7,8,5,3,7,6,6,3,2,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0
-545.95,0.999574,0.036285,7,127,0,548.778,-0.31036,-0.710421,-1.22282,0.0347597,4.94296,-1.12226,-2.09662,5.55835,2.81047,1.14486e-05,1.69071e-05,2.48036e-05,3.61998e-05,5.26454e-05,7.6428e-05,0.000110957,0.000161339,0.000235234,0.000344056,0.000504618,0.000741221,0.00108812,0.00159216,0.00231509,0.00333514,0.00474706,0.00666008,0.00919348,0.0124697,0.0166054,0.0213855,0.0265678,0.0318989,0.0371308,0.0420328,0.0464009,0.0500634,0.0528843,0.0547654,0.0556483,0.0555161,0.0543949,0.0523535,0.0495008,0.0459802,0.0419599,0.0376216,0.033147,0.0287052,0.0244418,0.0204715,0.0168749,0.0136983,0.0109577,0.00864388,0.00672932,0.00517427,0.00393274,0.00295712,0.00220155,0.00162417,0.00118831,0.000862908,0.00062238,0.000446172,0.000318105,0.000225676,0.000159376,0.000112071,7.84739e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.4144,-0,-0,-0,-0,-0,-5.01162,-9.37852,-8.76891,-24.5882,-26.9153,-36.2806,-20.6711,-26.3465,-6.33861,-15.3522,-20.9613,-52.9137,-23.2376,-34.6645,-31.8019,-29.1149,-23.5979,-39.075,-21.5568,-31.7104,-32.8018,-20.4408,-14.2027,-14.8458,-19.4436,-12.2458,-8.58097,-9.02743,-4.7509,-5.00128,-10.5281,-5.53842,-11.6471,-6.1186,-0,-0,-0,-7.38196,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,2,4,4,6,5,6,11,6,13,5,14,13,8,10,17,9,7,6,5,5,2,9,5,4,5,5,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-544.252,0.997496,0.036285,6,127,0,552.725,-1.7834,-1.4706,-1.41779,-0.647143,4.74862,1.44806,-0.898969,5.60765,2.54522,3.55077e-05,4.62995e-05,6.04382e-05,7.90102e-05,0.00010349,0.000135904,0.000179093,0.000237124,0.000316012,0.000424996,0.000578705,0.000799457,0.00111856,0.00157769,0.00223038,0.00314338,0.00439712,0.0060848,0.00830852,0.0111702,0.0147548,0.0190548,0.0239986,0.0294544,0.0352361,0.0411079,0.0467876,0.0519509,0.0562372,0.0592588,0.0606409,0.0602144,0.0581851,0.0548999,0.0507066,0.045926,0.0408436,0.0357066,0.0307221,0.0260554,0.0218272,0.0181065,0.0149081,0.0122054,0.00994893,0.00808128,0.00654545,0.0052888,0.00426466,0.00343272,0.00275871,0.00221391,0.00177439,0.00142041,0.00113573,0.000907063,0.000723595,0.000576524,0.00045872,0.000364416,0.000288961,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.2632,-0,-0,-0,-0,-0,-5.10196,-9.58095,-8.98902,-25.2971,-27.7231,-37.2976,-21.1495,-26.7655,-6.38311,-15.3107,-20.7022,-51.8072,-22.6067,-33.6334,-30.9083,-28.4413,-23.218,-38.7621,-21.5651,-31.9801,-33.3242,-20.8966,-14.5901,-15.2984,-20.0574,-12.6175,-8.81175,-9.22058,-4.81821,-5.02898,-10.4843,-5.45739,-11.3488,-5.89299,-0,-0,-0,-6.78048,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,4,6,10,8,5,13,14,11,12,13,10,9,14,8,9,5,4,6,2,3,0,5,4,3,3,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0
-544.067,0.999544,0.036285,7,127,0,546.845,-2.64276,-2.70087,-2.02778,-0.0698751,3.23212,-0.412701,-1.44938,5.44435,2.36432,2.12229e-05,3.34593e-05,5.25469e-05,8.21068e-05,0.000127464,0.00019627,0.000299208,0.000450735,0.000669719,0.000979868,0.0014098,0.00199263,0.00276507,0.00376593,0.00503404,0.00660576,0.00851208,0.0107756,0.0134075,0.0164053,0.0197508,0.0233815,0.0272137,0.031144,0.0350522,0.0388053,0.042263,0.0452846,0.0477371,0.0495042,0.0504969,0.0506624,0.0499915,0.0485216,0.0463328,0.0435391,0.0402764,0.0366892,0.03292,0.0291005,0.0253465,0.0217548,0.018401,0.0153396,0.0126046,0.010211,0.00815729,0.00642857,0.00499992,0.00383986,0.00291357,0.0021856,0.00162196,0.00119162,0.000867282,0.000625764,0.000447893,0.000318218,0.000224554,0.000157471,0.000109795,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.4366,-0,-0,-0,-0,-0,-4.53047,-8.62388,-8.2203,-23.5474,-26.2907,-36.0404,-20.8148,-26.8073,-6.4984,-15.8192,-21.6635,-54.7568,-24.0456,-35.8301,-32.8083,-29.959,-24.206,-39.9348,-21.9387,-32.1199,-33.0527,-20.4821,-14.148,-14.7005,-19.1396,-11.986,-8.35463,-8.74738,-4.58429,-4.80884,-10.094,-5.29833,-11.1246,-5.83837,-0,-0,-0,-7.05015,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,4,2,4,5,3,5,4,6,3,8,7,12,11,10,8,13,11,12,9,4,7,6,9,4,2,4,5,3,2,3,2,0,1,0,0,1,1,1,0,0,0,0,0,0
-544.46,0.999575,0.036285,6,127,0,548.295,-3.03134,-2.7627,-1.64036,-0.367039,2.71243,-0.301553,-0.837831,5.23473,2.50188,5.13528e-05,7.25439e-05,0.000102437,0.000144562,0.000203835,0.000287059,0.000403567,0.000566001,0.000791209,0.00110117,0.00152376,0.00209323,0.00284998,0.00383954,0.00511051,0.00671149,0.00868704,0.0110731,0.0138922,0.0171488,0.0208259,0.0248496,0.0291132,0.0334785,0.0377801,0.0418337,0.0454469,0.0484348,0.0506372,0.0519363,0.0522705,0.051641,0.0501091,0.0477856,0.0448159,0.0413641,0.0375982,0.0336786,0.029749,0.0259307,0.022319,0.0189827,0.0159654,0.0132877,0.0109518,0.00894533,0.00724579,0.00582427,0.00464875,0.00368659,0.00290632,0.0022788,0.0017779,0.0013808,0.00106789,0.000822701,0.000631539,0.000483181,0.000368524,0.00028025,0.000212525,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-12.3381,-0,-0,-0,-0,-0,-4.50323,-8.55285,-8.13165,-23.2294,-25.8644,-35.3656,-20.3811,-26.2078,-6.34811,-15.4561,-21.1928,-53.6952,-23.6619,-35.4159,-32.5978,-29.9355,-24.3283,-40.3675,-22.2974,-32.808,-33.9089,-21.0898,-14.6093,-15.2093,-19.8211,-12.412,-8.64184,-9.02851,-4.71662,-4.92733,-10.2914,-5.37116,-11.2061,-5.84087,-0,-0,-0,-6.84207,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,4,4,2,3,8,8,9,9,5,10,9,14,11,9,12,14,10,9,6,5,6,7,5,3,4,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0
-547.723,0.980784,0.036285,6,63,0,551.113,-2.73175,-1.68235,-1.62612,0.105672,5.02869,0.191914,-2.51147,5.76844,1.98834,1.80896e-06,3.15221e-06,5.49056e-06,9.55544e-06,1.66026e-05,2.87602e-05,4.95577e-05,8.46645e-05,0.000142817,0.00023686,0.000384829,0.000611006,0.0009469,0.00143204,0.0021144,0.00305011,0.00430212,0.00593732,0.00802187,0.0106147,0.01376,0.0174589,0.0216777,0.0263438,0.031344,0.0365268,0.0417059,0.0466657,0.0511669,0.0549551,0.0577735,0.0593864,0.059618,0.0584033,0.055825,0.0521034,0.0475399,0.0424509,0.0371248,0.0318055,0.0266898,0.0219295,0.0176338,0.0138714,0.0106724,0.00803218,0.00591651,0.00426952,0.00302239,0.0021022,0.00143914,0.000971386,0.000647539,0.000426958,0.000278827,0.000180562,0.000116062,7.41147e-05,4.70521e-05,2.97154e-05,1.86783e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-14.8008,-0,-0,-0,-0,-0,-5.1265,-9.65117,-9.09102,-25.7159,-28.3353,-38.3147,-21.8191,-27.7019,-6.61942,-15.8856,-21.4532,-53.5079,-23.2099,-34.2147,-31.0606,-28.198,-22.7231,-37.5119,-20.6817,-30.4619,-31.5941,-19.7608,-13.7925,-14.4939,-19.0996,-12.1138,-8.55585,-9.08018,-4.8243,-5.13001,-10.9125,-5.80171,-12.3295,-6.54371,-0,-0,-0,-8.18492,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,5,5,6,4,4,6,7,8,10,13,9,8,13,13,8,12,9,8,9,7,9,6,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
