# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 15:49:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2259e61f2.json
# init = /tmp/RtmpC8O1hA/init-b41c26ff79c30_2.json
# random
#   seed = 2752004
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0263_rep027_accurate_strong/prior_sensitivity_obspair_FAST-202605301649-2-98efca.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0263_rep027_accurate_strong/prior_sensitivity_obspair_FAST-profile-202605301649-2-93733e.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.134144
# Diagonal elements of inverse mass matrix:
# 0.0463683, 0.0395478, 0.00378975, 0.00593232, 0.00979247, 0.00429917, 0.00668763
-543.248,0.999977,0.134144,5,31,0,545.312,-1.38433,-1.62692,-1.28436,-0.599783,3.9332,-0.0135636,-1.07843,5.2135,2.57178,6.61015e-05,8.72515e-05,0.000115278,0.000152492,0.000202033,0.000268193,0.000356883,0.000476296,0.000637837,0.000857374,0.0011568,0.00156582,0.00212356,0.00287966,0.0038943,0.00523663,0.00698134,0.00920337,0.0119707,0.015336,0.0193277,0.0238779,0.0288637,0.0341064,0.0393754,0.0443997,0.0488872,0.0525511,0.0551435,0.0564911,0.0565236,0.0552841,0.0529165,0.0496352,0.0456892,0.0413313,0.0367949,0.0322796,0.0279434,0.0239009,0.0202254,0.0169539,0.0140944,0.0116333,0.00954251,0.00778587,0.00632353,0.0051156,0.00412429,0.00331521,0.00265791,0.00212601,0.00169705,0.00135209,0.00107538,0.000853908,0.00067697,0.000535847,0.000423447,0.000334036,0.000262988,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.25208,-14.8935,-23.4409,-4.42529,-29.2429,-23.6773,-14.9392,-21.271,-20.2696,-32.3461,-21.8017,-45.2736,-26.5137,-17.3869,-31.6104,-25.8579,-34.7432,-32.3294,-33.0336,-18.5154,-25.4891,-19.8144,-17.1666,-21.4654,-22.403,-23.4049,-12.2318,-8.52396,-17.8155,-13.956,-9.71089,-0,-10.5509,-5.49086,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,2,3,8,3,8,7,9,7,12,6,10,15,14,8,6,16,11,6,7,5,7,2,2,5,2,0,4,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0
-542.628,0.994698,0.134144,5,63,0,546.139,-2.65933,-3.59491,-1.30603,-0.282752,3.49005,-0.00120778,-0.92838,5.13782,2.2328,2.57963e-05,3.75994e-05,5.47983e-05,7.98523e-05,0.000116331,0.000169397,0.000246485,0.000358208,0.000519527,0.000751142,0.00108094,0.00154524,0.00218934,0.00306715,0.00423926,0.0057695,0.0077195,0.0101416,0.0130704,0.0165142,0.020448,0.0247987,0.0294508,0.0342492,0.0390064,0.043513,0.0475505,0.0509075,0.0533973,0.0548772,0.0552665,0.0545563,0.0528078,0.0501422,0.0467241,0.042745,0.0384076,0.0339106,0.0294362,0.0251392,0.0211398,0.0175201,0.0143256,0.0115691,0.00923811,0.00730176,0.00571841,0.00444157,0.00342437,0.00262264,0.00199665,0.00151192,0.00113932,0.000854763,0.000638705,0.000475509,0.000352816,0.000260963,0.000192462,0.000141555,0.000103845,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.15517,-14.592,-22.9556,-4.33741,-28.7247,-23.3392,-14.7879,-21.1502,-20.2446,-32.4403,-21.9429,-45.6894,-26.7997,-17.58,-31.9292,-26.0603,-34.9023,-32.3521,-32.9218,-18.381,-25.22,-19.557,-16.9201,-21.1532,-22.1,-23.1396,-12.1332,-8.49142,-17.8377,-14.0533,-9.83928,-0,-10.8335,-5.67684,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,4,7,9,9,8,9,8,10,11,10,10,3,11,11,12,9,6,3,12,6,5,4,3,4,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-544.083,0.986306,0.134144,5,31,0,546.702,-1.13409,-2.7114,-1.29179,-0.414288,3.60344,0.259104,-1.06103,4.43847,2.17054,5.79739e-05,8.07097e-05,0.000112381,0.000156516,0.000218048,0.000303883,0.000423698,0.000591038,0.000824809,0.00115116,0.00160561,0.00223482,0.0030972,0.00426138,0.00580225,0.00779456,0.0103045,0.0133795,0.0170376,0.0212573,0.0259713,0.031035,0.0362541,0.0413955,0.0462026,0.0504135,0.0537816,0.0560973,0.0572127,0.0570635,0.0556816,0.0531878,0.0497694,0.0456524,0.0410781,0.0362837,0.0314867,0.0268713,0.0225794,0.0187061,0.0153017,0.0123771,0.00991373,0.0078734,0.00620717,0.00486252,0.00378819,0.00293704,0.00226753,0.0017441,0.00133704,0.00102194,0.000778993,0.000592349,0.000449412,0.000340256,0.00025711,0.000193922,0.000146,0.000109726,8.23168e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.85433,-13.7255,-21.5701,-4.07233,-26.9574,-21.9046,-13.8906,-19.9032,-19.1075,-30.7472,-20.9125,-43.8424,-25.926,-17.1659,-31.4995,-25.993,-35.2071,-33.0039,-33.9537,-19.1537,-26.5311,-20.7491,-18.0835,-22.7443,-23.8734,-25.0788,-13.1757,-9.22767,-19.3771,-15.2462,-10.6524,-0,-11.6607,-6.08907,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,5,3,2,7,11,10,6,4,10,13,14,11,8,11,10,9,7,6,7,8,6,7,3,5,2,2,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-545.564,0.999885,0.134144,5,63,0,548.423,-1.70323,-1.33213,-1.56683,-0.593473,3.70066,-0.106779,-1.12862,5.48467,2.71856,5.71859e-05,7.56324e-05,0.000100128,0.000132723,0.000176205,0.000234388,0.000312515,0.000417834,0.000560378,0.000753999,0.00101766,0.00137688,0.00186521,0.00252546,0.0034103,0.00458212,0.00611163,0.00807529,0.0105513,0.0136143,0.0173294,0.0216381,0.0264359,0.031568,0.0368293,0.0419699,0.0467075,0.0507495,0.0538246,0.0557205,0.056319,0.0556172,0.0537241,0.0508348,0.0471934,0.0430562,0.038664,0.0342245,0.0299037,0.0258247,0.0220696,0.0186851,0.0156892,0.0130776,0.010831,0.00891989,0.00730983,0.00596451,0.0048483,0.00392777,0.00317253,0.00255569,0.00205384,0.00164693,0.00131798,0.00105273,0.000839348,0.000668027,0.000530718,0.000420835,0.000333013,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.38559,-15.2927,-24.0947,-4.55151,-30.0764,-24.3321,-15.3332,-21.7982,-20.7337,-33.0146,-22.1956,-45.9578,-26.8277,-17.5321,-31.7615,-25.8905,-34.6711,-32.1628,-32.7709,-18.321,-25.162,-19.5171,-16.8741,-21.0586,-21.9385,-22.8813,-11.9401,-8.30957,-17.3474,-13.576,-9.43894,-0,-10.2439,-5.32913,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,5,2,10,7,7,7,10,11,13,8,10,14,14,9,9,9,9,5,7,5,3,3,4,2,2,0,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0
-543.013,1,0.134144,4,15,0,545.985,-0.996328,-1.86596,-1.49344,-0.443633,3.60761,0.0766168,-1.07316,4.53473,2.2984,5.94732e-05,8.20771e-05,0.000113322,0.00015655,0.000216425,0.00029947,0.000414823,0.00057528,0.000798687,0.00110966,0.00154144,0.00213747,0.00295194,0.00404885,0.00549902,0.00737525,0.00974588,0.0126671,0.016175,0.0202778,0.0249502,0.0300386,0.0353422,0.0406209,0.0456073,0.0500238,0.0536032,0.0561139,0.0573876,0.0573461,0.0560178,0.0535337,0.0501027,0.0459753,0.0414105,0.036651,0.0319082,0.0273533,0.0231142,0.0192755,0.0158819,0.012945,0.0104502,0.00836501,0.00664644,0.00524695,0.0041189,0.00321756,0.0025027,0.00193933,0.00149777,0.00115331,0.000885701,0.000678542,0.000518685,0.000395675,0.000301255,0.000228943,0.000173671,0.000131502,9.93815e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-4.90963,-13.8927,-21.8437,-4.12429,-27.2876,-22.1452,-14.0211,-20.0561,-19.2208,-30.8769,-20.9668,-43.8922,-25.9233,-17.1476,-31.4451,-25.9388,-35.1293,-32.9305,-33.8762,-19.1053,-26.4505,-20.6694,-17.9946,-22.6038,-23.6935,-24.8554,-13.0411,-9.12227,-19.1348,-15.041,-10.5002,-0,-11.4783,-5.99039,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,4,3,5,4,21,4,9,14,13,14,8,14,10,7,15,7,8,5,7,2,3,2,2,2,0,3,4,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
-541.065,0.99853,0.134144,5,31,0,544.794,-2.55246,-2.40023,-1.32373,-0.318082,3.50942,0.0361583,-1.11065,5.1518,2.26543,2.564e-05,3.68993e-05,5.31073e-05,7.64413e-05,0.000110037,0.000158405,0.000228022,0.000328148,0.000471919,0.000677731,0.000970829,0.00138486,0.00196305,0.00275848,0.00383309,0.00525499,0.00709387,0.00941429,0.0122672,0.0156808,0.0196511,0.0241172,0.0289693,0.0340484,0.039152,0.0440435,0.0484669,0.0521656,0.0549076,0.0565147,0.0568892,0.0560288,0.0540225,0.0510312,0.0472625,0.0429469,0.0383172,0.0335915,0.0289603,0.0245766,0.0205513,0.016953,0.0138119,0.0111268,0.00887331,0.00701239,0.00549709,0.00427824,0.00330826,0.00254348,0.0019454,0.00148102,0.00112274,0.000847864,0.000638039,0.000478592,0.00035792,0.000266931,0.000198554,0.000147327,0.000109058,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.24858,-14.8456,-23.3276,-4.40082,-29.0872,-23.5777,-14.8993,-21.2491,-20.2798,-32.403,-21.858,-45.4031,-26.58,-17.4126,-31.6058,-25.7999,-34.5827,-32.1019,-32.7285,-18.3122,-25.1823,-19.5711,-16.9674,-21.251,-22.2358,-23.309,-12.2319,-8.56445,-17.9936,-14.1741,-9.92015,-0,-10.9084,-5.71133,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,3,3,2,1,5,7,2,9,8,7,8,9,8,11,11,12,11,10,15,7,6,6,11,5,3,2,2,2,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
