# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 16:53:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25372cc48.json
# init = /tmp/RtmpC8O1hA/init-b41c2674a9695_1.json
# random
#   seed = 2852002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0271_rep028_accurate_weak/prior_sensitivity_obspair_FAST-202605301753-1-426e9e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0271_rep028_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605301753-1-77c213.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0980438
# Diagonal elements of inverse mass matrix:
# 0.129184, 0.0859061, 0.117196, 0.0134989, 0.0899131, 0.126942, 0.203885
-549.455,0.989427,0.0980438,4,23,0,552.706,-2.29459,-2.18172,-0.0927426,-0.490059,1.40259,-0.951655,-0.624916,5.07523,2.79188,0.000126376,0.000170626,0.000230081,0.00030979,0.000416366,0.000558416,0.000747034,0.000996373,0.00132425,0.00175277,0.00230879,0.0030243,0.00393625,0.00508595,0.00651754,0.00827554,0.0104013,0.0129282,0.0158767,0.0192484,0.0230211,0.0270927,0.0313163,0.0355092,0.0394693,0.0429947,0.0459049,0.0480585,0.049365,0.0497899,0.0493529,0.0481204,0.0461949,0.0437022,0.0407797,0.0375651,0.0341883,0.0307649,0.0273926,0.0241494,0.0210936,0.0182654,0.0156885,0.0133734,0.0113193,0.00951744,0.00795292,0.00660715,0.00545943,0.00448824,0.00367234,0.00299142,0.00242661,0.00196076,0.00157851,0.00126639,0.00101265,0.000807232,0.000641568,0.000508439,0.000401812,-0,-0,-0,-0,-0,-7.49041,-0,-0,-0,-0,-0,-0,-0,-0,-5.03326,-0,-4.56583,-21.7417,-4.1429,-7.90066,-22.6281,-18.0425,-24.2453,-23.3657,-35.5546,-22.0268,-36.9742,-42.4947,-24.0681,-29.9994,-21.0613,-33.3745,-52.2731,-34.4339,-22.397,-22.9718,-20.2552,-13.9255,-10.7924,-29.788,-7.71757,-12.0082,-20.7741,-21.5724,-0,-0,-0,-5.0196,-0,-16.2189,-0,-0,-0,-0,-0,-0,-13.7904,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,1,2,3,3,8,13,8,7,16,5,6,10,4,10,11,12,6,12,8,8,6,6,9,1,5,4,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
-545.294,0.987364,0.0980438,6,63,0,552.83,-1.80012,-2.78969,-1.04063,-0.548536,4.4863,0.706673,-2.02225,5.36375,2.28589,6.07498e-05,8.11757e-05,0.000108505,0.000145096,0.000194141,0.000259963,0.000348463,0.000467731,0.000628937,0.00084756,0.00114495,0.00154993,0.00210005,0.00284222,0.00383277,0.00513617,0.00682198,0.00895874,0.0116044,0.0147936,0.0185241,0.022743,0.0273461,0.0321832,0.0370676,0.0417872,0.0461163,0.0498279,0.0527097,0.0545837,0.0553334,0.054927,0.0534201,0.0509357,0.0476426,0.0437369,0.0394276,0.0349239,0.0304226,0.026095,0.022075,0.0184511,0.0152658,0.0125236,0.0102017,0.0082615,0.00665706,0.00534146,0.00427012,0.00340269,0.00270375,0.0021429,0.00169448,0.00133707,0.00105301,0.000827789,0.000649626,0.000508969,0.000398123,0.000310916,0.000242412,-0,-0,-0,-0,-0,-8.25497,-0,-0,-0,-0,-0,-0,-0,-0,-5.56417,-0,-4.98761,-23.5756,-4.45637,-8.42712,-23.9321,-18.9175,-25.1943,-24.0542,-36.2451,-22.2262,-36.9191,-41.9885,-23.5436,-29.0802,-20.2606,-31.9192,-49.8027,-32.7491,-21.3082,-21.9069,-19.3997,-13.4183,-10.4777,-29.1681,-7.62662,-11.9779,-20.9107,-21.9007,-0,-0,-0,-5.23226,-0,-17.0496,-0,-0,-0,-0,-0,-0,-14.6782,-0,-0,-0,-0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,3,4,7,8,5,4,15,15,8,8,8,16,9,9,11,6,10,11,5,4,5,5,4,1,2,1,3,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0
-545.125,0.996283,0.0980438,5,63,0,547.534,-2.24724,-3.18973,-1.54802,-0.485723,3.73756,0.410211,-0.224731,5.18525,2.44647,6.54087e-05,8.90008e-05,0.000121118,0.000164853,0.000224431,0.00030563,0.000416357,0.000567437,0.000773658,0.00105508,0.0014385,0.00195864,0.00265859,0.00358911,0.00480663,0.00637009,0.00833609,0.0107525,0.0136504,0.0170358,0.0208825,0.025108,0.0295906,0.0341741,0.0386768,0.0429014,0.0466456,0.0497144,0.051935,0.0531783,0.0533806,0.0525547,0.0507817,0.0481913,0.0449438,0.0412159,0.0371889,0.0330386,0.0289243,0.0249799,0.0213068,0.0179721,0.0150097,0.0124266,0.0102095,0.00833163,0.00675884,0.00545414,0.00438066,0.00350367,0.00279161,0.00221659,0.00175447,0.00138467,0.00108989,0.000855723,0.000670294,0.00052388,0.000408578,0.000317996,0.000246995,-0,-0,-0,-0,-0,-8.09314,-0,-0,-0,-0,-0,-0,-0,-0,-5.33776,-0,-4.78716,-22.6631,-4.29399,-8.14488,-23.2131,-18.4228,-24.6421,-23.634,-35.7777,-22.042,-36.7821,-42.0205,-23.6621,-29.341,-20.5122,-32.4049,-50.6637,-33.3583,-21.7164,-22.3225,-19.7505,-13.6403,-10.6292,-29.5175,-7.69745,-12.0568,-20.9953,-21.9396,-0,-0,-0,-5.21138,-0,-16.9618,-0,-0,-0,-0,-0,-0,-14.6156,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,2,1,2,5,7,3,13,11,5,14,6,12,10,9,8,13,10,7,9,9,6,2,4,6,2,4,2,4,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0
-546.205,0.998409,0.0980438,5,31,0,547.615,-2.80027,-2.37475,-1.82084,-0.427683,3.79452,1.30526,-0.248848,4.94825,2.29187,3.653e-05,5.06278e-05,7.0176e-05,9.72908e-05,0.000134918,0.000187168,0.000259788,0.000360847,0.00050173,0.000698622,0.000974719,0.00136333,0.00191065,0.00267538,0.00372707,0.00514483,0.00701507,0.00942664,0.0124611,0.0161759,0.0205818,0.0255778,0.030992,0.0366042,0.0421668,0.0474131,0.0520578,0.0557967,0.0583139,0.0593483,0.0588539,0.0569884,0.0539812,0.0500794,0.0455339,0.040595,0.0355101,0.0305152,0.0258118,0.021541,0.0177743,0.0145267,0.0117759,0.00947873,0.00758267,0.00603281,0.0047764,0.00376513,0.00295624,0.00231279,0.00180345,0.00140204,0.00108694,0.000840472,0.000648325,0.000498972,0.0003832,0.000293686,0.000224634,0.000171482,0.00013065,-0,-0,-0,-0,-0,-8.5835,-0,-0,-0,-0,-0,-0,-0,-0,-5.59213,-0,-4.95969,-23.3211,-4.38515,-8.24847,-23.3001,-18.3301,-24.3182,-23.1531,-34.8273,-21.342,-35.4648,-40.4046,-22.7353,-28.2433,-19.8289,-31.514,-49.625,-32.9356,-21.6251,-22.4288,-20.0276,-13.9581,-10.9708,-30.7024,-8.06001,-12.6953,-22.2085,-23.2935,-0,-0,-0,-5.58197,-0,-18.2079,-0,-0,-0,-0,-0,-0,-15.7339,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,1,0,4,4,8,10,7,8,8,4,10,8,15,8,12,10,7,9,9,5,7,6,3,2,7,3,5,2,2,3,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0
-544.203,0.991163,0.0980438,5,31,0,550.224,-3.22115,-2.16399,-1.48564,-0.50942,3.33857,0.8652,-1.50216,5.10347,2.44855,4.84244e-05,6.54268e-05,8.84146e-05,0.000119508,0.000161588,0.000218582,0.000295855,0.00040077,0.000543484,0.000738108,0.00100438,0.00137006,0.00187384,0.00256788,0.00351868,0.00480616,0.00652114,0.00875969,0.0116126,0.0151489,0.0193945,0.0242893,0.0296956,0.0354032,0.0411431,0.0466018,0.0514348,0.055287,0.057844,0.0589206,0.0585052,0.0567194,0.0537662,0.0498985,0.0453973,0.0405496,0.0356232,0.0308415,0.0263668,0.0222992,0.0186854,0.0155328,0.0128228,0.0105212,0.00858612,0.00697322,0.00563876,0.00454179,0.00364515,0.00291597,0.00232566,0.0018497,0.00146737,0.00116127,0.000916957,0.0007225,0.000568121,0.000445848,0.000349213,0.000272992,0.000212986,-0,-0,-0,-0,-0,-8.42835,-0,-0,-0,-0,-0,-0,-0,-0,-5.64967,-0,-5.03271,-23.688,-4.45566,-8.37966,-23.6566,-18.5886,-24.6173,-23.3867,-35.0977,-21.4628,-35.6093,-40.5331,-22.8,-28.3156,-19.8705,-31.566,-49.6929,-32.9754,-21.6461,-22.4366,-20.0085,-13.9156,-10.9069,-30.4256,-7.96002,-12.4944,-21.7827,-22.7718,-0,-0,-0,-5.39443,-0,-17.5127,-0,-0,-0,-0,-0,-0,-14.9464,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,9,6,8,4,10,7,7,11,23,15,13,10,10,8,9,7,8,5,4,3,2,1,1,3,0,2,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0
-543.56,0.998537,0.0980438,5,63,0,546.168,-1.82837,-1.0317,-2.07203,-0.723042,2.62492,0.363331,-0.874449,5.0051,2.87535,9.04605e-05,0.000115621,0.000147892,0.000189358,0.000242755,0.000311715,0.000401095,0.00051748,0.000669906,0.000870964,0.00113842,0.00149757,0.00198425,0.00264832,0.00355667,0.00479514,0.00646925,0.00870376,0.0116412,0.0154394,0.0202688,0.0259332,0.0321766,0.038673,0.0450239,0.0507696,0.0554289,0.0585797,0.0599667,0.0595752,0.0576121,0.0544163,0.0503648,0.0458108,0.041053,0.0363255,0.0317976,0.0275811,0.0237399,0.0203006,0.0172636,0.0146115,0.0123164,0.0103449,0.00866191,0.00723258,0.00602411,0.00500631,0.00415198,0.00343699,0.00284021,0.00234328,0.00193037,0.00158794,0.00130445,0.00107009,0.000876612,0.000717045,0.000585552,0.000477245,0.000388047,-0,-0,-0,-0,-0,-8.07342,-0,-0,-0,-0,-0,-0,-0,-0,-5.63893,-0,-5.0407,-23.72,-4.45321,-8.34166,-23.392,-18.2612,-24.0556,-22.7683,-34.1062,-20.8632,-34.7118,-39.7231,-22.5117,-28.2052,-19.9782,-32.022,-50.8039,-33.9156,-22.3502,-23.2067,-20.6902,-14.3625,-11.2218,-31.1768,-8.11831,-12.6778,-21.9841,-22.8563,-0,-0,-0,-5.29706,-0,-17.0195,-0,-0,-0,-0,-0,-0,-14.0789,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,0,3,3,6,6,8,13,9,16,13,17,16,11,9,9,8,3,5,10,4,8,1,2,2,4,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
