# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 17:03:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c222a2fa97.json
# init = /tmp/RtmpC8O1hA/init-b41c239fd0992_3.json
# random
#   seed = 2852003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0272_rep028_accurate_moderate/prior_sensitivity_obspair_FAST-202605301803-3-61c94c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0272_rep028_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605301803-3-972228.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.114339
# Diagonal elements of inverse mass matrix:
# 0.0845562, 0.0487482, 0.0295922, 0.0123661, 0.0519762, 0.0177332, 0.0632234
-546.506,0.988274,0.114339,4,15,0,551.351,-1.66223,-1.26972,-1.6212,-0.900873,3.2331,0.132226,-1.1643,5.72082,3.25185,0.000148281,0.000182697,0.000225391,0.000278503,0.000344805,0.000427924,0.000532657,0.00066544,0.000835004,0.00105333,0.00133697,0.00170872,0.00219964,0.00285093,0.00371536,0.0048575,0.00635271,0.00828429,0.0107391,0.0138016,0.0175465,0.0218934,0.0267091,0.031804,0.036934,0.041811,0.0461248,0.0495802,0.0519431,0.0530847,0.0530005,0.0517974,0.0496582,0.0468024,0.043454,0.0398196,0.036076,0.0323649,0.0287921,0.0254302,0.0223241,0.019496,0.0169512,0.0146831,0.0126775,0.0109153,0.00937515,0.0080351,0.0068735,0.0058698,0.0050049,0.00426137,0.00362347,0.00307714,0.00260993,0.00221084,0.00187027,0.00157981,0.00133219,0.00112112,0.000941179,-0,-0,-0,-0,-0,-7.75657,-0,-0,-0,-0,-0,-0,-0,-0,-5.59528,-0,-5.05887,-23.967,-4.53386,-8.56594,-24.2574,-19.1079,-25.3593,-24.1371,-36.2848,-22.2222,-36.9168,-42.0583,-23.6608,-29.3587,-20.5622,-32.5646,-51.0441,-33.68,-21.9524,-22.5638,-19.9328,-13.7227,-10.643,-29.3745,-7.60418,-11.8126,-20.3871,-21.1053,-0,-0,-0,-4.82394,-0,-15.4138,-0,-0,-0,-0,-0,-0,-12.5633,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,2,1,3,2,7,6,5,6,10,7,4,10,10,16,13,7,11,7,9,8,4,6,4,6,4,9,0,3,1,1,2,1,0,2,0,1,2,2,1,0,0,0,0,0
-551.171,0.998426,0.114339,5,63,0,554.378,-2.22464,-2.57726,-1.66399,-0.207371,4.80615,0.699347,-1.30008,5.41706,2.09072,1.3312e-05,1.99951e-05,3.00403e-05,4.51471e-05,6.78839e-05,0.00010214,0.000153814,0.000231832,0.000349511,0.000526034,0.000787487,0.00116727,0.00170618,0.00245235,0.00346069,0.00479132,0.00650639,0.00866444,0.0113118,0.0144715,0.0181326,0.0222324,0.0266664,0.0312976,0.0359671,0.0405044,0.0447337,0.0484779,0.0515622,0.0538204,0.0551053,0.0553126,0.0544162,0.0524881,0.0496732,0.0461492,0.0421014,0.0377121,0.0331557,0.0285962,0.0241843,0.0200525,0.0163076,0.0130219,0.010227,0.00791581,0.00605074,0.00457615,0.00342972,0.00255065,0.00188421,0.00138377,0.00101101,0.000735276,0.000532539,0.000384265,0.000276334,0.000198101,0.000141608,0.000100955,7.17918e-05,-0,-0,-0,-0,-0,-9.18917,-0,-0,-0,-0,-0,-0,-0,-0,-5.66629,-0,-5.03497,-23.7426,-4.48191,-8.47115,-24.0603,-19.031,-25.3704,-24.2495,-36.5767,-22.4444,-37.2843,-42.3731,-23.7197,-29.221,-20.2896,-31.8423,-49.4886,-32.4189,-21.016,-21.5311,-19.006,-13.1111,-10.2196,-28.4359,-7.4441,-11.7282,-20.5806,-21.7056,-0,-0,-0,-5.3869,-0,-17.9142,-0,-0,-0,-0,-0,-0,-16.3878,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,2,7,4,6,5,10,6,11,11,10,12,20,7,12,9,7,8,9,10,5,3,0,2,2,3,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
-547.285,0.995721,0.114339,6,95,0,554.317,-1.08556,-0.990449,-1.21654,-0.918247,2.60054,0.434592,-0.901122,4.74727,3.00486,0.00012589,0.000154598,0.000190102,0.000234139,0.000288956,0.000357494,0.000443655,0.000552705,0.000691887,0.00087138,0.00110584,0.00141691,0.0018373,0.00241707,0.00323248,0.00439589,0.0060632,0.00843463,0.0117456,0.0162467,0.0221732,0.0292669,0.0370862,0.0450111,0.0522913,0.0581563,0.0619902,0.0635055,0.0627971,0.0602432,0.0563493,0.0516236,0.0465056,0.0413358,0.036352,0.0317031,0.027468,0.0236761,0.020324,0.0173892,0.0148382,0.0126334,0.0107362,0.00910949,0.00771874,0.00653254,0.00552283,0.0046648,0.00393674,0.00331972,0.00279739,0.00235562,0.00198229,0.00166699,0.00140081,0.00117611,0.000986364,0.000825971,0.000690157,0.000574864,0.000476671,-0,-0,-0,-0,-0,-7.93639,-0,-0,-0,-0,-0,-0,-0,-0,-5.7345,-0,-5.10552,-23.877,-4.44427,-8.23973,-22.8532,-17.6565,-23.0616,-21.7059,-32.4602,-19.9123,-33.3694,-38.5928,-22.1428,-28.0937,-20.1333,-32.6015,-52.1591,-35.0463,-23.2015,-24.1594,-21.5684,-14.9732,-11.6879,-32.4153,-8.4211,-13.1142,-22.6707,-23.4922,-0,-0,-0,-5.36771,-0,-17.1236,-0,-0,-0,-0,-0,-0,-13.843,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,5,5,10,12,18,8,11,15,8,14,8,12,9,14,2,8,6,3,5,2,1,2,5,1,0,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0
-546.107,1,0.114339,5,31,0,550.909,0.0236101,-1.31393,-1.27964,-0.66762,4.48914,0.101105,-1.01292,4.82883,2.64289,5.44467e-05,7.09785e-05,9.27671e-05,0.000121646,0.000160197,0.000212118,0.00028281,0.000380293,0.000516608,0.000709845,0.000986763,0.00138567,0.00195882,0.00277341,0.00391052,0.00546177,0.00752373,0.0101906,0.0135459,0.0176535,0.0225493,0.0279449,0.0335705,0.0391663,0.0444763,0.0492476,0.0532343,0.0562086,0.0579804,0.0584237,0.0575065,0.0553099,0.0520232,0.0479115,0.0432694,0.0383804,0.0334896,0.0287906,0.0244226,0.020473,0.0169849,0.0139657,0.0113966,0.00924149,0.00745513,0.00598872,0.00479435,0.00382764,0.00304906,0.00242445,0.0019249,0.00152633,0.00120892,0.000956477,0.000755903,0.000596623,0.000470151,0.0003697,0.000289863,0.000226345,0.000175746,-0,-0,-0,-0,-0,-8.45837,-0,-0,-0,-0,-0,-0,-0,-0,-5.54409,-0,-4.88969,-22.9314,-4.30167,-8.07364,-22.7523,-17.8876,-23.7587,-22.6796,-34.2408,-21.0763,-35.1966,-40.3016,-22.7812,-28.4003,-19.991,-31.8428,-50.2531,-33.4224,-21.9822,-22.8215,-20.3791,-14.1908,-11.1367,-31.1092,-8.15086,-12.8135,-22.3722,-23.4203,-0,-0,-0,-5.56551,-0,-18.0665,-0,-0,-0,-0,-0,-0,-15.3249,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,1,4,7,2,2,6,9,13,11,12,13,11,9,10,9,7,15,6,10,5,4,5,2,5,1,5,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
-547.8,0.988571,0.114339,5,31,0,551.04,-3.37949,-2.17091,-1.67497,-0.222076,2.95824,0.0976322,-1.05758,4.78326,2.14687,1.53712e-05,2.29438e-05,3.42483e-05,5.1124e-05,7.6316e-05,0.000113917,0.000170014,0.00025363,0.000378029,0.000562465,0.000834292,0.00123118,0.0018029,0.00261199,0.00373274,0.00524808,0.00724411,0.00980215,0.0129887,0.0168444,0.021373,0.0264883,0.0320419,0.0378238,0.0435682,0.0489666,0.0536864,0.0574002,0.059826,0.060775,0.0601907,0.0581581,0.0548788,0.0506275,0.0457096,0.040428,0.0350596,0.0298397,0.024951,0.0205202,0.0166193,0.0132723,0.0104653,0.00815801,0.00629458,0.00481259,0.00364965,0.00274767,0.00205519,0.00152828,0.0011305,0.00083228,0.00061009,0.000445457,0.000324078,0.00023499,0.000169868,0.000122442,8.80195e-05,6.31136e-05,4.51447e-05,-0,-0,-0,-0,-0,-9.08004,-0,-0,-0,-0,-0,-0,-0,-0,-5.59061,-0,-4.92757,-23.1258,-4.34367,-8.16748,-23.0738,-18.1553,-24.085,-22.9237,-34.4677,-21.1163,-35.0951,-40.0079,-22.5305,-28.0058,-19.6717,-31.2905,-49.3447,-32.8159,-21.5981,-22.4576,-20.1042,-14.0477,-11.0725,-31.0908,-8.19438,-12.9662,-22.7984,-24.0438,-0,-0,-0,-5.897,-0,-19.4508,-0,-0,-0,-0,-0,-0,-17.361,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,9,3,8,10,8,11,5,12,11,11,11,13,14,11,16,10,4,2,5,3,1,3,5,0,1,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
-546.147,0.999882,0.114339,5,31,0,549.342,-1.03923,-2.57904,-1.24252,-0.598865,3.25397,0.263133,-0.947703,4.44079,2.39265,0.000132784,0.0001749,0.000230431,0.000303688,0.000400398,0.00052818,0.000697202,0.000921061,0.00121797,0.00161228,0.00213636,0.00283249,0.00375413,0.00496545,0.00653819,0.00854544,0.0110529,0.0141082,0.0177303,0.0218988,0.0265482,0.0315233,0.0366178,0.0415852,0.0461564,0.0500614,0.0530545,0.0549431,0.0556159,0.0550603,0.05336,0.0506741,0.04721,0.0431976,0.0388673,0.0344325,0.0300754,0.025938,0.0221197,0.0186787,0.015639,0.0129979,0.0107343,0.00881635,0.00720664,0.00586636,0.00475787,0.00384634,0.00310045,0.00249271,0.00199937,0.00160023,0.00127824,0.00101916,0.000811184,0.000644583,0.000511372,0.00040504,0.000320292,0.000252842,0.00019923,-0,-0,-0,-0,-0,-7.54607,-0,-0,-0,-0,-0,-0,-0,-0,-5.03009,-0,-4.50506,-21.305,-4.03248,-7.64265,-21.7728,-17.2851,-23.1506,-22.2601,-33.8329,-20.9615,-35.2372,-40.6204,-23.1143,-28.9933,-20.5149,-32.8058,-51.9035,-34.5617,-22.7332,-23.5813,-21.0243,-14.6082,-11.4339,-31.843,-8.31597,-13.0289,-22.6716,-23.6557,-0,-0,-0,-5.56063,-0,-17.9832,-0,-0,-0,-0,-0,-0,-15.1568,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,4,2,5,3,8,5,7,7,6,13,7,10,6,8,9,7,11,8,11,11,7,12,4,5,3,3,1,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
