# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 17:12:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26f39b3c2.json
# init = /tmp/RtmpC8O1hA/init-b41c21792cbea_1.json
# random
#   seed = 2852005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0274_rep028_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301812-1-19b70f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0274_rep028_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301812-1-48c430.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0896806
# Diagonal elements of inverse mass matrix:
# 0.175701, 0.0652995, 0.0941416, 0.0260882, 0.167453, 0.16244, 0.25021
-543.777,0.998101,0.0896806,5,31,0,545.572,-1.73768,-1.83086,-1.36962,-0.612153,3.19364,0.60266,-1.89723,4.80268,2.50807,8.15092e-05,0.000107023,0.000140576,0.000184743,0.000242949,0.000319774,0.000421381,0.00055612,0.000735411,0.000975039,0.00129705,0.00173241,0.00232437,0.00313147,0.00422877,0.00570601,0.00766259,0.010199,0.0134038,0.0173374,0.0220134,0.0273319,0.0331086,0.0390786,0.0449091,0.0502207,0.0546174,0.0577369,0.0593253,0.0593042,0.0577727,0.0549532,0.0511357,0.046636,0.0417649,0.0368018,0.0319742,0.0274473,0.0233234,0.0196515,0.0164402,0.0136714,0.0113107,0.00931651,0.00764439,0.00625111,0.00509634,0.00414361,0.0033607,0.0027196,0.00219627,0.00177026,0.00142435,0.00114412,0.00091756,0.000734736,0.00058745,0.000468972,0.000373796,0.000297435,0.000236237,-0,-0,-0,-0,-0,-8.04789,-0,-0,-0,-0,-0,-0,-0,-0,-5.46584,-0,-4.87141,-22.9273,-4.31221,-8.10978,-22.8966,-17.9985,-23.8557,-22.6953,-34.1343,-20.9393,-34.8888,-39.926,-22.5978,-28.2507,-19.9587,-31.914,-50.5456,-33.7192,-22.2299,-23.1155,-20.657,-14.382,-11.2749,-31.4368,-8.21605,-12.8774,-22.41,-23.3798,-0,-0,-0,-5.48619,-0,-17.7218,-0,-0,-0,-0,-0,-0,-14.8794,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,3,3,3,10,10,14,9,7,8,9,9,10,11,15,8,11,6,6,4,7,4,3,6,5,2,3,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
-544.33,0.988878,0.0896806,4,15,0,547.806,-2.11352,-1.68867,-1.28403,-0.537568,3.69485,0.720447,-1.90427,5.11445,2.40498,3.76797e-05,5.05346e-05,6.7809e-05,9.10491e-05,0.000122365,0.000164651,0.000221915,0.000299763,0.000406142,0.000552507,0.000755637,0.00104032,0.0014427,0.00201341,0.00281954,0.00394522,0.00549029,0.00756577,0.0102842,0.0137438,0.018007,0.0230446,0.0287423,0.0348956,0.0412174,0.0473517,0.0528921,0.0574089,0.0605014,0.0618926,0.0615189,0.0595206,0.0561652,0.0517819,0.0467211,0.0413246,0.0359002,0.0306987,0.0258986,0.0216043,0.0178554,0.0146447,0.0119355,0.00967595,0.00780867,0.00627709,0.00502862,0.0040162,0.00319888,0.0025416,0.00201484,0.00159396,0.00125858,0.000992002,0.000780567,0.000613208,0.000480975,0.000376668,0.00029451,0.000229885,0.000179115,-0,-0,-0,-0,-0,-8.71168,-0,-0,-0,-0,-0,-0,-0,-0,-5.87118,-0,-5.20477,-24.4206,-4.57714,-8.57433,-24.102,-18.8516,-24.8457,-23.4878,-35.0779,-21.3511,-35.274,-40.0058,-22.4407,-27.8235,-19.5189,-31.0358,-48.9508,-32.5679,-21.4449,-22.3041,-19.9621,-13.9341,-10.9607,-30.6789,-8.0509,-12.671,-22.1412,-23.1906,-0,-0,-0,-5.51742,-0,-17.9249,-0,-0,-0,-0,-0,-0,-15.2794,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,3,3,2,10,5,10,11,11,12,13,9,14,15,9,8,9,8,8,5,5,2,4,0,5,3,3,1,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0
-545.643,0.998921,0.0896806,5,63,0,546.354,-1.98747,-2.60025,-1.88624,-0.570009,3.25743,0.462184,0.308067,4.84601,2.60249,9.81636e-05,0.000130324,0.000173056,0.000229861,0.000305424,0.000406021,0.000540087,0.000718997,0.000958125,0.00127825,0.00170731,0.00228207,0.00304918,0.00406456,0.00539098,0.0070945,0.00924004,0.011887,0.0150866,0.0188842,0.0233416,0.0281922,0.0332313,0.0382438,0.042997,0.0472468,0.0507484,0.0532753,0.0546538,0.0548082,0.0537846,0.0517286,0.0488378,0.0453245,0.0413962,0.0372463,0.033048,0.028948,0.0250621,0.0214722,0.0182274,0.015348,0.0128323,0.0106626,0.00881157,0.00724684,0.00593443,0.00484104,0.00393541,0.00318913,0.00257693,0.00207676,0.00166957,0.00133917,0.00107185,0.00085616,0.000682543,0.000543104,0.000431343,0.000341933,0.000270522,-0,-0,-0,-0,-0,-7.80911,-0,-0,-0,-0,-0,-0,-0,-0,-5.22303,-0,-4.68421,-22.1615,-4.19395,-7.93886,-22.5451,-17.8435,-23.8298,-22.8464,-34.6129,-21.3666,-35.7705,-41.052,-23.2539,-29.0392,-20.4594,-32.5792,-51.3273,-34.033,-22.292,-23.0314,-20.4588,-14.169,-11.0592,-30.728,-8.00966,-12.5303,-21.7789,-22.7051,-0,-0,-0,-5.33063,-0,-17.244,-0,-0,-0,-0,-0,-0,-14.5794,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,1,2,0,10,5,7,5,10,8,10,7,16,19,11,11,6,10,7,7,7,6,3,3,3,5,0,3,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0
-546.063,0.996169,0.0896806,6,63,0,550.336,-1.82444,-1.14252,-0.0922203,-0.826017,1.81744,0.146265,-0.848084,4.83814,3.04731,0.000148841,0.000185706,0.000231838,0.000289645,0.000362198,0.000453447,0.000568505,0.000714048,0.000898885,0.00113479,0.00143771,0.00182962,0.00234128,0.00301644,0.00391818,0.00513765,0.00680466,0.00909598,0.0122317,0.0164463,0.0219275,0.0286034,0.0360868,0.0436763,0.0505146,0.0558398,0.0591863,0.0604435,0.0597924,0.0575901,0.0542578,0.0502008,0.0457638,0.0412155,0.0367501,0.032498,0.0285393,0.0249165,0.021645,0.0187221,0.016133,0.0138561,0.0118655,0.0101342,0.00863499,0.0073417,0.00622981,0.00527673,0.00446198,0.00376714,0.00317588,0.00267374,0.00224806,0.00188779,0.0015833,0.00132629,0.00110956,0.000926915,0.000773026,0.000643338,0.000533992,-0,-0,-0,-0,-0,-7.69863,-0,-0,-0,-0,-0,-0,-0,-0,-5.54213,-0,-4.99015,-23.4996,-4.40373,-8.21531,-22.9201,-17.7711,-23.2528,-21.9166,-32.8404,-20.1969,-33.9248,-39.2847,-22.535,-28.5441,-20.3981,-32.909,-52.4324,-35.0783,-23.1253,-23.986,-21.3388,-14.7689,-11.4989,-31.8244,-8.25377,-12.8371,-22.1706,-22.9592,-0,-0,-0,-5.24445,-0,-16.7443,-0,-0,-0,-0,-0,-0,-13.6076,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,5,6,10,8,9,13,14,14,10,8,14,10,8,9,11,8,4,1,1,4,4,4,1,1,2,1,2,3,1,1,1,1,1,3,0,0,0,0,0,0,0,0
-547.275,0.976155,0.0896806,6,63,0,549.073,-2.28643,-0.940902,-0.222806,-0.697141,2.63249,-0.449424,0.248451,5.46559,2.97108,0.000103343,0.000132704,0.000170449,0.000218998,0.000281476,0.000361937,0.000465634,0.000599395,0.000772098,0.000995296,0.00128402,0.00165778,0.00214181,0.00276849,0.00357897,0.00462516,0.00597262,0.00770602,0.00993829,0.0128294,0.0167028,0.021539,0.0271986,0.0333788,0.0396372,0.0454604,0.0503611,0.0539701,0.0560897,0.056698,0.0559162,0.0539596,0.0510886,0.04757,0.0436513,0.039545,0.0354233,0.0314173,0.0276207,0.0240946,0.0208739,0.0179726,0.0153896,0.013113,0.0111237,0.00939852,0.00791209,0.0066388,0.00555366,0.00463307,0.00385525,0.00320046,0.00265106,0.00219145,0.00180799,0.00148882,0.00122375,0.00100402,0.000822181,0.000671898,0.00054782,-0,-0,-0,-0,-0,-7.92404,-0,-0,-0,-0,-0,-0,-0,-0,-5.63268,-0,-5.12057,-24.3288,-4.61136,-8.71203,-24.5531,-19.1895,-25.2321,-23.7988,-35.5078,-21.6364,-35.8624,-40.8706,-23.0464,-28.7002,-20.1873,-32.1147,-50.5613,-33.5011,-21.9207,-22.6122,-20.0423,-13.8416,-10.7676,-29.8061,-7.73851,-12.0567,-20.8703,-21.6707,-0,-0,-0,-5.01482,-0,-16.1236,-0,-0,-0,-0,-0,-0,-13.4117,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,6,3,1,2,5,3,5,12,11,14,13,5,10,12,10,9,13,6,8,6,4,5,4,5,5,3,3,3,3,0,1,0,0,2,0,1,1,1,0,0,0,0,0
-546.329,0.82167,0.0896806,5,47,0,555.769,-1.9668,-1.83236,-2.18981,-0.79821,3.17017,1.14025,-0.124307,5.14972,3.01577,0.000190631,0.000239094,0.000299987,0.000376565,0.000472969,0.000594498,0.000747964,0.000942186,0.00118869,0.00150268,0.00190454,0.00242198,0.00309288,0.00396742,0.00510672,0.00657937,0.00845914,0.0108229,0.0137479,0.0173091,0.02158,0.0263685,0.0314609,0.0366197,0.0415853,0.0460741,0.0497773,0.0523791,0.0536485,0.0535773,0.0523359,0.0501476,0.0472377,0.043821,0.0400989,0.0362541,0.0324407,0.0287756,0.0253371,0.0221703,0.0192954,0.0167151,0.0144206,0.012396,0.010621,0.0090736,0.00773102,0.00657111,0.00557276,0.00471636,0.00398391,0.00335917,0.0028276,0.0023763,0.0019939,0.00167044,0.00139728,0.0011669,0.000972857,0.000809582,0.000672311,-0,-0,-0,-0,-0,-7.42779,-0,-0,-0,-0,-0,-0,-0,-0,-5.2772,-0,-4.77251,-22.6305,-4.28687,-8.11305,-23.0159,-18.1779,-24.2131,-23.1502,-34.9801,-21.5425,-36.0024,-41.2895,-23.4024,-29.2663,-20.6505,-32.9206,-51.8936,-34.4041,-22.5148,-23.2204,-20.5701,-14.1929,-11.0265,-30.472,-7.89578,-12.2743,-21.1955,-21.9519,-0,-0,-0,-5.02507,-0,-16.0702,-0,-0,-0,-0,-0,-0,-13.1465,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1,0,2,2,1,5,4,9,6,7,7,20,13,12,9,11,12,10,8,12,8,5,6,3,2,2,3,4,2,0,0,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0
