# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 17:30:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21f86727e.json
# init = /tmp/RtmpC8O1hA/init-b41c271860308_1.json
# random
#   seed = 2852008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0277_rep028_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605301830-1-61ab1b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0277_rep028_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301830-1-18a73b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.105512
# Diagonal elements of inverse mass matrix:
# 0.165342, 0.12293, 0.151599, 0.0110685, 0.172107, 0.183031, 0.504388
-547.352,0.985002,0.105512,5,31,0,550.194,-2.61981,-4.06051,-1.85714,-0.373593,3.89056,0.780292,-0.896788,5.10837,2.26602,3.71006e-05,5.23439e-05,7.38523e-05,0.000104203,0.000147035,0.00020749,0.00029283,0.000413319,0.000583433,0.000823465,0.00116136,0.00163411,0.00228784,0.00317666,0.004361,0.00590501,0.00787237,0.0103195,0.0132859,0.0167822,0.0207793,0.025189,0.0298783,0.03468,0.039405,0.0438529,0.0478194,0.0511036,0.0535176,0.0549054,0.0551752,0.0543286,0.0524524,0.0496876,0.0462052,0.0421912,0.0378383,0.0333378,0.0288716,0.0245999,0.0206491,0.0171025,0.0139995,0.0113427,0.0091086,0.00725775,0.00574349,0.00451766,0.00353426,0.00275152,0.00213276,0.00164657,0.00126659,0.000971054,0.000742187,0.000565645,0.000429951,0.000325993,0.000246587,0.000186103,0.000140147,-0,-0,-0,-0,-0,-8.48043,-0,-0,-0,-0,-0,-0,-0,-0,-5.43505,-0,-4.8444,-22.8686,-4.32105,-8.17487,-23.2428,-18.4067,-24.5744,-23.5311,-35.5725,-21.8884,-36.4839,-41.6346,-23.422,-29.0214,-20.2807,-32.0398,-50.1134,-33.022,-21.5226,-22.1588,-19.6466,-13.6042,-10.6347,-29.6401,-7.76016,-12.2056,-21.3437,-22.3959,-0,-0,-0,-5.39976,-0,-17.6868,-0,-0,-0,-0,-0,-0,-15.5037,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,2,2,1,7,6,5,4,6,7,8,12,11,15,12,13,4,12,8,10,6,13,7,3,5,2,3,2,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
-544.62,0.999366,0.105512,4,15,0,547.861,-2.45841,-3.12915,-1.07907,-0.459251,3.69396,1.05778,-0.594925,4.97618,2.22864,4.03377e-05,5.53355e-05,7.59166e-05,0.000104166,0.000142952,0.000196227,0.000269445,0.000370154,0.000508826,0.000700056,0.000964283,0.00133021,0.00183773,0.00254043,0.00350674,0.00481999,0.00657664,0.00888033,0.0118293,0.0154947,0.0198924,0.0249526,0.0305187,0.036361,0.0421972,0.0477092,0.0525587,0.0564101,0.0589675,0.0600408,0.0595959,0.0577324,0.0546408,0.0505707,0.0458074,0.0406529,0.0354025,0.0303153,0.0255859,0.0213323,0.0176043,0.0144021,0.0116952,0.00943614,0.00757068,0.00604385,0.00480359,0.00380266,0.00299947,0.00235819,0.00184847,0.00144494,0.00112664,0.00087638,0.000680209,0.000526853,0.000407267,0.000314227,0.000241995,0.000186026,0.000142738,-0,-0,-0,-0,-0,-8.53624,-0,-0,-0,-0,-0,-0,-0,-0,-5.65307,-0,-5.02423,-23.6196,-4.43718,-8.33452,-23.5045,-18.4539,-24.4259,-23.1998,-34.8194,-21.2984,-35.3499,-40.2515,-22.6462,-28.1273,-19.7412,-31.3713,-49.4186,-32.8282,-21.5832,-22.4188,-20.0458,-13.9844,-10.9971,-30.7803,-8.07923,-12.7211,-22.2429,-23.316,-0,-0,-0,-5.57206,-0,-18.1496,-0,-0,-0,-0,-0,-0,-15.6121,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,4,6,7,8,6,7,12,11,9,18,9,12,14,11,4,9,7,6,4,9,5,2,2,3,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-544.85,0.995359,0.105512,5,31,0,548.061,-2.36578,-1.62844,-1.77998,-0.581177,3.90895,0.989259,0.239183,5.2114,2.59718,6.45711e-05,8.54887e-05,0.000113219,0.00015001,0.000198871,0.000263851,0.000350426,0.000466059,0.000621016,0.000829575,0.00111174,0.00149516,0.00201618,0.00271953,0.00365832,0.00489498,0.00650237,0.00856433,0.0111764,0.0144576,0.0186575,0.0235035,0.0288044,0.0343677,0.0399847,0.045417,0.050377,0.0545065,0.0573747,0.0585841,0.0580429,0.0560406,0.0529774,0.0491942,0.0449543,0.0404651,0.0359,0.031412,0.027135,0.0231749,0.0196004,0.0164413,0.0136961,0.0113422,0.00934531,0.00766594,0.00626382,0.00510032,0.00413993,0.00335083,0.00270509,0.00217857,0.00175065,0.00140387,0.00112358,0.000897581,0.000715752,0.000569751,0.000452731,0.000359087,0.000284249,-0,-0,-0,-0,-0,-8.24013,-0,-0,-0,-0,-0,-0,-0,-0,-5.61075,-0,-5.03559,-23.8007,-4.49395,-8.47307,-23.889,-18.753,-24.8306,-23.5945,-35.4118,-21.6431,-35.8586,-40.7321,-22.8652,-28.3729,-19.926,-31.6985,-49.9441,-33.1318,-21.7148,-22.4512,-19.9621,-13.8423,-10.8208,-30.1175,-7.86441,-12.3239,-21.4532,-22.3961,-0,-0,-0,-5.27845,-0,-17.0956,-0,-0,-0,-0,-0,-0,-14.4844,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,1,8,3,3,4,11,9,9,9,15,15,13,6,8,7,6,7,8,8,11,6,9,4,3,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-545.193,0.996865,0.105512,5,31,0,546.837,-2.15795,-2.8055,-1.55926,-0.403392,3.55241,0.429827,-1.6052,4.95131,2.28424,4.25439e-05,5.94321e-05,8.30331e-05,0.000116023,0.000162152,0.000226679,0.000316987,0.000443445,0.00062059,0.000868692,0.00121561,0.00169861,0.00236535,0.00327363,0.00448944,0.00608339,0.00812522,0.0106759,0.0137777,0.0174429,0.0216445,0.0262906,0.0312392,0.0363045,0.0412678,0.0458902,0.0499265,0.0531412,0.0553299,0.0563492,0.0561457,0.0547642,0.0523304,0.0490239,0.0450547,0.0406461,0.0360198,0.0313816,0.0269082,0.022737,0.0189601,0.015626,0.012746,0.0103035,0.00826365,0.00658205,0.0052109,0.00410324,0.00321557,0.00250911,0.00195027,0.00151056,0.00116622,0.00089772,0.000689147,0.000527691,0.0004031,0.000307235,0.000233667,0.000177348,0.00013433,-0,-0,-0,-0,-0,-8.39198,-0,-0,-0,-0,-0,-0,-0,-0,-5.40603,-0,-4.81278,-22.6988,-4.2847,-8.09764,-22.998,-18.1927,-24.2626,-23.2107,-35.0644,-21.5705,-35.9664,-41.0872,-23.1555,-28.7619,-20.1586,-31.9519,-50.153,-33.1699,-21.6991,-22.42,-19.9421,-13.8461,-10.846,-30.2701,-7.93084,-12.4765,-21.8127,-22.8764,-0,-0,-0,-5.49598,-0,-17.9635,-0,-0,-0,-0,-0,-0,-15.6326,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,0,3,10,7,7,12,3,7,12,14,7,5,11,12,11,10,7,6,9,6,5,6,3,3,2,1,1,1,3,0,2,0,2,0,1,0,0,1,0,0,0,0,0
-546.493,0.996283,0.105512,5,31,0,548.254,-2.42429,-1.78111,-1.8261,-0.375553,4.22561,0.945656,-1.72921,5.23311,2.25805,2.2745e-05,3.20939e-05,4.53015e-05,6.39768e-05,9.04154e-05,0.000127909,0.000181211,0.000257246,0.000366213,0.000523271,0.000750777,0.0010803,0.00155331,0.00222107,0.00314443,0.00439316,0.00604417,0.00817743,0.0108683,0.0141756,0.018126,0.0226629,0.0276728,0.0329932,0.0384243,0.0437381,0.0486835,0.0529889,0.0563651,0.0585216,0.0592282,0.0584295,0.0562727,0.0530081,0.0489096,0.0442435,0.0392597,0.0341873,0.0292317,0.0245672,0.020326,0.0165883,0.0133816,0.0106902,0.00847039,0.00666491,0.00521285,0.00405582,0.00314101,0.00242249,0.0018614,0.00142545,0.00108824,0.000828458,0.00062904,0.000476462,0.000360069,0.00027152,0.000204323,0.000153446,0.000115006,-0,-0,-0,-0,-0,-8.96419,-0,-0,-0,-0,-0,-0,-0,-0,-5.76212,-0,-5.10866,-24.0319,-4.5219,-8.51247,-24.0624,-18.9351,-25.1111,-23.8802,-35.8497,-21.9068,-36.269,-41.1274,-23.0072,-28.3836,-19.7845,-31.2393,-48.9183,-32.3104,-21.1245,-21.8263,-19.4253,-13.5036,-10.5975,-29.6507,-7.79171,-12.2972,-21.5694,-22.6921,-0,-0,-0,-5.5076,-0,-18.0689,-0,-0,-0,-0,-0,-0,-15.8584,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,3,1,4,9,8,10,8,14,11,16,9,13,9,7,11,14,8,9,3,3,5,2,0,4,1,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0
-545.933,0.98659,0.105512,4,15,0,548.299,-1.84897,-2.36701,-1.81538,-0.382611,3.94071,1.02469,-1.45665,4.78066,2.18815,3.50397e-05,4.92998e-05,6.93749e-05,9.7647e-05,0.000137485,0.000193666,0.000272979,0.000385122,0.000544021,0.000769773,0.00109134,0.00154932,0.00219672,0.00309707,0.00432201,0.00594846,0.00805449,0.0107122,0.0139767,0.017871,0.0223695,0.0273544,0.0326491,0.0380361,0.0432755,0.0481174,0.0523087,0.0555988,0.0577506,0.0585727,0.0579931,0.0561063,0.0531121,0.0492469,0.044755,0.0398771,0.0348458,0.0298788,0.0251679,0.0208627,0.0170559,0.0137818,0.0110276,0.00875144,0.00689642,0.00540172,0.00420861,0.00326372,0.00252043,0.00193915,0.00148688,0.00113658,0.000866363,0.000658671,0.000499562,0.000378037,0.000285469,0.000215136,0.000161818,0.000121486,9.10358e-05,-0,-0,-0,-0,-0,-8.54938,-0,-0,-0,-0,-0,-0,-0,-0,-5.44404,-0,-4.82153,-22.6819,-4.27036,-8.04916,-22.8003,-17.9944,-23.9536,-22.8845,-34.5419,-21.2388,-35.4071,-40.4543,-22.813,-28.3749,-19.932,-31.6856,-49.901,-33.12,-21.7459,-22.5537,-20.1409,-14.0424,-11.0466,-30.9583,-8.14251,-12.8532,-22.5368,-23.6927,-0,-0,-0,-5.72489,-0,-18.7365,-0,-0,-0,-0,-0,-0,-16.3228,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,7,2,1,11,8,7,13,13,8,17,10,11,10,11,10,11,7,9,10,3,3,3,1,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
