# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 17:45:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c229c839b2.json
# init = /tmp/RtmpC8O1hA/init-b41c26a4c4748_4.json
# random
#   seed = 2852010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0279_rep028_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605301845-4-5e0452.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0279_rep028_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605301845-4-568934.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.183395
# Diagonal elements of inverse mass matrix:
# 0.0583169, 0.0529357, 0.00734099, 0.0051712, 0.0061349, 0.00807152, 0.00698277
-544.759,0.99947,0.183395,4,15,0,547.5,-0.739707,-2.26114,-0.791917,-0.808754,4.03463,0.500822,-0.586428,4.97247,2.61424,0.000146466,0.000183639,0.000230451,0.00028952,0.000364249,0.000459095,0.000579973,0.000734841,0.000934582,0.00119435,0.00153556,0.0019887,0.00259653,0.00341675,0.00452245,0.00599936,0.00793936,0.0104301,0.0135409,0.0173067,0.0217121,0.0266523,0.0319515,0.0373703,0.0426227,0.0474002,0.0513996,0.0543538,0.0560658,0.0564421,0.0555075,0.0533925,0.0503014,0.0464809,0.0421921,0.037686,0.033184,0.0288626,0.0248461,0.0212083,0.01798,0.01516,0.0127264,0.0106457,0.00887945,0.00738845,0.00613534,0.00508589,0.00420954,0.00347949,0.00287254,0.00236879,0.00195127,0.00160562,0.0013197,0.00108334,0.000888011,0.000726613,0.000593264,0.000483105,0.000392132,-0,-0,-0,-0,-0,-7.68625,-0,-0,-0,-0,-0,-0,-0,-0,-5.3987,-0,-4.83592,-22.8153,-4.30204,-8.11333,-22.9793,-18.1244,-24.1047,-23.0082,-34.7091,-21.3439,-35.6175,-40.7714,-23.0498,-28.7454,-20.2387,-32.2309,-50.8253,-33.7558,-22.1587,-22.9493,-20.4341,-14.1808,-11.0852,-30.8269,-8.03699,-12.5673,-21.8204,-22.713,-0,-0,-0,-5.28129,-0,-16.9826,-0,-0,-0,-0,-0,-0,-14.0531,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,3,3,3,3,6,10,9,15,11,16,7,9,10,8,10,7,14,6,4,9,8,2,2,3,3,3,1,3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0
-545.501,0.986763,0.183395,5,31,0,547.939,-0.0966995,-2.06114,-0.985676,-0.852813,4.48783,0.780839,-0.524929,5.11311,2.74284,0.000152844,0.000190158,0.000236892,0.000295602,0.000369639,0.000463455,0.000583074,0.000736814,0.000936436,0.00119898,0.00154945,0.00202386,0.0026709,0.00355071,0.00473146,0.0062848,0.00828028,0.0107787,0.0138238,0.0174328,0.0215861,0.026155,0.0309785,0.0358634,0.0405932,0.0449395,0.0486749,0.0515855,0.0534873,0.0542506,0.0538364,0.052316,0.0498461,0.0466254,0.0428667,0.0387812,0.034567,0.0303991,0.0264207,0.0227363,0.0194089,0.0164636,0.0138965,0.0116849,0.00979568,0.0081921,0.00683751,0.00569749,0.00474084,0.00393994,0.00327068,0.00271226,0.00224685,0.00185925,0.00153661,0.00126808,0.00104459,0.000858568,0.0007037,0.000574763,0.000467438,-0,-0,-0,-0,-0,-7.6768,-0,-0,-0,-0,-0,-0,-0,-0,-5.35352,-0,-4.79388,-22.6509,-4.28136,-8.0988,-23.0142,-18.2186,-24.3212,-23.2963,-35.2457,-21.7171,-36.2711,-41.5032,-23.4265,-29.1414,-20.4526,-32.455,-50.9799,-33.7217,-22.0476,-22.7487,-20.1891,-13.9734,-10.9008,-30.2703,-7.88405,-12.3198,-21.3806,-22.2473,-0,-0,-0,-5.16773,-0,-16.6098,-0,-0,-0,-0,-0,-0,-13.7283,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,1,5,1,4,5,3,7,5,8,8,9,7,9,11,10,12,11,10,8,7,10,5,10,6,4,1,1,3,2,1,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0
-544.464,0.997029,0.183395,4,15,0,547.01,-0.734521,-1.8456,-0.737111,-0.92526,4.45536,0.720988,-0.530565,5.48262,2.81736,7.40566e-05,9.0971e-05,0.000111942,0.000138046,0.000170698,0.000211796,0.000263936,0.000330762,0.000417549,0.000532216,0.0006871,0.000901894,0.00120782,0.00165225,0.00230247,0.00324731,0.00459526,0.00646797,0.00898838,0.0122631,0.0163608,0.0212464,0.0267993,0.0328087,0.0389834,0.0449717,0.0503886,0.0548489,0.0580076,0.0596165,0.0595889,0.0580206,0.0551427,0.0512586,0.0466977,0.0417816,0.036798,0.0319802,0.0274951,0.0234421,0.0198615,0.0167507,0.0140798,0.0118057,0.00988067,0.00825792,0.0068941,0.00575043,0.004793,0.00399252,0.00332391,0.00276587,0.0023003,0.00191192,0.00158781,0.00131709,0.00109063,0.000900825,0.000741394,0.000607194,0.000494053,-0,-0,-0,-0,-0,-8.45989,-0,-0,-0,-0,-0,-0,-0,-0,-6.07377,-0,-5.38273,-25.2045,-4.71182,-8.80232,-24.6772,-19.2578,-25.3357,-23.9194,-35.6908,-21.7121,-35.8559,-40.6444,-22.7774,-28.1982,-19.742,-31.3165,-49.2631,-32.6796,-21.4484,-22.2271,-19.8139,-13.7706,-10.7812,-30.0258,-7.83794,-12.268,-21.3151,-22.1959,-0,-0,-0,-5.15848,-0,-16.57,-0,-0,-0,-0,-0,-0,-13.642,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,3,4,2,4,5,5,13,5,8,10,9,14,7,14,11,10,6,9,5,8,5,7,2,1,5,4,3,1,2,1,2,1,2,0,1,1,0,0,0,1,1,0,0
-544.7,0.996561,0.183395,4,31,0,546.657,-1.13076,-2.88471,-0.752381,-0.681093,4.40993,0.622595,-0.557292,5.14787,2.39486,0.000103832,0.00013396,0.000172918,0.000223352,0.000288745,0.000373701,0.000484362,0.000628998,0.000818867,0.00106948,0.00140234,0.00184713,0.00244372,0.00324342,0.00430887,0.00571211,0.00753017,0.00983742,0.0126943,0.0161331,0.0201437,0.0246564,0.0295418,0.0346159,0.0396516,0.0443952,0.0485858,0.0519763,0.0543567,0.0555797,0.0555834,0.0544004,0.0521461,0.0489968,0.0451667,0.0408873,0.0363881,0.03188,0.0275402,0.0235015,0.0198484,0.01662,0.0138196,0.0114256,0.00940216,0.00770696,0.00629669,0.00513005,0.00416937,0.00338132,0.00273695,0.00221154,0.00178413,0.00143716,0.001156,0.000928508,0.000744696,0.000596348,0.000476747,0.000380415,0.000302901,-0,-0,-0,-0,-0,-7.89206,-0,-0,-0,-0,-0,-0,-0,-0,-5.44708,-0,-4.88884,-23.1078,-4.3666,-8.25376,-23.4292,-18.5136,-24.6536,-23.5441,-35.5039,-21.8024,-36.2931,-41.3976,-23.2975,-28.8994,-20.2291,-32.0252,-50.213,-33.176,-21.6818,-22.3786,-19.8811,-13.7831,-10.7763,-30.0055,-7.83926,-12.2914,-21.4083,-22.3595,-0,-0,-0,-5.27264,-0,-17.0685,-0,-0,-0,-0,-0,-0,-14.4051,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,3,2,5,4,3,5,7,8,5,8,10,7,11,9,10,8,12,10,7,11,7,5,7,6,2,5,3,2,0,2,2,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0
-546.178,0.994932,0.183395,4,31,0,547.976,-0.966221,-1.44451,-1.00148,-0.826279,4.2918,0.680139,-0.282472,5.2818,2.73055,7.03143e-05,8.7961e-05,0.000110179,0.000138237,0.000173805,0.000219115,0.000277205,0.000352302,0.000450452,0.000580576,0.000756244,0.000998416,0.00133908,0.00182517,0.00252219,0.00351692,0.00491808,0.00685379,0.0094645,0.0128912,0.0172603,0.0224646,0.0283329,0.0346244,0.0410324,0.0471945,0.0527055,0.0571382,0.0600881,0.0612653,0.060613,0.058335,0.05479,0.0503711,0.0454433,0.0403195,0.0352538,0.0304385,0.0260056,0.0220297,0.0185372,0.0155184,0.0129403,0.010758,0.00892281,0.00738692,0.0061062,0.00504124,0.00415764,0.00342578,0.00282047,0.00232041,0.00190766,0.00156722,0.00128652,0.00105511,0.000864282,0.00070682,0.000576739,0.00046909,0.000379789,-0,-0,-0,-0,-0,-8.42591,-0,-0,-0,-0,-0,-0,-0,-0,-5.98263,-0,-5.31484,-24.9148,-4.66021,-8.70242,-24.3561,-18.9791,-24.9461,-23.5424,-35.1273,-21.3743,-35.3164,-40.072,-22.4956,-27.9254,-19.6227,-31.2571,-49.3722,-32.8717,-21.639,-22.4764,-20.0711,-13.9682,-10.9483,-30.5229,-7.97595,-12.4972,-21.737,-22.6605,-0,-0,-0,-5.2901,-0,-17.0293,-0,-0,-0,-0,-0,-0,-14.1072,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,2,4,6,6,6,9,11,11,12,8,10,13,18,11,5,7,8,4,2,7,10,5,3,5,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-545.178,0.986127,0.183395,4,15,0,549.469,-0.887035,-1.99109,-0.963005,-0.891714,4.34513,0.785143,-0.382333,5.37703,2.81197,0.000144935,0.000178759,0.000220725,0.000272928,0.000338073,0.000419702,0.000522516,0.000652871,0.000819558,0.00103504,0.00131738,0.00169305,0.00219982,0.00288886,0.00382512,0.00508576,0.0067562,0.00892316,0.0116642,0.0150342,0.0190502,0.0236252,0.0286134,0.0338155,0.0389905,0.0438714,0.0481808,0.0516485,0.054035,0.055171,0.0550082,0.0536333,0.0512251,0.0480049,0.0442074,0.0400633,0.0357866,0.0315624,0.0275374,0.0238138,0.020449,0.0174632,0.0148496,0.0125846,0.0106365,0.00897036,0.00755145,0.00634723,0.00532798,0.00446719,0.00374155,0.00313073,0.00261718,0.00218578,0.0018236,0.00151962,0.0012645,0.00105034,0.000870507,0.000719434,0.000592479,-0,-0,-0,-0,-0,-7.77597,-0,-0,-0,-0,-0,-0,-0,-0,-5.56616,-0,-4.9973,-23.5955,-4.45123,-8.39486,-23.7641,-18.7272,-24.8772,-23.7079,-35.6888,-21.8854,-36.3935,-41.4861,-23.345,-28.9732,-20.3019,-32.1814,-50.5159,-33.401,-21.832,-22.5211,-19.9811,-13.8232,-10.7766,-29.8999,-7.77964,-12.143,-21.0489,-21.8764,-0,-0,-0,-5.05974,-0,-16.233,-0,-0,-0,-0,-0,-0,-13.3462,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,3,3,5,3,9,10,7,7,5,14,10,12,9,12,12,12,11,6,4,3,8,8,6,1,1,1,2,1,2,2,1,0,0,1,1,2,0,0,0,0,0,0,0
