# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 17:49:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27885f388.json
# init = /tmp/RtmpC8O1hA/init-b41c27e003de5_3.json
# random
#   seed = 2852011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0280_rep028_manuscript_default/prior_sensitivity_obspair_FAST-202605301849-3-1e3106.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0280_rep028_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605301849-3-88fcdc.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0818581
# Diagonal elements of inverse mass matrix:
# 0.0998914, 0.0768426, 0.0985273, 0.00963475, 0.130806, 0.169304, 0.438916
-545.482,0.983126,0.0818581,6,63,0,548.416,-0.636448,-1.2125,-2.10196,-0.454293,4.64847,-0.0887523,-0.496063,5.16828,2.67351,6.09193e-05,8.3995e-05,0.000115916,0.000160119,0.000221374,0.000306247,0.000423666,0.000585548,0.000807429,0.00110904,0.00151477,0.00205408,0.00276186,0.00367878,0.00485181,0.00633484,0.00818974,0.010488,0.0133132,0.0167659,0.0209704,0.0255551,0.030261,0.0348896,0.0392762,0.0432751,0.0467516,0.0495785,0.0516382,0.0528279,0.0530713,0.0523339,0.0506396,0.0480808,0.0448152,0.0410447,0.0369853,0.0328368,0.0287642,0.0248902,0.0212972,0.0180336,0.0151212,0.0125621,0.0103449,0.00844827,0.00684537,0.00550587,0.00439824,0.00349133,0.00275548,0.00216336,0.00169047,0.00131533,0.00101952,0.000787486,0.000606334,0.000465477,0.000356335,0.000272019,0.000207038,-0,-0,-0,-0,-0,-8.09112,-0,-0,-0,-0,-0,-0,-0,-0,-5.3284,-0,-4.80487,-22.7876,-4.319,-8.17682,-23.1879,-18.3346,-24.4853,-23.489,-35.6085,-21.9812,-36.7549,-42.0588,-23.7079,-29.4072,-20.5528,-32.4512,-50.7114,-33.3836,-21.7365,-22.3517,-19.7834,-13.6648,-10.6459,-29.5462,-7.69836,-12.0466,-20.9583,-21.8853,-0,-0,-0,-5.20194,-0,-16.9724,-0,-0,-0,-0,-0,-0,-14.8162,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,2,4,6,8,7,4,10,9,7,13,14,14,9,15,7,10,9,10,9,1,3,4,1,3,1,7,0,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0
-546.798,0.980117,0.0818581,5,31,0,549.629,-0.442447,-1.27062,-2.05087,-0.459132,4.55511,-0.303415,-0.36074,5.20438,2.78665,8.7804e-05,0.00012045,0.000165168,0.000226321,0.000309749,0.000423156,0.00057656,0.000782736,0.00105765,0.00142084,0.00189572,0.00250992,0.00329552,0.00428946,0.00553408,0.00707793,0.0089772,0.011298,0.0141202,0.0175447,0.0217063,0.0261343,0.0305644,0.0348201,0.0387673,0.0422934,0.0452977,0.0476886,0.0493843,0.0503177,0.0504441,0.0497502,0.0482632,0.0460554,0.0432422,0.0399717,0.036407,0.0327079,0.0290155,0.0254432,0.0220741,0.0189632,0.0161413,0.0136206,0.0113994,0.00946568,0.00780124,0.00638354,0.00518791,0.00418897,0.00336172,0.00268237,0.00212883,0.00168109,0.00132136,0.00103414,0.000806113,0.000625999,0.000484382,0.000373479,0.000286923,-0,-0,-0,-0,-0,-7.76777,-0,-0,-0,-0,-0,-0,-0,-0,-5.19683,-0,-4.71307,-22.4157,-4.26015,-8.08601,-22.9809,-18.2225,-24.4154,-23.5029,-35.7519,-22.1419,-37.134,-42.6029,-24.065,-29.894,-20.9082,-33.0081,-51.5285,-33.857,-21.9866,-22.5371,-19.878,-13.6806,-10.6198,-29.3705,-7.6267,-11.8958,-20.6319,-21.4808,-0,-0,-0,-5.05403,-0,-16.4259,-0,-0,-0,-0,-0,-0,-14.2466,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,2,3,3,2,5,8,6,4,10,6,9,8,8,12,10,18,13,11,7,8,5,3,4,4,8,1,3,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-544.726,0.999909,0.0818581,5,63,0,549.572,-0.636185,-0.760892,-1.90899,-0.752895,3.99684,0.0214273,-1.78036,5.01521,2.8085,3.6601e-05,4.69574e-05,6.0466e-05,7.82244e-05,0.000101795,0.000133451,0.00017656,0.000236209,0.000320174,0.000440384,0.000614986,0.000871042,0.00124774,0.00179984,0.00260115,0.0037475,0.00535906,0.00758143,0.0105853,0.0145645,0.0197313,0.0256972,0.0320906,0.0385553,0.0447497,0.0503461,0.0550356,0.058539,0.0606298,0.0611657,0.0601244,0.0576249,0.0539178,0.0493407,0.0442559,0.0389965,0.0338327,0.0289604,0.0245047,0.0205311,0.0170592,0.014076,0.0115478,0.00942918,0.00766989,0.00621973,0.00503141,0.00406218,0.00327456,0.00263635,0.00212038,0.00170395,0.0013683,0.001098,0.00088045,0.000705385,0.000564457,0.0004509,0.000359233,0.000285023,0.000224685,-0,-0,-0,-0,-0,-8.92178,-0,-0,-0,-0,-0,-0,-0,-0,-5.9518,-0,-5.22897,-24.4103,-4.54828,-8.45834,-23.5533,-18.3069,-24.0743,-22.7896,-34.1734,-20.9218,-34.7973,-39.7329,-22.4238,-27.9417,-19.6794,-31.3918,-49.645,-33.0991,-21.8244,-22.71,-20.318,-14.1673,-11.1267,-31.0865,-8.14213,-12.7898,-22.3063,-23.3197,-0,-0,-0,-5.50604,-0,-17.8151,-0,-0,-0,-0,-0,-0,-14.9593,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,0,4,12,10,7,8,9,13,12,10,9,12,9,13,9,3,13,5,7,3,3,3,2,1,1,2,3,0,2,0,1,1,0,0,1,0,0,0,0,0,0
-544.202,0.997799,0.0818581,6,63,0,546.568,-1.96696,-1.2059,-1.94366,-0.779039,2.83548,1.07977,-0.546465,4.98178,2.94375,0.000120039,0.000151326,0.000190878,0.000240943,0.00030442,0.000385071,0.000487817,0.000619159,0.000787795,0.00100554,0.00128877,0.00166069,0.00215502,0.00282122,0.00372936,0.00497114,0.00665852,0.00892246,0.0119104,0.0157809,0.0206958,0.0264789,0.0328759,0.0395481,0.0460683,0.0519152,0.0564934,0.0592648,0.0600307,0.0589869,0.0564994,0.0529592,0.0487334,0.0441477,0.0394729,0.0349148,0.0306119,0.0266454,0.0230531,0.0198434,0.0170058,0.0145186,0.0123536,0.0104802,0.00886719,0.00748439,0.0063034,0.00529812,0.00444494,0.00372278,0.00311298,0.00259918,0.00216711,0.00180442,0.00150044,0.00124601,0.00103329,0.00085562,0.000707316,0.000583578,0.000480345,-0,-0,-0,-0,-0,-7.86208,-0,-0,-0,-0,-0,-0,-0,-0,-5.59152,-0,-5.01186,-23.5959,-4.43034,-8.29792,-23.2669,-18.157,-23.9051,-22.6117,-33.8539,-20.707,-34.4836,-39.5604,-22.5032,-28.3044,-20.1147,-32.3206,-51.3636,-34.3224,-22.625,-23.4839,-20.9182,-14.5006,-11.3099,-31.3591,-8.1484,-12.697,-21.969,-22.7913,-0,-0,-0,-5.2404,-0,-16.7799,-0,-0,-0,-0,-0,-0,-13.75,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,2,2,2,4,7,3,7,8,3,6,12,9,8,14,15,9,10,10,6,4,12,3,5,4,5,3,7,2,0,1,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0
-547.817,0.992771,0.0818581,5,31,0,550.2,-1.15292,-1.2142,-2.6667,-0.603262,3.92891,0.668522,-2.89662,4.92876,2.59263,7.44296e-05,9.81806e-05,0.000129653,0.000171462,0.000227189,0.000301792,0.000402234,0.000538431,0.000724673,0.000981507,0.00133761,0.00183059,0.00250634,0.00341767,0.00462325,0.00618663,0.00817508,0.0106579,0.0137039,0.0173787,0.0217412,0.0265968,0.0317409,0.0369598,0.0420321,0.0467301,0.0508206,0.0540668,0.0562362,0.0571256,0.0566158,0.054745,0.051727,0.0478738,0.0435022,0.0388871,0.0342483,0.0297542,0.0255277,0.0216527,0.0181788,0.0151262,0.0124904,0.0102479,0.00836324,0.00679495,0.0055002,0.00443809,0.00357132,0.00286699,0.00229671,0.00183637,0.00146576,0.00116808,0.000929446,0.000738498,0.000585941,0.000464225,0.000367227,0.000290003,0.000228567,-0,-0,-0,-0,-0,-8.10577,-0,-0,-0,-0,-0,-0,-0,-0,-5.37666,-0,-4.80667,-22.7073,-4.29007,-8.10502,-22.9713,-18.1348,-24.151,-23.0855,-34.8626,-21.4436,-35.7534,-40.8455,-23.0256,-28.625,-20.1003,-31.9558,-50.3502,-33.4311,-21.9446,-22.7297,-20.2447,-14.0591,-11.004,-30.661,-8.015,-12.574,-21.914,-22.9034,-0,-0,-0,-5.41753,-0,-17.5635,-0,-0,-0,-0,-0,-0,-14.8846,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,5,4,3,9,6,6,6,11,14,11,6,13,10,10,7,7,6,7,9,12,9,3,4,1,3,3,2,0,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0
-548.597,0.993621,0.0818581,6,63,0,551.339,-1.28498,-2.28163,0.137663,-0.42344,3.36768,-0.493872,-2.79647,4.8008,2.21193,4.74038e-05,6.57333e-05,9.11363e-05,0.000126331,0.000175071,0.000242531,0.000335832,0.000464747,0.000642634,0.000887654,0.0012243,0.00168526,0.00231338,0.00316356,0.00430379,0.00581435,0.00778395,0.0103015,0.0134431,0.0172545,0.0217324,0.0268046,0.0323188,0.0380409,0.0436672,0.0488514,0.0532441,0.0565379,0.0585084,0.0590419,0.0581459,0.0559405,0.0526356,0.0484983,0.0438183,0.0388756,0.0339166,0.0291394,0.0246879,0.0206538,0.0170832,0.013986,0.0113457,0.00912861,0.00729093,0.00578498,0.00456308,0.00358025,0.00279577,0.00217382,0.00168369,0.00129949,0.000999758,0.000766917,0.00058673,0.000447767,0.000340929,0.000259019,0.000196378,0.000148584,0.000112195,-0,-0,-0,-0,-0,-8.32438,-0,-0,-0,-0,-0,-0,-0,-0,-5.44826,-0,-4.85569,-22.8773,-4.30929,-8.11936,-22.9737,-18.0959,-24.0247,-22.8837,-34.4427,-21.1328,-35.1944,-40.2198,-22.7087,-28.2951,-19.9136,-31.7181,-50.0542,-33.2885,-21.8939,-22.7317,-20.3031,-14.1427,-11.1043,-31.0388,-8.13932,-12.8091,-22.3946,-23.4817,-0,-0,-0,-5.63232,-0,-18.3938,-0,-0,-0,-0,-0,-0,-15.9677,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,1,1,5,1,5,8,7,9,17,7,16,17,10,10,7,14,7,7,11,4,6,3,4,2,2,0,3,1,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
