# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 18:00:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2d48cbfd.json
# init = /tmp/RtmpC8O1hA/init-b41c2578caf6c_4.json
# random
#   seed = 2952002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0281_rep029_accurate_weak/prior_sensitivity_obspair_FAST-202605301900-4-984eb5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0281_rep029_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605301900-4-6bd596.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0481803
# Diagonal elements of inverse mass matrix:
# 0.108015, 0.0768413, 0.0907947, 0.0630022, 0.121648, 0.126666, 0.215022
-539.868,0.999997,0.0481803,7,127,0,546.439,-2.13819,-4.69328,-1.26177,-0.0405514,4.22559,-0.16193,-0.69664,5.26491,2.08663,1.02414e-05,1.65086e-05,2.65748e-05,4.26917e-05,6.83787e-05,0.000109052,0.000172872,0.000271808,0.00042283,0.000649078,0.000980793,0.00145576,0.00211904,0.00302175,0.00421868,0.00576456,0.00770897,0.0100902,0.0129288,0.016221,0.0199343,0.0240005,0.0283189,0.0327598,0.0371702,0.0413818,0.0452207,0.0485171,0.0511164,0.0528904,0.0537482,0.0536452,0.0525888,0.0506379,0.0478968,0.0445045,0.0406219,0.03642,0.0320688,0.0277282,0.0235396,0.0196197,0.0160556,0.0129034,0.0101884,0.00790862,0.00603993,0.00454267,0.00336817,0.00246472,0.00178206,0.0012745,0.000902575,0.000633551,0.000441193,0.000305056,0.000209581,0.000143162,9.72859e-05,6.58017e-05,4.43175e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.53223,-0,-0,-5.46823,-5.15603,-4.86537,-9.19237,-4.3483,-16.4858,-19.5766,-7.45936,-14.2569,-17.0928,-23.0457,-31.8491,-40.2506,-24.2067,-41.6311,-35.2744,-32.1579,-26.3283,-20.6168,-26.8475,-39.5032,-34.2338,-16.0172,-29.8137,-24.0791,-7.17061,-26.2435,-11.7937,-20.6585,-8.70053,-18.346,-4.8398,-5.10936,-0,-5.69338,-6.00568,-0,-0,-0,-0,-0,-8.09502,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,5,7,5,8,12,7,8,8,5,6,6,7,8,8,12,16,9,7,11,7,3,6,5,4,3,2,2,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-536.27,0.996408,0.0481803,6,63,0,541.67,-2.54099,-2.05989,-0.693427,-0.440324,3.8132,-0.293332,-0.637104,5.66207,2.46588,3.13872e-05,4.33318e-05,5.98316e-05,8.26306e-05,0.000114144,0.00015772,0.000217996,0.000301396,0.000416802,0.000576449,0.000797078,0.00110135,0.00151946,0.00209069,0.00286468,0.0039017,0.00527143,0.00704955,0.00931161,0.0121242,0.015534,0.0195443,0.0241079,0.0291159,0.0343935,0.039704,0.0447632,0.0492654,0.0529181,0.0554801,0.0567938,0.0568041,0.0555592,0.0531965,0.0499175,0.04596,0.0415712,0.0369847,0.0324043,0.027994,0.0238744,0.0201237,0.0167832,0.013864,0.0113545,0.00922773,0.00744763,0.00597376,0.00476496,0.00378179,0.00298795,0.00235112,0.00184317,0.00144008,0.00112165,0.000871133,0.000674763,0.000521347,0.000401851,0.000309028,0.000237108,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.81122,-0,-0,-5.8553,-5.54634,-5.24545,-9.90958,-4.67649,-17.6502,-20.8236,-7.87014,-14.9009,-17.6824,-23.5892,-32.263,-40.3828,-24.0843,-41.1461,-34.7008,-31.5516,-25.8133,-20.2321,-26.4039,-38.966,-33.8798,-15.9017,-29.6753,-24.0063,-7.15153,-26.1447,-11.7176,-20.4369,-8.55692,-17.9126,-4.68554,-4.89986,-0,-5.34647,-5.57756,-0,-0,-0,-0,-0,-7.04572,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,5,9,7,4,6,11,10,15,5,7,4,18,9,9,11,13,8,13,3,4,6,7,1,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
-536.297,0.992513,0.0481803,6,63,0,538.701,-1.19796,-1.9567,-1.33977,-0.336374,5.48392,0.302568,-0.842593,5.53212,2.28393,2.17546e-05,3.11981e-05,4.48011e-05,6.44531e-05,9.29493e-05,0.000134451,0.000195161,0.000284254,0.000414999,0.000605912,0.000881726,0.00127401,0.00182135,0.00256892,0.00356737,0.00487072,0.00653328,0.00860529,0.0111276,0.0141254,0.0176029,0.0215087,0.0257584,0.0302352,0.0347948,0.0392713,0.0434858,0.0472543,0.0503972,0.0527487,0.0541687,0.0545575,0.0538751,0.0521581,0.0495224,0.0461434,0.0422236,0.0379663,0.0335593,0.029168,0.024932,0.0209626,0.0173425,0.0141248,0.0113344,0.00897065,0.00701176,0.00542047,0.0041505,0.00315235,0.00237789,0.0017834,0.00133106,0.000989367,0.000732788,0.000541077,0.000398431,0.000292668,0.000214492,0.00015686,0.000114474,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66558,-0,-0,-5.63593,-5.32451,-5.03085,-9.51076,-4.49833,-17.0391,-20.1985,-7.67859,-14.636,-17.4937,-23.508,-32.3726,-40.7592,-24.4177,-41.8295,-35.3066,-32.0722,-26.1765,-20.4476,-26.5813,-39.0693,-33.836,-15.8239,-29.4395,-23.7611,-7.06936,-25.8412,-11.595,-20.273,-8.51965,-17.9197,-4.7138,-4.96017,-0,-5.48453,-5.75961,-0,-0,-0,-0,-0,-7.52195,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,3,2,3,5,5,5,4,11,14,2,8,14,13,16,14,13,8,5,7,9,3,5,4,3,5,1,3,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0
-537.23,0.992914,0.0481803,6,63,0,540.375,-1.34555,-1.55078,-1.03672,0.0641805,5.1374,-0.464659,-0.649325,5.48269,2.20913,4.41298e-06,7.35034e-06,1.21679e-05,1.99982e-05,3.25976e-05,5.2651e-05,8.42024e-05,0.000133255,0.000208588,0.000322822,0.000493763,0.000745972,0.00111244,0.00163615,0.00237112,0.00338253,0.0047455,0.00654198,0.0088557,0.0117651,0.0153348,0.0195476,0.0243372,0.0295836,0.0351119,0.0406968,0.0460731,0.0509518,0.055042,0.0580777,0.0598458,0.0602136,0.0591503,0.0567359,0.053154,0.0486675,0.0435824,0.0382083,0.0328254,0.0276622,0.0228866,0.0186059,0.0148738,0.0117003,0.00906255,0.00691597,0.00520308,0.00386118,0.00282797,0.00204529,0.00146146,0.00103228,0.000721123,0.000498472,0.000341128,0.000231243,0.000155354,0.000103493,6.84016e-05,4.48763e-05,2.92402e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.20082,-0,-0,-6.04439,-5.68913,-5.35056,-10.059,-4.72669,-17.7705,-20.8881,-7.86981,-14.863,-17.6027,-23.4445,-32.016,-40.0078,-23.815,-40.5952,-34.1517,-30.9758,-25.2887,-19.7937,-25.8241,-38.1493,-33.2502,-15.6655,-29.3823,-23.9159,-7.17538,-26.4404,-11.9528,-21.0408,-8.89629,-18.8144,-4.97392,-5.25851,-0,-5.8682,-6.19222,-0,-0,-0,-0,-0,-8.37204,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,2,4,4,5,8,10,12,12,12,16,9,13,13,9,6,9,9,6,5,8,6,5,2,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-538.593,0.991273,0.0481803,6,127,0,541.218,-0.328753,-1.44526,-0.964925,-0.795133,4.7378,0.31844,-1.46104,5.29125,2.72661,2.1955e-05,2.79123e-05,3.56236e-05,4.56923e-05,5.89871e-05,7.67954e-05,0.000101092,0.000135023,0.000183784,0.000256198,0.000367356,0.00054249,0.000821557,0.00126324,0.00194686,0.00297099,0.00444867,0.00649912,0.0092367,0.0127577,0.0171258,0.0222642,0.0280246,0.034187,0.0404669,0.0465299,0.0520125,0.0565504,0.0598128,0.0615454,0.0616183,0.0600618,0.0570641,0.0529277,0.0480093,0.042668,0.0372273,0.0319525,0.0270384,0.0226084,0.018721,0.0153833,0.0125666,0.0102206,0.0082858,0.00670158,0.00541109,0.00436372,0.00351588,0.00283083,0.00227803,0.00183234,0.00147316,0.00118373,0.000950405,0.000762116,0.000609928,0.000486657,0.000386559,0.000305072,0.000238595,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.51934,-0,-0,-6.24154,-5.81886,-5.41515,-10.0722,-4.68457,-17.4465,-20.3358,-7.60955,-14.2987,-16.8795,-22.4509,-30.6766,-38.4315,-22.981,-39.4315,-33.4558,-30.6548,-25.3114,-20.0451,-26.4495,-39.4727,-34.6974,-16.4536,-30.9915,-25.2735,-7.57887,-27.8468,-12.5234,-21.8836,-9.1667,-19.1728,-5.00541,-5.2193,-0,-5.65046,-5.86718,-0,-0,-0,-0,-0,-7.17941,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,4,1,8,8,6,12,9,14,11,17,7,15,16,11,7,7,7,4,8,3,7,4,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-535.857,0.999689,0.0481803,6,63,0,540.192,-1.91145,-1.40097,-1.39935,-0.167166,4.22395,-0.21372,-0.96597,5.37584,2.25219,9.30089e-06,1.41815e-05,2.16118e-05,3.29107e-05,5.00642e-05,7.60467e-05,0.000115279,0.000174267,0.000262456,0.00039333,0.000585732,0.000865347,0.00126619,0.00183189,0.0026165,0.00368448,0.00510961,0.00697243,0.00935619,0.0123412,0.0159977,0.0203074,0.0252055,0.0305734,0.0362339,0.0419519,0.047441,0.052379,0.0564343,0.0593012,0.0607443,0.0606407,0.0590075,0.0560024,0.0518939,0.047012,0.0416961,0.0362554,0.0309449,0.0259559,0.0214171,0.0174013,0.0139347,0.0110078,0.00858579,0.00661805,0.00504586,0.00380871,0.00284856,0.00211266,0.00155497,0.0011366,0.000825607,0.000596309,0.000428482,0.000306453,0.000218246,0.000154824,0.00010944,7.71032e-05,5.41521e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.05238,-0,-0,-5.94592,-5.60362,-5.27663,-9.93158,-4.67172,-17.5793,-20.6765,-7.79354,-14.7228,-17.4381,-23.2243,-31.7123,-39.6275,-23.594,-40.2455,-33.9015,-30.8119,-25.2251,-19.8106,-25.9412,-38.4612,-33.6309,-15.8867,-29.8545,-24.3288,-7.30272,-26.905,-12.1536,-21.3669,-9.01831,-19.0306,-5.01795,-5.28919,-0,-5.86094,-6.15981,-0,-0,-0,-0,-0,-8.09045,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,1,4,8,3,7,6,7,7,7,10,12,19,11,11,10,2,18,7,11,2,3,7,2,2,6,3,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
