# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 18:22:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2718a07af.json
# init = /tmp/RtmpC8O1hA/init-b41c26c150ff5_4.json
# random
#   seed = 2952005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0284_rep029_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605301922-4-5c90dc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0284_rep029_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605301922-4-5e3861.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0823574
# Diagonal elements of inverse mass matrix:
# 0.108899, 0.0741713, 0.0671011, 0.0312705, 0.122318, 0.108253, 0.260595
-539.983,0.993915,0.0823574,4,15,0,543.221,-0.484771,-1.75934,-1.39138,-0.299475,5.33432,0.958285,-0.702177,4.86462,2.15635,1.76301e-05,2.5606e-05,3.72348e-05,5.42397e-05,7.92147e-05,0.000116131,0.000171203,0.000254394,0.000381788,0.000578191,0.000878231,0.00132579,0.00197291,0.00287855,0.00410678,0.00572442,0.00779768,0.0103873,0.013542,0.017289,0.0216245,0.0264064,0.0314643,0.036607,0.0416322,0.0463349,0.0505126,0.0539697,0.0565209,0.0579958,0.0582482,0.05718,0.0548026,0.051303,0.0469899,0.0421777,0.0371363,0.0320859,0.0272023,0.022623,0.0184507,0.0147566,0.0115807,0.00893149,0.00678576,0.00509335,0.00378721,0.00279579,0.00205241,0.00150002,0.00109233,0.000793018,0.000574208,0.00041481,0.000299037,0.000215166,0.000154542,0.000110809,7.93166e-05,5.66739e-05,4.04168e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.62575,-0,-0,-5.49512,-5.16301,-4.85393,-9.13434,-4.30196,-16.2307,-19.1697,-7.2683,-13.8356,-16.5376,-22.2522,-30.7186,-38.8119,-23.3547,-40.224,-34.1686,-31.2735,-25.754,-20.3281,-26.73,-39.7517,-34.8245,-16.4658,-30.9541,-25.2312,-7.57758,-27.9486,-12.6482,-22.2921,-9.43634,-19.9717,-5.27982,-5.57612,-0,-6.18874,-6.50228,-0,-0,-0,-0,-0,-8.4441,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,1,4,8,8,8,16,11,13,8,19,14,13,7,10,9,8,6,7,6,6,2,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-539.391,0.998571,0.0823574,6,63,0,543.968,-2.02079,-2.28174,-1.68274,-0.375211,5.26199,2.00867,-1.34459,5.53425,2.21329,2.61733e-05,3.69386e-05,5.21522e-05,7.36723e-05,0.000104154,0.000147414,0.000208975,0.000296929,0.000423314,0.000606275,0.000871134,0.00124931,0.00177839,0.00250237,0.00347154,0.00474188,0.00637345,0.00842725,0.0109591,0.0140083,0.0175779,0.0215983,0.0259469,0.0304819,0.0350545,0.0395114,0.0436946,0.0474421,0.0505886,0.0529668,0.0544101,0.0547587,0.0539365,0.0520788,0.0493675,0.0459852,0.0421076,0.0379009,0.0335209,0.0291138,0.0248161,0.0207562,0.0170527,0.0137988,0.0110318,0.00873513,0.00686227,0.00535548,0.00415605,0.00320952,0.00246795,0.0018905,0.00144322,0.00109836,0.000833547,0.000630944,0.000476441,0.000358965,0.000269883,0.000202498,0.000151639,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.68517,-0,-0,-5.66316,-5.35132,-5.05561,-9.55257,-4.51359,-17.0724,-20.2056,-7.67028,-14.6068,-17.4531,-23.456,-32.3117,-40.6969,-24.386,-41.7764,-35.2571,-32.0233,-26.1434,-20.4396,-26.595,-39.11,-33.8738,-15.8376,-29.455,-23.7691,-7.07309,-25.8738,-11.6247,-20.3572,-8.56635,-18.0279,-4.7404,-4.98172,-0,-5.48319,-5.74163,-0,-0,-0,-0,-0,-7.36829,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,2,2,5,4,7,6,7,7,7,9,13,8,13,11,13,9,8,7,12,9,7,8,4,3,2,0,2,1,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1
-541.231,0.98417,0.0823574,4,23,0,543.546,-2.09871,-2.13675,-1.75989,-0.430491,5.40729,2.05196,-1.779,5.75881,2.32703,3.24489e-05,4.49751e-05,6.23693e-05,8.65538e-05,0.000120238,0.00016727,0.000233166,0.00032595,0.000457509,0.000645538,0.000913631,0.00129051,0.00181024,0.00251243,0.0034421,0.00464924,0.00618747,0.00811146,0.0104721,0.013307,0.0166241,0.0203664,0.0244318,0.0286991,0.0330386,0.0373145,0.0413852,0.0451036,0.0483179,0.0508718,0.0526056,0.0533579,0.0529994,0.0516108,0.0493589,0.0464141,0.0429407,0.0390943,0.0350209,0.0308571,0.02673,0.0227579,0.0190512,0.0157078,0.0127912,0.0103137,0.00824967,0.0065548,0.00517873,0.00407161,0.00318751,0.00248595,0.00193224,0.00149726,0.00115697,0.000891722,0.00068565,0.000526026,0.000402711,0.000307681,0.000234612,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.65272,-0,-0,-5.67167,-5.37105,-5.08523,-9.62895,-4.55904,-17.2779,-20.4845,-7.78774,-14.8475,-17.7545,-23.8706,-32.8837,-41.4028,-24.7903,-42.4194,-35.7414,-32.3943,-26.3766,-20.5623,-26.6762,-39.1123,-33.7717,-15.7397,-29.176,-23.4627,-6.95677,-25.3538,-11.3485,-19.8031,-8.3072,-17.436,-4.57428,-4.79758,-0,-5.26319,-5.50372,-0,-0,-0,-0,-0,-7.02236,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,4,3,1,0,4,1,5,4,5,10,11,12,12,8,15,10,11,13,11,10,4,6,5,5,2,5,4,1,0,1,2,1,3,1,1,1,0,0,1,0,0,0,0,0
-541.841,0.994706,0.0823574,6,63,0,546.298,-1.16316,-2.49395,-0.308023,-0.141357,4.61578,-0.366737,-1.48456,4.9433,1.98803,6.14613e-06,9.47081e-06,1.45869e-05,2.24536e-05,3.45398e-05,5.30922e-05,8.15454e-05,0.000125146,0.000191899,0.000293974,0.000449742,0.000686514,0.00104392,0.00157745,0.00236122,0.00348872,0.00506979,0.00722264,0.0100602,0.0136715,0.0180996,0.0233178,0.0292132,0.0355785,0.0421163,0.0484587,0.0542009,0.0589445,0.0623443,0.0641502,0.0642391,0.0626284,0.0594719,0.055036,0.0496633,0.0437295,0.0376019,0.0316038,0.0259914,0.0209414,0.0165522,0.0128532,0.00982048,0.00739412,0.00549449,0.00403531,0.00293299,0.00211228,0.00150893,0.00107021,0.000754235,0.000528561,0.000368551,0.000255825,0.000176859,0.000121821,8.36302e-05,5.72362e-05,3.90602e-05,2.65838e-05,1.80448e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.28388,-0,-0,-6.04858,-5.65822,-5.28446,-9.86107,-4.59916,-17.1698,-20.0593,-7.51708,-14.1325,-16.6801,-22.1713,-30.2704,-37.8958,-22.6493,-38.8512,-32.9583,-30.1966,-24.9348,-19.7558,-26.0979,-39.0324,-34.4271,-16.4035,-31.0903,-25.5499,-7.73205,-28.7086,-13.0625,-23.1164,-9.81414,-20.816,-5.51267,-5.83173,-0,-6.49636,-6.8399,-0,-0,-0,-0,-0,-9.01296,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,1,4,7,6,7,8,6,13,9,5,14,12,12,13,5,12,7,14,11,9,5,2,3,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-540.482,0.997576,0.0823574,5,63,0,546.489,-1.36785,-2.40696,-1.0992,-0.214033,5.91213,-0.239386,-1.47177,6.02154,2.34699,2.07419e-05,3.09885e-05,4.62522e-05,6.89385e-05,0.000102549,0.000152123,0.000224791,0.000330438,0.000482417,0.000698236,0.00100009,0.00141515,0.00197541,0.00271702,0.00367907,0.00490155,0.00642273,0.00827583,0.0104853,0.013063,0.0160043,0.0192801,0.0228379,0.0266021,0.0304748,0.0343394,0.0380658,0.0415169,0.0445563,0.0470563,0.0489063,0.0500209,0.0503465,0.049867,0.0486061,0.0466261,0.0440223,0.0409144,0.0374359,0.033725,0.0299154,0.0261301,0.0224762,0.019041,0.0158897,0.0130656,0.0105899,0.00846489,0.00667711,0.00520118,0.0040041,0.00304904,0.00229856,0.00171694,0.00127183,0.000935028,0.000682748,0.000495486,0.000357604,0.000256805,0.000183585,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.56052,-0,-0,-5.6051,-5.3182,-5.04791,-9.58883,-4.55778,-17.3519,-20.6745,-7.89737,-15.1173,-18.1338,-24.436,-33.7146,-42.4897,-25.4532,-43.554,-36.6769,-33.1963,-26.9578,-20.9218,-26.9856,-39.3121,-33.7215,-15.6153,-28.7665,-22.9959,-6.77903,-24.5657,-10.934,-18.9765,-7.92233,-16.5683,-4.33777,-4.54786,-0,-5.00907,-5.25887,-0,-0,-0,-0,-0,-6.97493,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,8,3,7,2,5,8,10,5,3,13,11,15,10,13,11,5,8,13,4,6,5,4,2,4,3,3,1,7,0,1,0,0,0,0,1,1,0,0,0,0,0
-536.564,0.99578,0.0823574,4,31,0,543.988,-1.54105,-3.3072,-0.73191,-0.471244,4.9318,0.475028,-1.31666,5.36747,2.1146,3.9966e-05,5.46588e-05,7.47796e-05,0.000102357,0.000140196,0.000192192,0.000263783,0.00036259,0.000499332,0.000689046,0.000952569,0.00131812,0.00182271,0.00251322,0.00344659,0.00468869,0.00631099,0.00838445,0.0109703,0.0141084,0.0178052,0.0220226,0.0266735,0.031621,0.0366837,0.0416442,0.0462612,0.0502861,0.0534839,0.0556565,0.0566665,0.0564569,0.0550588,0.0525844,0.0492085,0.0451458,0.0406282,0.0358857,0.0311305,0.0265454,0.0222746,0.0184183,0.015032,0.0121302,0.00969502,0.00768655,0.00605338,0.00474051,0.00369484,0.00286825,0.00221884,0.00171126,0.00131626,0.00101,0.000773307,0.000590897,0.000450668,0.000343103,0.000260757,0.000197829,0.00014982,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63155,-0,-0,-5.67037,-5.3626,-5.06546,-9.56275,-4.51256,-17.0439,-20.1413,-7.63137,-14.4963,-17.2697,-23.138,-31.7859,-39.9549,-23.9202,-40.9972,-34.6627,-31.5763,-25.8685,-20.2955,-26.508,-39.152,-34.0764,-16.0165,-29.9467,-24.287,-7.2578,-26.6302,-11.9832,-20.9879,-8.82411,-18.5446,-4.86828,-5.10714,-0,-5.60082,-5.85405,-0,-0,-0,-0,-0,-7.43387,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,4,3,5,9,10,8,12,12,3,8,14,10,8,11,14,11,7,10,3,4,4,1,5,3,1,1,4,1,3,2,0,2,0,0,1,0,0,0,0,0,0,0
