# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 18:59:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2170e6ffa.json
# init = /tmp/RtmpC8O1hA/init-b41c23adf98e0_1.json
# random
#   seed = 2952009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0288_rep029_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301959-1-64769d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0288_rep029_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301959-1-5ee1bd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.15118
# Diagonal elements of inverse mass matrix:
# 0.0992168, 0.0954346, 0.0285824, 0.0112741, 0.0258796, 0.0407659, 0.0771484
-538.828,0.997237,0.15118,4,23,0,543.431,-0.686454,-1.45777,-0.774213,-0.91527,4.75984,0.552334,-0.271161,5.70979,2.86276,4.53841e-05,5.59056e-05,6.90011e-05,8.53735e-05,0.000105959,0.000132028,0.000165351,0.000208467,0.000265147,0.000341239,0.000446137,0.000595246,0.000813515,0.00113978,0.00163135,0.00236791,0.00345331,0.00501346,0.00718929,0.0101244,0.0139487,0.0186156,0.0240229,0.0300014,0.0363116,0.042647,0.0486414,0.0538844,0.0579523,0.0604689,0.0612057,0.060169,0.057588,0.0538184,0.0492469,0.0442361,0.0390971,0.0340773,0.0293568,0.0250506,0.0212164,0.0178665,0.0149814,0.0125227,0.0104433,0.0086943,0.00722883,0.00600442,0.0049835,0.00413355,0.00342674,0.00283944,0.00235169,0.00194666,0.00161024,0.00133055,0.00109764,0.000903179,0.000740256,0.000603145,0.000487163,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.42654,-0,-0,-6.41835,-6.04575,-5.66842,-10.5913,-4.93516,-18.3712,-21.3618,-7.96752,-14.915,-17.5326,-23.2093,-31.548,-39.3026,-23.3673,-39.8739,-33.6675,-30.7287,-25.2954,-19.9811,-26.2993,-39.1418,-34.3003,-16.2085,-30.4121,-24.6976,-7.37372,-26.9709,-12.0745,-21.0047,-8.76042,-18.2472,-4.74509,-4.92968,-0,-5.30162,-5.48862,-0,-0,-0,-0,-0,-6.62216,-0,-0,-0,-0,-0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,5,4,2,7,6,9,13,9,15,10,9,6,12,6,8,9,12,7,8,5,2,4,4,4,4,3,1,0,2,1,0,0,0,0,2,2,0,1,0,1,0
-539.469,0.993812,0.15118,5,31,0,540.714,0.0440549,-2.01941,-0.583265,-0.808703,4.57784,0.630209,-0.731771,5.27536,2.62593,3.77714e-05,4.75607e-05,6.0009e-05,7.59126e-05,9.63532e-05,0.000122831,0.000157482,0.000203445,0.00026552,0.000351371,0.00047375,0.000654244,0.000928435,0.00135087,0.00199763,0.0029654,0.00436709,0.00632465,0.0089587,0.0123739,0.0166388,0.0217296,0.027539,0.0338635,0.0404048,0.0467879,0.0525929,0.0573968,0.0608211,0.0625865,0.0625703,0.0608338,0.0575976,0.0531885,0.0479877,0.0423837,0.036732,0.0313216,0.0263555,0.0219479,0.0181363,0.0149029,0.0121975,0.00995515,0.00810876,0.00659519,0.00535831,0.00434976,0.00352872,0.00286111,0.00231873,0.00187833,0.00152085,0.00123063,0.000994852,0.000803045,0.000646712,0.000519006,0.00041446,0.000328741,0.000258441,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.33203,-0,-0,-6.21579,-5.82074,-5.43366,-10.1266,-4.71513,-17.5687,-20.4801,-7.65816,-14.3686,-16.9271,-22.4616,-30.6213,-38.2873,-22.8621,-39.1975,-33.2545,-30.4861,-25.1965,-19.9799,-26.4052,-39.4785,-34.7709,-16.5205,-31.171,-25.4525,-7.63817,-28.0689,-12.6186,-22.0326,-9.21933,-19.2592,-5.02141,-5.22911,-0,-5.64682,-5.85655,-0,-0,-0,-0,-0,-7.1271,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,4,6,4,9,11,11,10,10,12,11,15,11,10,15,7,11,9,6,5,3,2,4,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
-537.641,0.999781,0.15118,5,31,0,541.176,-2.07775,-2.62803,-1.09698,-0.516806,3.86904,0.600236,-0.654776,5.1454,2.34429,5.35629e-05,7.22205e-05,9.73994e-05,0.000131397,0.000177336,0.000239472,0.000323624,0.000437792,0.000593033,0.000804704,0.00109418,0.00149101,0.00203504,0.00277798,0.00378374,0.00512723,0.0068908,0.00915722,0.0119984,0.0154603,0.0195461,0.024193,0.0292731,0.0345981,0.0399308,0.0450015,0.0495252,0.0532224,0.0558456,0.0572179,0.0572676,0.056036,0.0536544,0.0503157,0.0462515,0.0417127,0.0369493,0.0321912,0.0276298,0.0234054,0.0196039,0.0162626,0.0133812,0.0109343,0.00888185,0.00717773,0.00577459,0.00462738,0.00369502,0.00294119,0.00233444,0.00184803,0.00145946,0.00115004,0.00090434,0.000709751,0.000556,0.000434776,0.000339385,0.000264459,0.000205707,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5083,-0,-0,-5.57704,-5.27319,-4.97757,-9.38642,-4.42298,-16.6779,-19.6749,-7.44338,-14.1243,-16.8198,-22.5443,-31.0106,-39.0685,-23.4662,-40.3923,-34.3307,-31.4602,-25.9358,-20.4763,-26.905,-39.9576,-34.9465,-16.491,-30.9246,-25.122,-7.50958,-27.5242,-12.3567,-21.5695,-9.03171,-18.895,-4.93677,-5.15429,-0,-5.60077,-5.82894,-0,-0,-0,-0,-0,-7.2506,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,5,3,5,4,5,4,8,11,13,17,10,15,13,13,11,9,8,6,7,6,4,4,2,4,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-538.001,0.999486,0.15118,4,15,0,538.668,-3.10135,-2.45331,-1.05804,-0.41306,4.37445,0.671501,-0.731504,5.73628,2.25698,1.99502e-05,2.77907e-05,3.87224e-05,5.39734e-05,7.52688e-05,0.00010504,0.000146728,0.000205237,0.000287599,0.000403962,0.000568961,0.000803439,0.0011363,0.00160637,0.0022642,0.00317335,0.00441037,0.00606219,0.00821906,0.0109619,0.0143446,0.0183717,0.022988,0.0280749,0.0334568,0.0389114,0.0441825,0.0489923,0.053056,0.0561047,0.0579239,0.058401,0.0575435,0.0554572,0.0523159,0.0483377,0.043767,0.0388583,0.0338589,0.0289902,0.0244302,0.0203009,0.016667,0.0135433,0.0109093,0.00872218,0.0069288,0.00547342,0.00430247,0.00336725,0.00262499,0.0020391,0.00157887,0.00121891,0.000938444,0.000720684,0.000552139,0.000422062,0.000321936,0.000245052,0.000186147,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.12661,-0,-0,-6.09053,-5.75297,-5.4238,-10.2114,-4.8013,-18.0533,-21.2219,-7.99389,-15.0911,-17.8644,-23.7825,-32.4647,-40.5525,-24.1287,-41.1097,-34.5664,-31.3349,-25.5638,-19.9865,-26.0293,-38.3559,-33.325,-15.6444,-29.2305,-23.6989,-7.08159,-25.9835,-11.6913,-20.4716,-8.60372,-18.0726,-4.74189,-4.97207,-0,-5.44857,-5.69366,-0,-0,-0,-0,-0,-7.23531,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,6,3,8,4,5,9,6,11,12,7,18,14,12,9,12,7,9,6,8,6,4,4,2,5,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
-538.539,0.987152,0.15118,5,31,0,542.21,-0.814026,-1.98104,-0.7747,-0.77125,4.68924,0.467903,0.00928158,5.4947,2.64927,8.18814e-05,0.000103574,0.000131148,0.000166286,0.0002112,0.00026885,0.000343244,0.000439928,0.000566738,0.000734995,0.000961275,0.00126976,0.0016949,0.00228385,0.00309836,0.00421485,0.00572153,0.00771193,0.0102753,0.0134849,0.0173875,0.021884,0.0268454,0.032099,0.0374315,0.0425967,0.0473243,0.0513334,0.0543519,0.0561528,0.0566078,0.0557294,0.0536625,0.0506313,0.0468877,0.04268,0.0382371,0.0337602,0.0294161,0.0253331,0.0215984,0.01826,0.0153319,0.0128022,0.0106428,0.0088164,0.00728253,0.00600142,0.00493599,0.00405295,0.00332306,0.0027211,0.00222554,0.00181817,0.00148366,0.0012092,0.000984143,0.00079962,0.000648319,0.000524214,0.000422346,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66892,-0,-0,-5.77688,-5.46914,-5.16352,-9.72997,-4.57802,-17.2247,-20.26,-7.644,-14.4706,-17.1946,-22.9967,-31.5598,-39.6595,-23.7553,-40.7719,-34.5561,-31.5877,-25.9852,-20.4753,-26.8487,-39.78,-34.6943,-16.3197,-30.4963,-24.6835,-7.35129,-26.8459,-12.0091,-20.8891,-8.71627,-18.1715,-4.73114,-4.92228,-0,-5.3112,-5.50831,-0,-0,-0,-0,-0,-6.71779,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,2,1,7,3,5,2,4,6,9,11,6,9,10,11,6,9,17,14,10,7,6,5,6,5,3,4,3,2,1,0,5,0,1,0,0,0,1,0,0,1,0,0,0,0
-537.419,0.999071,0.15118,4,31,0,540.413,-2.11369,-2.25987,-0.691706,-0.671545,4.45433,0.544341,-0.204437,5.71269,2.51371,4.63278e-05,5.99318e-05,7.75767e-05,0.000100495,0.000130316,0.000169214,0.000220111,0.000286992,0.000375366,0.000492998,0.000651034,0.000865701,0.00116069,0.00157021,0.00214247,0.0029431,0.00405741,0.00558963,0.00765682,0.0103753,0.0138398,0.018085,0.0230694,0.0286618,0.0346408,0.0407071,0.0465055,0.0516531,0.0557772,0.0585667,0.059831,0.0595361,0.057791,0.0548065,0.0508546,0.0462369,0.0412559,0.0361902,0.0312726,0.0266767,0.0225126,0.0188324,0.0156429,0.0129201,0.0106225,0.00870106,0.00710514,0.00578682,0.00470258,0.00381404,0.00308804,0.00249636,0.00201518,0.0016246,0.00130807,0.00105192,0.000844869,0.000677685,0.000542809,0.000434078,0.000346481,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.05197,-0,-0,-6.1458,-5.82829,-5.50721,-10.3737,-4.87216,-18.2733,-21.401,-8.02535,-15.077,-17.7609,-23.5391,-32.0135,-39.8864,-23.7056,-40.4095,-34.0511,-30.9785,-25.3906,-19.9565,-26.1355,-38.7242,-33.8137,-15.9398,-29.8707,-24.2551,-7.24793,-26.5557,-11.9165,-20.7887,-8.69795,-18.1791,-4.74431,-4.94694,-0,-5.35964,-5.56907,-0,-0,-0,-0,-0,-6.85714,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,5,1,5,7,9,6,13,12,9,9,11,16,11,6,9,9,9,14,10,4,2,3,4,1,0,1,1,1,0,2,2,0,1,1,0,0,0,0,0,0
