# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 18:59:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2170e6ffa.json
# init = /tmp/RtmpC8O1hA/init-b41c23adf98e0_4.json
# random
#   seed = 2952009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0288_rep029_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605301959-4-64769d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0288_rep029_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605301959-4-5ee1bd.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.127159
# Diagonal elements of inverse mass matrix:
# 0.101353, 0.0475258, 0.023467, 0.0133747, 0.0230054, 0.0366961, 0.0335651
-543.53,0.956214,0.127159,5,63,0,545.342,-1.76356,-3.1968,-1.08616,-0.046934,4.34114,-0.012252,-0.19049,4.96855,1.9989,7.63554e-06,1.2295e-05,1.97891e-05,3.18279e-05,5.11304e-05,8.19852e-05,0.000131073,0.000208615,0.00032985,0.000516763,0.000799812,0.00121933,0.00182616,0.00268117,0.00385313,0.00541459,0.00743557,0.00997511,0.0130715,0.0167324,0.0209267,0.0255681,0.0305244,0.0356218,0.0406549,0.0453988,0.0496237,0.0531107,0.0556679,0.0571473,0.0574607,0.0565919,0.0546003,0.0516141,0.0478128,0.0434077,0.0386222,0.0336763,0.0287733,0.0240885,0.0197614,0.01589,0.0125298,0.00969637,0.00737137,0.00551168,0.00405879,0.00294779,0.00211444,0.00149996,0.00105364,0.000733732,0.00050705,0.000348035,0.00023746,0.000161155,0.000108851,7.32104e-05,4.90507e-05,3.27494e-05,2.17961e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.70946,-0,-0,-5.55887,-5.21866,-4.90148,-9.21533,-4.33732,-16.3616,-19.3337,-7.33282,-13.9569,-16.674,-22.4184,-30.9227,-39.0427,-23.483,-40.4369,-34.3455,-31.4232,-25.847,-20.354,-26.6756,-39.526,-34.5083,-16.2696,-30.5186,-24.8382,-7.45204,-27.4682,-12.4262,-21.8982,-9.27201,-19.6406,-5.20089,-5.50687,-0,-6.15897,-6.50232,-0,-0,-0,-0,-0,-8.73314,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,6,4,7,15,7,8,9,10,11,12,15,11,11,13,7,15,6,3,6,4,2,6,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.155,0.998563,0.127159,5,31,0,545.813,-0.815553,-2.28223,-0.63337,-1.08475,4.10685,1.31761,-1.08566,5.59969,3.0575,0.000147727,0.000176588,0.00021147,0.000253798,0.000305409,0.000368701,0.000446864,0.000544224,0.000666782,0.000823101,0.0010258,0.00129417,0.00165833,0.00216382,0.0028746,0.00387422,0.0052645,0.00716043,0.00967929,0.0129217,0.0169427,0.021711,0.0270942,0.0328635,0.0387139,0.0442905,0.0492205,0.0531488,0.0557802,0.0569383,0.0566152,0.0549401,0.0521333,0.0484707,0.044253,0.0397752,0.0352986,0.0310244,0.0270787,0.0235192,0.0203562,0.0175732,0.0151412,0.0130261,0.011193,0.00960846,0.00824159,0.00706433,0.00605164,0.00518136,0.004434,0.00379252,0.00324198,0.00276934,0.00236316,0.00201352,0.00171189,0.00145107,0.001225,0.00102871,0.000858191,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.64989,-0,-0,-5.85184,-5.55341,-5.24677,-9.87837,-4.63777,-17.3954,-20.3896,-7.65987,-14.4337,-17.077,-22.7609,-31.1699,-39.1488,-23.4773,-40.4087,-34.3894,-31.5863,-26.1136,-20.6777,-27.2412,-40.5318,-35.4696,-16.7196,-31.2568,-25.263,-7.49987,-27.2606,-12.1241,-20.9517,-8.6816,-17.9699,-4.64511,-4.79856,-0,-5.10743,-5.26269,-0,-0,-0,-0,-0,-6.20787,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,2,6,7,6,4,7,12,12,5,8,17,9,11,14,5,8,5,9,7,6,6,5,0,3,1,3,6,2,1,0,1,1,0,0,0,2,0,0,0,0,1,0
-542.502,0.95389,0.127159,5,31,0,547.249,-1.20018,-2.33262,-0.777455,-1.02181,3.91708,1.43046,-0.705623,5.47618,2.97808,0.000228769,0.000275259,0.000331532,0.000399802,0.000482855,0.000584232,0.000708483,0.00086154,0.00105126,0.00128827,0.0015873,0.00196935,0.0024651,0.0031187,0.0039897,0.00515347,0.00669967,0.00872709,0.0113331,0.014595,0.0185431,0.0231208,0.0281833,0.0335101,0.0388267,0.0438241,0.048182,0.0515942,0.053806,0.0546819,0.0542442,0.0526196,0.0500013,0.046624,0.0427431,0.0386133,0.0344645,0.0304758,0.0267608,0.0233752,0.0203355,0.0176348,0.0152536,0.0131661,0.0113443,0.00975998,0.00838608,0.00719743,0.00617105,0.00528622,0.00452444,0.00386934,0.00330645,0.00282306,0.00240802,0.00205162,0.00174543,0.00148222,0.0012558,0.00106091,0.000893115,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.23005,-0,-0,-5.52404,-5.26808,-5.0057,-9.48265,-4.48003,-16.9083,-19.9383,-7.53405,-14.2761,-16.9795,-22.7405,-31.2757,-39.426,-23.7148,-40.9132,-34.8747,-32.0569,-26.502,-20.9699,-27.5908,-40.9831,-35.7957,-16.8391,-31.4174,-25.3457,-7.51216,-27.2677,-12.1136,-20.9147,-8.66022,-17.9162,-4.62946,-4.78118,-0,-5.08789,-5.24265,-0,-0,-0,-0,-0,-6.18913,-0,-0,-0,-0,-0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,1,0,3,3,1,4,3,4,4,8,6,7,11,3,14,8,9,6,12,8,18,13,8,5,5,4,2,2,2,2,2,2,3,2,1,2,1,1,0,1,1,1,0,1,0,0,0
-539.255,0.996547,0.127159,5,31,0,545.814,-2.43255,-2.176,-1.0722,-0.497049,4.9375,1.09379,-0.448609,5.87241,2.30499,2.27589e-05,3.08924e-05,4.19539e-05,5.70155e-05,7.75581e-05,0.000105641,0.000144158,0.000197229,0.000270824,0.000373769,0.000519158,0.000725927,0.00102048,0.00143854,0.00202718,0.00284668,0.00397157,0.00548968,0.00749705,0.0100859,0.0133248,0.0172263,0.0217393,0.0267502,0.0320933,0.0375621,0.0429178,0.0478977,0.0522237,0.0556128,0.0578004,0.0586015,0.0579976,0.0561162,0.053153,0.0493318,0.0448887,0.0400615,0.0350813,0.030163,0.0254951,0.0212255,0.0174473,0.0141953,0.0114558,0.00918485,0.00732503,0.00581591,0.00460026,0.00362678,0.00285104,0.00223544,0.00174868,0.001365,0.0010634,0.000826913,0.000641895,0.000497433,0.000384846,0.000297247,0.000229197,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.22806,-0,-0,-6.20111,-5.8616,-5.52859,-10.4098,-4.89325,-18.3865,-21.5906,-8.12263,-15.3145,-18.1061,-24.0738,-32.8176,-40.9301,-24.3095,-41.3311,-34.6721,-31.3584,-25.533,-19.9315,-25.923,-38.1496,-33.1011,-15.5178,-28.956,-23.4506,-7.00228,-25.6849,-11.5577,-20.2428,-8.50969,-17.877,-4.6902,-4.91646,-0,-5.38164,-5.61941,-0,-0,-0,-0,-0,-7.09781,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,3,2,3,2,5,5,5,7,5,11,10,13,12,14,13,7,8,15,11,3,5,5,10,3,5,4,0,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0
-539.58,1,0.127159,4,15,0,541.39,-1.77099,-2.22841,-1.46916,-0.345353,4.85954,1.05584,-0.39166,5.23221,2.15791,2.17755e-05,3.1053e-05,4.43006e-05,6.32359e-05,9.03383e-05,0.000129209,0.00018512,0.000265877,0.000383165,0.000554487,0.000805113,0.00116898,0.00168885,0.00241647,0.00341237,0.00474488,0.00648754,0.00871396,0.0114887,0.0148536,0.0188113,0.0232811,0.0281293,0.0331838,0.0382511,0.0431277,0.0476048,0.0514718,0.0545195,0.0565461,0.0573744,0.0569031,0.0551834,0.0524029,0.048793,0.0445822,0.0399845,0.0351972,0.030401,0.0257594,0.0214165,0.0174886,0.0140534,0.0111403,0.00873331,0.00678484,0.0052323,0.00401027,0.00305765,0.00232084,0.00175466,0.00132197,0.000992875,0.000743601,0.000555479,0.000413968,0.00030783,0.000228435,0.000169186,0.000125069,9.2284e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.75163,-0,-0,-5.68035,-5.35069,-5.03787,-9.48566,-4.46639,-16.838,-19.8665,-7.52022,-14.2838,-17.0285,-22.8451,-31.4359,-39.5827,-23.7338,-40.7287,-34.4724,-31.4397,-25.7977,-20.2797,-26.5391,-39.2622,-34.2146,-16.0963,-30.1211,-24.453,-7.31791,-26.9052,-12.1386,-21.3244,-8.99437,-18.9624,-4.99306,-5.2529,-0,-5.79011,-6.06582,-0,-0,-0,-0,-0,-7.78972,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,3,3,6,5,4,5,6,8,10,7,8,11,5,16,15,9,9,8,9,7,9,2,7,6,1,4,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
-539.419,1,0.127159,5,31,0,539.933,-1.86564,-2.29611,-1.4384,-0.34049,4.8773,1.07901,-0.399992,5.28392,2.14678,2.06392e-05,2.94815e-05,4.21276e-05,6.02304e-05,8.61785e-05,0.000123442,0.000177104,0.000254683,0.000367432,0.000532204,0.000773374,0.00112379,0.00162509,0.002328,0.00329239,0.00458637,0.00628394,0.00845998,0.0111811,0.0144913,0.0183947,0.0228176,0.0276308,0.0326658,0.0377322,0.0426282,0.0471463,0.0510765,0.0542094,0.0563427,0.0572973,0.0569653,0.0553862,0.0527334,0.0492274,0.0450906,0.040535,0.035759,0.030947,0.0262675,0.021871,0.017881,0.0143821,0.011409,0.0089487,0.00695487,0.00536481,0.00411241,0.00313564,0.00237989,0.00179902,0.00135508,0.00101743,0.000761707,0.000568756,0.000423655,0.000314864,0.000233518,0.000172843,0.000127689,9.4154e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.79105,-0,-0,-5.71614,-5.38467,-5.06976,-9.54482,-4.49353,-16.9368,-19.9785,-7.56045,-14.3553,-17.1071,-22.9407,-31.5524,-39.7085,-23.7954,-40.8086,-34.5156,-31.4545,-25.7878,-20.254,-26.4826,-39.147,-34.0899,-16.028,-29.9786,-24.3284,-7.27884,-26.7582,-12.072,-21.2089,-8.94671,-18.865,-4.96831,-5.22789,-0,-5.76492,-6.0407,-0,-0,-0,-0,-0,-7.76659,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4,4,4,11,7,4,7,13,8,15,12,13,13,10,14,7,6,5,5,7,5,4,6,0,2,2,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0
-537.875,0.999804,0.127159,5,31,0,540.963,-2.07099,-2.67209,-0.482554,-0.679947,3.88619,0.489533,-0.676131,5.27502,2.42869,6.74267e-05,8.70008e-05,0.000112308,0.000145063,0.000187513,0.000242627,0.000314348,0.000407961,0.000530629,0.000692195,0.000906389,0.00119267,0.00157887,0.00210482,0.00282641,0.00381961,0.00518257,0.00703364,0.00950193,0.012708,0.016735,0.0215938,0.027196,0.0333406,0.039719,0.0459387,0.0515627,0.0561611,0.0593726,0.0609635,0.0608608,0.0591515,0.0560549,0.0518841,0.0469992,0.0417603,0.0364865,0.0314273,0.026752,0.0225547,0.0188693,0.0156878,0.0129769,0.0106898,0.00877534,0.00718263,0.0058642,0.00477728,0.00388429,0.00315276,0.002555,0.00206762,0.001671,0.00134878,0.0010874,0.000875646,0.00070428,0.000565731,0.000453803,0.000363444,0.000290547,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.73156,-0,-0,-5.86875,-5.56761,-5.26245,-9.9141,-4.65626,-17.4621,-20.4513,-7.6707,-14.4187,-17.0049,-22.5815,-30.8045,-38.5444,-23.0362,-39.5349,-33.5698,-30.7908,-25.4489,-20.17,-26.6287,-39.7491,-34.9339,-16.5541,-31.1407,-25.348,-7.58362,-27.7915,-12.4646,-21.7229,-9.07693,-18.9432,-4.93609,-5.13889,-0,-5.55082,-5.75948,-0,-0,-0,-0,-0,-7.04055,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,2,1,1,3,2,5,6,7,13,12,9,16,11,12,10,15,9,7,9,8,5,8,3,6,3,1,2,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
