# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 19:10:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27662d36e.json
# init = /tmp/RtmpC8O1hA/init-b41c2719da399_1.json
# random
#   seed = 2952011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0290_rep029_manuscript_default/prior_sensitivity_obspair_FAST-202605302010-1-631b96.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0290_rep029_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605302010-1-9f8c22.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0702517
# Diagonal elements of inverse mass matrix:
# 0.0849278, 0.113372, 0.126511, 0.0674649, 0.108108, 0.144387, 0.20169
-540.843,0.98914,0.0702517,6,127,0,542.856,-2.3138,-1.53331,-2.32755,0.992281,2.25977,-0.920663,-0.503274,5.33339,2.35314,6.45976e-06,1.3409e-05,2.646e-05,4.97389e-05,8.93012e-05,0.000153594,0.000253877,0.000404574,0.000623522,0.000932096,0.00135521,0.00192116,0.00266138,0.00360999,0.00480335,0.0062795,0.00807773,0.0102382,0.0128018,0.0158106,0.0193089,0.0231898,0.0273336,0.0316083,0.0358708,0.0399693,0.0437481,0.0470521,0.0497347,0.0516659,0.0527419,0.0528949,0.0521019,0.050391,0.0478437,0.0445907,0.0408018,0.0366696,0.0323895,0.0281409,0.0240713,0.0202888,0.016861,0.0138204,0.0111727,0.00890494,0.00699285,0.00540564,0.00410925,0.00306839,0.00224788,0.00161368,0.00113374,0.000778617,0.000522073,0.000341376,0.000217448,0.00013479,8.12354e-05,4.75626e-05,2.70351e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.25482,-0,-0,-5.33844,-5.07046,-4.81864,-9.16326,-4.35817,-16.5883,-19.7359,-7.52809,-14.3986,-17.2717,-23.2948,-32.1964,-40.681,-24.452,-42.0147,-35.5555,-32.3658,-26.455,-20.6819,-26.8915,-39.5176,-34.2125,-15.9951,-29.7523,-24.0094,-7.14106,-26.0871,-11.6931,-20.4138,-8.56321,-17.9771,-4.72115,-4.96287,-0,-5.49451,-5.7866,-0,-0,-0,-0,-0,-7.98253,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,6,4,5,3,8,4,6,13,13,12,13,10,4,5,9,11,12,12,8,6,5,2,4,4,3,3,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
-539.804,0.996088,0.0702517,6,63,0,542.06,-1.92768,-0.808963,-1.83633,0.999847,2.62661,-1.15451,-1.59704,5.52379,2.45748,7.87245e-06,1.47037e-05,2.64046e-05,4.56946e-05,7.63985e-05,0.000123735,0.000194648,0.000298197,0.000446008,0.000652815,0.000937093,0.00132181,0.00183525,0.00251199,0.00339388,0.00453101,0.00598268,0.00781806,0.0101166,0.012968,0.0164713,0.0205219,0.0249942,0.0297419,0.0345992,0.0393838,0.0439022,0.047957,0.0513569,0.0539282,0.0555282,0.0560585,0.0554763,0.0538025,0.0511239,0.0475887,0.0433949,0.038771,0.0339546,0.0291688,0.0246028,0.0203989,0.0166474,0.0133899,0.0106272,0.00833098,0.00645519,0.00494554,0.00374649,0.00280565,0.002076,0.00151673,0.00109325,0.000776711,0.000543372,0.000373925,0.000252853,0.000167841,0.000109253,6.96712e-05,4.34877e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.62876,-0,-0,-5.68578,-5.39681,-5.11889,-9.70264,-4.59358,-17.3811,-20.5307,-7.77253,-14.7564,-17.576,-23.5475,-32.344,-40.6353,-24.2996,-41.5654,-35.0412,-31.7995,-25.9322,-20.2426,-26.3019,-38.6555,-33.4967,-15.6871,-29.2507,-23.6791,-7.06931,-25.9343,-11.6768,-20.4775,-8.62651,-18.1774,-4.78777,-5.04287,-0,-5.58693,-5.87612,-0,-0,-0,-0,-0,-7.89145,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,2,2,5,5,5,3,7,15,11,16,11,11,7,10,7,11,7,8,4,7,9,10,2,5,4,2,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-540.118,0.978522,0.0702517,6,127,0,544.681,-3.4716,-3.59995,-0.593048,-0.533658,3.57032,1.16103,-0.701211,5.39354,2.35971,4.34906e-05,5.83223e-05,7.82177e-05,0.00010491,0.00014073,0.000188812,0.000253383,0.000340142,0.000456804,0.000613832,0.000825481,0.00111127,0.00149804,0.00202268,0.0027352,0.00370208,0.0050092,0.00676286,0.00908508,0.012098,0.0158937,0.0204972,0.0258412,0.0317615,0.038,0.0442095,0.0499699,0.0548288,0.0583767,0.0603395,0.0606249,0.0593084,0.0565919,0.0527606,0.0481464,0.0430945,0.0379255,0.0328983,0.0281919,0.0239111,0.0201027,0.0167731,0.0139025,0.0114563,0.00939175,0.00766371,0.0062276,0.00504154,0.00406735,0.00327109,0.00262311,0.00209787,0.00167364,0.00133212,0.00105798,0.000838525,0.000663285,0.000523667,0.000412662,0.000324575,0.0002548,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.80225,-0,-0,-5.90155,-5.59886,-5.29648,-9.99262,-4.70112,-17.6589,-20.7092,-7.77493,-14.6231,-17.2475,-22.8912,-31.1881,-38.9524,-23.2283,-39.7717,-33.6932,-30.8335,-25.425,-20.1032,-26.4779,-39.4356,-34.5879,-16.3607,-30.729,-24.981,-7.46682,-27.3483,-12.2639,-21.3784,-8.93843,-18.6717,-4.87126,-5.07876,-0,-5.50476,-5.72263,-0,-0,-0,-0,-0,-7.08387,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,5,7,4,5,10,9,10,10,7,13,18,14,12,6,8,9,8,7,6,2,2,3,5,1,4,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
-540.241,0.995476,0.0702517,6,63,0,542.614,-1.4372,-1.037,-2.56951,-0.4676,5.38911,1.81084,-1.46061,5.33381,2.45921,2.47878e-05,3.40478e-05,4.68403e-05,6.4579e-05,8.93048e-05,0.000124022,0.000173274,0.000244178,0.000348353,0.000504136,0.000735588,0.00107175,0.00154738,0.00220401,0.00309099,0.00426661,0.00579908,0.00776714,0.0102599,0.0133747,0.0172119,0.0216318,0.0264827,0.0316079,0.0368472,0.0420329,0.0469839,0.0515001,0.055355,0.0582883,0.0599965,0.0601255,0.0583375,0.0548429,0.050266,0.0451258,0.0398013,0.0345586,0.0295763,0.0249678,0.0207986,0.017101,0.013885,0.0111449,0.00886048,0.00699274,0.0054877,0.00428744,0.00333752,0.00259013,0.00200483,0.00154823,0.00119317,0.000917832,0.000704826,0.000540389,0.000413683,0.00031621,0.000241334,0.000183886,0.000139853,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.83846,-0,-0,-5.77926,-5.45694,-5.15006,-9.71571,-4.57951,-17.2576,-20.3108,-7.66719,-14.5251,-17.2717,-23.1068,-31.693,-39.7533,-23.7294,-40.5158,-34.1083,-30.9482,-25.3019,-19.8906,-26.1296,-38.8755,-34.0813,-16.1193,-30.2859,-24.6455,-7.38034,-27.1101,-12.2058,-21.3847,-8.99356,-18.9046,-4.96288,-5.20525,-0,-5.70253,-5.95605,-0,-0,-0,-0,-0,-7.52322,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,4,1,9,9,9,9,4,13,10,18,8,13,14,9,8,10,6,5,8,9,3,3,4,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
-540.508,0.985208,0.0702517,5,31,0,543.129,-1.37404,-1.79131,-2.66365,-0.259141,5.53187,1.621,-1.5338,5.14003,2.24965,2.54664e-05,3.7508e-05,5.52784e-05,8.15446e-05,0.000120459,0.000178312,0.000264765,0.000394887,0.000591758,0.000885625,0.00131016,0.00190122,0.00269661,0.00373578,0.00505937,0.00670843,0.00872305,0.01114,0.0139888,0.0172848,0.0210191,0.0250718,0.0293016,0.0335654,0.0377265,0.0416549,0.0452252,0.0483141,0.0507988,0.0525557,0.0534589,0.0533796,0.0521974,0.0499059,0.046755,0.043036,0.0389842,0.0347819,0.0305699,0.0264578,0.0225314,0.0188596,0.0154984,0.0124946,0.00988541,0.00769153,0.00590373,0.00448308,0.0033751,0.00252303,0.00187486,0.00138611,0.00102022,0.000747967,0.000546452,0.000397973,0.000289009,0.000209329,0.000151249,0.000109035,7.84332e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.26526,-0,-0,-5.28651,-5.00439,-4.74179,-8.99442,-4.2695,-16.2317,-19.3116,-7.37202,-14.1204,-16.9713,-22.9418,-31.7834,-40.2493,-24.2403,-41.7184,-35.3506,-32.2173,-26.3729,-20.6691,-26.9785,-39.8168,-34.6029,-16.223,-30.2279,-24.4142,-7.26441,-26.5499,-11.9122,-20.8351,-8.76493,-18.4668,-4.86764,-5.13217,-0,-5.69133,-5.9823,-0,-0,-0,-0,-0,-7.82913,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,1,2,8,4,9,8,5,14,13,8,9,10,16,8,8,6,11,11,6,9,6,2,1,5,4,0,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
-535.853,0.999842,0.0702517,5,31,0,541.307,-1.97231,-1.65281,-1.68426,-0.290425,4.97361,0.497578,-1.07191,5.60102,2.24394,1.4072e-05,2.04937e-05,2.98717e-05,4.35951e-05,6.37338e-05,9.33963e-05,0.000137282,0.0002025,0.000299663,0.00044411,0.000656974,0.000966006,0.00140615,0.00201991,0.0028573,0.0039752,0.00543562,0.00730248,0.00963666,0.0124892,0.015894,0.019821,0.0242037,0.0289376,0.0338835,0.038871,0.0437039,0.0481643,0.0520185,0.0550253,0.0569531,0.0576144,0.0569211,0.0549326,0.0518458,0.0479294,0.0434606,0.0386918,0.0338398,0.0290849,0.024572,0.0204116,0.0166805,0.0134219,0.0106469,0.00833855,0.00645853,0.00495508,0.00377116,0.00285065,0.00214241,0.00160216,0.00119298,0.000884939,0.000654222,0.000482186,0.000354406,0.000259824,0.000190031,0.000138673,0.000100976,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.94234,-0,-0,-5.85788,-5.52768,-5.21478,-9.83908,-4.64218,-17.5316,-20.7091,-7.84202,-14.885,-17.7131,-23.6938,-32.4751,-40.6941,-24.2651,-41.3862,-34.7995,-31.5208,-25.6859,-20.0626,-26.1148,-38.4733,-33.4183,-15.6795,-29.2692,-23.7028,-7.07507,-25.943,-11.675,-20.4676,-8.62174,-18.17,-4.78687,-5.04235,-0,-5.58037,-5.86021,-0,-0,-0,-0,-0,-7.63718,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,1,0,1,0,3,7,7,9,6,12,20,9,14,9,11,8,13,10,5,3,9,12,6,1,7,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
