# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 19:10:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27662d36e.json
# init = /tmp/RtmpC8O1hA/init-b41c2719da399_2.json
# random
#   seed = 2952011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0290_rep029_manuscript_default/prior_sensitivity_obspair_FAST-202605302010-2-631b96.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0290_rep029_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605302010-2-9f8c22.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.043725
# Diagonal elements of inverse mass matrix:
# 0.0905543, 0.0880142, 0.112293, 0.171212, 0.173734, 0.203289, 0.394722
-540.396,0.989684,0.043725,7,127,0,542.269,-1.63602,-3.51399,0.18822,0.123832,3.91111,-0.908824,-0.424236,5.27982,1.99063,4.20038e-06,7.19101e-06,1.22418e-05,2.07033e-05,3.47459e-05,5.78006e-05,9.51883e-05,0.000154985,0.000249155,0.000394947,0.000616489,0.000946412,0.00142722,0.00211195,0.00306368,0.00435318,0.00605439,0.00823746,0.0109596,0.0142544,0.0181211,0.0225153,0.0273422,0.0324558,0.0376629,0.0427337,0.0474179,0.0514654,0.0546482,0.0567826,0.0577468,0.0574919,0.0560468,0.0535128,0.0500531,0.0458752,0.041211,0.0362963,0.0313519,0.0265688,0.0220983,0.0180473,0.0144791,0.0114175,0.008854,0.00675625,0.00507617,0.00375757,0.00274223,0.00197429,0.00140321,0.000985206,0.00068377,0.000469411,0.000318958,0.000214642,0.000143139,9.46475e-05,6.20874e-05,4.04264e-05,2.614e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96283,-0,-0,-5.78814,-5.43685,-5.10697,-9.59813,-4.51354,-17.0028,-20.0534,-7.58712,-14.3973,-17.1394,-22.9535,-31.5277,-39.6338,-23.7348,-40.6958,-34.4223,-31.3686,-25.705,-20.171,-26.3505,-38.9307,-33.9001,-15.9453,-29.8444,-24.2374,-7.25604,-26.6858,-12.0443,-21.1753,-8.94522,-18.9075,-4.99729,-5.2832,-0,-5.89899,-6.22754,-0,-0,-0,-0,-0,-8.44654,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,2,5,7,4,5,4,8,14,14,9,14,12,11,14,13,11,9,2,9,5,3,7,3,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-541.06,0.999976,0.043725,6,63,0,543.412,-2.05705,-3.05376,-0.367685,0.11789,2.50066,-1.14324,-0.0172506,4.98925,2.2627,1.4688e-05,2.42382e-05,3.96443e-05,6.42051e-05,0.000102853,0.000162802,0.000254358,0.000391856,0.000594675,0.000888203,0.00130458,0.001883,0.0026693,0.00371458,0.00507268,0.00679649,0.00893308,0.0115181,0.0145697,0.0180833,0.0220268,0.0263192,0.0308403,0.0354344,0.0399167,0.0440854,0.0477371,0.0506839,0.052771,0.0538912,0.0539942,0.0530908,0.0512492,0.0485866,0.0452563,0.0414333,0.0372991,0.0330286,0.0287794,0.0246847,0.0208484,0.0173445,0.014218,0.011488,0.00915236,0.00719202,0.00557642,0.00426783,0.00322532,0.00240781,0.00177637,0.00129564,0.00093466,0.000667158,0.000471403,0.000329859,0.000228675,0.000157125,0.000107049,7.23454e-05,4.85169e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27489,-0,-0,-5.28389,-4.99135,-4.71799,-8.92768,-4.22881,-16.0511,-19.0775,-7.27492,-13.9157,-16.7004,-22.5467,-31.2163,-39.5466,-23.8572,-41.1851,-35.0495,-32.1077,-26.4218,-20.7974,-27.2197,-40.2404,-35.0204,-16.4439,-30.6934,-24.8367,-7.40315,-27.0934,-12.1634,-21.2662,-8.9329,-18.775,-4.93478,-5.18921,-0,-5.73672,-6.02904,-0,-0,-0,-0,-0,-8.01685,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,3,3,4,8,4,8,14,10,10,7,11,12,9,12,14,3,13,7,7,9,5,7,5,1,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
-542.058,0.997254,0.043725,6,63,0,544.315,-1.89362,-3.53706,-0.236708,0.126559,2.32413,-1.32292,-0.143808,5.15546,2.36017,2.08144e-05,3.36584e-05,5.3891e-05,8.53633e-05,0.000133657,0.000206688,0.000315417,0.00047464,0.000703773,0.00102754,0.00147641,0.00208657,0.00289929,0.00395952,0.00531352,0.00700563,0.00907424,0.0115473,0.0144375,0.0177382,0.0214199,0.0254105,0.029605,0.0338687,0.0380421,0.0419512,0.0454197,0.0482825,0.0504004,0.0516718,0.0520415,0.0515043,0.050104,0.0479278,0.0450968,0.041755,0.038057,0.0341568,0.0301985,0.026309,0.0225927,0.0191297,0.0159755,0.0131623,0.010702,0.00858977,0.00680778,0.00532926,0.0041219,0.00315088,0.00238126,0.00177976,0.00131595,0.00096291,0.0006975,0.000500335,0.000355536,0.000250356,0.000174755,0.000120961,8.30501e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.17223,-0,-0,-5.2375,-4.96104,-4.70232,-8.92261,-4.23793,-16.1281,-19.2172,-7.34519,-14.0792,-16.9263,-22.8834,-31.7125,-40.1935,-24.2455,-41.8286,-35.5541,-32.5129,-26.6948,-20.9556,-27.3425,-40.2863,-34.9353,-16.3434,-30.3911,-24.4997,-7.27569,-26.5309,-11.8695,-20.6835,-8.66079,-18.1493,-4.75718,-4.98969,-0,-5.49144,-5.76007,-0,-0,-0,-0,-0,-7.60023,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,2,3,4,4,8,5,7,6,13,11,10,12,11,5,14,12,8,9,7,9,2,3,7,8,2,1,3,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0
-542.375,0.997335,0.043725,5,31,0,543.064,-1.92518,-3.50827,-0.213097,0.129861,2.28669,-1.37054,-0.108414,5.20788,2.39081,2.30237e-05,3.69981e-05,5.88528e-05,9.25969e-05,0.000143988,0.000221115,0.000335079,0.000500729,0.000737387,0.00106946,0.00152677,0.0021445,0.00296253,0.00402396,0.00537296,0.0070516,0.00909614,0.0115327,0.0143732,0.0176109,0.0212177,0.025124,0.0292289,0.0334029,0.0374934,0.0413334,0.0447532,0.0475941,0.0497206,0.051033,0.0514747,0.0510368,0.0497572,0.0477153,0.0450239,0.0418188,0.038247,0.0344568,0.0305881,0.026765,0.0230918,0.0196494,0.0164957,0.0136659,0.0111758,0.00902405,0.00719669,0.00567011,0.00441469,0.00339769,0.00258565,0.0019462,0.00144934,0.00106819,0.000779395,0.000563165,0.000403106,0.00028592,0.000201024,0.000140141,9.69009e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.14485,-0,-0,-5.22638,-4.9545,-4.69991,-8.92513,-4.24239,-16.157,-19.2646,-7.36787,-14.1304,-16.9956,-22.9851,-31.8609,-40.3857,-24.3604,-42.0187,-35.7034,-32.6333,-26.7769,-21.0042,-27.3825,-40.3073,-34.9185,-16.3184,-30.3124,-24.41,-7.24132,-26.3779,-11.7891,-20.5233,-8.5857,-17.976,-4.70786,-4.93413,-0,-5.42282,-5.68466,-0,-0,-0,-0,-0,-7.48194,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,2,2,3,8,3,10,9,6,8,13,10,6,9,7,13,7,9,8,7,13,9,7,4,2,5,4,0,2,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0
-542.321,0.958178,0.043725,6,63,0,547.696,-1.43176,-2.60743,-0.55367,-0.0631501,1.94396,-1.00952,-1.37131,4.65055,2.30585,2.71845e-05,4.22695e-05,6.5396e-05,0.000100589,0.000153691,0.000233042,0.000350322,0.00052154,0.000768103,0.00111785,0.00160586,0.00227481,0.0031745,0.00436039,0.00589078,0.00782256,0.0102058,0.0130774,0.0164545,0.0203281,0.0246589,0.0293287,0.0341719,0.0389832,0.0435308,0.0475763,0.0508967,0.0533071,0.054679,0.0549524,0.0541394,0.0523186,0.0496238,0.0462271,0.0423213,0.0381026,0.033756,0.0294448,0.0253031,0.0214332,0.0179053,0.0147598,0.0120118,0.00965564,0.00767036,0.00602458,0.00468085,0.00359932,0.00274045,0.00206696,0.00154508,0.00114519,0.00084198,0.000614341,0.000445021,0.000320176,0.000228875,0.000162617,0.00011488,8.07181e-05,5.64257e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.08586,-0,-0,-5.13437,-4.85074,-4.5848,-8.67373,-4.10716,-15.583,-18.5131,-7.05838,-13.5054,-16.2231,-21.94,-30.4542,-38.7134,-23.4535,-40.6879,-34.8154,-32.0781,-26.5536,-21.023,-27.6677,-41.112,-35.9422,-16.943,-31.7272,-25.7378,-7.68563,-28.1586,-12.6475,-22.1093,-9.28043,-19.4816,-5.11191,-5.36428,-0,-5.89963,-6.18168,-0,-0,-0,-0,-0,-8.04664,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,10,5,7,7,5,8,9,4,9,11,9,9,11,11,9,13,7,7,5,6,6,4,1,3,4,3,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0
-542.972,0.998979,0.043725,5,63,0,546.728,-1.64493,-2.96035,-0.391416,-0.401076,1.83382,-1.00952,-0.847059,5.21728,2.72668,0.000103372,0.000142805,0.000196851,0.000270655,0.000371014,0.000506811,0.000689511,0.000933701,0.00125762,0.00168363,0.00223851,0.00295343,0.00386351,0.00500674,0.00642218,0.00814731,0.0102148,0.0126483,0.0154587,0.01864,0.022166,0.0259545,0.0298899,0.0338285,0.0376073,0.0410573,0.0440178,0.046351,0.0479543,0.0487672,0.0487754,0.0480079,0.0465315,0.0444423,0.0418556,0.0388962,0.0356896,0.0323539,0.0289953,0.0257038,0.0225516,0.019593,0.0168652,0.01439,0.0121764,0.0102226,0.00851876,0.00704924,0.0057947,0.00473377,0.00384437,0.0031048,0.00249442,0.00199418,0.00158687,0.00125722,0.000991939,0.000779567,0.000610385,0.000476226,0.000370292,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.82479,-0,-0,-5.048,-4.81007,-4.58392,-8.74047,-4.16958,-15.9298,-19.046,-7.30282,-14.0409,-16.9323,-22.9639,-31.9279,-40.6011,-24.5721,-42.5251,-36.2484,-33.2258,-27.3275,-21.4734,-28.0221,-41.2559,-35.7154,-16.6645,-30.8792,-24.7843,-7.32223,-26.5437,-11.7978,-20.4125,-8.48244,-17.633,-4.58315,-4.76548,-0,-5.15081,-5.35303,-0,-0,-0,-0,-0,-6.67885,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,4,7,4,3,3,6,9,8,6,3,13,16,11,11,10,6,8,7,7,7,4,6,6,3,7,3,4,1,2,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0
