# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 19:33:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c21b8558e5.json
# init = /tmp/RtmpC8O1hA/init-b41c25d6e5922_1.json
# random
#   seed = 3052003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0292_rep030_accurate_moderate/prior_sensitivity_obspair_FAST-202605302033-1-20f630.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0292_rep030_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605302033-1-693f89.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.111078
# Diagonal elements of inverse mass matrix:
# 0.0737703, 0.0510903, 0.0247846, 0.0139854, 0.0417227, 0.02585, 0.0275444
-556.058,0.99661,0.111078,5,31,0,562.295,-1.9369,-2.76658,-1.74565,0.0746485,5.04651,0.495008,-1.34356,5.28456,1.94588,3.96485e-06,6.79625e-06,1.16498e-05,1.99679e-05,3.42117e-05,5.85456e-05,9.98803e-05,0.000169255,0.000283248,0.000464951,0.000744361,0.00115846,0.00175118,0.00257302,0.00367999,0.00513139,0.00698559,0.00929357,0.0120899,0.015383,0.0191464,0.023304,0.0277434,0.0323246,0.036892,0.0412828,0.045334,0.0488854,0.0517834,0.053885,0.055066,0.0552333,0.0543469,0.0524425,0.0496383,0.0461082,0.0420446,0.0376354,0.0330543,0.0284587,0.0239894,0.0197704,0.0159065,0.0124793,0.00954162,0.00711211,0.00517446,0.00368226,0.0025695,0.00176288,0.00119215,0.000796398,0.000526535,0.000345051,0.000224407,0.000144985,9.31324e-05,5.95194e-05,3.78651e-05,2.39908e-05,1.51441e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.8145,-0,-19.8556,-4.67843,-8.83076,-8.34899,-19.7782,-37.5913,-14.339,-24.0235,-29.6979,-19.1239,-12.3748,-30.1828,-35.5282,-46.7344,-31.8915,-11.5848,-34.9484,-26.5323,-30.0299,-30.7677,-15.8451,-19.6789,-27.2768,-14.2372,-11.1904,-23.5414,-20.7051,-8.76736,-4.65209,-4.94596,-26.3201,-0,-5.96405,-6.3408,-0,-0,-0,-0,-0,-0,-0,-9.72921,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,3,5,7,7,5,10,6,8,17,9,7,12,14,11,16,4,11,6,4,5,6,5,3,4,3,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
-551.519,1,0.111078,4,15,0,556.844,-2.06027,-2.91637,-1.77047,-0.145126,4.57128,0.273895,-1.24857,5.36585,2.14349,1.46447e-05,2.25709e-05,3.47862e-05,5.36059e-05,8.25797e-05,0.000127113,0.000195331,0.000299179,0.000455602,0.000687545,0.00102449,0.00150244,0.0021635,0.00305477,0.00422665,0.00573001,0.00761199,0.00991061,0.0126482,0.0158253,0.0194152,0.0233498,0.0275311,0.031836,0.0361228,0.0402393,0.0440291,0.0473378,0.0500187,0.0519403,0.0529957,0.0531162,0.052287,0.0505556,0.0480255,0.0448374,0.0411494,0.0371231,0.0329155,0.0286743,0.0245337,0.0206105,0.0169994,0.0137686,0.0109575,0.00857665,0.0066107,0.00502486,0.00377225,0.00280097,0.00205985,0.00150211,0.00108733,0.000781982,0.000559162,0.000397795,0.000281706,0.000198676,0.000139596,9.77503e-05,6.8234e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.399,-0,-19.5121,-4.61415,-8.74047,-8.29229,-19.7085,-37.5717,-14.3698,-24.1301,-29.8875,-19.2775,-12.4916,-30.5045,-35.9443,-47.3226,-32.313,-11.7411,-35.4121,-26.8621,-30.3602,-31.0471,-15.9527,-19.7611,-27.3105,-14.207,-11.1231,-23.2917,-20.3729,-8.57073,-4.51373,-4.75871,-25.0953,-0,-5.58008,-5.87779,-0,-0,-0,-0,-0,-0,-0,-8.52384,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,4,6,7,6,6,8,5,6,10,10,7,8,11,8,10,10,11,10,10,4,7,6,2,6,4,2,2,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
-550.455,0.999357,0.111078,5,63,0,554.747,-2.2454,-2.99882,-0.841977,-0.621841,3.26259,0.0871321,-1.10734,5.29887,2.62912,0.00011081,0.000145009,0.000189791,0.000248449,0.000325312,0.000426079,0.000558258,0.000731747,0.000959592,0.00125896,0.00165233,0.00216879,0.00284534,0.00372763,0.00486965,0.00633174,0.0081763,0.010461,0.0132298,0.0165023,0.0202641,0.0244515,0.0289515,0.0336028,0.0382032,0.0425229,0.0463242,0.049386,0.0515302,0.0526437,0.0526897,0.0517064,0.0497964,0.0471111,0.0438324,0.0401536,0.0362619,0.0323246,0.0284794,0.0248304,0.0214487,0.0183759,0.0156293,0.0132082,0.0110988,0.00927917,0.00772292,0.00640167,0.0052871,0.00435214,0.0035717,0.00292311,0.0023862,0.0019433,0.0015791,0.00128048,0.00103626,0.000837005,0.000674785,0.000542982,0.000436092,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.9742,-0,-19.2261,-4.5601,-8.65057,-8.20851,-19.4945,-37.1106,-14.1685,-23.752,-29.3835,-18.9463,-12.2884,-30.0809,-35.587,-47.1073,-32.3767,-11.8487,-35.9977,-27.4972,-31.2738,-32.1504,-16.5849,-20.5916,-28.4686,-14.7827,-11.5263,-23.9803,-20.793,-8.65384,-4.50092,-4.67998,-24.3178,-0,-5.24248,-5.43709,-0,-0,-0,-0,-0,-0,-0,-7.08568,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,2,1,3,5,5,9,7,10,9,10,11,12,9,10,13,10,7,5,3,4,5,8,4,8,2,2,0,3,6,1,0,2,2,0,0,0,2,0,0,0,0,0
-558.115,0.991119,0.111078,5,31,0,560.779,-1.60609,-0.444227,-1.35226,-0.846195,2.23563,-0.583988,-0.645741,5.76315,3.37398,9.09516e-05,0.000113348,0.000141432,0.000176737,0.000221251,0.000277577,0.000349144,0.000440521,0.000557852,0.000709484,0.000906868,0.00116587,0.00150863,0.00196633,0.002583,0.00342113,0.00456943,0.00615401,0.0083542,0.0114259,0.0157376,0.0209978,0.0268772,0.0330074,0.0389951,0.0444521,0.0490322,0.0524695,0.0546057,0.0554007,0.0549245,0.0533331,0.050837,0.0476692,0.0440582,0.0402093,0.0362945,0.0324482,0.0287689,0.0253228,0.0221498,0.0192686,0.0166824,0.0143831,0.0123554,0.0105793,0.00903272,0.00769266,0.00653655,0.00554285,0.00469151,0.00396422,0.00334444,0.00281742,0.0023701,0.00199103,0.00167017,0.00139879,0.00116929,0.000975078,0.000810392,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-17.8764,-0,-21.5535,-5.09065,-9.56998,-8.94375,-20.7585,-38.6334,-14.4659,-23.8772,-29.1989,-18.6801,-12.0611,-29.4752,-34.8914,-46.2906,-31.9198,-11.7248,-35.7496,-27.3912,-31.2224,-32.1366,-16.5804,-20.5687,-28.3877,-14.7042,-11.4298,-23.6957,-20.467,-8.48341,-4.39367,-4.54886,-23.5345,-0,-5.03035,-5.19525,-0,-0,-0,-0,-0,-0,-0,-6.57215,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,5,3,7,7,12,13,7,6,11,9,9,11,17,11,14,11,6,7,3,4,5,2,3,1,0,0,0,3,0,1,1,1,0,0,0,1,0,1,0,0
-552.805,0.99397,0.111078,5,31,0,560.738,-1.71842,-2.17623,-1.42831,-0.777931,2.59528,-0.0356128,-1.02633,5.22487,3.00748,0.000234067,0.000294879,0.000371606,0.00046848,0.000590888,0.000745704,0.000941719,0.00119019,0.00150554,0.0019062,0.0024156,0.00306314,0.00388499,0.00492416,0.00622956,0.0078534,0.00984699,0.0122551,0.0151094,0.0184224,0.0221817,0.0262864,0.0305916,0.0349127,0.0390359,0.0427356,0.0457983,0.0480496,0.0493776,0.0497448,0.049186,0.0477943,0.0457032,0.0430669,0.0400445,0.0367872,0.0334294,0.0300837,0.0268387,0.0237594,0.0208895,0.0182547,0.0158662,0.0137238,0.0118198,0.0101407,0.00866998,0.00738928,0.00627979,0.00532297,0.00450111,0.0037977,0.00319758,0.00268706,0.00225388,0.00188716,0.00157735,0.0013161,0.00109617,0.000911309,0.000756141,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.2353,-0,-18.4824,-4.40182,-8.38488,-7.98838,-19.0424,-36.387,-13.9481,-23.4843,-29.1895,-18.9163,-12.334,-30.3552,-36.0991,-48.0136,-33.1336,-12.1634,-37.027,-28.305,-32.1776,-33.0261,-16.9916,-21.0226,-28.9433,-14.9591,-11.6055,-24.02,-20.7178,-8.57724,-4.43798,-4.5912,-23.7394,-0,-5.07042,-5.23572,-0,-0,-0,-0,-0,-0,-0,-6.63308,-0,-0,-0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,2,3,3,2,2,4,4,8,3,3,5,9,14,12,13,11,12,10,10,9,12,4,5,8,1,3,3,3,6,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
-550.419,0.999983,0.111078,5,31,0,553.793,-2.88916,-2.2664,-1.28549,-0.270237,4.02256,-0.145663,-1.26806,5.70455,2.32312,1.96022e-05,2.8704e-05,4.20249e-05,6.15102e-05,8.99874e-05,0.000131547,0.000192067,0.000279901,0.000406747,0.000588663,0.000847131,0.00121003,0.00171228,0.00239597,0.00330964,0.00450661,0.00604193,0.00796816,0.0103299,0.0131575,0.0164608,0.0202125,0.0243511,0.0287783,0.0333602,0.0379309,0.0423001,0.0462627,0.0496136,0.0521646,0.0537653,0.0543225,0.0538132,0.0522867,0.049854,0.046672,0.0429234,0.0388006,0.0344912,0.0301666,0.0259738,0.0220297,0.0184185,0.015192,0.0123727,0.00995851,0.00792875,0.00625021,0.00488256,0.00378293,0.00290921,0.00222227,0.00168722,0.00127394,0.000957093,0.000715778,0.000533082,0.000395503,0.000292397,0.000215464,0.000158286,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-17.1327,-0,-20.4361,-4.8323,-9.14543,-8.66153,-20.5339,-39.0145,-14.8607,-24.8369,-30.6035,-19.6319,-12.6519,-30.7342,-36.0419,-47.2536,-32.1544,-11.6513,-35.0668,-26.5591,-29.9866,-30.6461,-15.7417,-19.4959,-26.9364,-14.0041,-10.952,-22.8922,-19.972,-8.37397,-4.39226,-4.60933,-24.1863,-0,-5.32208,-5.57726,-0,-0,-0,-0,-0,-0,-0,-7.83535,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,4,3,8,6,9,8,6,6,16,12,9,14,6,12,10,4,12,13,7,7,3,5,3,1,1,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
