# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 20:02:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c222f7703f.json
# init = /tmp/RtmpC8O1hA/init-b41c255a052aa_3.json
# random
#   seed = 3052007
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0296_rep030_mildly_wrong_strong/prior_sensitivity_obspair_FAST-202605302102-3-0f3e4d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0296_rep030_mildly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605302102-3-4702e3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.148255
# Diagonal elements of inverse mass matrix:
# 0.0711448, 0.0415073, 0.00607804, 0.00534717, 0.00994079, 0.00523074, 0.0105654
-549.982,0.987265,0.148255,4,15,0,556.429,-2.1536,-2.40673,-1.08683,-0.596563,4.19915,0.282569,-0.780097,5.67626,2.55897,6.80474e-05,8.97424e-05,0.000118406,0.000156315,0.000206515,0.000273104,0.000361617,0.000479574,0.000637239,0.000848634,0.00113281,0.00151528,0.00202928,0.00271667,0.00362795,0.00482113,0.00635893,0.00830378,0.0107106,0.0136176,0.0170365,0.0209351,0.0252368,0.0298198,0.0345205,0.0391416,0.0434641,0.0472614,0.050318,0.0524528,0.0535443,0.0535486,0.0525006,0.0505013,0.0476993,0.0442737,0.0404179,0.0363249,0.032174,0.028119,0.0242806,0.0207432,0.0175559,0.0147383,0.0122864,0.0101808,0.00839211,0.00688632,0.00562829,0.00458396,0.00372174,0.00301321,0.00243336,0.00196051,0.00157613,0.00126455,0.00101262,0.00080939,0.000645776,0.000514307,0.000408853,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.8573,-0,-20.2316,-4.79104,-9.07304,-8.59278,-20.362,-38.6633,-14.7178,-24.5881,-30.2958,-19.4434,-12.5433,-30.5206,-35.8727,-47.1655,-32.1997,-11.7087,-35.3632,-26.8718,-30.4284,-31.1736,-16.0424,-19.8915,-27.4928,-14.2852,-11.1542,-23.2532,-20.2118,-8.43462,-4.39926,-4.58725,-23.9023,-0,-5.17995,-5.38519,-0,-0,-0,-0,-0,-0,-0,-7.11923,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,6,2,3,1,2,5,7,11,11,6,11,8,14,13,10,12,14,7,6,5,3,4,10,5,5,2,4,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-550.717,0.989978,0.148255,4,31,0,554.807,-2.44018,-2.47865,-1.19305,-0.612941,4.04232,0.392593,-0.944557,5.76303,2.63558,7.66492e-05,0.000100605,0.000132092,0.00017351,0.000228046,0.00029995,0.000394908,0.00052057,0.000687267,0.00090898,0.00120454,0.00159896,0.0021246,0.00282184,0.00373904,0.00493138,0.00645821,0.0083784,0.0107433,0.0135881,0.0169218,0.0207118,0.0248835,0.0293199,0.0338663,0.0383376,0.0425287,0.0462261,0.0492246,0.0513495,0.0524828,0.0525807,0.0516741,0.049854,0.0472556,0.0440429,0.0403954,0.036495,0.0325127,0.0285973,0.0248669,0.0214053,0.0182633,0.0154632,0.0130053,0.0108748,0.0090472,0.00749314,0.00618143,0.00508125,0.00416353,0.00340165,0.00277179,0.00225302,0.00182717,0.00147862,0.00119413,0.00096248,0.000774284,0.000621704,0.000498238,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.7668,-0,-20.1696,-4.7821,-9.06694,-8.59712,-20.3958,-38.7705,-14.7742,-24.7064,-30.468,-19.5679,-12.6303,-30.7421,-36.1363,-47.5056,-32.42,-11.7816,-35.5536,-26.9879,-30.5218,-31.2259,-16.0452,-19.8635,-27.409,-14.2178,-11.0827,-23.0647,-20.0143,-8.33858,-4.3424,-4.52131,-23.5265,-0,-5.08621,-5.2822,-0,-0,-0,-0,-0,-0,-0,-6.946,-0,-0,-0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,2,2,3,4,1,7,7,8,12,7,6,8,9,5,15,12,15,4,5,6,9,7,6,1,5,5,5,2,1,4,3,1,0,1,0,0,1,1,0,1,1,0,0
-549.895,0.997596,0.148255,5,31,0,552.91,-1.39667,-1.85761,-1.18705,-0.625629,3.85738,0.165195,-0.997008,5.08951,2.52627,7.97191e-05,0.000104419,0.000136872,0.000179586,0.000235924,0.000310433,0.000409314,0.000541083,0.000717536,0.000955073,0.00127644,0.00171274,0.00230539,0.00310729,0.00418263,0.00560476,0.00745171,0.00979925,0.0127117,0.0162313,0.0203678,0.0250459,0.0301309,0.0354289,0.040694,0.0456427,0.0499759,0.053408,0.0557023,0.0567085,0.0563887,0.0548198,0.0521711,0.0486698,0.0445678,0.0401151,0.0355402,0.0310368,0.0267556,0.0228022,0.0192395,0.016094,0.013364,0.0110278,0.00905181,0.00739646,0.00602061,0.00488449,0.00395139,0.00318851,0.00256718,0.00206279,0.0016545,0.00132481,0.00105915,0.000845496,0.000673942,0.000536393,0.000426248,0.000338147,0.00026775,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.4304,-0,-19.5972,-4.62545,-8.73047,-8.24163,-19.469,-36.8705,-14.0088,-23.3816,-28.8151,-18.5215,-11.9849,-29.2979,-34.6528,-45.9173,-31.6304,-11.6148,-35.4387,-27.2043,-31.1074,-32.16,-16.6854,-20.8355,-28.9681,-15.1236,-11.8524,-24.7758,-21.576,-9.01468,-4.70479,-4.90675,-25.5628,-0,-5.53369,-5.7482,-0,-0,-0,-0,-0,-0,-0,-7.53064,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,4,3,4,3,6,4,7,5,13,9,10,10,17,11,8,14,15,10,4,7,2,8,6,2,1,1,3,1,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0
-549.755,0.997542,0.148255,4,31,0,552.953,-1.5796,-1.84719,-1.12527,-0.585212,4.05083,0.0575925,-0.863893,5.30632,2.52188,6.00574e-05,7.95412e-05,0.000105428,0.000139879,0.00018583,0.000247286,0.000329758,0.000440877,0.000591272,0.000795767,0.00107494,0.00145693,0.00197922,0.00268998,0.00364836,0.00492321,0.00658979,0.00872409,0.0113949,0.0146542,0.0185264,0.0229637,0.0278624,0.0330594,0.0383366,0.0434306,0.0480514,0.0519084,0.0547428,0.0563643,0.0566811,0.0557138,0.0535846,0.0504902,0.0466686,0.0423697,0.0378319,0.033266,0.0288445,0.0246965,0.0209081,0.0175259,0.0145643,0.0120131,0.00984526,0.00802436,0.00650944,0.00525914,0.00423409,0.00339841,0.00272035,0.00217238,0.00173107,0.00137673,0.00109295,0.00086619,0.000685362,0.000541412,0.000426996,0.000336181,0.000264188,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.8404,-0,-20.0889,-4.74167,-8.94918,-8.44606,-19.9428,-37.7384,-14.3219,-23.8661,-29.3522,-18.8196,-12.1419,-29.5827,-34.8613,-46.0147,-31.5735,-11.5501,-35.1179,-26.8738,-30.6468,-31.6132,-16.373,-20.4193,-28.3667,-14.8044,-11.6029,-24.2644,-21.1459,-8.84352,-4.62077,-4.82527,-25.1725,-0,-5.46459,-5.68445,-0,-0,-0,-0,-0,-0,-0,-7.52133,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,8,5,5,6,5,8,9,11,10,5,10,9,6,9,12,15,11,8,7,8,6,3,5,4,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-551.367,0.98516,0.148255,5,31,0,553.328,-2.32796,-3.49634,-1.05296,-0.492149,3.99803,0.498317,-0.949981,5.36523,2.34042,5.43405e-05,7.37885e-05,0.000100207,0.000136101,0.000184886,0.000251217,0.000341451,0.000464274,0.000631565,0.000859529,0.00117011,0.00159253,0.00216459,0.00293341,0.00395526,0.00529393,0.00701719,0.00919032,0.0118666,0.0150754,0.0188103,0.023017,0.0275917,0.0323849,0.0372091,0.0418504,0.0460807,0.0496737,0.052423,0.0541656,0.0548053,0.0543254,0.0527852,0.0503046,0.0470482,0.0432092,0.0389947,0.03461,0.0302434,0.0260531,0.0221572,0.0186316,0.0155126,0.0128051,0.0104914,0.00854001,0.00691195,0.00556614,0.00446232,0.00356308,0.00283479,0.00224798,0.00177731,0.00140133,0.00110209,0.000864697,0.000676934,0.000528828,0.000412293,0.000320808,0.000249142,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.5981,-0,-19.8376,-4.6896,-8.86806,-8.38938,-19.8667,-37.7152,-14.361,-24.0104,-29.6208,-19.0419,-12.3094,-30.0228,-35.3809,-46.6513,-31.9437,-11.6511,-35.2983,-26.9069,-30.5658,-31.417,-16.2216,-20.1817,-27.9878,-14.5905,-11.4288,-23.8974,-20.8305,-8.71582,-4.55719,-4.76299,-24.8725,-0,-5.41209,-5.63713,-0,-0,-0,-0,-0,-0,-0,-7.54485,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,5,2,5,4,8,3,6,4,9,6,9,10,9,17,12,16,7,8,7,2,10,6,6,5,2,3,2,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
-549.111,0.995899,0.148255,5,31,0,553.492,-1.76225,-2.38779,-1.08672,-0.566672,3.90511,0.104527,-0.807656,5.2855,2.49573,7.72052e-05,0.000102659,0.000136559,0.000181744,0.000242037,0.000322598,0.000430409,0.000574948,0.000769085,0.00103024,0.00138176,0.00185436,0.00248725,0.00332857,0.00443453,0.00586693,0.0076888,0.00995794,0.0127188,0.0159935,0.0197731,0.0239959,0.0285535,0.0332926,0.0380203,0.0425157,0.0465449,0.0498806,0.0523252,0.0537353,0.0540414,0.0532553,0.0514627,0.0488067,0.0454675,0.0416435,0.0375345,0.0333271,0.029183,0.0252316,0.0215666,0.0182465,0.0152987,0.0127261,0.0105132,0.00863299,0.0070519,0.00573395,0.00464348,0.00374694,0.00301386,0.00241726,0.00193372,0.00154324,0.00122892,0.000976616,0.000774614,0.000613254,0.000484625,0.000382283,0.000300998,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.255,-0,-19.472,-4.60938,-8.72934,-8.27114,-19.6172,-37.2987,-14.2239,-23.8169,-29.4267,-18.9473,-12.2694,-29.9812,-35.4033,-46.779,-32.098,-11.7306,-35.6028,-27.179,-30.9076,-31.7861,-16.4125,-20.4083,-28.2734,-14.7186,-11.5098,-24.0227,-20.8999,-8.7282,-4.55512,-4.75216,-24.7723,-0,-5.37229,-5.58681,-0,-0,-0,-0,-0,-0,-0,-7.39673,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,2,2,4,2,1,7,9,9,6,12,10,10,9,16,11,8,9,8,13,3,1,5,6,4,4,6,6,2,4,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0
