# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 20:28:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c256572564.json
# init = /tmp/RtmpC8O1hA/init-b41c22e0b4d5_3.json
# random
#   seed = 3052011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0300_rep030_manuscript_default/prior_sensitivity_obspair_FAST-202605302128-3-7562a1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0300_rep030_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605302128-3-3fbb24.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.051141
# Diagonal elements of inverse mass matrix:
# 0.133205, 0.10538, 0.319033, 0.111406, 0.179872, 0.14172, 0.175769
-550.301,0.999558,0.051141,6,63,0,554.091,-2.81441,-1.49108,-0.877221,-0.536956,2.46567,-0.535111,-0.534146,5.42047,2.7746,7.70846e-05,0.000103203,0.000138148,0.000184887,0.000247366,0.000330833,0.000442235,0.000590743,0.000788403,0.00105092,0.00139862,0.00185745,0.0024601,0.00324689,0.00426637,0.00557513,0.00723657,0.00931811,0.0118868,0.0150031,0.0187134,0.0229678,0.0276565,0.0326055,0.0375826,0.0423146,0.0465157,0.0499232,0.0523309,0.0536152,0.0537453,0.0527785,0.0508428,0.048114,0.0447909,0.0410742,0.0371502,0.0331802,0.0292953,0.025595,0.0221488,0.0189998,0.0161689,0.01366,0.0114638,0.00956236,0.00793199,0.00654608,0.00537707,0.00439783,0.00358267,0.00290792,0.00235225,0.00189677,0.00152499,0.00122269,0.000977759,0.000779939,0.000620635,0.000492688,0.000390177,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.371,-0,-19.7144,-4.6758,-8.86465,-8.399,-19.8926,-37.7366,-14.3516,-23.9629,-29.5309,-18.9757,-12.2719,-29.9727,-35.402,-46.8148,-32.1585,-11.7666,-35.7482,-27.3076,-31.0575,-31.9237,-16.4639,-20.4348,-28.2426,-14.6614,-11.4299,-23.78,-20.6233,-8.58657,-4.46856,-4.64992,-24.1843,-0,-5.22561,-5.42664,-0,-0,-0,-0,-0,-0,-0,-7.15629,-0,-0,-0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,1,2,2,4,3,3,0,5,8,4,7,12,14,9,7,12,13,13,5,4,9,6,9,7,3,7,2,3,2,4,2,1,3,2,1,0,0,1,1,1,0,0,0,1,0,0
-553.555,0.995297,0.051141,6,63,0,555.856,-3.09486,-2.72086,-2.19639,-0.262717,3.47085,-0.0481233,-3.12845,5.4984,2.39918,3.06876e-05,4.50521e-05,6.61165e-05,9.69719e-05,0.000142089,0.000207876,0.000303388,0.00044117,0.000638131,0.000916295,0.00130322,0.00183193,0.00254024,0.00346949,0.0046626,0.0061615,0.00800389,0.0102195,0.0128261,0.015826,0.0192032,0.0228974,0.026824,0.0308762,0.0349281,0.0388392,0.0424599,0.0456381,0.0482272,0.0500965,0.0511439,0.0513099,0.0505885,0.0490288,0.0467279,0.0438156,0.040439,0.0367494,0.032893,0.0290043,0.0252017,0.0215838,0.0182268,0.0151841,0.0124857,0.0101412,0.00814259,0.00646831,0.00508802,0.00396648,0.00306699,0.00235398,0.00179465,0.00135993,0.00102486,0.000768486,0.000573623,0.000426387,0.00031573,0.000232962,0.000171325,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.1045,-0,-19.3113,-4.58346,-8.71255,-8.29221,-19.7634,-37.7673,-14.4738,-24.3444,-30.1902,-19.4899,-12.6368,-30.8701,-36.382,-47.9009,-32.7042,-11.8795,-35.8084,-27.1381,-30.6341,-31.2777,-16.0398,-19.8218,-27.316,-14.1612,-11.0425,-23.0149,-20.0243,-8.37502,-4.38317,-4.59114,-24.0532,-0,-5.28087,-5.52988,-0,-0,-0,-0,-0,-0,-0,-7.76016,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,1,3,3,6,4,5,7,7,8,5,5,8,11,9,9,10,10,9,12,8,13,5,3,7,6,2,2,2,2,1,1,3,1,1,2,0,0,0,0,0,0,0,1,0
-553.264,0.999821,0.051141,6,127,0,556.326,-0.671321,-1.49004,-1.12452,-0.308752,4.32877,-0.330226,0.833688,5.06458,2.51633,3.79291e-05,5.46541e-05,7.86949e-05,0.000113193,0.000162584,0.000233081,0.000333299,0.000475028,0.000674143,0.000951562,0.00133411,0.00185497,0.00255338,0.00347316,0.00465986,0.00615667,0.00799963,0.0102168,0.0128604,0.0162239,0.0222961,0.0271636,0.0319352,0.0366807,0.0412572,0.0454737,0.0491262,0.0520115,0.0539436,0.054779,0.0544489,0.0529857,0.0505282,0.047295,0.0435371,0.0394915,0.0353531,0.031268,0.0273399,0.0236401,0.0202171,0.0171014,0.0143094,0.0118454,0.00970306,0.00786739,0.00631657,0.0050241,0.0039608,0.00309667,0.00240238,0.00185045,0.00141594,0.00107692,0.000814553,0.000612999,0.000459192,0.000342526,0.000254511,0.000188431,0.000139008,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.1063,-0,-19.3134,-4.58373,-8.7072,-8.24254,-19.0167,-36.0588,-13.7762,-23.1385,-28.6914,-18.5437,-12.0535,-29.5629,-35.0378,-46.4712,-32.0154,-11.7509,-35.8227,-27.4622,-31.3414,-32.3167,-16.7118,-20.791,-28.7953,-14.9792,-11.7037,-24.4116,-21.2342,-8.87163,-4.63531,-4.84503,-25.3229,-0,-5.53131,-5.77743,-0,-0,-0,-0,-0,-0,-0,-7.97916,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,4,3,5,7,9,3,9,3,10,16,8,8,11,10,7,10,7,7,7,9,4,4,8,7,6,1,3,0,2,3,1,0,0,1,0,0,1,1,0,0,0,0,0
-554.343,0.98481,0.051141,6,127,0,557.496,-2.8863,-1.53353,-2.27814,-0.359762,4.17308,0.294133,1.06369,5.33691,2.5832,4.00233e-05,5.67793e-05,8.05707e-05,0.000114363,0.000162369,0.000230546,0.000327222,0.000463796,0.000655305,0.000920609,0.0012821,0.00176514,0.00239738,0.00320804,0.00422661,0.00548109,0.00699534,0.00878603,0.0108635,0.0133463,0.0205752,0.0259749,0.0308288,0.035378,0.0396896,0.0437384,0.0474378,0.0506473,0.0531679,0.0547406,0.055086,0.0540264,0.0516439,0.048296,0.044426,0.0403739,0.0363334,0.0323988,0.0286176,0.025021,0.021637,0.0184931,0.0156158,0.0130264,0.010738,0.00875233,0.00705991,0.00564123,0.00446977,0.00351518,0.00274626,0.00213303,0.00164817,0.00126764,0.000970928,0.000740883,0.000563415,0.000427116,0.000322851,0.000243376,0.000182986,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16.3991,-0,-19.85,-4.73459,-9.0447,-8.63304,-19.4183,-36.5062,-13.9172,-23.3916,-29.04,-18.7772,-12.1933,-29.8287,-35.2116,-46.4824,-31.8875,-11.6731,-35.5606,-27.2737,-31.1393,-32.0957,-16.5751,-20.5778,-28.4299,-14.7522,-11.5001,-23.9421,-20.7974,-8.68155,-4.53397,-4.73843,-24.7666,-0,-5.41042,-5.65066,-0,-0,-0,-0,-0,-0,-0,-7.75845,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,4,1,3,5,4,3,11,11,6,12,7,5,14,9,15,13,14,11,7,4,4,5,3,3,5,2,3,3,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-553.146,0.992875,0.051141,6,127,0,561.905,-2.66278,-3.27971,-0.960355,0.389284,2.22479,-1.39356,-0.735112,5.48914,2.4879,2.57186e-05,4.27558e-05,6.9812e-05,0.000111904,0.000176026,0.000271654,0.000411241,0.000610659,0.000889508,0.0012712,0.00178276,0.00245423,0.00331768,0.00440576,0.00574992,0.00737819,0.00931291,0.0115683,0.0141484,0.0170449,0.0202361,0.0236621,0.027243,0.0308811,0.0344645,0.0378715,0.0409775,0.0436622,0.0458171,0.0473532,0.0482072,0.0483464,0.0477708,0.0465128,0.0446344,0.0422217,0.0393784,0.0362181,0.0328567,0.0294057,0.025967,0.0226284,0.0194613,0.0165201,0.013842,0.0114484,0.00934665,0.00753238,0.00599202,0.0047052,0.0036471,0.00279053,0.00210768,0.00157151,0.00115678,0.000840692,0.000603272,0.000427493,0.000299185,0.00020683,0.00014126,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.4757,-0,-18.7054,-4.45948,-8.51631,-8.14381,-19.5014,-37.4388,-14.4118,-24.3433,-30.3104,-19.6413,-12.7789,-31.3127,-36.9972,-48.8019,-33.3547,-12.1175,-36.4961,-27.6123,-31.0925,-31.6482,-16.1727,-19.9092,-27.3248,-14.1063,-10.9528,-22.7313,-19.6966,-8.20635,-4.28004,-4.4699,-23.3637,-0,-5.11733,-5.35909,-0,-0,-0,-0,-0,-0,-0,-7.75757,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,3,2,5,6,4,3,7,2,9,7,10,11,10,8,11,4,13,7,10,10,7,11,7,2,5,1,4,2,3,4,2,0,1,0,0,1,0,0,0,1,0,0,0,0
-552.268,0.999889,0.051141,6,63,0,556.406,-2.15182,-3.50742,-1.33918,0.342372,2.42254,-0.952926,-0.596592,4.91042,2.23388,9.79629e-06,1.77411e-05,3.15849e-05,5.51892e-05,9.45039e-05,0.000158376,0.000259473,0.000415239,0.000648734,0.000989193,0.0014721,0.0021386,0.00303416,0.00420628,0.00570157,0.00756204,0.00982106,0.0124993,0.015601,0.0191111,0.0229931,0.0271535,0.0314707,0.0357989,0.0399747,0.0438257,0.0471809,0.0498829,0.0517997,0.0528358,0.0529409,0.0521148,0.0504077,0.0479148,0.0447677,0.0411221,0.0371443,0.0329986,0.028837,0.0247912,0.0209682,0.0174477,0.0142827,0.0115016,0.00911061,0.00709832,0.00543961,0.00409998,0.00303959,0.0022167,0.00159044,0.00112288,0.000780293,0.000533859,0.000359742,0.000238849,0.000156321,0.000100897,6.42571e-05,4.03999e-05,2.50894e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-15.501,-0,-18.4929,-4.38208,-8.32084,-7.91498,-18.8628,-36.0625,-13.8348,-23.3089,-28.9756,-18.7652,-12.2151,-29.9808,-35.5245,-47.0491,-32.3244,-11.8172,-35.8513,-27.345,-31.0627,-31.9121,-16.4647,-20.4677,-28.3688,-14.7891,-11.5942,-24.2913,-21.2435,-8.93054,-4.69832,-4.9479,-26.0702,-0,-5.79603,-6.11174,-0,-0,-0,-0,-0,-0,-0,-9.20141,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,3,1,5,6,4,2,5,10,6,13,7,14,11,9,4,12,17,5,9,7,7,5,5,5,3,5,2,0,1,3,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0
