# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 20:42:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25e7c1479.json
# init = /tmp/RtmpC8O1hA/init-b41c2528dbeff_4.json
# random
#   seed = 3152002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0301_rep031_accurate_weak/prior_sensitivity_obspair_FAST-202605302142-4-27258c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0301_rep031_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605302142-4-6b4990.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0676342
# Diagonal elements of inverse mass matrix:
# 0.135721, 0.092417, 0.17121, 0.0657942, 0.208617, 0.118569, 0.262994
-547.107,0.988788,0.0676342,5,31,0,549.052,-2.25533,-2.29374,-2.67543,0.00234322,3.4278,-0.00196239,-0.280963,5.02606,2.196,1.05861e-05,1.74351e-05,2.86751e-05,4.70558e-05,7.69469e-05,0.000125148,0.000201928,0.000322182,0.000506482,0.000781746,0.00118132,0.00174446,0.00251533,0.00354144,0.00487173,0.00655394,0.00863157,0.0111404,0.014105,0.0175361,0.0214292,0.025674,0.0301405,0.0346814,0.0391361,0.043335,0.0471054,0.0502763,0.0526862,0.0541934,0.0546905,0.0541244,0.0525136,0.0499569,0.0466217,0.0427153,0.038452,0.0340286,0.0296131,0.0253417,0.0213211,0.0176306,0.0143241,0.011432,0.0089623,0.00690336,0.00522709,0.00389357,0.00285591,0.00206509,0.00147385,0.0010395,0.000725377,0.000501373,0.000343606,0.000233702,0.000157877,0.000106009,7.07946e-05,4.70465e-05,3.11259e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.15398,-0,-0,-0,-0,-10.6486,-10.0554,-4.75233,-8.99436,-4.26123,-4.04349,-26.901,-14.6491,-45.5245,-13.4462,-19.4443,-18.8328,-24.4429,-38.8729,-35.3208,-37.8976,-20.3425,-37.9141,-26.5202,-32.9625,-39.854,-18.9192,-29.3251,-6.76111,-21.1172,-11.0259,-19.2403,-12.1144,-8.49162,-22.3567,-4.71473,-4.97575,-26.2695,-5.54843,-0,-0,-0,-6.86902,-7.22882,-0,-0,-0,-0,-0,-0,-0,-0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,3,7,2,6,6,10,13,12,6,8,4,16,15,12,9,6,7,8,6,6,6,6,5,2,1,4,1,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
-547.048,0.999653,0.0676342,6,63,0,550.152,-0.307933,-2.03221,-0.766238,-0.961572,4.36019,0.614127,-1.77803,5.3432,2.90603,9.74463e-05,0.000119274,0.000146346,0.000180102,0.000222468,0.000276077,0.000344598,0.000433284,0.000549867,0.000706055,0.000919965,0.00121969,0.00164733,0.00226186,0.0031391,0.0043687,0.00604813,0.00827397,0.0111299,0.014672,0.0189117,0.0237763,0.0291175,0.0347135,0.0402842,0.0455142,0.050081,0.0536855,0.0560845,0.0571265,0.0567802,0.0551361,0.0523794,0.0487551,0.0445368,0.0399987,0.035391,0.03092,0.0267361,0.0229316,0.0195473,0.0165858,0.0140251,0.0118297,0.00995889,0.00837169,0.0070294,0.00589692,0.00494315,0.00414096,0.00346691,0.0029009,0.00242572,0.0020267,0.00169137,0.0014092,0.00117136,0.000970524,0.00080065,0.000656824,0.000535055,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.25582,-0,-0,-0,-0,-11.5276,-10.8666,-5.10801,-9.58928,-4.49812,-4.22181,-27.7758,-14.9563,-45.9734,-13.4425,-19.2708,-18.5384,-23.9529,-38.02,-34.5708,-37.2123,-20.08,-37.6734,-26.5432,-33.2304,-40.4487,-19.3135,-30.0717,-6.95271,-21.7304,-11.3257,-19.6746,-12.2976,-8.53381,-22.1857,-4.60929,-4.7829,-24.7883,-5.13332,-0,-0,-0,-5.84274,-6.02163,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,4,5,4,5,5,6,5,11,12,5,7,10,18,8,19,9,11,8,4,7,5,5,5,1,2,2,4,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0
-547.397,0.9891,0.0676342,5,31,0,549.318,-0.276585,-3.10942,-0.507369,-0.655588,4.85341,0.464528,-1.14055,5.33214,2.40109,6.67181e-05,8.67484e-05,0.000112894,0.000147093,0.000191948,0.000250993,0.000329083,0.00043299,0.00057231,0.000760807,0.00101824,0.00137242,0.00186105,0.00253267,0.00344667,0.00467214,0.00628495,0.00836246,0.0109748,0.0141726,0.0179726,0.0223415,0.0271879,0.0323595,0.0376484,0.0428035,0.0475475,0.0515999,0.0547033,0.0566527,0.0573228,0.0566862,0.0548158,0.0518707,0.048072,0.0436746,0.0389402,0.0341146,0.0294096,0.024991,0.0209721,0.0174147,0.0143358,0.011719,0.0095266,0.00771001,0.00621757,0.00499947,0.00401033,0.00321035,0.00256543,0.00204686,0.00163077,0.00129748,0.00103088,0.000817868,0.000647818,0.00051216,0.000404004,0.000317831,0.000249233,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.18113,-0,-0,-0,-0,-11.3407,-10.7323,-5.0696,-9.56801,-4.51216,-4.25645,-28.1324,-15.2052,-46.8648,-13.7234,-19.6768,-18.9068,-24.3682,-38.5351,-34.87,-37.3206,-20.0134,-37.3129,-26.134,-32.549,-39.4557,-18.7859,-29.2116,-6.75606,-21.1586,-11.0677,-19.3228,-12.1513,-8.48999,-22.2327,-4.65367,-4.86524,-25.4019,-5.29842,-0,-0,-0,-6.19145,-6.4187,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,4,4,4,8,8,7,10,13,15,13,8,14,10,14,7,8,8,6,6,3,5,3,1,1,2,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
-546.633,0.966798,0.0676342,6,63,0,550.645,-1.04529,-1.43475,-2.67091,-0.449767,3.55444,0.0969757,-1.0554,4.85582,2.52431,6.83106e-05,9.41704e-05,0.000129907,0.000179354,0.00024786,0.000342884,0.000474772,0.000657708,0.000910716,0.00125851,0.00173191,0.00236766,0.00320772,0.00429823,0.00568824,0.00742836,0.0095694,0.0121608,0.0152495,0.0188785,0.0230866,0.0276629,0.0324023,0.0371042,0.0415725,0.0456163,0.0490531,0.0517137,0.0534509,0.0541545,0.0537695,0.0523163,0.0498995,0.0466966,0.0429277,0.038819,0.0345755,0.0303664,0.0263223,0.0225369,0.0190725,0.0159644,0.0132258,0.0108526,0.00882698,0.00712208,0.00570508,0.00454059,0.00359311,0.00282894,0.0022173,0.00173099,0.00134655,0.00104416,0.000807357,0.000622624,0.000479001,0.000367674,0.000281611,0.000215234,0.000164147,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.67783,-0,-0,-0,-0,-10.3387,-9.8049,-4.64919,-8.81907,-4.18321,-3.96973,-26.3795,-14.3507,-44.5838,-13.1761,-19.0819,-18.5249,-24.1188,-38.5064,-35.1479,-37.9069,-20.4613,-38.3558,-26.9797,-33.7049,-40.9271,-19.4931,-30.2815,-6.98884,-21.824,-11.3778,-19.7975,-12.4122,-8.65116,-22.6168,-4.72994,-4.94456,-25.832,-5.3947,-0,-0,-0,-6.35906,-6.61021,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,4,5,4,4,6,9,5,6,11,10,17,12,9,9,12,9,13,4,10,6,3,2,5,4,3,3,6,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
-546.303,0.991557,0.0676342,6,63,0,549.067,-2.60475,-3.55735,-0.72961,-0.263573,3.79985,-0.317374,-1.13834,5.4595,2.24195,2.27401e-05,3.33531e-05,4.88958e-05,7.16324e-05,0.00010484,0.000153236,0.000223552,0.000325294,0.000471694,0.000680829,0.000976821,0.00139095,0.00196238,0.00273825,0.00377256,0.00512364,0.00684997,0.00900415,0.0116256,0.0147326,0.0183147,0.0223244,0.0266751,0.0312411,0.0358614,0.0403488,0.0445005,0.0481139,0.0510023,0.0530126,0.0540396,0.0540364,0.0530175,0.0510556,0.0482729,0.0448284,0.0409035,0.0366869,0.0323607,0.0280885,0.0240063,0.0202172,0.0167905,0.0137633,0.0111451,0.0089234,0.00707055,0.00554914,0.00431722,0.00333215,0.00255329,0.00194363,0.00147071,0.00110682,0.000828835,0.000617862,0.000458683,0.000339217,0.000249984,0.000183624,0.000134468,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.2922,-0,-0,-0,-0,-11.16,-10.5478,-4.98351,-9.42014,-4.45454,-4.21769,-28.0004,-15.2083,-47.1123,-13.8641,-19.9686,-19.2612,-24.898,-39.4444,-35.7106,-38.1839,-20.4263,-37.9353,-26.4342,-32.7232,-39.4015,-18.6295,-28.7689,-6.61067,-20.5849,-10.7172,-18.6472,-11.7037,-8.17388,-21.4287,-4.49676,-4.71908,-24.7591,-5.19411,-0,-0,-0,-6.2432,-6.52201,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,3,2,2,6,6,1,10,11,9,13,12,13,9,4,12,9,7,12,12,8,4,6,4,0,2,2,5,1,1,0,2,1,0,1,1,1,0,0,0,0,0,0,0
-547.306,0.998246,0.0676342,5,31,0,548.987,-2.25697,-4.04197,-1.117,-0.394232,3.29131,0.00718975,-2.17751,5.01508,2.31567,4.75533e-05,6.66154e-05,9.33158e-05,0.00013071,0.00018307,0.000256353,0.000358847,0.000502022,0.000701624,0.000978995,0.00136251,0.0018889,0.00260395,0.0035622,0.00482502,0.00645674,0.0085187,0.0110614,0.0141155,0.0176823,0.0217266,0.0261635,0.0308632,0.0356551,0.0403364,0.0446852,0.0484764,0.0515008,0.0535866,0.0546183,0.0545509,0.0534119,0.0512945,0.0483438,0.0447409,0.0406853,0.0363788,0.0320104,0.0277437,0.0237088,0.0199985,0.016669,0.0137446,0.0112234,0.00908493,0.0072966,0.00581941,0.00461228,0.00363504,0.0028504,0.00222494,0.00172954,0.0013394,0.00103369,0.000795243,0.000610012,0.000466657,0.000356083,0.000271058,0.000205863,0.000156004,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.92898,-0,-0,-0,-0,-10.6679,-10.0853,-4.76549,-9.00858,-4.26048,-4.03519,-26.8045,-14.5736,-45.2165,-13.3355,-19.263,-18.6487,-24.2134,-38.5601,-35.1175,-37.796,-20.3603,-38.0864,-26.7315,-33.3236,-40.3893,-19.2113,-29.8239,-6.88339,-21.5085,-11.2257,-19.5605,-12.2826,-8.57422,-22.4488,-4.70114,-4.92035,-25.7328,-5.37903,-0,-0,-0,-6.3599,-6.61553,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,1,2,5,2,4,6,5,5,5,11,11,14,9,8,5,13,11,8,5,11,5,6,5,4,7,6,3,3,2,2,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0
