# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 20:53:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c27ab44b8c.json
# init = /tmp/RtmpC8O1hA/init-b41c27460ff20_1.json
# random
#   seed = 3152003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0302_rep031_accurate_moderate/prior_sensitivity_obspair_FAST-202605302153-1-6dd01f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0302_rep031_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605302153-1-9a40be.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0997552
# Diagonal elements of inverse mass matrix:
# 0.0714965, 0.112103, 0.037244, 0.0192258, 0.0444499, 0.0346315, 0.0526543
-546.936,0.998536,0.0997552,5,31,0,548.189,-1.50282,-3.38213,-1.52241,-0.398202,4.13561,0.0486854,-1.41697,5.15535,2.3567,6.5545e-05,9.17068e-05,0.000128306,0.000179491,0.000251035,0.000350928,0.000490134,0.000683492,0.000950664,0.00131693,0.00181356,0.0024775,0.00335022,0.00447571,0.00589759,0.00765552,0.0097808,0.0122917,0.0151888,0.0184514,0.0220353,0.0258602,0.0298216,0.0337952,0.0376427,0.0412188,0.0443788,0.0469869,0.0489246,0.0500998,0.0504566,0.0499818,0.0487081,0.0467088,0.0440891,0.0409748,0.0375025,0.033811,0.030034,0.026294,0.0226967,0.0193269,0.0162459,0.0134915,0.011079,0.00900492,0.00725139,0.00579079,0.00459005,0.00361424,0.00282916,0.00220302,0.00170746,0.00131784,0.00101331,0.000776501,0.000593195,0.000451877,0.000343323,0.000260207,0.000196756,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63245,-0,-0,-0,-0,-10.2664,-9.74466,-4.62733,-8.79766,-4.1872,-3.99261,-26.7058,-14.6202,-45.6628,-13.5497,-19.6777,-19.1332,-24.9199,-39.7525,-36.2097,-38.9186,-20.9065,-38.9492,-27.1972,-33.702,-40.5801,-19.1688,-29.5501,-6.77394,-21.0325,-10.9152,-18.9277,-11.8388,-8.23982,-21.5285,-4.5027,-4.70998,-24.6328,-5.15149,-0,-0,-0,-6.11793,-6.37275,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,4,2,4,4,5,4,4,6,8,13,11,14,13,10,14,5,8,7,14,7,4,5,8,4,3,3,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
-550.608,0.988778,0.0997552,5,31,0,553.047,-2.48225,-3.4308,-0.903623,-0.29536,4.30164,0.571297,-1.53405,5.2858,2.00167,1.48739e-05,2.15835e-05,3.13225e-05,4.54617e-05,6.5995e-05,9.58258e-05,0.000139188,0.000202259,0.000294063,0.000427731,0.000622196,0.000904199,0.00131039,0.00188928,0.00270276,0.00382641,0.00534748,0.00735901,0.00994872,0.0131829,0.0170879,0.021633,0.0267232,0.0322001,0.0378502,0.0434153,0.0486065,0.0531225,0.0566741,0.0590166,0.059986,0.0595288,0.0577066,0.0546773,0.0506658,0.0459363,0.0407675,0.0354321,0.0301792,0.0252179,0.0207034,0.01673,0.0133329,0.0104991,0.00818344,0.0063229,0.00484873,0.00369412,0.00279847,0.00210937,0.00158289,0.00118307,0.000881071,0.000654017,0.000484028,0.000357238,0.000262991,0.00019315,0.00014154,0.0001035,7.5529e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.75702,-0,-0,-0,-0,-11.827,-11.1317,-5.23113,-9.82366,-4.61031,-4.32883,-28.4857,-15.3341,-47.0889,-13.7431,-19.6447,-18.8217,-24.192,-38.157,-34.4452,-36.7892,-19.6955,-36.6768,-25.6715,-31.9694,-38.7726,-18.483,-28.7988,-6.68027,-21.0036,-11.0406,-19.3873,-12.2717,-8.63505,-22.7823,-4.80564,-5.06358,-26.6452,-5.60101,-0,-0,-0,-6.73964,-7.03437,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,1,5,7,6,9,6,20,11,12,10,12,9,13,8,8,2,12,7,7,4,6,2,5,2,1,2,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
-549.134,0.982283,0.0997552,5,63,0,554.958,-2.71247,-1.96201,-1.75754,-0.243687,2.38203,-0.416423,-0.576899,4.95937,2.38657,3.05962e-05,4.5137e-05,6.65143e-05,9.78698e-05,0.00014372,0.000210492,0.000307224,0.000446419,0.000645035,0.000925535,0.00131684,0.00185501,0.0025834,0.00355207,0.00481632,0.00643423,0.00846329,0.0109563,0.0139571,0.0174956,0.0215844,0.026124,0.0309728,0.0359491,0.0408359,0.045392,0.0493687,0.0525313,0.054685,0.0556991,0.0555253,0.0542031,0.0518523,0.0486529,0.0448193,0.0405752,0.0361329,0.0316788,0.0273659,0.0233107,0.0195935,0.0162622,0.0133368,0.0108149,0.00867719,0.00689303,0.00542501,0.00423282,0.00327617,0.00251693,0.00192039,0.00145598,0.00109744,0.000822752,0.000613765,0.000455772,0.000337021,0.000248236,0.000182176,0.00013324,9.71361e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.98514,-0,-0,-0,-0,-10.6715,-10.0922,-4.77202,-9.02767,-4.27177,-4.0458,-26.8505,-14.5796,-45.1704,-13.3026,-19.1892,-18.5545,-24.0675,-38.3025,-34.874,-37.5413,-20.2364,-37.8952,-26.6342,-33.2535,-40.3665,-19.2276,-29.885,-6.90422,-21.5907,-11.2765,-19.6628,-12.3567,-8.63445,-22.6341,-4.74706,-4.97724,-26.0837,-5.46489,-0,-0,-0,-6.53208,-6.81477,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,1,2,5,6,6,10,11,10,13,8,16,11,8,7,9,9,7,14,8,3,2,8,5,3,2,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,1
-546.81,0.996498,0.0997552,5,63,0,551.331,-3.57408,-1.79573,-1.06855,-0.520329,3.18145,0.180416,-1.35359,5.40306,2.5483,3.9243e-05,5.28747e-05,7.12657e-05,9.6097e-05,0.000129658,0.000175081,0.000236664,0.000320348,0.000434385,0.000590311,0.00080432,0.00109914,0.00150639,0.0020692,0.00284448,0.00390405,0.0053338,0.00722966,0.00968986,0.0128029,0.016632,0.0211752,0.0263609,0.0320345,0.0379545,0.0437984,0.0491854,0.0537173,0.0570405,0.0589107,0.0592342,0.058069,0.0555952,0.0520732,0.0478026,0.0430851,0.0381965,0.0333663,0.0287689,0.0245221,0.0206939,0.0173112,0.0143714,0.0118512,0.00971557,0.00792336,0.00643179,0.00519928,0.00418718,0.00336061,0.00268881,0.00214516,0.00170692,0.00135488,0.00107299,0.000847905,0.000668653,0.000526238,0.000413333,0.000324,0.000253448,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.43486,-0,-0,-0,-0,-11.7248,-11.0915,-5.23369,-9.85913,-4.63668,-4.35809,-28.675,-15.4197,-47.2664,-13.7638,-19.6282,-18.7689,-24.0973,-38.0123,-34.3679,-36.8125,-19.7838,-36.9996,-26.0069,-32.5061,-39.5288,-18.8675,-29.3851,-6.80042,-21.2908,-11.1245,-19.3896,-12.1692,-8.48504,-22.1766,-4.63403,-4.83794,-25.2325,-5.25923,-0,-0,-0,-6.14454,-6.37306,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,1,3,4,7,10,14,4,9,8,8,12,9,11,11,12,7,6,4,6,9,6,8,6,6,1,0,2,3,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0
-546.802,0.999957,0.0997552,5,31,0,547.209,-3.63315,-1.84715,-1.08642,-0.545353,3.15272,0.187052,-1.35721,5.44597,2.60044,4.63681e-05,6.2018e-05,8.29772e-05,0.000111068,0.000148756,0.000199384,0.000267511,0.000359382,0.000483604,0.000652103,0.000881473,0.00119478,0.00162379,0.00221142,0.0030137,0.00410061,0.00555485,0.00746762,0.00993084,0.0130254,0.0168067,0.0212663,0.0263293,0.0318429,0.037573,0.0432118,0.0483986,0.05276,0.0559663,0.0577911,0.0581479,0.0570893,0.0547806,0.0514623,0.0474121,0.0429123,0.0382229,0.0335627,0.0291,0.0249516,0.0211872,0.0178382,0.014907,0.0123763,0.010216,0.00838961,0.00685829,0.00558346,0.00452873,0.00366085,0.00295016,0.0023707,0.00190007,0.00151915,0.00121183,0.000964598,0.000766217,0.000607413,0.000480565,0.000379443,0.000298977,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.33531,-0,-0,-0,-0,-11.6092,-10.9932,-5.19308,-9.79436,-4.61211,-4.34085,-28.6018,-15.4025,-47.2819,-13.7878,-19.6888,-18.8499,-24.2263,-38.246,-34.5961,-37.062,-19.9134,-37.2208,-26.1398,-32.636,-39.6354,-18.8916,-29.3789,-6.78868,-21.2221,-11.0725,-19.2718,-12.0792,-8.41184,-21.9599,-4.5838,-4.78076,-24.9115,-5.18795,-0,-0,-0,-6.04457,-6.26587,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,10,3,7,7,13,7,10,11,11,10,6,7,10,15,9,9,9,4,6,3,4,4,1,3,2,1,4,2,1,1,0,1,1,0,0,0,0,0,0,0
-545.226,0.984761,0.0997552,4,31,0,549.275,-3.10831,-2.84815,-1.49488,-0.417227,3.22681,0.183132,-0.92242,5.16907,2.39787,4.41073e-05,6.13312e-05,8.52878e-05,0.000118614,0.000164982,0.000229506,0.000319308,0.000444284,0.000618128,0.000859647,0.00119427,0.00165559,0.00228638,0.00313881,0.00427308,0.00575454,0.0076488,0.0100149,0.0128969,0.0163145,0.0202545,0.0246468,0.0293741,0.0342743,0.0391471,0.0437641,0.0478833,0.0512672,0.053708,0.0550557,0.0552417,0.0542858,0.0522859,0.0493977,0.0458135,0.0417434,0.0373983,0.0329751,0.0286442,0.0245409,0.0207617,0.0173648,0.0143753,0.0117918,0.00959368,0.00774855,0.00621762,0.0049601,0.00393618,0.00310885,0.00244487,0.00191518,0.00149487,0.00116296,0.000901995,0.000697606,0.000538102,0.00041403,0.000317809,0.000243392,0.000185985,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.05899,-0,-0,-0,-0,-10.9108,-10.3155,-4.87321,-9.20736,-4.35077,-4.1157,-27.2956,-14.8124,-45.8594,-13.4934,-19.4426,-18.7736,-24.3119,-38.6191,-35.0903,-37.6923,-20.2723,-37.8754,-26.5593,-33.0864,-40.0813,-19.0573,-29.5752,-6.824,-21.3168,-11.1222,-19.3732,-12.1599,-8.48448,-22.2018,-4.64665,-4.86025,-25.4018,-5.30633,-0,-0,-0,-6.25795,-6.50571,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,4,0,3,2,6,9,12,11,12,7,7,6,13,7,13,5,11,10,9,4,13,4,4,7,2,2,3,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
