# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 21:03:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26c16e883.json
# init = /tmp/RtmpC8O1hA/init-b41c21886e3d4_3.json
# random
#   seed = 3152005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0304_rep031_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605302203-3-4dacc2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0304_rep031_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605302203-3-84f9ef.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0732942
# Diagonal elements of inverse mass matrix:
# 0.147245, 0.071692, 0.161012, 0.0698025, 0.140923, 0.114337, 0.285192
-544.34,1,0.0732942,5,31,0,549.285,-1.39649,-2.30557,-1.36892,-0.371357,4.80486,0.449283,-1.07574,5.1947,2.20384,3.27289e-05,4.62714e-05,6.54536e-05,9.26587e-05,0.000131308,0.000186339,0.0002649,0.000377364,0.000538653,0.000769751,0.00109901,0.0015628,0.00220544,0.00307836,0.00423838,0.00574484,0.00765524,0.0100192,0.0128708,0.0162205,0.0200476,0.0242785,0.0288005,0.0334665,0.0381038,0.0425238,0.0465321,0.0499379,0.0525647,0.0542611,0.0549179,0.0544875,0.0530016,0.0505686,0.04735,0.043533,0.039311,0.0348724,0.0303934,0.0260311,0.0219177,0.0181549,0.0148098,0.0119143,0.00946772,0.00744395,0.00580006,0.00448483,0.00344559,0.00263277,0.00200233,0.00151674,0.00114488,0.000861501,0.000646465,0.000483886,0.000361362,0.000269288,0.000200272,0.000148659,0.000110141,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.16944,-0,-0,-0,-0,-10.9271,-10.3189,-4.87237,-9.20651,-4.35279,-4.12148,-27.3675,-14.8727,-46.1157,-13.5888,-19.6046,-18.9461,-24.5409,-38.9607,-35.3485,-37.8813,-20.3134,-37.8272,-26.4369,-32.8287,-39.6524,-18.8054,-29.1263,-6.71212,-20.9612,-10.9454,-19.1023,-12.0264,-8.42493,-22.1501,-4.65987,-4.90035,-25.7494,-5.40705,-0,-0,-0,-6.49119,-6.77246,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,5,3,4,2,5,8,10,5,15,14,8,12,8,17,12,9,10,10,11,4,1,5,2,4,2,3,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
-545.103,0.998369,0.0732942,6,63,0,545.748,-0.841649,-1.22557,-1.78716,-0.54222,4.65525,0.101417,-0.459684,5.21154,2.62287,5.28429e-05,7.10143e-05,9.55794e-05,0.000128892,0.00017424,0.000236241,0.000321406,0.000438894,0.000601445,0.000826434,0.00113691,0.00156253,0.00214035,0.00291543,0.00394141,0.00528087,0.00700576,0.00919789,0.01195,0.0153678,0.0195749,0.0243002,0.0293163,0.034417,0.0394038,0.0440796,0.048246,0.0517044,0.0542634,0.0557536,0.0560533,0.0551198,0.0530165,0.0499157,0.0460682,0.0417525,0.037229,0.0327129,0.0283661,0.0243009,0.0205875,0.0172627,0.0143376,0.0118045,0.00964202,0.00781956,0.00630141,0.00504971,0.00402698,0.00319784,0.00253012,0.00199546,0.0015694,0.00123128,0.000963869,0.000753007,0.000587151,0.000456965,0.000354953,0.00027512,0.000212695,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.09839,-0,-0,-0,-0,-11.0724,-10.4873,-4.96102,-9.37756,-4.42703,-4.17548,-27.5345,-14.8691,-45.8849,-13.4768,-19.4034,-18.7305,-24.2515,-38.5087,-34.9669,-37.5286,-20.1702,-37.6772,-26.4344,-32.9716,-40.0092,-19.056,-29.616,-6.83997,-21.3754,-11.1517,-19.4154,-12.1776,-8.48974,-22.1964,-4.64163,-4.85113,-25.3349,-5.28842,-0,-0,-0,-6.21688,-6.45706,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,2,7,6,5,3,9,15,10,8,7,13,9,8,9,8,9,13,12,9,9,7,4,2,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-549.881,0.995677,0.0732942,4,31,0,550.857,-0.0662722,-0.318163,-2.30494,-0.825118,4.8421,0.574281,0.203902,5.22886,3.08292,9.56931e-05,0.000119885,0.000150436,0.000189164,0.000238487,0.000301677,0.000383214,0.000489278,0.000628332,0.000811669,0.00105391,0.00137377,0.00179559,0.0023518,0.00308636,0.00405973,0.00535671,0.00710588,0.00955116,0.0133583,0.0216353,0.0282455,0.0338877,0.0388735,0.0433061,0.0472128,0.050579,0.0533451,0.0553905,0.0565188,0.0564644,0.0549786,0.0520291,0.0479402,0.0432404,0.0383985,0.0337184,0.0293625,0.0254022,0.0218561,0.0187146,0.0159537,0.0135436,0.0114529,0.00965013,0.00810498,0.00678803,0.00567122,0.00472827,0.00393503,0.00326976,0.0027132,0.00224854,0.00186126,0.0015389,0.00127082,0.00104799,0.000862757,0.000708571,0.000579683,0.000470227,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.11642,-0,-0,-0,-0,-11.5615,-11.0133,-5.2294,-9.89367,-4.65109,-4.31562,-26.834,-14.2673,-44.0011,-12.9898,-18.8368,-18.3185,-23.8737,-38.1027,-34.7202,-37.3514,-20.119,-37.7105,-26.6036,-33.4158,-40.8327,-19.5584,-30.5074,-7.05607,-22.0375,-11.4698,-19.8923,-12.4142,-8.60368,-22.3476,-4.64078,-4.81528,-24.963,-5.17235,-0,-0,-0,-5.90963,-6.09747,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2,1,4,3,6,4,7,11,14,9,14,13,8,8,10,17,13,8,6,6,7,6,1,3,1,2,1,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-549.426,0.990524,0.0732942,5,31,0,553.114,-0.308208,-0.321486,-2.20832,-0.832535,5.01726,0.583989,0.109346,5.42809,3.10177,7.73406e-05,9.68424e-05,0.000121492,0.000152784,0.000192726,0.000244059,0.000310579,0.000397583,0.000512395,0.000664884,0.000867983,0.00113851,0.00149867,0.00197832,0.00261826,0.00347502,0.00462911,0.0062056,0.00844086,0.0119196,0.0189803,0.0253614,0.0310911,0.036307,0.0410749,0.0454007,0.0492485,0.0525404,0.055143,0.0568504,0.0573831,0.0564529,0.0539464,0.0501103,0.045466,0.0405348,0.0356817,0.0311152,0.0269354,0.0231778,0.0198415,0.0169064,0.0143434,0.0121203,0.0102043,0.00856302,0.00716524,0.00598101,0.00498219,0.0041429,0.00343983,0.00285233,0.00236239,0.00195446,0.00161524,0.00133339,0.00109931,0.000904856,0.000743083,0.000607882,0.000493148,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.3159,-0,-0,-0,-0,-11.8905,-11.3243,-5.37539,-10.1646,-4.77467,-4.42958,-27.7505,-14.6981,-45.1208,-13.263,-19.1541,-18.5534,-24.087,-38.3003,-34.7739,-37.2753,-20.006,-37.3665,-26.2779,-32.9288,-40.1803,-19.2336,-29.9981,-6.94012,-21.6859,-11.2937,-19.5999,-12.2402,-8.48893,-22.0644,-4.58495,-4.7603,-24.6926,-5.11917,-0,-0,-0,-5.85962,-6.04808,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,2,2,2,3,2,10,8,12,9,8,13,7,15,9,8,11,10,6,6,9,7,9,7,3,0,1,5,1,0,2,1,3,0,0,1,0,1,0,0,0,0,0,1
-548.857,0.985891,0.0732942,6,63,0,553.118,-0.984783,-2.48274,-1.37672,-0.0235007,5.39876,0.768875,0.610001,5.06233,2.05919,7.50492e-06,1.22392e-05,1.99682e-05,3.25994e-05,5.32717e-05,8.71614e-05,0.000142772,0.000233736,0.000380531,0.000610833,0.000958577,0.00146321,0.00216977,0.00312935,0.00439962,0.00604414,0.00812941,0.0107178,0.0138557,0.0175638,0.0219517,0.0264633,0.0309703,0.0353377,0.0394586,0.0432531,0.0466538,0.0495858,0.0519486,0.0536041,0.054374,0.0540617,0.0525362,0.0498862,0.0464395,0.0425534,0.0384774,0.0343562,0.03027,0.0262676,0.0223903,0.0186875,0.0152233,0.0120732,0.00931092,0.00698758,0.00511564,0.00366641,0.00258202,0.00179264,0.00123029,0.0008364,0.000564163,0.000378019,0.00025186,0.000166982,0.000110233,7.24933e-05,4.75122e-05,3.1044e-05,2.02268e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.40069,-0,-0,-0,-0,-10.8525,-10.2173,-4.81227,-9.0717,-4.27906,-4.04191,-26.7324,-14.528,-45.1714,-13.3712,-19.395,-18.8441,-24.52,-39.0527,-35.49,-38.0397,-20.3831,-37.9292,-26.5163,-32.9781,-39.9049,-18.942,-29.3192,-6.74195,-20.9856,-10.9183,-18.9956,-11.9397,-8.36986,-22.0838,-4.67657,-4.96362,-26.3773,-5.60854,-0,-0,-0,-7.0864,-7.48017,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,3,3,5,8,4,7,9,11,9,8,7,13,5,10,9,12,13,10,7,4,5,8,5,7,3,3,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-546.446,0.999482,0.0732942,6,63,0,551.384,-3.09086,-1.49073,-1.30877,-0.264989,2.96386,-0.41959,-1.75817,5.2918,2.39466,2.04654e-05,2.99714e-05,4.38613e-05,6.41274e-05,9.36406e-05,0.000136515,0.000198601,0.00028815,0.00041666,0.000599928,0.00085929,0.00122295,0.00172726,0.00241768,0.00334909,0.00458514,0.0061962,0.00825582,0.0108356,0.0139986,0.017792,0.0221808,0.0270787,0.0323417,0.0377666,0.0430961,0.0480342,0.0522715,0.0555201,0.057552,0.0582334,0.0575438,0.0555757,0.0525144,0.048606,0.0441221,0.0393293,0.0344657,0.0297278,0.0252643,0.0211769,0.0175246,0.0143304,0.0115896,0.00927761,0.00735699,0.00578334,0.00450991,0.00349097,0.00268393,0.00205059,0.00155772,0.00117707,0.000885114,0.000662588,0.000493951,0.00036682,0.000271434,0.000200179,0.000147162,0.00010786,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.4187,-0,-0,-0,-0,-11.3981,-10.7699,-5.08382,-9.59367,-4.52492,-4.2688,-28.2031,-15.2341,-46.9171,-13.7256,-19.658,-18.8659,-24.2867,-38.367,-34.6921,-37.1159,-19.9031,-37.1177,-26.0101,-32.4134,-39.3121,-18.7248,-29.1221,-6.73558,-21.094,-11.0351,-19.2742,-12.1325,-8.49075,-22.2882,-4.68015,-4.9121,-25.7639,-5.40148,-0,-0,-0,-6.46453,-6.74472,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,1,1,4,6,9,1,8,13,13,6,12,11,11,11,12,9,14,10,4,5,3,6,8,4,1,3,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
