# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 21:15:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c277d7067d.json
# init = /tmp/RtmpC8O1hA/init-b41c28ffe90_2.json
# random
#   seed = 3152006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0305_rep031_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605302215-2-6f9159.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0305_rep031_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605302215-2-74f649.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.115316
# Diagonal elements of inverse mass matrix:
# 0.0784194, 0.0940757, 0.0344908, 0.0120892, 0.0483174, 0.0185086, 0.055326
-547.839,0.996354,0.115316,5,63,0,551.45,-2.17893,-2.51233,-1.38706,-0.0292008,4.45987,-0.0855103,-0.643835,5.39896,2.09885,7.67684e-06,1.2451e-05,2.01717e-05,3.2624e-05,5.26278e-05,8.45745e-05,0.000135171,0.000214401,0.000336652,0.000521906,0.000796811,0.00119544,0.00175955,0.00253802,0.00358538,0.00495903,0.00671508,0.00890285,0.0115585,0.0146983,0.0183128,0.0223493,0.0267196,0.0313015,0.0359433,0.0404706,0.0446949,0.0484239,0.0514731,0.0536784,0.0549114,0.0550951,0.0542168,0.0523329,0.0495615,0.0460657,0.0420327,0.037656,0.0331225,0.0286035,0.0242474,0.0201753,0.0164774,0.013211,0.010402,0.0080479,0.00612303,0.00458545,0.00338378,0.0024634,0.00177133,0.00125953,0.00088665,0.000618564,0.000428078,0.000294129,0.0002008,0.000136297,9.20372e-05,6.18605e-05,4.14023e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.55802,-0,-0,-0,-0,-11.2618,-10.6131,-5.0034,-9.44277,-4.46033,-4.22002,-28.0011,-15.2038,-47.0907,-13.8564,-19.9549,-19.2431,-24.8632,-39.3609,-35.6003,-38.0217,-20.3142,-37.683,-26.2329,-32.4514,-39.059,-18.4661,-28.5238,-6.55853,-20.4452,-10.6627,-18.5972,-11.7099,-8.21154,-21.6335,-4.56575,-4.82234,-25.4785,-5.38487,-0,-0,-0,-6.67702,-7.02806,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,5,2,3,3,3,7,5,6,10,7,8,9,12,13,19,11,10,15,6,10,8,4,2,3,2,2,1,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-548.06,0.998763,0.115316,5,31,0,551.216,-1.04074,-1.32066,-0.99486,-1.0609,3.39715,0.459959,-1.17651,5.30053,3.17416,0.000127599,0.000153359,0.000184714,0.000223053,0.000270192,0.000328539,0.000401345,0.000493084,0.00061006,0.000761377,0.00096052,0.00122794,0.00159506,0.0021099,0.00284338,0.00389391,0.0053878,0.00747301,0.0103055,0.0140277,0.0187421,0.0243652,0.0306865,0.0373627,0.0439357,0.0498769,0.054661,0.057867,0.0592766,0.0589129,0.0569969,0.0538653,0.0498937,0.045442,0.0408173,0.0362567,0.0319241,0.0279186,0.0242884,0.0210458,0.0181798,0.0156665,0.0134752,0.0115729,0.00992711,0.00850682,0.00728364,0.00623193,0.00532881,0.0045541,0.00389009,0.00332133,0.00283433,0.00241739,0.00206033,0.00175426,0.00149149,0.00126533,0.0010701,0.000900992,0.000754015,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.18038,-0,-0,-0,-0,-11.7255,-11.0967,-5.22362,-9.79292,-4.57508,-4.26672,-27.8389,-14.8584,-45.2911,-13.1483,-18.7502,-17.9892,-23.2528,-37.0449,-33.9065,-36.812,-20.0533,-37.9765,-26.9807,-34.0045,-41.5825,-19.9028,-30.9995,-7.15692,-22.3065,-11.5832,-20.0372,-12.4687,-8.61381,-22.2954,-4.61249,-4.76689,-24.6106,-5.07807,-0,-0,-0,-5.70739,-5.86595,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,5,3,7,2,5,12,10,10,14,9,9,7,12,8,8,7,8,7,5,6,4,8,3,5,1,3,1,2,1,0,3,1,0,2,1,0,0,0,1,0,1,1
-548.612,0.999423,0.115316,5,31,0,551.693,-0.766797,-1.40563,-1.30095,-0.95607,4.17545,0.304027,-1.7122,5.34483,2.99427,0.000111564,0.000136808,0.000168203,0.000207469,0.000256922,0.000319735,0.000400343,0.000505078,0.000643157,0.000828195,0.00108037,0.00142914,0.00191601,0.00259635,0.00353952,0.00482679,0.00654685,0.00878923,0.0116356,0.0151499,0.0193681,0.024181,0.0294203,0.0348622,0.0402369,0.0452451,0.04958,0.0529559,0.0551429,0.0560053,0.0555296,0.0538261,0.0510988,0.0476005,0.0435939,0.0393246,0.0350041,0.0308011,0.0268385,0.0231957,0.0199144,0.0170062,0.0144615,0.0122567,0.010361,0.00874063,0.00736168,0.00619219,0.00520295,0.00436785,0.00366396,0.00307135,0.00257279,0.00215354,0.00180098,0.00150438,0.00125465,0.00104413,0.000866404,0.00071611,0.000588805,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.09626,-0,-0,-0,-0,-11.2875,-10.6671,-5.02877,-9.46846,-4.45368,-4.18976,-27.6089,-14.8888,-45.8389,-13.4254,-19.2778,-18.574,-24.0333,-38.1979,-34.7739,-37.47,-20.2359,-37.9859,-26.7659,-33.494,-40.7269,-19.4154,-30.1706,-6.96041,-21.7075,-11.2914,-19.5816,-12.2225,-8.47254,-22.0084,-4.5697,-4.73977,-24.5573,-5.08447,-0,-0,-0,-5.78564,-5.96276,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,4,3,3,5,3,4,10,7,6,10,19,14,7,9,10,12,9,4,9,11,6,3,2,4,2,2,2,2,1,2,4,0,1,1,0,0,2,0,0,0,0,1,0,0
-549.508,0.959296,0.115316,5,31,0,552.941,-2.04795,-1.93888,-1.42138,-0.566819,4.2367,0.553117,0.142215,5.43893,2.57312,6.05161e-05,8.04635e-05,0.00010703,0.000142445,0.000189716,0.000252919,0.000337611,0.000451419,0.000604874,0.000812546,0.00109442,0.00147725,0.00199565,0.00269284,0.00362104,0.00484136,0.00642247,0.00843789,0.010963,0.0140753,0.0178705,0.0222229,0.0269992,0.0320388,0.0371509,0.0421165,0.0466904,0.0506051,0.0535847,0.0553834,0.0558563,0.055023,0.0530515,0.0501789,0.0466463,0.0426726,0.0384504,0.0341489,0.0299145,0.02587,0.0221103,0.0186993,0.01567,0.013028,0.0107584,0.008833,0.0072161,0.0058697,0.0047564,0.00384129,0.00309289,0.00248352,0.00198925,0.0015897,0.0012677,0.00100889,0.00080139,0.000635387,0.000502849,0.000397219,0.000313164,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.11534,-0,-0,-0,-0,-11.242,-10.6611,-5.04795,-9.55005,-4.51323,-4.26333,-28.1722,-15.2265,-46.9553,-13.7632,-19.7566,-19.0039,-24.5137,-38.7881,-35.1179,-37.6152,-20.1948,-37.7001,-26.4284,-32.9138,-39.8471,-18.9252,-29.3255,-6.75405,-21.0565,-10.964,-19.0586,-11.9378,-8.31202,-21.7033,-4.53207,-4.72926,-24.6572,-5.13795,-0,-0,-0,-5.99808,-6.22,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,3,7,6,12,7,10,13,10,16,10,10,8,8,9,11,8,11,6,3,6,4,1,1,1,1,2,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0
-550.195,0.995907,0.115316,4,15,0,553.343,-2.00669,-1.48153,-1.43865,-0.609536,4.26888,0.558943,0.139989,5.52092,2.65193,5.64416e-05,7.42048e-05,9.7615e-05,0.000128509,0.000169354,0.000223482,0.000295439,0.000391486,0.000520334,0.000694168,0.000929941,0.00125067,0.00168651,0.00227563,0.00306531,0.00411332,0.00548942,0.00727669,0.00957356,0.0125055,0.0162949,0.0207605,0.0257625,0.0311427,0.0367098,0.0422315,0.0474273,0.0519643,0.0554695,0.057587,0.0580982,0.0570368,0.0546643,0.05133,0.0473604,0.0430224,0.0385268,0.0340411,0.0296998,0.0256094,0.0218477,0.0184631,0.0154757,0.0128815,0.010659,0.00877586,0.00719446,0.00587619,0.00478391,0.0038835,0.00314446,0.00254014,0.00204759,0.0016473,0.00132281,0.00106037,0.000848553,0.000677908,0.000540652,0.000430403,0.000341934,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.2728,-0,-0,-0,-0,-11.5752,-10.987,-5.20493,-9.84616,-4.64875,-4.38158,-28.8183,-15.4988,-47.5648,-13.8767,-19.8283,-18.9875,-24.3885,-38.4436,-34.7031,-37.108,-19.9193,-37.2328,-26.1589,-32.6643,-39.6496,-18.8762,-29.3076,-6.76037,-21.0997,-10.9944,-19.1183,-11.9759,-8.33697,-21.7598,-4.54135,-4.73575,-24.6722,-5.13685,-0,-0,-0,-5.97554,-6.19109,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,6,6,4,8,9,9,11,11,13,13,15,7,9,5,9,9,11,8,7,3,3,0,1,1,1,3,0,1,1,2,1,1,0,0,0,1,0,1,1,0
-551.738,0.983149,0.115316,5,31,0,555.117,-1.97147,-1.26542,-1.75484,-0.479103,3.56617,0.422225,0.0552442,4.91514,2.44493,3.87305e-05,5.28487e-05,7.2143e-05,9.85366e-05,0.000134688,0.000184293,0.00025251,0.000346598,0.000476819,0.000657718,0.00090977,0.00126118,0.00174941,0.00242218,0.0033383,0.00456876,0.00619861,0.00832997,0.011089,0.0146503,0.0193506,0.0248666,0.0309555,0.0373642,0.0437998,0.0499131,0.0552924,0.0594792,0.0620333,0.0626625,0.0613586,0.0584102,0.0542656,0.049378,0.0441268,0.0388031,0.0336222,0.028739,0.0242592,0.020246,0.0167259,0.013695,0.0111267,0.00897973,0.00720517,0.00575231,0.00457228,0.00362026,0.00285661,0.00224709,0.00176268,0.00137917,0.00107658,0.000838552,0.000651828,0.000505713,0.000391631,0.000302743,0.00023361,0.00017993,0.000138301,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.32673,-0,-0,-0,-0,-11.4046,-10.777,-5.08343,-9.57579,-4.5018,-4.22329,-27.6152,-14.7769,-45.1776,-13.1482,-18.7688,-17.9848,-23.161,-36.6877,-33.361,-36.0099,-19.5371,-36.9234,-26.2248,-33.0907,-40.5689,-19.4955,-30.5331,-7.099,-22.3138,-11.6994,-20.454,-12.8722,-8.99681,-23.5639,-4.93296,-5.15815,-26.9387,-5.62121,-0,-0,-0,-6.58627,-6.83397,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,1,4,4,2,5,5,6,7,7,10,18,13,14,12,9,11,9,11,9,6,5,2,8,4,0,2,1,1,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
