# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 21:36:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c222023728.json
# init = /tmp/RtmpC8O1hA/init-b41c252ae6ae9_4.json
# random
#   seed = 3152009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0308_rep031_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605302236-4-51591b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0308_rep031_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605302236-4-6dc6db.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0983411
# Diagonal elements of inverse mass matrix:
# 0.128759, 0.0493652, 0.0386046, 0.0132238, 0.0387528, 0.0465994, 0.0952679
-547.272,0.951362,0.0983411,4,31,0,552.705,-1.19274,-2.49047,-1.00384,-0.905317,4.12846,0.628984,-0.865263,5.41247,2.84873,0.000249193,0.000306017,0.000376073,0.000462585,0.000569635,0.000702434,0.000867692,0.00107414,0.00133328,0.00166043,0.0020762,0.00260815,0.00329235,0.00417385,0.00530572,0.00674652,0.00855584,0.0107878,0.013482,0.0166537,0.0202835,0.0242987,0.0285809,0.0329713,0.0372809,0.0413035,0.0448303,0.0476658,0.0496472,0.0506676,0.0506938,0.0497674,0.0479878,0.045495,0.0424531,0.0390376,0.0354212,0.0317613,0.0281889,0.0248025,0.0216664,0.0188152,0.0162598,0.013995,0.0120052,0.010269,0.00876253,0.00746118,0.00634123,0.00538041,0.00455827,0.00385637,0.00325826,0.00274941,0.00231706,0.00195011,0.00163895,0.00137528,0.00115201,0.000963061,0.000803279,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.40068,-0,-0,-0,-0,-10.4779,-9.99746,-4.76114,-9.05868,-4.3064,-4.09512,-27.2856,-14.8693,-46.2152,-13.6485,-19.7356,-19.1209,-24.839,-39.566,-36.0337,-38.7721,-20.8737,-39.0051,-27.3313,-33.9917,-41.0716,-19.4594,-30.064,-6.89901,-21.413,-11.0904,-19.16,-11.9193,-8.23812,-21.3453,-4.42241,-4.57862,-23.6864,-4.89804,-0,-0,-0,-5.55803,-5.72656,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,3,0,0,0,0,0,1,2,1,3,3,2,1,6,4,2,3,2,7,10,7,8,7,9,14,12,11,13,6,3,5,7,5,7,5,4,4,3,3,2,3,1,1,2,2,1,0,1,2,0,0,1,0,1,0,0
-550.256,0.989074,0.0983411,4,15,0,553.708,-1.23723,-2.64086,-0.429747,-0.833765,4.64783,0.385716,-1.31396,5.63142,2.62396,5.37356e-05,6.71886e-05,8.41412e-05,0.00010558,0.000132814,0.000167609,0.00021239,0.000270561,0.000347031,0.000449073,0.000587734,0.000780044,0.00105214,0.0014431,0.00200893,0.00282567,0.00399025,0.00561711,0.00782877,0.0107393,0.0144316,0.0189297,0.0241759,0.030016,0.0361981,0.0423877,0.0481973,0.0532277,0.0571163,0.0595847,0.0604775,0.0597818,0.0576208,0.0542278,0.0499086,0.0450002,0.0398307,0.0346871,0.0297931,0.0253,0.0212904,0.0177904,0.0147862,0.0122398,0.0101013,0.00831726,0.00683634,0.00561145,0.00460106,0.00376928,0.00308559,0.00252427,0.0020638,0.00168624,0.00137672,0.00112292,0.000914693,0.000743703,0.000603145,0.000487488,0.000392266,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.70833,-0,-0,-0,-0,-12.4203,-11.738,-5.5239,-10.3639,-4.84995,-4.53384,-29.6683,-15.8681,-48.3912,-14.0241,-19.9125,-18.9654,-24.2596,-38.1313,-34.352,-36.6646,-19.6384,-36.6217,-25.6849,-32.0602,-38.9683,-18.6065,-29.008,-6.72277,-21.0809,-11.0309,-19.2475,-12.0873,-8.42812,-22.0153,-4.59509,-4.78942,-24.9275,-5.18295,-0,-0,-0,-5.9818,-6.18321,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,2,4,3,5,4,5,8,7,12,10,13,7,7,9,18,18,7,6,13,7,2,7,4,4,1,2,1,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0
-550.636,0.999955,0.0983411,5,63,0,554.154,-1.40045,-1.41551,-1.13796,-0.78533,3.22117,0.830225,-0.108337,4.83398,2.76693,0.000109318,0.000137641,0.00017341,0.000218649,0.000275967,0.00034876,0.000441479,0.000560031,0.000712367,0.000909378,0.00116633,0.00150514,0.0019581,0.0025731,0.0034195,0.00459292,0.00621802,0.00844881,0.0114655,0.0154695,0.020687,0.026905,0.033831,0.0410688,0.0481179,0.0543864,0.0592366,0.0621194,0.0628046,0.0614714,0.0585316,0.0544446,0.049639,0.0444885,0.0393006,0.0343072,0.029663,0.0254532,0.0217089,0.0184253,0.0155762,0.013124,0.0110266,0.009242,0.00772977,0.00645283,0.00537778,0.00447502,0.00371864,0.00308615,0.0025582,0.00211819,0.001752,0.00144761,0.00119485,0.000985144,0.00081126,0.000667129,0.000547667,0.00044862,0.000366422,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.00275,-0,-0,-0,-0,-11.3565,-10.7665,-5.0803,-9.54746,-4.46841,-4.16889,-27.1477,-14.4618,-44.0229,-12.77,-18.2046,-17.4699,-22.6097,-36.1231,-33.2127,-36.2594,-19.8673,-37.8374,-27.0268,-34.2378,-42.0747,-20.2344,-31.6607,-7.34183,-22.9802,-11.9821,-20.8101,-12.9999,-9.01488,-23.42,-4.86268,-5.04324,-26.1274,-5.40924,-0,-0,-0,-6.15719,-6.347,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,3,0,4,6,5,5,8,7,11,14,15,12,17,4,8,13,7,11,6,3,3,10,4,4,6,1,1,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
-547.388,0.996479,0.0983411,5,31,0,553.144,-1.32086,-1.84663,-1.31473,-0.861088,4.03569,0.507892,-0.266816,5.49614,2.97337,0.000174513,0.000216337,0.000268412,0.000333373,0.000414608,0.0005165,0.000644795,0.000807111,0.0010137,0.00127855,0.0016209,0.00206705,0.00265218,0.00342132,0.00442933,0.00573959,0.00742128,0.00954493,0.0121763,0.0153692,0.0191578,0.0234384,0.0280691,0.0328709,0.0376324,0.0421183,0.0460798,0.0492721,0.0514813,0.0525654,0.052493,0.0513464,0.0492855,0.046505,0.043206,0.0395803,0.0358017,0.0320196,0.0283543,0.024895,0.0217003,0.0188012,0.0162074,0.0139127,0.0119006,0.010149,0.00863283,0.00732671,0.00620592,0.00524732,0.00442972,0.00373405,0.00314331,0.00264256,0.00221871,0.00186039,0.00155777,0.00130239,0.00108701,0.000905442,0.000752405,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.66203,-0,-0,-0,-0,-10.839,-10.3207,-4.9034,-9.30349,-4.40826,-4.17539,-27.6853,-15.0135,-46.4501,-13.6607,-19.6793,-19.0036,-24.619,-39.1352,-35.5984,-38.2941,-20.6295,-38.5991,-27.0911,-33.7502,-40.8431,-19.3765,-29.9678,-6.88282,-21.3779,-11.0793,-19.1522,-11.9215,-8.24457,-21.3748,-4.43116,-4.59038,-23.7609,-4.91623,-0,-0,-0,-5.59026,-5.76248,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,2,0,1,4,0,5,2,13,5,8,15,11,7,14,8,12,8,11,10,6,8,7,7,2,4,1,5,2,6,3,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0
-547.784,0.995525,0.0983411,4,15,0,550.022,-1.43367,-1.23279,-1.46937,-0.732098,3.81427,0.452318,-0.24962,5.22041,2.77777,7.80939e-05,9.96463e-05,0.000127262,0.000162722,0.000208375,0.000267358,0.000343903,0.000443809,0.000575151,0.000749358,0.000982777,0.00129877,0.00173015,0.00232156,0.00313165,0.0042351,0.00572432,0.00771094,0.0103277,0.0137328,0.0181246,0.0233224,0.0291211,0.0352721,0.0414743,0.047372,0.052563,0.0566259,0.0591839,0.0600069,0.0591018,0.0567037,0.053173,0.0488885,0.044188,0.0393478,0.0345823,0.0300487,0.0258526,0.0220561,0.0186843,0.015735,0.0131866,0.0110061,0.00915499,0.00759332,0.00628254,0.0051869,0.00427426,0.00351629,0.00288834,0.00236923,0.0019409,0.00158804,0.00129778,0.00105929,0.000863521,0.000702954,0.000571318,0.000463411,0.000374914,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.19629,-0,-0,-0,-0,-11.5324,-10.9287,-5.16303,-9.73023,-4.57293,-4.28797,-28.0734,-15.0334,-45.9718,-13.3787,-19.0961,-18.2983,-23.5659,-37.3267,-33.9253,-36.5728,-19.7995,-37.3089,-26.4078,-33.2003,-40.5509,-19.4119,-30.2797,-7.00988,-21.9321,-11.4425,-19.9004,-12.4556,-8.65711,-22.5465,-4.69346,-4.88049,-25.3499,-5.26162,-0,-0,-0,-6.04519,-6.24461,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,1,1,1,5,2,4,5,12,10,12,10,12,8,13,8,12,14,11,6,13,8,4,1,3,2,3,2,2,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
-546.629,0.999127,0.0983411,5,31,0,550.36,-0.841974,-1.49662,-1.0382,-0.90683,4.23515,0.442322,-1.06599,5.30032,2.8461,7.48877e-05,9.25164e-05,0.00011455,0.000142226,0.000177206,0.000221763,0.000279074,0.000353695,0.000452346,0.000585206,0.000768016,0.00102521,0.00139391,0.00192778,0.00269968,0.0038016,0.00534146,0.0074358,0.0101984,0.0137254,0.0180776,0.0231836,0.0288891,0.0349552,0.0410689,0.0468633,0.0519478,0.0559468,0.0585495,0.0595674,0.0589791,0.0569309,0.053688,0.0495731,0.0449166,0.0400226,0.0351476,0.0304886,0.0261797,0.0222971,0.0188695,0.0158906,0.0133321,0.011154,0.00931171,0.00776082,0.00645988,0.00537148,0.00446274,0.00370515,0.00307432,0.00254948,0.00211309,0.00175032,0.00144872,0.00119784,0.00098892,0.000814695,0.000669136,0.00054729,0.000445105,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.44355,-0,-0,-0,-0,-11.8292,-11.1447,-5.23226,-9.8029,-4.58552,-4.28851,-28.0916,-15.0572,-46.0758,-13.4148,-19.155,-18.3631,-23.6601,-37.4836,-34.0546,-36.6684,-19.814,-37.2569,-26.3211,-33.0474,-40.3383,-19.3099,-30.1338,-6.98081,-21.8566,-11.4099,-19.8511,-12.4261,-8.63516,-22.4798,-4.67648,-4.85867,-25.2107,-5.22665,-0,-0,-0,-5.97186,-6.1596,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,4,6,4,4,8,6,14,11,10,12,9,10,13,8,10,6,11,8,8,4,3,6,5,2,3,2,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0
