# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 21:42:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c24310dc6b.json
# init = /tmp/RtmpC8O1hA/init-b41c23602169b_1.json
# random
#   seed = 3152010
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0309_rep031_badly_wrong_strong/prior_sensitivity_obspair_FAST-202605302242-1-3ea290.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0309_rep031_badly_wrong_strong/prior_sensitivity_obspair_FAST-profile-202605302242-1-79fc78.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.126674
# Diagonal elements of inverse mass matrix:
# 0.0590705, 0.0416994, 0.00751404, 0.00382483, 0.00793971, 0.00533966, 0.0138542
-547.988,0.975071,0.126674,4,31,0,553.871,-0.756836,-2.80234,-0.986128,-0.834936,4.46947,0.625646,-0.577839,5.28448,2.7124,0.000233114,0.00029035,0.000361871,0.000451375,0.000563589,0.000704604,0.000882328,0.00110714,0.00139278,0.00175758,0.00222595,0.0028296,0.00360788,0.00460666,0.005876,0.00746676,0.00942596,0.0117908,0.0145814,0.0177933,0.0213904,0.0252899,0.0293743,0.0334973,0.0374934,0.0411886,0.0444113,0.0470029,0.0488303,0.0497995,0.0498699,0.0490625,0.0474517,0.0451509,0.042298,0.0390435,0.0355408,0.0319368,0.0283631,0.0249286,0.021714,0.018771,0.0161245,0.0137786,0.0117226,0.00993681,0.00839682,0.00707644,0.0059497,0.00499196,0.00418055,0.00349503,0.00291724,0.00243121,0.00202308,0.00168085,0.00139425,0.0011545,0.000954144,0.000786879,0.000647385,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.34382,-0,-0,-0,-0,-10.2738,-9.79459,-4.66429,-8.88087,-4.22801,-4.02893,-26.9137,-14.7094,-45.8592,-13.5852,-19.7015,-19.1376,-24.9141,-39.7481,-36.2328,-38.9968,-20.9884,-39.1906,-27.4324,-34.0752,-41.1192,-19.4585,-30.0337,-6.888,-21.376,-11.0752,-19.149,-11.9263,-8.25483,-21.4232,-4.44624,-4.61151,-23.8995,-4.95098,-0,-0,-0,-5.65641,-5.83712,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4,2,1,1,3,3,1,4,5,8,5,7,12,6,11,13,17,10,8,10,13,10,2,5,5,2,5,0,5,1,3,2,3,3,1,1,2,0,0,1,0,0,0,0,0,0,0
-549.896,0.995376,0.126674,4,15,0,551.455,-0.709143,-3.3164,-0.894452,-0.857582,4.58319,0.678113,-0.601938,5.39464,2.73281,0.000281416,0.000348591,0.000432001,0.000535684,0.000664739,0.000825641,0.00102667,0.00127847,0.00159484,0.00199373,0.00249834,0.00313788,0.00394751,0.00496717,0.00623967,0.00780794,0.00971127,0.0119802,0.0146304,0.0176554,0.0210207,0.024656,0.0284603,0.0323069,0.0360512,0.0395395,0.0426177,0.0451417,0.0469879,0.0480653,0.0483274,0.0477797,0.0464758,0.0445071,0.0419905,0.0390577,0.0358456,0.0324881,0.0291089,0.0258141,0.0226872,0.019786,0.017144,0.0147738,0.012673,0.0108286,0.00922168,0.00783045,0.00663215,0.00560445,0.00472626,0.00397817,0.00334256,0.00280375,0.00234789,0.00196285,0.00163813,0.00136462,0.00113454,0.000941222,0.000778998,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.21775,-0,-0,-0,-0,-10.1537,-9.70523,-4.63447,-8.84899,-4.22465,-4.03672,-27.0357,-14.8109,-46.2702,-13.7299,-19.9369,-19.3827,-25.2439,-40.2733,-36.6944,-39.4575,-21.2083,-39.535,-27.6194,-34.2332,-41.214,-19.4563,-29.9568,-6.85376,-21.2203,-10.9705,-18.9298,-11.7683,-8.13222,-21.0745,-4.36828,-4.52557,-23.431,-4.84973,-0,-0,-0,-5.52693,-5.70102,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,2,3,6,4,3,3,3,4,6,6,10,10,7,13,11,12,9,13,8,10,8,5,2,8,5,4,1,6,2,2,1,1,2,0,1,1,0,0,1,0,0,0,1,0
-548.132,0.999994,0.126674,4,31,0,551.62,-0.813285,-2.94851,-0.8633,-0.812018,4.69936,0.716506,-0.672445,5.4252,2.64267,0.000186895,0.000233967,0.00029309,0.000367466,0.000461211,0.000579664,0.000729806,0.000920878,0.00116524,0.00147961,0.0018865,0.00241562,0.00310437,0.00399733,0.00514475,0.00660006,0.00841588,0.0106383,0.0132995,0.0164083,0.019942,0.0238345,0.0279802,0.0322396,0.0364471,0.0404225,0.0439816,0.0469483,0.0491677,0.0505205,0.0509389,0.0504186,0.0490176,0.0468422,0.0440311,0.040742,0.0371392,0.0333837,0.0296232,0.025984,0.0225638,0.0194282,0.0166112,0.0141214,0.0119484,0.0100705,0.00846028,0.00708787,0.00592394,0.00494077,0.00411307,0.00341821,0.00283623,0.00234976,0.00194382,0.00160555,0.00132401,0.00108995,0.000895544,0.000734227,0.000600503,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51598,-0,-0,-0,-0,-10.5396,-10.0414,-4.77763,-9.08658,-4.32003,-4.10997,-27.4045,-14.9465,-46.4913,-13.7382,-19.8714,-19.2502,-24.9919,-39.7632,-36.1502,-38.8099,-20.8399,-38.8361,-27.1402,-33.6707,-40.5972,-19.203,-29.6377,-6.79938,-21.1152,-10.9508,-18.957,-11.8231,-8.19535,-21.3003,-4.42716,-4.59814,-23.8619,-4.94937,-0,-0,-0,-5.67864,-5.86528,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,3,1,0,2,2,2,6,6,7,7,2,9,13,13,13,6,5,10,9,11,8,11,8,7,2,3,6,6,5,1,4,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0
-548.153,0.997668,0.126674,4,15,0,550.41,-0.463589,-2.84952,-0.897734,-0.740302,4.53651,0.679186,-0.783416,5.06438,2.53034,0.000163993,0.000208648,0.000265631,0.000338455,0.000431698,0.000551376,0.000705461,0.000904632,0.00116335,0.00150134,0.00194543,0.00253102,0.00330232,0.00431094,0.00561318,0.00726641,0.00932415,0.0118296,0.0148073,0.0182539,0.0221297,0.0263435,0.0307628,0.0352215,0.039531,0.0434933,0.046914,0.0496149,0.0514484,0.0523125,0.0521669,0.0510423,0.0490325,0.0462763,0.0429399,0.0392022,0.035242,0.0312277,0.0273074,0.0236001,0.0201903,0.0171266,0.014426,0.0120816,0.0100704,0.00836122,0.00691924,0.00570983,0.00470031,0.00386096,0.00316538,0.00259055,0.00211664,0.00172671,0.00140643,0.00114375,0.000928591,0.000752553,0.000608675,0.000491202,0.000395393,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.50139,-0,-0,-0,-0,-10.3653,-9.84899,-4.67515,-8.8743,-4.21263,-4.00337,-26.6758,-14.5461,-45.2588,-13.3844,-19.384,-18.8109,-24.4755,-39.045,-35.6061,-38.3568,-20.6732,-38.6763,-27.1375,-33.8044,-40.9234,-19.4341,-30.1097,-6.9329,-21.6036,-11.2395,-19.5128,-12.2014,-8.47744,-22.0804,-4.59815,-4.78415,-24.8672,-5.16557,-0,-0,-0,-5.95589,-6.15793,-0,-0,-0,-0,-0,-0,-0,-0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,0,1,0,3,4,1,7,5,4,10,4,5,9,11,20,15,8,11,8,8,8,10,8,4,4,4,3,5,1,2,1,0,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0
-550.115,0.993377,0.126674,4,31,0,553.151,-0.453654,-3.72987,-0.904808,-0.760402,4.34828,0.669846,-0.605184,4.96763,2.55166,0.000248431,0.000314148,0.000397349,0.000502747,0.000636362,0.000805904,0.00102128,0.00129528,0.00164444,0.00209015,0.00265983,0.00338765,0.00431403,0.00548379,0.00694334,0.00873726,0.0109038,0.0134689,0.0164394,0.0197955,0.0234845,0.0274138,0.0314586,0.0354693,0.0392814,0.0427255,0.045638,0.0478728,0.0493137,0.0498876,0.0495759,0.0484174,0.0464994,0.0439441,0.0408947,0.0375034,0.0339208,0.0302881,0.0267285,0.0233414,0.020198,0.0173414,0.0147898,0.0125424,0.0105851,0.00889612,0.00744962,0.00621852,0.00517625,0.00429779,0.00356025,0.00294308,0.00242815,0.0019996,0.00164373,0.0013488,0.0011048,0.000903261,0.000737028,0.000600111,0.000487501,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.17052,-0,-0,-0,-0,-9.93994,-9.48032,-4.51865,-8.61474,-4.10807,-3.9223,-26.2599,-14.3868,-44.9681,-13.3563,-19.422,-18.9178,-24.6961,-39.5097,-36.1146,-38.9738,-21.0297,-39.3626,-27.6148,-34.3732,-41.5578,-19.6999,-30.4535,-6.994,-21.7321,-11.2726,-19.5109,-12.164,-8.42763,-21.8932,-4.54831,-4.72214,-24.498,-5.08022,-0,-0,-0,-5.8283,-6.02063,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,4,3,4,9,5,5,7,4,4,7,9,12,9,10,16,7,9,11,6,7,8,4,6,1,3,5,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
-548.94,0.999648,0.126674,5,31,0,551.908,-1.04516,-2.04145,-0.659913,-0.72265,4.57335,0.672735,-0.445588,5.31375,2.44668,4.11207e-05,5.26264e-05,6.74276e-05,8.65185e-05,0.000111227,0.000143352,0.000185371,0.000240775,0.000314624,0.000414506,0.0005522,0.000746399,0.0010266,0.00143776,0.00204475,0.00293555,0.00422125,0.00603127,0.00850171,0.0117562,0.0158801,0.0208695,0.0266252,0.0329432,0.0395233,0.04599,0.0519245,0.0569026,0.0605372,0.0625321,0.0627457,0.0612282,0.0581952,0.0539641,0.0489,0.0433743,0.0377316,0.032262,0.0271825,0.0226288,0.0186613,0.0152799,0.0124451,0.0100967,0.00816753,0.0065924,0.00531191,0.00427428,0.0034355,0.00275872,0.00221348,0.00177471,0.00142196,0.00113856,0.000910975,0.000728234,0.000581481,0.000463576,0.000368786,0.000292521,0.000231123,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.78842,-0,-0,-0,-0,-12.385,-11.6617,-5.46762,-10.2216,-4.76749,-4.44338,-28.9988,-15.4779,-47.1367,-13.6519,-19.3852,-18.476,-23.6637,-37.2634,-33.654,-36.037,-19.3807,-36.3109,-25.5956,-32.1138,-39.2337,-18.8273,-29.4953,-6.86773,-21.6311,-11.3656,-19.9065,-12.5436,-8.77285,-22.9778,-4.80759,-5.02184,-26.189,-5.45514,-0,-0,-0,-6.33412,-6.55572,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,1,4,4,7,5,2,9,11,13,18,15,16,19,9,12,6,8,5,7,2,7,3,1,3,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
