# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 21:46:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c22a964c2c.json
# init = /tmp/RtmpC8O1hA/init-b41c248ca0477_1.json
# random
#   seed = 3152011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0310_rep031_manuscript_default/prior_sensitivity_obspair_FAST-202605302246-1-4bb1c5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0310_rep031_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605302246-1-579d5f.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0406104
# Diagonal elements of inverse mass matrix:
# 0.0875936, 0.0703705, 0.124381, 0.239195, 0.221633, 0.166643, 1.53978
-545.363,0.999921,0.0406104,7,127,0,547.822,-2.96315,-2.01456,-1.40356,-0.00539342,2.89809,-0.725648,-1.4615,5.37621,2.35455,1.67513e-05,2.6803e-05,4.26171e-05,6.7259e-05,0.000105231,0.000163004,0.000249663,0.000377629,0.000563418,0.000828341,0.00119903,0.00170767,0.00239176,0.00329331,0.00445733,0.00592966,0.00775405,0.00996881,0.012603,0.0156729,0.0191785,0.0230643,0.0272442,0.0316009,0.0359882,0.0402362,0.0441604,0.0475729,0.0502977,0.0521866,0.0531348,0.0530924,0.0520709,0.0501413,0.0474253,0.0440809,0.0402853,0.0362186,0.0320502,0.0279285,0.0239755,0.0202842,0.0169185,0.0139164,0.0112922,0.00904199,0.0071469,0.00557818,0.0043008,0.00327689,0.00246838,0.00183906,0.00135586,0.000989644,0.000715491,0.000512632,0.000364166,0.000256626,0.00017948,0.000124637,8.59782e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.09609,-0,-0,-0,-0,-10.8264,-10.2556,-4.85954,-9.21659,-4.37382,-4.15582,-27.6778,-15.0779,-46.8379,-13.8183,-19.9474,-19.2779,-24.9594,-39.5914,-35.8776,-38.3881,-20.5445,-38.1644,-26.5963,-32.922,-39.6318,-18.7304,-28.9059,-6.63636,-20.6427,-10.7343,-18.6536,-11.6937,-8.15869,-21.3735,-4.48364,-4.70588,-24.7054,-5.18889,-0,-0,-0,-6.2985,-6.60332,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,4,4,5,7,8,6,7,10,11,8,17,9,7,19,7,11,6,4,7,4,4,5,2,4,3,2,0,3,1,1,3,2,0,0,0,0,1,0,0,0,0,0
-546.414,0.998146,0.0406104,7,127,0,548.993,-0.828284,-2.12063,-1.66697,-0.0864316,4.34723,-0.341001,-1.90303,4.8567,2.30408,3.33025e-05,5.20879e-05,8.11333e-05,0.00012569,0.00019336,0.000294862,0.00044485,0.000662662,0.000972827,0.00140517,0.00199436,0.00277884,0.00379906,0.00509527,0.0067047,0.00865863,0.0109793,0.0136772,0.0167486,0.0201737,0.0239165,0.0278713,0.0319145,0.0359089,0.0397088,0.0431671,0.0461419,0.0485046,0.0501479,0.0509933,0.0509983,0.0501617,0.0485263,0.0461765,0.0432312,0.039832,0.0361302,0.0322734,0.0283967,0.0246161,0.0210254,0.017696,0.0146768,0.0119962,0.00966395,0.0076744,0.00600932,0.00464144,0.0035377,0.00266236,0.00197951,0.0014551,0.00105824,0.000762015,0.000543693,0.000384664,0.000270059,0.000188269,0.000130413,8.98129e-05,6.15257e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5676,-0,-0,-0,-0,-10.0099,-9.4984,-4.51174,-8.58404,-4.08944,-3.90337,-26.1323,-14.3206,-44.781,-13.3071,-19.3571,-18.8561,-24.6083,-39.3393,-35.9133,-38.6888,-20.8317,-38.9025,-27.2308,-33.8281,-40.8355,-19.3385,-29.8856,-6.86702,-21.3689,-11.1131,-19.3101,-12.1032,-8.44297,-22.1158,-4.63935,-4.86987,-25.5722,-5.37273,-0,-0,-0,-6.53268,-6.85114,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,5,1,4,4,3,8,5,8,7,7,11,6,6,13,12,7,8,9,12,6,7,6,5,8,5,2,5,2,2,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
-549.611,0.99129,0.0406104,6,63,0,552.761,-1.07339,-0.872557,-2.20961,-0.687302,4.68802,1.75955,0.144374,5.08567,2.75447,7.42036e-05,9.57053e-05,0.000123547,0.000159673,0.00020668,0.000268067,0.000348635,0.00045509,0.000597078,0.000788968,0.00105256,0.00141687,0.00191527,0.00258641,0.0034763,0.00464182,0.00615771,0.00813215,0.0107405,0.0143095,0.0198351,0.0257134,0.0316011,0.0373234,0.0427607,0.0477982,0.052299,0.0560822,0.0588908,0.0603271,0.0597565,0.0568916,0.0526907,0.0479204,0.0429942,0.0381411,0.0334919,0.0291225,0.0250783,0.0213891,0.018078,0.0151614,0.0126373,0.0104824,0.00866087,0.00713256,0.00585769,0.00479916,0.00392363,0.00320178,0.0026083,0.0021215,0.00172304,0.0013975,0.00113196,0.000915679,0.000739738,0.000596759,0.000480642,0.000386332,0.00030959,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.14478,-0,-0,-0,-0,-11.3236,-10.7453,-5.09005,-9.62386,-4.53373,-4.24683,-27.4421,-14.643,-44.9093,-13.1525,-18.9128,-18.2446,-23.6062,-37.4522,-33.9849,-36.5037,-19.7223,-37.2659,-26.4898,-33.4203,-40.907,-19.5988,-30.5681,-7.07249,-22.1145,-11.5346,-20.0653,-12.567,-8.7422,-22.7903,-4.74894,-4.94308,-25.7,-5.33931,-0,-0,-0,-6.15563,-6.36366,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,0,0,2,1,8,3,9,7,9,13,7,19,12,8,9,11,11,14,7,7,6,1,7,6,5,5,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
-550.721,0.987519,0.0406104,6,63,0,553.33,-1.55209,-0.785551,-2.28847,-0.925893,3.89782,1.44811,0.314298,5.53463,3.33347,0.00016209,0.000198266,0.000242702,0.000297384,0.000364823,0.000448233,0.000551768,0.000680885,0.000842884,0.00104778,0.0013097,0.00164908,0.00209387,0.00267792,0.00344055,0.00442869,0.00570156,0.0073442,0.00951,0.012552,0.0180455,0.0238164,0.0296413,0.0353772,0.0408943,0.046043,0.0506216,0.054317,0.0565948,0.0567929,0.055083,0.052239,0.0487767,0.0449903,0.0410659,0.0371342,0.0332934,0.0296222,0.0261829,0.0230172,0.0201442,0.0175646,0.0152674,0.0132349,0.011446,0.0098783,0.00850937,0.00731776,0.0062833,0.00538739,0.00461309,0.00394511,0.00336978,0.00287493,0.00244981,0.00208497,0.00177214,0.00150406,0.00127436,0.00107738,0.000907732,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.86109,-0,-0,-0,-0,-11.3442,-10.8393,-5.16702,-9.82769,-4.65541,-4.37788,-28.104,-14.9495,-45.7416,-13.3667,-19.1806,-18.4691,-23.867,-37.8679,-34.4621,-37.2885,-20.2924,-38.375,-27.1845,-34.1144,-41.5035,-19.7593,-30.6216,-7.03846,-21.8559,-11.3145,-19.5242,-12.1256,-8.36407,-21.6245,-4.47011,-4.61741,-23.8329,-4.91745,-0,-0,-0,-5.53528,-5.69291,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,1,1,1,2,3,5,4,8,9,10,9,9,10,6,13,6,6,11,6,6,12,3,7,5,2,5,3,3,3,0,2,1,1,4,3,0,1,0,1,3,2,1,2,1,0,1
-551.371,0.999201,0.0406104,6,127,0,555.192,-1.97824,-3.82652,-1.959,0.439075,2.6314,-0.889656,0.361531,5.0896,2.43999,1.92823e-05,3.47428e-05,6.10329e-05,0.000104409,0.0001738,0.000281405,0.000443198,0.000679229,0.00101364,0.00147431,0.00209218,0.0029001,0.0039314,0.00521814,0.00678921,0.0086684,0.0108725,0.0134095,0.0162781,0.0194664,0.0229546,0.0266108,0.030322,0.0339732,0.0374471,0.0406271,0.0434018,0.0456703,0.0473467,0.0483657,0.0486869,0.0482979,0.0472168,0.0454914,0.0431963,0.0404285,0.0372993,0.0339271,0.0304287,0.0269125,0.0234735,0.0201901,0.0171232,0.0143163,0.0117965,0.00957663,0.00765677,0.0060268,0.00466843,0.00355746,0.00266596,0.00196421,0.00142248,0.00101242,0.000708098,0.000486673,0.000328717,0.000218228,0.00014243,9.14151e-05,5.77196e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.51956,-0,-0,-0,-0,-9.98484,-9.49614,-4.52152,-8.62358,-4.11794,-3.93907,-26.4197,-14.5057,-45.4465,-13.5287,-19.709,-19.2199,-25.098,-40.122,-36.6031,-39.3765,-21.1564,-39.3948,-27.477,-33.9926,-40.846,-19.2493,-29.599,-6.76708,-20.9542,-10.8455,-18.7594,-11.7077,-8.13464,-21.2318,-4.43995,-4.64843,-24.3608,-5.11154,-0,-0,-0,-6.23266,-6.55535,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,3,5,5,4,4,5,5,9,9,8,7,9,2,8,8,17,12,9,9,9,2,6,5,4,2,4,5,2,3,5,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0
-548.228,0.96921,0.0406104,7,127,0,556.425,-3.71223,-2.35266,-0.824247,-0.505641,3.20528,0.625156,-0.245078,5.1645,2.40296,3.77127e-05,5.10084e-05,6.90021e-05,9.33628e-05,0.00012636,0.000171084,0.000231758,0.000314173,0.000426305,0.000579211,0.00078833,0.00107539,0.00147111,0.00201868,0.00277763,0.00382705,0.00526712,0.00721683,0.00980514,0.0131526,0.0173434,0.0223823,0.0281726,0.0345038,0.0410562,0.0474175,0.0531138,0.0576667,0.0606877,0.0619659,0.0614867,0.0593973,0.0559626,0.0515237,0.0464523,0.0411054,0.0357864,0.0307229,0.0260635,0.0218875,0.0182217,0.0150566,0.0123605,0.0100891,0.00819343,0.00662376,0.00533295,0.00427782,0.00341989,0.00272559,0.00216608,0.00171691,0.00135757,0.00107099,0.000843108,0.000662365,0.000519356,0.00040645,0.00031749,0.000247529,0.000192604,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.45384,-0,-0,-0,-0,-11.7723,-11.1313,-5.24627,-9.86268,-4.62485,-4.33114,-28.3818,-15.1979,-46.4023,-13.4667,-19.1569,-18.2926,-23.4825,-37.09,-33.6242,-36.1552,-19.5225,-36.7056,-25.9476,-32.6228,-39.9013,-19.1497,-29.9717,-6.96549,-21.8833,-11.4655,-20.0257,-12.5878,-8.7865,-22.9815,-4.80442,-5.01709,-26.1693,-5.45431,-0,-0,-0,-6.36723,-6.60206,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,7,5,4,10,4,10,7,7,13,11,17,11,10,12,11,11,10,7,2,1,4,5,3,1,2,4,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0
