# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:00:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c26ed79a30.json
# init = /tmp/RtmpC8O1hA/init-b41c23cc19f01_4.json
# random
#   seed = 3252002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0311_rep032_accurate_weak/prior_sensitivity_obspair_FAST-202605302300-4-5b0272.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0311_rep032_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605302300-4-0bbce7.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0792382
# Diagonal elements of inverse mass matrix:
# 0.123135, 0.116751, 0.193095, 0.031301, 0.332296, 0.0825979, 0.398262
-544.41,0.918346,0.0792382,4,31,0,550.862,-2.13893,-3.66705,-0.517954,0.0717311,3.88049,-0.398566,0.193545,4.84865,1.93435,3.68604e-06,6.27364e-06,1.06563e-05,1.80515e-05,3.04685e-05,5.11824e-05,8.54502e-05,0.000141548,0.000232198,0.000376421,0.00060172,0.000946403,0.00146157,0.00221215,0.00327617,0.00474139,0.00669867,0.0092319,0.0124051,0.0162484,0.0207449,0.0258113,0.0313014,0.0370079,0.0426734,0.0480076,0.0527108,0.0565012,0.0591428,0.0604698,0.0604049,0.0589675,0.0562689,0.0524982,0.0479001,0.0427492,0.037325,0.0318887,0.0266653,0.0218309,0.0175063,0.013758,0.0106035,0.00802075,0.00596007,0.004355,0.00313243,0.00222028,0.00155254,0.00107216,0.000732014,0.000494602,0.00033104,0.000219672,0.00014464,9.45674e-05,6.14361e-05,3.9682e-05,2.54966e-05,1.63041e-05,1.03805e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.96284,-0,-0,-11.4422,-10.7029,-5.00585,-14.0553,-13.1689,-16.479,-15.5018,-7.31388,-13.8564,-19.7797,-50.4669,-24.2912,-17.6576,-34.4819,-31.1058,-25.2505,-50.5203,-33.9692,-25.8985,-26.5228,-27.3477,-25.2192,-16.4405,-6.89101,-18.122,-7.64886,-24.2712,-25.7168,-31.826,-19.3029,-5.12267,-0,-5.76595,-6.11012,-0,-0,-0,-0,-0,-0,-0,-9.2662,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,3,5,3,8,6,6,7,13,13,8,6,21,7,11,13,10,14,8,6,4,9,6,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-542.738,0.999998,0.0792382,5,63,0,550.625,-3.40885,-1.55246,-2.00268,-0.471902,2.36238,0.178263,0.122902,4.76101,2.48703,5.10737e-05,6.98037e-05,9.54194e-05,0.000130466,0.00017844,0.000244151,0.000334229,0.000457817,0.000627533,0.000860749,0.00118122,0.00162096,0.00222207,0.00303795,0.00413348,0.00558407,0.00747408,0.00989523,0.0129473,0.0167481,0.0214872,0.0269797,0.0330112,0.0393046,0.0455072,0.0511952,0.0559055,0.0592088,0.0608125,0.0606423,0.0588458,0.055722,0.0516314,0.0469287,0.0419272,0.0368849,0.0320008,0.0274181,0.0232294,0.019484,0.0161969,0.0133577,0.0109384,0.00890102,0.00720237,0.00579848,0.00464701,0.00370886,0.00294902,0.00233682,0.00184589,0.00145388,0.00114204,0.000894854,0.000699527,0.00054563,0.000424696,0.000329895,0.000255744,0.000197861,0.000152756,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.42474,-0,-0,-10.9773,-10.3757,-4.89631,-13.8471,-13.0406,-16.3579,-15.3612,-7.22534,-13.6436,-19.4185,-49.4382,-23.7769,-17.3046,-33.9202,-30.7996,-25.2249,-50.991,-34.6486,-26.6726,-27.5321,-28.5464,-26.3996,-17.21,-7.1931,-18.8117,-7.87633,-24.7376,-25.894,-31.6083,-18.8864,-4.93334,-0,-5.37153,-5.59703,-0,-0,-0,-0,-0,-0,-0,-7.51357,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,3,4,5,5,3,10,4,4,13,14,10,16,14,11,17,9,8,10,6,8,5,5,3,0,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-545.445,0.996993,0.0792382,6,63,0,548.694,0.717459,-2.88574,-1.38721,0.0584171,5.88354,0.627792,-1.92737,4.81785,2.21338,1.22466e-05,2.08287e-05,3.54421e-05,6.03384e-05,0.000102725,0.000174561,0.000294606,0.000489256,0.000790568,0.00123275,0.00184999,0.00267605,0.00374463,0.0050893,0.00674271,0.00873465,0.0110887,0.0138173,0.0169152,0.0203534,0.0240744,0.0279658,0.0319067,0.0357715,0.0394353,0.0427793,0.0456924,0.048073,0.0498299,0.0508852,0.0511783,0.050672,0.0493612,0.0472834,0.044527,0.0412257,0.0375353,0.0336102,0.029591,0.0256007,0.0217434,0.0181056,0.0147568,0.0117512,0.00912658,0.00690378,0.00508389,0.00364691,0.00255328,0.00174959,0.00117716,0.000780089,0.000510553,0.000330742,0.00021245,0.000135499,8.58998e-05,5.41745e-05,3.40122e-05,2.12688e-05,1.32527e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.92341,-0,-0,-9.99859,-9.48092,-4.50183,-12.8455,-12.2386,-15.578,-14.9064,-7.15355,-13.7798,-19.9836,-51.7295,-25.2136,-18.5149,-36.4204,-32.9905,-26.8036,-53.5039,-35.7886,-27.0773,-27.4644,-28.0049,-25.5095,-16.4124,-6.78585,-17.6014,-7.33027,-22.9707,-24.0692,-29.5123,-17.7752,-4.69656,-0,-5.28168,-5.61388,-0,-0,-0,-0,-0,-0,-0,-8.90655,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,7,4,3,5,8,7,8,10,9,13,14,6,13,6,7,9,9,3,10,9,5,5,3,2,5,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.193,0.999501,0.0792382,5,31,0,546.779,-0.775606,-2.1932,-1.2184,-0.0300782,5.48967,0.128461,-1.78406,5.1389,2.10775,8.34568e-06,1.35645e-05,2.20474e-05,3.5829e-05,5.8187e-05,9.4343e-05,0.00015245,0.000244848,0.000389422,0.000610793,0.000941041,0.00141975,0.00209332,0.0030134,0.00423454,0.00581085,0.00779183,0.0102172,0.0131114,0.0164775,0.0202924,0.0244845,0.0289482,0.0335462,0.0381164,0.0424803,0.0464531,0.0498552,0.0525226,0.0543169,0.0551354,0.0549208,0.0536715,0.0514479,0.0483723,0.044615,0.0403723,0.0358449,0.0312221,0.026673,0.0223406,0.0183385,0.0147483,0.0116191,0.00896825,0.00678492,0.00503543,0.00367015,0.00263091,0.00185782,0.00129449,0.000891475,0.000607711,0.00041064,0.000275375,0.000183456,0.000121523,8.00984e-05,5.25633e-05,3.43596e-05,2.23817e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55727,-0,-0,-10.929,-10.2961,-4.85468,-13.751,-13.0028,-16.423,-15.59,-7.41943,-14.169,-20.369,-52.2738,-25.2697,-18.4159,-35.9836,-32.4116,-26.2163,-52.1633,-34.8223,-26.3239,-26.7047,-27.2594,-24.8775,-16.0481,-6.65711,-17.3331,-7.24821,-22.8081,-23.9925,-29.5164,-17.8204,-4.71406,-0,-5.29126,-5.60752,-0,-0,-0,-0,-0,-0,-0,-8.60354,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,4,1,2,3,3,4,2,2,7,10,5,10,14,6,15,11,5,8,13,14,10,9,9,9,5,2,4,4,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-541.162,0.974707,0.0792382,5,63,0,545.611,-1.4004,-2.76865,-0.8539,-0.466697,3.30371,-0.4786,-1.83645,5.03118,2.49072,9.78073e-05,0.000133629,0.000182477,0.000249005,0.000339469,0.000462217,0.000628297,0.000852172,0.0011525,0.00155288,0.00208253,0.00277645,0.00367508,0.00482298,0.0062664,0.00804958,0.01021,0.0127731,0.0157465,0.0191153,0.0228385,0.026832,0.0309789,0.0351323,0.0391233,0.042772,0.0459017,0.0483549,0.0500091,0.0507881,0.0506687,0.0496808,0.0479011,0.0454436,0.0424467,0.0390611,0.0354377,0.0317181,0.0280269,0.024467,0.0211174,0.0180332,0.0152474,0.0127737,0.0106107,0.00874516,0.00715588,0.00581691,0.00470001,0.00377665,0.00301943,0.00240292,0.00190424,0.00150323,0.00118246,0.000927102,0.000724686,0.000564865,0.000439122,0.000340512,0.000263407,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.88658,-0,-0,-10.1451,-9.64427,-4.58438,-13.0812,-12.4534,-15.8291,-15.1172,-7.23632,-13.8978,-20.0918,-51.8566,-25.215,-18.4875,-36.3502,-32.951,-26.8208,-53.684,-36.0256,-27.3475,-27.8216,-28.4356,-25.941,-16.6999,-6.90174,-17.873,-7.42086,-23.146,-24.0932,-29.2834,-17.4415,-4.54589,-0,-4.93982,-5.14699,-0,-0,-0,-0,-0,-0,-0,-6.98345,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,4,0,2,2,2,9,7,2,8,5,12,7,8,7,14,10,10,9,7,9,9,9,5,7,6,4,2,4,4,3,1,1,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0
-539.465,0.995064,0.0792382,5,63,0,543.664,-1.07058,-2.17958,-0.859386,-0.474301,4.47289,0.161181,-0.451444,5.00572,2.2566,3.75902e-05,5.14113e-05,7.0363e-05,9.63913e-05,0.000132213,0.000181648,0.000250108,0.000345321,0.0004784,0.000665364,0.00092917,0.00130214,0.00182835,0.00256538,0.0035844,0.00496794,0.00680458,0.00918028,0.0121667,0.0158078,0.0201067,0.0249849,0.0303004,0.0358501,0.04138,0.0466016,0.0512148,0.0549328,0.0575111,0.0587773,0.0586577,0.0571903,0.0545171,0.050857,0.0464713,0.0416336,0.0366056,0.0316192,0.0268633,0.0224774,0.0185499,0.0151221,0.0121964,0.00974645,0.00772774,0.00608662,0.00476726,0.00371627,0.00288536,0.00223253,0.00172228,0.00132519,0.0010173,0.000779325,0.000595889,0.000454823,0.000346563,0.000263629,0.000200195,0.000151745,0.000114786,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.64375,-0,-0,-11.2623,-10.6095,-4.99016,-14.0721,-13.2272,-16.589,-15.6268,-7.37897,-13.9864,-19.9704,-50.9593,-24.529,-17.8304,-34.8197,-31.4136,-25.506,-51.0487,-34.3365,-26.1832,-26.8086,-27.6203,-25.4308,-16.5378,-6.90798,-18.085,-7.59049,-23.9237,-25.1496,-30.8463,-18.5234,-4.86294,-0,-5.34598,-5.59504,-0,-0,-0,-0,-0,-0,-0,-7.6956,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,5,6,4,10,3,9,13,17,7,8,10,6,8,8,15,11,11,7,8,4,4,5,3,3,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
