# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:12:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25dbfea1d.json
# init = /tmp/RtmpC8O1hA/init-b41c2a8e651c_1.json
# random
#   seed = 3252003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0312_rep032_accurate_moderate/prior_sensitivity_obspair_FAST-202605302312-1-a1bafe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0312_rep032_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605302312-1-6e7f9b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.145916
# Diagonal elements of inverse mass matrix:
# 0.047726, 0.0618446, 0.0321639, 0.0188669, 0.0948988, 0.0565136, 0.0375783
-540.431,0.998145,0.145916,5,31,0,543.236,-1.59454,-2.8412,-1.3376,-0.507796,3.88008,0.195269,-1.51978,5.08701,2.40022,8.16868e-05,0.00011043,0.000149314,0.000201938,0.000273188,0.000369707,0.000500519,0.000677858,0.000918214,0.00124355,0.00168249,0.00227113,0.00305305,0.00407818,0.00540032,0.00707333,0.00914596,0.0116554,0.0146201,0.0180333,0.0218576,0.0260087,0.0303669,0.0347813,0.0390777,0.0430687,0.0465649,0.0493882,0.0513866,0.0524509,0.05253,0.0516376,0.0498475,0.04728,0.044087,0.0404369,0.0365032,0.032453,0.028437,0.024582,0.0209849,0.0177111,0.0147957,0.0122484,0.0100587,0.00820248,0.00664768,0.00535846,0.00429867,0.00343392,0.00273281,0.0021675,0.0017139,0.00135147,0.00106298,0.000834113,0.00065309,0.000510297,0.000397938,0.000309725,0.00024061,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.08748,-0,-0,-10.4426,-9.90285,-4.69444,-13.356,-12.6761,-16.0621,-15.2928,-7.29865,-13.9776,-20.1521,-51.8753,-25.1597,-18.4014,-36.0965,-32.6522,-26.5309,-53.0347,-35.5621,-26.9891,-27.465,-28.0943,-25.6641,-16.5518,-6.85593,-17.8003,-7.41148,-23.1837,-24.2014,-29.4939,-17.6094,-4.59932,-0,-5.01349,-5.22908,-0,-0,-0,-0,-0,-0,-0,-7.08914,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3,1,3,1,3,3,5,7,4,9,10,12,6,11,10,8,7,19,13,7,12,7,4,4,7,3,2,3,1,1,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
-539.957,0.995694,0.145916,5,31,0,543.142,-1.31253,-1.83305,-1.67383,-0.49114,4.27319,0.286728,-0.931317,5.10265,2.42947,5.83459e-05,7.93897e-05,0.000108099,0.000147329,0.000201041,0.000274768,0.00037627,0.000516454,0.000710587,0.0009797,0.00135191,0.00186322,0.00255741,0.00348514,0.00470199,0.00626573,0.00823252,0.0106521,0.0135622,0.016983,0.0209118,0.0252542,0.029881,0.0346308,0.0393167,0.0437339,0.047669,0.0509111,0.0532666,0.0545792,0.0547558,0.0537914,0.0517768,0.0488794,0.0453072,0.0412775,0.0369956,0.0326448,0.0283808,0.0243288,0.0205821,0.0172018,0.0142191,0.0116387,0.00944503,0.00760789,0.00608891,0.00484644,0.00383926,0.00302893,0.0023811,0.00186594,0.00145814,0.00113659,0.000883925,0.000685975,0.000531303,0.000410732,0.000316941,0.000244122,0.000187681,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28545,-0,-0,-10.7195,-10.1453,-4.79966,-13.626,-12.9014,-16.3022,-15.4698,-7.35752,-14.0421,-20.1781,-51.7777,-25.0371,-18.2608,-35.7321,-32.2569,-26.1729,-52.2877,-35.0717,-26.6473,-27.1656,-27.8486,-25.4995,-16.4848,-6.84414,-17.8102,-7.43219,-23.3,-24.3764,-29.7722,-17.8137,-4.66227,-0,-5.10129,-5.32951,-0,-0,-0,-0,-0,-0,-0,-7.28467,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,2,2,1,11,9,10,13,7,8,9,11,9,6,18,7,15,6,7,6,6,12,6,1,1,2,0,1,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0
-539.624,0.979881,0.145916,5,31,0,544.166,-2.59768,-2.9197,-1.65274,-0.363584,3.13722,0.00703706,-1.12598,5.08276,2.37269,4.22292e-05,5.97855e-05,8.46393e-05,0.000119819,0.000169601,0.00024001,0.000339498,0.000479838,0.000677249,0.000953683,0.00133811,0.00186747,0.00258688,0.00354869,0.00481022,0.00643006,0.0084629,0.0109533,0.0139289,0.0173935,0.021322,0.0256327,0.0302048,0.0348817,0.0394771,0.0437845,0.0475893,0.0506854,0.0528943,0.0540871,0.0542025,0.0532552,0.0513298,0.0485652,0.0451354,0.0412312,0.037045,0.0327579,0.02853,0.0244927,0.0207445,0.0173508,0.0143455,0.0117362,0.00951,0.00763975,0.0060897,0.00482028,0.0037915,0.00296542,0.00230745,0.00178715,0.00137834,0.00105895,0.000810702,0.000618628,0.000470638,0.000357043,0.000270149,0.00020389,0.000153512,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.28317,-0,-0,-10.674,-10.0935,-4.77206,-13.5423,-12.8214,-16.2066,-15.3921,-7.32777,-13.999,-20.1348,-51.7125,-25.0278,-18.2709,-35.7854,-32.3341,-26.2544,-52.4705,-35.1919,-26.7254,-27.2236,-27.8828,-25.5085,-16.4781,-6.83722,-17.784,-7.41876,-23.2528,-24.3247,-29.7102,-17.7803,-4.65541,-0,-5.10116,-5.33492,-0,-0,-0,-0,-0,-0,-0,-7.38801,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,2,1,0,2,2,3,3,4,10,10,7,14,14,17,7,11,4,13,13,10,8,5,2,4,4,4,4,2,3,2,2,1,0,2,1,0,0,1,1,0,0,0,0,0,1,0
-539.75,0.976572,0.145916,3,15,0,543.467,-2.42111,-2.7433,-1.51144,-0.344893,3.08309,-0.220742,-1.09151,5.15928,2.41499,4.42283e-05,6.29896e-05,8.96833e-05,0.000127633,0.000181524,0.000257915,0.000365926,0.000518081,0.000731312,0.00102801,0.00143699,0.00199404,0.00274182,0.00372879,0.00500695,0.00662844,0.00864095,0.0110824,0.0139755,0.017322,0.021099,0.0252307,0.0296063,0.0340818,0.0384858,0.0426272,0.0463075,0.0493357,0.0515466,0.0528185,0.0530884,0.0523589,0.0506959,0.048217,0.045076,0.0414458,0.037504,0.0334199,0.0293453,0.0254077,0.0217067,0.0183124,0.0152672,0.012589,0.0102753,0.00830841,0.00666042,0.00529749,0.00418337,0.00328209,0.00255975,0.00198564,0.00153274,0.00117784,0.0009014,0.000687243,0.000522144,0.00039543,0.000298566,0.000224792,0.000168794,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.21759,-0,-0,-10.5939,-10.0328,-4.75124,-13.5072,-12.8114,-16.2231,-15.4341,-7.35938,-14.0791,-20.2739,-52.1194,-25.2421,-18.4347,-36.1093,-32.618,-26.468,-52.8443,-35.3956,-26.8372,-27.2884,-27.8947,-25.4669,-16.4165,-6.79721,-17.6431,-7.3454,-22.9808,-24.0011,-29.2743,-17.4997,-4.57801,-0,-5.01157,-5.24052,-0,-0,-0,-0,-0,-0,-0,-7.28282,-0,-0,-0,-0,-0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,2,2,1,1,2,7,5,6,10,4,9,9,13,13,11,9,12,11,10,9,7,6,3,5,3,3,5,3,4,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-540.197,0.998215,0.145916,5,31,0,542.08,-1.7637,-2.30614,-1.13879,-0.186129,4.44739,0.057921,-0.947945,5.15248,2.07059,1.21012e-05,1.83348e-05,2.77828e-05,4.2105e-05,6.38169e-05,9.67236e-05,0.000146557,0.000221883,0.00033532,0.000505064,0.000756569,0.00112413,0.00165203,0.00239483,0.00341644,0.00478753,0.0065808,0.00886413,0.0116917,0.015094,0.0190682,0.0235574,0.0284551,0.0336061,0.0388121,0.0438428,0.0484496,0.052383,0.0554117,0.0573446,0.058054,0.0574959,0.0557191,0.0528571,0.049106,0.0446971,0.0398738,0.0348722,0.0299074,0.0251621,0.0207782,0.0168528,0.0134386,0.0105473,0.00815824,0.00622759,0.00469804,0.00350729,0.00259435,0.00190363,0.00138697,0.00100428,0.000723233,0.00051833,0.000369891,0.000262954,0.00018629,0.000131565,9.26518e-05,6.50761e-05,4.55952e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.79075,-0,-0,-11.3583,-10.6835,-5.0236,-14.1772,-13.3466,-16.7738,-15.8389,-7.49663,-14.2377,-20.3583,-51.9844,-25.0172,-18.1634,-35.3901,-31.8226,-25.7281,-51.2349,-34.2725,-25.9869,-26.4615,-27.124,-24.8628,-16.1102,-6.71213,-17.5482,-7.36483,-23.2431,-24.4994,-30.1674,-18.2076,-4.80873,-0,-5.36061,-5.65291,-0,-0,-0,-0,-0,-0,-0,-8.24353,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,4,4,3,6,6,5,8,10,5,6,8,17,14,12,13,8,13,9,10,5,10,2,3,2,2,1,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
-542.596,0.973985,0.145916,4,15,0,543.656,-1.46761,-1.67522,-1.65243,-0.199702,2.66959,-0.635878,-1.39965,4.91827,2.44608,4.16095e-05,6.18589e-05,9.16528e-05,0.000135238,0.000198561,0.000289814,0.000420082,0.000604059,0.000860774,0.00121426,0.00169404,0.00233532,0.00317866,0.00426924,0.00565523,0.00738571,0.00950782,0.0120635,0.0150859,0.0185959,0.0225991,0.0269743,0.031567,0.0361949,0.0406552,0.0447362,0.0482321,0.0509587,0.0527704,0.0535746,0.0533418,0.0521081,0.04997,0.0470722,0.0435904,0.0397125,0.0356215,0.0314831,0.0274368,0.0235922,0.0200284,0.0167962,0.0139216,0.0114103,0.00925209,0.00742541,0.00590118,0.00464616,0.00362564,0.00280549,0.0021536,0.00164076,0.00124121,0.000932724,0.000696542,0.000517135,0.000381846,0.000280515,0.000205093,0.000149282,0.000108203,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.05961,-0,-0,-10.3503,-9.81642,-4.65564,-13.2527,-12.582,-15.9393,-15.1594,-7.22574,-13.8226,-19.913,-51.2421,-24.8558,-18.1904,-35.7209,-32.3599,-26.3401,-52.7586,-35.4532,-26.967,-27.5047,-28.1963,-25.8087,-16.674,-6.91661,-17.9793,-7.49368,-23.4636,-24.5196,-29.9202,-17.893,-4.68291,-0,-5.1326,-5.37171,-0,-0,-0,-0,-0,-0,-0,-7.56721,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,1,0,1,1,5,5,13,6,10,7,11,8,13,10,16,13,14,8,6,2,7,6,6,2,5,4,2,2,0,5,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
