# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:12:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25dbfea1d.json
# init = /tmp/RtmpC8O1hA/init-b41c2a8e651c_3.json
# random
#   seed = 3252003
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0312_rep032_accurate_moderate/prior_sensitivity_obspair_FAST-202605302312-3-a1bafe.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0312_rep032_accurate_moderate/prior_sensitivity_obspair_FAST-profile-202605302312-3-6e7f9b.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.109794
# Diagonal elements of inverse mass matrix:
# 0.0930425, 0.0503721, 0.0389083, 0.0161979, 0.0527025, 0.0268247, 0.0505487
-539.354,0.999985,0.109794,5,31,0,542.007,-2.0438,-2.0018,-1.35429,-0.160676,3.73987,-0.0827482,-0.727627,4.98448,2.13209,1.21889e-05,1.8653e-05,2.85392e-05,4.365e-05,6.67237e-05,0.000101901,0.000155396,0.000236432,0.000358483,0.000540785,0.000810023,0.00120191,0.00176234,0.00254763,0.00362357,0.0050628,0.00694031,0.00932711,0.0122822,0.0158436,0.0200202,0.0247454,0.0299002,0.0353118,0.0407586,0.0459788,0.0506867,0.0545937,0.0574365,0.0590104,0.0592022,0.0580119,0.0555528,0.0520293,0.047701,0.0428462,0.0377336,0.0326039,0.0276573,0.023048,0.0188822,0.0152203,0.0120823,0.00945516,0.00730224,0.00557177,0.00420496,0.00314215,0.00232714,0.00170983,0.00124733,0.000904136,0.000651623,0.000467222,0.000333452,0.000236984,0.000167782,0.000118374,8.32477e-05,5.83708e-05,4.08138e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.72384,-0,-0,-11.2406,-10.5717,-4.97041,-14.0245,-13.1988,-16.58,-15.6441,-7.39823,-14.0396,-20.0612,-51.2014,-24.6366,-17.8925,-34.894,-31.4278,-25.4704,-50.8823,-34.1653,-26.0138,-26.6035,-27.3852,-25.2011,-16.386,-6.84665,-17.9393,-7.54035,-23.8172,-25.1107,-30.9121,-18.6448,-4.91957,-0,-5.47149,-5.76285,-0,-0,-0,-0,-0,-0,-0,-8.34752,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,7,6,4,7,1,10,8,11,12,15,14,8,11,13,9,9,5,7,5,2,5,5,4,4,1,4,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
-543.144,0.94526,0.109794,4,15,0,544.853,-2.33203,-1.76309,-1.71539,-0.302463,3.67738,-0.26785,-0.40496,5.52514,2.48201,3.16234e-05,4.5699e-05,6.59983e-05,9.52284e-05,0.000137225,0.000197378,0.000283167,0.000404816,0.000576029,0.000814747,0.00114384,0.00159161,0.00219201,0.00298446,0.00401318,0.00532599,0.00697259,0.0090024,0.011462,0.0143929,0.0178286,0.0217131,0.0259602,0.0304518,0.0350386,0.0395427,0.0437638,0.0474903,0.0505144,0.0526531,0.0537717,0.0538039,0.0527647,0.0507475,0.0479078,0.0444383,0.040543,0.036417,0.0322326,0.028133,0.0242301,0.0206051,0.0173109,0.0143761,0.0118084,0.00959897,0.00772711,0.00616373,0.00487507,0.00382565,0.00298045,0.00230659,0.00177422,0.00135713,0.00103279,0.000782294,0.000590012,0.000443234,0.000331752,0.000247464,0.000183998,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44301,-0,-0,-11.0363,-10.4703,-4.96577,-14.1308,-13.4061,-16.9641,-16.1078,-7.65968,-14.6048,-20.9497,-53.6209,-25.843,-18.7737,-36.5668,-32.8405,-26.4963,-52.6142,-35.0689,-26.4772,-26.828,-27.3463,-24.9092,-16.027,-6.62544,-17.1739,-7.14162,-22.321,-23.2933,-28.3949,-16.9687,-4.43895,-0,-4.86302,-5.08907,-0,-0,-0,-0,-0,-0,-0,-7.15328,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,3,2,3,6,9,10,13,10,7,8,17,14,11,11,7,5,4,7,7,6,5,7,3,5,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0
-541.041,0.998091,0.109794,5,31,0,544.604,-1.53369,-2.09907,-1.26196,-0.530118,4.08354,-0.17503,-0.828158,5.41377,2.5739,7.81136e-05,0.000104996,0.000141185,0.000189935,0.00025565,0.000344293,0.000463915,0.00062534,0.000842997,0.00113585,0.00152835,0.00205111,0.00274125,0.00364189,0.00480077,0.00626772,0.00809104,0.010313,0.0129644,0.0160596,0.0195915,0.0234982,0.0276831,0.0320158,0.0363362,0.0404626,0.0442021,0.0473652,0.0497829,0.0513241,0.0519113,0.0515298,0.0502284,0.0481096,0.0453149,0.0420071,0.0383553,0.0345217,0.0306524,0.0268716,0.0232774,0.0199415,0.0169096,0.014205,0.0118318,0.00977948,0.00802748,0.00654867,0.00531281,0.00428894,0.00344713,0.00275962,0.00220139,0.00175046,0.00138784,0.0010974,0.000865599,0.000681176,0.000534861,0.000419073,0.000327654,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.18937,-0,-0,-10.678,-10.1447,-4.817,-13.7231,-13.0366,-16.5258,-15.7306,-7.50166,-14.3477,-20.6492,-53.039,-25.659,-18.7139,-36.5984,-33.0009,-26.7263,-53.2479,-35.5871,-26.9206,-27.3085,-27.8471,-25.3593,-16.3043,-6.73234,-17.4252,-7.23337,-22.5616,-23.4897,-28.5591,-17.0166,-4.43697,-0,-4.82488,-5.02849,-0,-0,-0,-0,-0,-0,-0,-6.81481,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,1,4,2,5,10,2,10,11,5,9,11,9,7,8,7,10,9,14,11,6,7,2,9,3,5,4,2,3,0,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0
-544.449,0.995849,0.109794,5,31,0,549.316,-2.68278,-2.62017,-1.37622,-0.584876,2.74338,0.804128,-1.6492,4.78274,2.55058,9.08078e-05,0.000120019,0.000158642,0.000209723,0.000277301,0.000366739,0.000485174,0.00064212,0.000850297,0.00112677,0.00149452,0.00198462,0.00263912,0.00351423,0.00468248,0.00623162,0.00825938,0.0108642,0.0141306,0.0181092,0.0227942,0.0280759,0.0337553,0.0395532,0.0451289,0.0501045,0.0541003,0.056798,0.0580198,0.0577516,0.0561102,0.0533041,0.0496021,0.045301,0.0406907,0.0360238,0.0314967,0.027245,0.0233509,0.0198541,0.0167636,0.0140674,0.0117406,0.00975105,0.00806314,0.00664096,0.00544989,0.00445767,0.00363505,0.00295594,0.00239747,0.00193984,0.00156602,0.00126157,0.00101428,0.000813902,0.000651904,0.000521201,0.000415947,0.000331334,0.000263425,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.22233,-0,-0,-10.7279,-10.1562,-4.79641,-13.5668,-12.7782,-16.0453,-15.125,-7.14569,-13.5545,-19.3807,-49.5717,-23.9491,-17.5015,-34.419,-31.3167,-25.6644,-51.8479,-35.1809,-27.0335,-27.8498,-28.8158,-26.5886,-17.2894,-7.20577,-18.7856,-7.83869,-24.5313,-25.5834,-31.1129,-18.5215,-4.82045,-0,-5.21216,-5.41313,-0,-0,-0,-0,-0,-0,-0,-7.11367,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,6,0,5,1,9,2,8,11,13,10,6,10,8,13,4,9,11,10,13,10,6,3,2,4,6,2,2,0,1,2,0,3,0,0,0,0,0,1,1,0,0,1,0,0
-544.979,0.999965,0.109794,5,31,0,545.399,-2.7749,-2.66165,-1.37965,-0.61251,2.70528,0.878367,-1.58737,4.82644,2.61201,0.000103178,0.000135338,0.000177539,0.000232929,0.000305653,0.000401173,0.000526699,0.000691773,0.000909047,0.00119537,0.00157324,0.00207288,0.00273496,0.00361378,0.00477976,0.0063186,0.0083264,0.0109006,0.0141259,0.018054,0.0226807,0.0278976,0.0335069,0.0392305,0.0447297,0.0496284,0.0535491,0.0561812,0.0573607,0.0570843,0.0554718,0.0527302,0.0491245,0.0449451,0.0404723,0.0359467,0.0315523,0.027416,0.0236146,0.0201862,0.0171409,0.0144695,0.0121505,0.0101552,0.00845163,0.00700675,0.0057885,0.00476669,0.00391364,0.00320448,0.00261716,0.00213245,0.00173367,0.00140654,0.00113889,0.000920428,0.000742513,0.000597907,0.000480591,0.000385578,0.00030875,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.17881,-0,-0,-10.6867,-10.1285,-4.78832,-13.5568,-12.7792,-16.0575,-15.145,-7.15843,-13.584,-19.4298,-49.7139,-24.0255,-17.5629,-34.5501,-31.4424,-25.769,-52.0538,-35.3108,-27.1206,-27.9208,-28.8642,-26.6058,-17.2805,-7.19326,-18.7295,-7.80551,-24.3977,-25.4143,-30.8727,-18.3591,-4.7734,-0,-5.15188,-5.3461,-0,-0,-0,-0,-0,-0,-0,-6.99067,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,2,6,4,1,6,11,8,12,12,11,12,12,10,11,10,6,9,8,12,7,5,2,0,3,3,2,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0
-543.697,0.998923,0.109794,5,31,0,546.56,-2.40111,-2.84535,-1.52278,-0.585237,2.63464,0.698744,-1.34992,4.67574,2.54775,0.000102838,0.000135895,0.000179593,0.000237368,0.000313771,0.000414842,0.000548602,0.000725719,0.000960418,0.0012717,0.00168502,0.00223447,0.00296552,0.00393768,0.00522545,0.00691557,0.00910008,0.0118656,0.0152785,0.0193677,0.0241067,0.0293635,0.0349272,0.0405177,0.0458047,0.0504319,0.054054,0.0563953,0.0573131,0.0568144,0.0550259,0.052156,0.0484631,0.0442256,0.0397125,0.0351576,0.0307437,0.0265989,0.0228017,0.0193906,0.0163747,0.0137427,0.0114707,0.00952757,0.00787878,0.00648939,0.00532566,0.00435615,0.00355231,0.00288868,0.00234294,0.00189571,0.0015304,0.00123288,0.000991204,0.000795383,0.000637069,0.000509342,0.000406487,0.000323805,0.00025745,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.10375,-0,-0,-10.5084,-9.94796,-4.69947,-13.3023,-12.5439,-15.7766,-14.9011,-7.056,-13.418,-19.2361,-49.3339,-23.897,-17.5066,-34.5044,-31.4515,-25.8117,-52.1991,-35.4422,-27.2426,-28.0661,-29.0348,-26.7833,-17.4103,-7.25377,-18.9046,-7.88593,-24.6721,-25.7235,-31.2757,-18.6143,-4.84358,-0,-5.23522,-5.43617,-0,-0,-0,-0,-0,-0,-0,-7.13669,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,3,4,4,5,3,7,12,11,14,8,8,15,9,11,8,10,14,6,5,1,6,5,4,5,4,3,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
