# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:21:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c230d42367.json
# init = /tmp/RtmpC8O1hA/init-b41c21548f42b_3.json
# random
#   seed = 3252005
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0314_rep032_mildly_wrong_weak/prior_sensitivity_obspair_FAST-202605302321-3-6a2248.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0314_rep032_mildly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605302321-3-6622eb.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0733181
# Diagonal elements of inverse mass matrix:
# 0.204805, 0.0755451, 0.159282, 0.0405428, 0.234159, 0.149675, 0.278629
-540.649,0.993023,0.0733181,6,63,0,541.926,-1.26832,-1.80083,-1.9456,0.228218,3.83465,-0.355621,-0.220654,4.7954,2.21028,7.21374e-06,1.31163e-05,2.35983e-05,4.1893e-05,7.31588e-05,0.000125293,0.000209854,0.000342983,0.000546196,0.000846919,0.00127867,0.00188085,0.00269804,0.00377893,0.00517473,0.00693734,0.00911739,0.0117625,0.0149162,0.0186184,0.0229089,0.0275752,0.0324221,0.0372571,0.0418879,0.046123,0.0497768,0.0526764,0.0546715,0.0556459,0.0555317,0.0543222,0.052081,0.0489426,0.0451001,0.0407803,0.0362148,0.0316127,0.0271444,0.0229365,0.0190744,0.0156092,0.012565,0.00994434,0.00773384,0.00590746,0.0044301,0.00326072,0.00235538,0.00166992,0.00116238,0.000794762,0.000534135,0.000353143,0.000229901,0.000147525,9.34085e-05,5.84206e-05,3.61295e-05,2.21164e-05,1.34133e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27603,-0,-0,-10.5279,-9.94167,-4.69757,-13.3285,-12.6159,-15.9344,-15.1049,-7.18167,-13.7157,-19.7395,-50.7641,-24.6115,-18.0012,-35.3231,-31.9705,-25.9987,-52.0344,-34.9539,-26.5946,-27.154,-27.8898,-25.5964,-16.5914,-6.90839,-18.0329,-7.55005,-23.7565,-24.9594,-30.6379,-18.443,-4.86215,-0,-5.41933,-5.72581,-0,-0,-0,-0,-0,-0,-0,-8.82151,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,4,5,5,3,3,11,7,8,12,6,8,13,14,11,16,8,12,12,6,9,3,0,6,4,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
-540.314,0.997022,0.0733181,5,63,0,543.986,-2.0677,-1.45142,-1.69578,-0.701101,3.22776,0.342261,-0.699724,5.34831,2.84929,9.4793e-05,0.000121746,0.00015646,0.000201236,0.000259097,0.000334041,0.000431406,0.000558377,0.00072473,0.000943896,0.00123443,0.00162193,0.00214112,0.00283763,0.003769,0.00500432,0.00662258,0.00870948,0.0113524,0.0146339,0.0186244,0.0232486,0.0283757,0.0338133,0.0393077,0.044549,0.0491894,0.052878,0.0553217,0.0563531,0.0559689,0.0543106,0.0516101,0.0481351,0.0441517,0.0399022,0.035592,0.0313842,0.0273982,0.0237123,0.0203702,0.0173877,0.0147604,0.0124707,0.0104925,0.00879607,0.00735012,0.00612417,0.00508944,0.00421956,0.0034908,0.00288216,0.00237522,0.00195403,0.00160486,0.00131596,0.00107734,0.000880556,0.000718493,0.000585179,0.00047562,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.42414,-0,-0,-11.1619,-10.5949,-5.01727,-14.23,-13.435,-16.8977,-15.9331,-7.52302,-14.2489,-20.3214,-51.7814,-24.8893,-18.0725,-35.2772,-31.8405,-25.8851,-51.8933,-34.9564,-26.6763,-27.3037,-28.0811,-25.7706,-16.6782,-6.9229,-17.9864,-7.48352,-23.3621,-24.312,-29.5106,-17.5375,-4.55709,-0,-4.91304,-5.09551,-0,-0,-0,-0,-0,-0,-0,-6.63319,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,3,3,5,6,8,4,6,18,11,10,9,8,14,14,5,11,11,6,6,5,4,2,2,4,4,3,1,3,0,3,0,2,1,1,0,0,0,1,0,0,0,0
-538.915,0.998777,0.0733181,5,63,0,543.084,-1.85486,-2.55879,-1.71291,-0.244927,3.96942,0.178822,-1.65301,5.04488,2.19255,2.38891e-05,3.53413e-05,5.22868e-05,7.73609e-05,0.000114457,0.000169311,0.000250326,0.000369669,0.000544628,0.000799034,0.00116441,0.00168045,0.00239454,0.00336037,0.00463536,0.00627704,0.00833812,0.0108603,0.0138674,0.0173588,0.0213046,0.0256196,0.0301833,0.0348442,0.0394271,0.0437419,0.0475933,0.0507911,0.0531621,0.0545651,0.0549101,0.054176,0.0524179,0.0497579,0.0463626,0.0424211,0.0381267,0.0336664,0.0292116,0.0249122,0.0208899,0.0172341,0.0140002,0.0112105,0.00885898,0.00691766,0.00534448,0.00409024,0.00310436,0.00233886,0.00175073,0.00130299,0.000964815,0.000711157,0.000522041,0.000381796,0.000278286,0.000202212,0.000146514,0.000105876,7.63183e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.3887,-0,-0,-10.7481,-10.1417,-4.78692,-13.5679,-12.8346,-16.2146,-15.3953,-7.32879,-14.0019,-20.1412,-51.7328,-25.0356,-18.2704,-35.7604,-32.2785,-26.1753,-52.237,-34.9862,-26.5366,-27.0053,-27.6414,-25.2809,-16.3342,-6.78251,-17.6659,-7.38479,-23.2109,-24.3652,-29.8808,-17.9636,-4.72632,-0,-5.23169,-5.49915,-0,-0,-0,-0,-0,-0,-0,-7.87062,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,2,3,2,7,3,5,9,13,9,18,11,16,15,6,13,8,12,11,8,1,5,1,1,4,2,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0
-540.135,0.971974,0.0733181,5,31,0,542.479,-2.00357,-1.42179,-1.26978,-0.735592,3.13759,0.269785,-0.639154,5.30772,2.86441,9.0446e-05,0.000115227,0.000146901,0.000187449,0.00023946,0.000306349,0.000392652,0.000504466,0.000650082,0.000840928,0.00109295,0.00142859,0.00187939,0.00248912,0.00331668,0.00443808,0.00594643,0.00794919,0.010562,0.0138989,0.0180591,0.0229979,0.0285864,0.0345992,0.0407114,0.0465139,0.0515524,0.0553988,0.0577414,0.0584545,0.0576067,0.0554133,0.0521699,0.0481954,0.0437931,0.0392257,0.0347035,0.0303809,0.0263602,0.0226996,0.019423,0.0165297,0.0140025,0.0118146,0.00993424,0.00832784,0.00696249,0.00580702,0.00483284,0.00401416,0.00332815,0.00275476,0.0022766,0.00187865,0.00154806,0.00127385,0.00104671,0.000858782,0.000703438,0.000575125,0.000469198,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.55107,-0,-0,-11.4176,-10.8351,-5.12496,-14.5041,-13.6515,-17.1038,-16.0564,-7.54471,-14.2193,-20.1836,-51.2199,-24.544,-17.7909,-34.7184,-31.3696,-25.5556,-51.3741,-34.7152,-26.5793,-27.2924,-28.1545,-25.9074,-16.8046,-6.98788,-18.1795,-7.57082,-23.6478,-24.6156,-29.8796,-17.7537,-4.61177,-0,-4.96722,-5.14869,-0,-0,-0,-0,-0,-0,-0,-6.66571,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,4,2,4,4,9,8,10,14,8,11,9,7,15,7,5,12,9,4,5,7,10,4,7,4,2,2,1,0,2,1,0,3,0,0,0,0,1,0,0,1,0,0
-540.022,0.998824,0.0733181,6,63,0,541.977,-1.33687,-2.72887,-1.67302,0.164951,4.81195,-0.0269696,-1.52267,5.05717,2.06138,6.21522e-06,1.11324e-05,1.98615e-05,3.52242e-05,6.19212e-05,0.000107501,0.000183529,0.000306759,0.00050006,0.000792853,0.00122096,0.00182588,0.00265338,0.00375147,0.00516758,0.00694483,0.00911763,0.0117068,0.0147147,0.0181218,0.021884,0.0259152,0.0301054,0.034325,0.0384316,0.0422767,0.0457132,0.0486014,0.050816,0.0522525,0.0528349,0.0525229,0.0513207,0.0492813,0.0465053,0.0431302,0.0393143,0.0352197,0.0310011,0.0267989,0.0227359,0.0189152,0.0154181,0.0123028,0.00960296,0.00732832,0.0054664,0.00398612,0.002843,0.00198504,0.00135851,0.000912626,0.000602791,0.000392116,0.000251625,0.00015954,0.000100089,6.22108e-05,3.83539e-05,2.34773e-05,1.42808e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30569,-0,-0,-10.5307,-9.93952,-4.69755,-13.3428,-12.6567,-16.0426,-15.288,-7.30585,-14.0122,-20.2313,-52.142,-25.3081,-18.5122,-36.2892,-32.775,-26.565,-52.9305,-35.3581,-26.727,-27.0919,-27.6137,-25.1482,-16.1808,-6.6923,-17.3687,-7.23879,-22.7029,-23.8067,-29.2055,-17.5917,-4.64568,-0,-5.20914,-5.52494,-0,-0,-0,-0,-0,-0,-0,-8.74322,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,6,2,3,3,5,5,3,9,6,5,7,7,7,13,8,10,7,14,6,12,13,7,3,5,6,2,7,3,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
-539.624,0.981286,0.0733181,5,63,0,542.952,-2.68852,-2.59938,-1.31397,-0.540776,2.826,0.16463,-1.15965,5.04971,2.56433,7.99181e-05,0.000106968,0.00014319,0.000191707,0.000256717,0.000343859,0.000460726,0.000617541,0.000828066,0.00111078,0.00149037,0.00199936,0.00267973,0.00358374,0.00477344,0.00631793,0.00828821,0.0107496,0.0137517,0.0173183,0.0214366,0.0260244,0.0309429,0.0359984,0.0409503,0.0455269,0.0494486,0.0524606,0.0543704,0.0550769,0.0545801,0.0529702,0.0504058,0.0470888,0.0432408,0.0390819,0.0348131,0.0306041,0.0265865,0.0228526,0.0194586,0.0164305,0.0137708,0.0114657,0.00949026,0.00781386,0.00640312,0.00522462,0.00424647,0.0034392,0.00277636,0.00223456,0.00179351,0.00143582,0.00114669,0.000913708,0.000726489,0.000576431,0.00045644,0.000360702,0.000284468,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.21493,-0,-0,-10.6894,-10.1287,-4.79292,-13.5987,-12.8598,-16.224,-15.3706,-7.29744,-13.9024,-19.9457,-51.1263,-24.7156,-18.0409,-35.3723,-32.0313,-26.0912,-52.3455,-35.2563,-26.8888,-27.5015,-28.2687,-25.9368,-16.7888,-6.97324,-18.1368,-7.55738,-23.6368,-24.6517,-29.9964,-17.8736,-4.65749,-0,-5.05097,-5.25437,-0,-0,-0,-0,-0,-0,-0,-6.998,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,3,4,1,1,4,6,6,6,9,10,8,7,7,14,9,9,13,14,10,5,8,5,5,5,5,2,4,2,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
