# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:35:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2752a99b4.json
# init = /tmp/RtmpC8O1hA/init-b41c298af13_3.json
# random
#   seed = 3252006
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0315_rep032_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-202605302335-3-7b936b.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0315_rep032_mildly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605302335-3-79b2a8.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.119946
# Diagonal elements of inverse mass matrix:
# 0.0918718, 0.0658602, 0.0259109, 0.0125705, 0.0415959, 0.0246568, 0.0754032
-541.186,0.989594,0.119946,5,31,0,544.232,-0.913474,-2.44523,-0.876005,-0.641105,4.11487,0.24749,-1.51902,4.83432,2.38356,0.000107154,0.000139739,0.000182351,0.000238157,0.00031138,0.000407687,0.000534737,0.000702964,0.000926678,0.00122557,0.00162661,0.00216615,0.00289149,0.00386126,0.00514373,0.00681259,0.00894014,0.0115878,0.0147951,0.0185672,0.0228658,0.0275889,0.032579,0.0376295,0.042498,0.0469247,0.0506551,0.0534635,0.0551779,0.0557014,0.0550249,0.053226,0.0504541,0.0469077,0.0428126,0.0383996,0.0338863,0.0294609,0.025272,0.0214233,0.0179753,0.0149507,0.0123435,0.0101281,0.00826734,0.00671914,0.0054408,0.00439185,0.00353553,0.00283945,0.00227565,0.00182037,0.00145369,0.00115902,0.000922674,0.000733432,0.000582123,0.000461295,0.000364918,0.000288125,0.000227,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.1348,-0,-0,-10.54,-9.97797,-4.7172,-13.3734,-12.6404,-15.9454,-15.1124,-7.18068,-13.6963,-19.6798,-50.5328,-24.4737,-17.8963,-35.1451,-31.8691,-25.9898,-52.1995,-35.1985,-26.8802,-27.5362,-28.3583,-26.0777,-16.9237,-7.04938,-18.3903,-7.68655,-24.1125,-25.218,-30.7624,-18.3698,-4.79544,-0,-5.21383,-5.42801,-0,-0,-0,-0,-0,-0,-0,-7.21778,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,1,1,6,6,3,7,12,9,13,8,11,15,4,15,7,9,9,13,6,10,3,3,3,4,2,4,0,0,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0
-546.971,0.976965,0.119946,5,31,0,548.496,-1.62549,-1.08241,-1.32375,-0.527471,4.33757,0.511125,0.269702,5.23885,2.48389,3.17779e-05,4.27534e-05,5.75526e-05,7.75349e-05,0.000104565,0.000141222,0.000191103,0.000259284,0.00035302,0.00048277,0.0006636,0.00091685,0.0012718,0.00176714,0.00245222,0.00338848,0.00465238,0.00634353,0.008604,0.0116615,0.0161551,0.0214426,0.0273358,0.0336473,0.0401575,0.0465976,0.0526313,0.0578328,0.0616879,0.0636742,0.0634722,0.0611901,0.0573253,0.0524838,0.047167,0.0417257,0.0363927,0.0313242,0.0266268,0.0223703,0.0185932,0.015306,0.0124949,0.0101274,0.00815892,0.00653963,0.00521911,0.00414986,0.00328912,0.0025996,0.00204951,0.00161221,0.00126563,0.000991695,0.00077569,0.000605728,0.000472249,0.0003676,0.000285674,0.000221604,0.000171513,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.99457,-0,-0,-12.0215,-11.3747,-5.37038,-15.181,-14.2666,-17.8058,-16.5021,-7.68475,-14.3982,-20.3509,-51.4392,-24.5296,-17.6667,-34.2024,-30.6423,-24.7858,-49.6288,-33.5252,-25.7311,-26.5253,-27.4865,-25.4131,-16.5669,-6.92673,-18.1292,-7.60005,-23.9098,-25.0771,-30.677,-18.3701,-4.80864,-0,-5.25543,-5.48468,-0,-0,-0,-0,-0,-0,-0,-7.40908,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,4,6,11,11,9,8,12,13,14,15,14,12,14,8,9,4,4,5,4,3,6,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-543.713,0.999756,0.119946,5,31,0,550.631,-1.77121,-1.69372,-1.55224,-0.43351,3.98356,0.0429661,0.104247,5.22407,2.49785,4.3849e-05,6.07014e-05,8.40595e-05,0.000116455,0.000161417,0.000223859,0.000310617,0.000431145,0.000598385,0.00082976,0.00114817,0.00158283,0.00216993,0.00295296,0.00398284,0.00531772,0.00702247,0.00916819,0.0118339,0.015117,0.0191756,0.0237865,0.0287731,0.0339497,0.0391075,0.044013,0.0484141,0.0520528,0.0546875,0.0561277,0.0562735,0.0551462,0.0528869,0.0497207,0.0459062,0.0416927,0.0372977,0.0328987,0.0286348,0.0246103,0.0208987,0.0175466,0.0145763,0.0119903,0.00977471,0.00790374,0.00634421,0.00505914,0.0040109,0.00316338,0.00248341,0.00194155,0.00151228,0.00117398,0.000908577,0.000701211,0.000539774,0.0004145,0.000317567,0.000242758,0.000185152,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.44854,-0,-0,-11.0515,-10.4734,-4.95864,-14.076,-13.3104,-16.7677,-15.8165,-7.47728,-14.1933,-20.2972,-51.8631,-24.9862,-18.1678,-35.466,-31.9673,-25.9211,-51.7956,-34.7732,-26.4564,-27.012,-27.7304,-25.4194,-16.4441,-6.82865,-17.7657,-7.40918,-23.2084,-24.2574,-29.5985,-17.6946,-4.62796,-0,-5.06021,-5.28656,-0,-0,-0,-0,-0,-0,-0,-7.2627,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,2,4,3,6,4,6,6,8,5,13,11,8,17,18,8,12,9,5,9,9,4,5,5,6,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-543.759,0.993678,0.119946,5,31,0,547.581,-2.67922,-2.65129,-1.22274,-0.393636,2.88157,-0.116556,-1.68141,5.00726,2.39068,4.47969e-05,6.27709e-05,8.79554e-05,0.000123239,0.000172661,0.000241861,0.000338686,0.000474011,0.000662787,0.00092534,0.00128883,0.0017887,0.00246966,0.00338588,0.00459955,0.00617766,0.00818666,0.0106851,0.013715,0.0172929,0.0214013,0.0259608,0.0308409,0.0358616,0.0408004,0.0454053,0.0494149,0.0525851,0.0547182,0.0556897,0.0554636,0.0540923,0.0517034,0.0484785,0.0446303,0.0403804,0.0359413,0.031502,0.0272179,0.0232061,0.0195454,0.0162795,0.0134223,0.0109653,0.00888405,0.00714411,0.00570627,0.00453012,0.00357663,0.00280977,0.00219734,0.00171131,0.00132775,0.00102659,0.000791202,0.000607975,0.000465888,0.000356079,0.00027148,0.000206492,0.0001567,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.32627,-0,-0,-10.7636,-10.1736,-4.80525,-13.6167,-12.8678,-16.2298,-15.3772,-7.30234,-13.9157,-19.9685,-51.185,-24.737,-18.045,-35.3439,-31.9612,-25.9916,-52.0565,-35.0048,-26.6601,-27.2397,-27.9841,-25.6753,-16.6293,-6.91541,-18.0194,-7.52668,-23.6101,-24.7071,-30.1759,-18.0521,-4.7235,-0,-5.16619,-5.39701,-0,-0,-0,-0,-0,-0,-0,-7.40538,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,1,2,6,2,5,5,9,8,14,9,13,15,11,10,11,10,5,10,6,5,10,4,3,3,1,3,1,4,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
-545.05,0.990723,0.119946,5,31,0,547.706,-0.280853,-2.19713,-1.16582,-0.5263,5.03743,0.843126,-0.140087,5.01128,2.35091,6.14743e-05,8.2804e-05,0.000111631,0.000150672,0.000203697,0.000275994,0.000375097,0.000511917,0.000702484,0.000970221,0.00134777,0.00187701,0.00260748,0.0035943,0.00489576,0.00657041,0.0086733,0.0112509,0.0143339,0.0179296,0.0220138,0.0264294,0.0310232,0.0356308,0.0400814,0.0442028,0.0478265,0.0507897,0.0529384,0.0541332,0.0542654,0.0532943,0.0512921,0.0484315,0.0449223,0.0409684,0.0367545,0.032445,0.0281843,0.0240976,0.0202893,0.0168391,0.0137974,0.0111824,0.0089823,0.00716338,0.00567994,0.00448267,0.00352412,0.00276151,0.00215787,0.00168203,0.00130825,0.0010155,0.00078679,0.000608515,0.000469821,0.000362102,0.000278565,0.000213867,0.000163815,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27808,-0,-0,-10.6388,-10.0504,-4.74751,-13.4619,-12.7354,-16.0852,-15.2643,-7.26656,-13.8921,-20.0073,-51.4695,-24.9517,-18.2411,-35.7607,-32.3249,-26.2468,-52.4496,-35.1831,-26.732,-27.2484,-27.9254,-25.5596,-16.5175,-6.85642,-17.845,-7.45129,-23.386,-24.5043,-29.9829,-17.9737,-4.7125,-0,-5.17081,-5.40754,-0,-0,-0,-0,-0,-0,-0,-7.40449,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,7,5,0,4,7,8,8,11,10,12,11,7,7,13,9,10,11,9,7,6,9,3,2,5,0,2,2,1,2,4,0,0,1,1,0,1,0,0,0,0,0,0,0
-541.63,0.999278,0.119946,5,31,0,547.246,-0.854732,-2.7615,-0.968174,-0.298427,4.85514,0.3577,-1.35877,4.87734,2.05704,2.46589e-05,3.57733e-05,5.1921e-05,7.5406e-05,0.000109609,0.000159511,0.000232466,0.000339333,0.000496016,0.00072532,0.00105874,0.00153765,0.00221337,0.00314617,0.00440278,0.00605234,0.00816043,0.0107811,0.0139474,0.0176609,0.0218834,0.0265243,0.0314457,0.0364686,0.0413841,0.0459671,0.0499915,0.0532461,0.0555495,0.0567662,0.0568205,0.0557097,0.0535081,0.0503577,0.0464486,0.0419971,0.0372268,0.0323537,0.0275734,0.0230511,0.0189141,0.0152468,0.0120905,0.00944658,0.00728535,0.0055559,0.00419684,0.00314489,0.00234074,0.00173229,0.00127577,0.000935629,0.000683677,0.00049797,0.00036167,0.000261999,0.000189349,0.000136545,9.82618e-05,7.05702e-05,5.05813e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.4775,-0,-0,-10.851,-10.2146,-4.80846,-13.5899,-12.8174,-16.1456,-15.2881,-7.25939,-13.838,-19.8678,-50.9577,-24.6386,-17.9754,-35.194,-31.7953,-25.8193,-51.6214,-34.6512,-26.3513,-26.8974,-27.6247,-25.3612,-16.4536,-6.86205,-17.9545,-7.54008,-23.8071,-25.1003,-30.9074,-18.6484,-4.92189,-0,-5.47342,-5.76198,-0,-0,-0,-0,-0,-0,-0,-8.24717,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,5,7,6,10,9,9,14,9,10,12,9,11,10,12,7,13,1,5,4,2,4,2,2,6,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0
