# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:44:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c234652bb0.json
# init = /tmp/RtmpC8O1hA/init-b41c267ba4e45_1.json
# random
#   seed = 3252008
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0317_rep032_badly_wrong_weak/prior_sensitivity_obspair_FAST-202605302344-1-163ceb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0317_rep032_badly_wrong_weak/prior_sensitivity_obspair_FAST-profile-202605302344-1-937634.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.105178
# Diagonal elements of inverse mass matrix:
# 0.0675233, 0.0569144, 0.133979, 0.0400218, 0.176354, 0.160063, 0.770728
-544.163,0.998886,0.105178,4,15,0,545.089,-0.515403,-1.42748,-1.20571,-0.513435,3.33491,-0.660571,-1.85445,4.73704,2.6227,0.000119328,0.000160427,0.000215526,0.000289304,0.000387946,0.0005196,0.000694942,0.000927874,0.00123634,0.00164323,0.00217731,0.00287397,0.00377567,0.00493162,0.00639648,0.00822788,0.0104825,0.0132109,0.0164517,0.0202259,0.0245306,0.0291866,0.0339769,0.0386613,0.0429948,0.0467466,0.0497193,0.0517647,0.0527955,0.0527907,0.0517936,0.0499037,0.0472638,0.0440429,0.0404198,0.036568,0.0326444,0.0287815,0.0250841,0.0216285,0.0184647,0.0156195,0.0131012,0.0109034,0.00900909,0.00739474,0.00603278,0.00489417,0.00395007,0.00317303,0.00253777,0.00202156,0.00160441,0.00126897,0.00100046,0.000786406,0.000616393,0.00048181,0.000375595,0.000291995,0.000226356,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.85206,-0,-0,-10.104,-9.60045,-4.55805,-12.9801,-12.322,-15.6032,-14.8313,-7.06809,-13.5283,-19.5175,-50.3468,-24.5041,-18.0082,-35.5326,-32.3546,-26.4728,-53.2888,-35.9719,-27.4681,-28.1033,-28.8759,-26.4687,-17.1104,-7.09604,-18.4276,-7.66749,-23.9514,-24.9554,-30.3453,-18.0747,-4.70952,-0,-5.11055,-5.31971,-0,-0,-0,-0,-0,-0,-0,-7.14804,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,1,2,2,2,2,3,4,7,3,9,10,8,7,9,10,9,10,8,17,7,13,6,4,3,7,10,4,4,1,1,2,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0
-541.54,0.958925,0.105178,4,15,0,545.356,-0.950055,-1.16849,-1.03949,-0.484595,3.60543,-0.422997,-1.1571,4.83086,2.47206,3.68096e-05,5.01909e-05,6.8483e-05,9.35237e-05,0.000127866,0.000175072,0.000240146,0.000330151,0.000455115,0.000629321,0.000873099,0.00121522,0.00169582,0.00236964,0.00330891,0.00460483,0.00636658,0.00871653,0.0117812,0.015678,0.0204995,0.0261172,0.0323078,0.0387589,0.0450892,0.0508822,0.0557303,0.059284,0.0612978,0.0616629,0.0604185,0.057739,0.0538995,0.0492303,0.0440715,0.0387352,0.0334815,0.0285074,0.0239458,0.0198721,0.016315,0.0132676,0.0106994,0.00856489,0.00681217,0.00538765,0.00424007,0.00332258,0.0025938,0.00201815,0.00156566,0.00121146,0.000935204,0.000720424,0.000553897,0.000425091,0.000325667,0.000249056,0.000190108,0.000144803,0.000110014,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.71283,-0,-0,-11.4223,-10.7613,-5.05669,-14.2276,-13.3238,-16.622,-15.5494,-7.29032,-13.7298,-19.5024,-49.5858,-23.8259,-17.3234,-33.905,-30.7121,-25.0747,-50.5163,-34.2219,-26.2857,-27.1012,-28.0975,-26.0081,-16.9838,-7.11518,-18.6598,-7.83687,-24.694,-25.9346,-31.763,-19.0403,-4.98904,-0,-5.46317,-5.70701,-0,-0,-0,-0,-0,-0,-0,-7.76321,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,4,3,4,5,8,12,10,8,12,11,14,12,12,10,10,6,13,9,6,7,4,4,4,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-541.187,0.995389,0.105178,5,31,0,544.903,-0.327949,-2.46257,-0.999839,-0.505604,4.92078,1.50352,-0.584498,4.85265,2.19486,4.77349e-05,6.4663e-05,8.76557e-05,0.000118938,0.000161597,0.000219955,0.000300146,0.000411034,0.000565754,0.00078439,0.00109788,0.00154959,0.00219323,0.00309065,0.00430981,0.00592195,0.00799804,0.0106034,0.0137894,0.0175796,0.0219497,0.0267858,0.0319149,0.0371271,0.0421958,0.0468894,0.0509803,0.0542538,0.0565183,0.057616,0.0574408,0.0559838,0.0533839,0.049856,0.0456347,0.0409553,0.0360435,0.031108,0.0263349,0.0218833,0.0178792,0.0144035,0.0114791,0.0090756,0.00713231,0.00557885,0.00434723,0.00337686,0.00261608,0.00202199,0.00155961,0.00120075,0.000922903,0.000708234,0.00054268,0.000415211,0.000317206,0.00024195,0.000184228,0.000140002,0.000106151,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.46976,-0,-0,-10.8937,-10.2582,-4.82856,-13.6397,-12.8516,-16.1641,-15.276,-7.23977,-13.7787,-19.7605,-50.647,-24.4797,-17.8579,-34.969,-31.6051,-25.6856,-51.426,-34.5923,-26.3722,-26.9875,-27.7838,-25.5622,-16.6151,-6.94058,-18.1843,-7.64407,-24.1447,-25.4417,-31.2706,-18.8087,-4.94312,-0,-5.43822,-5.69081,-0,-0,-0,-0,-0,-0,-0,-7.78672,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,2,1,6,7,10,7,6,10,12,4,14,10,10,10,8,8,11,7,10,8,7,7,4,3,4,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
-541.107,0.98812,0.105178,6,63,0,544.455,-2.11729,-1.98214,-1.67006,-0.526822,3.9282,1.65902,-0.171551,4.93755,2.40233,5.24947e-05,7.0577e-05,9.49125e-05,0.000127684,0.000171852,0.000231449,0.000311987,0.000421056,0.000569196,0.000771226,0.00104835,0.0014315,0.00196523,0.00270729,0.00372684,0.00510406,0.0069291,0.00929892,0.0123101,0.0160451,0.0205489,0.0256966,0.031291,0.0370926,0.0428386,0.0482446,0.0530015,0.0567694,0.0591777,0.0599039,0.0589805,0.0566838,0.0533099,0.0491383,0.0444307,0.0394339,0.0343834,0.0295008,0.0249688,0.0209004,0.0173384,0.0142767,0.0116818,0.00950707,0.00770077,0.00621179,0.00499218,0.0039987,0.0031933,0.00254313,0.00202025,0.00160115,0.00126627,0.000999409,0.000787292,0.000619074,0.00048595,0.0003808,0.000297893,0.00023263,0.00018133,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.54903,-0,-0,-11.1844,-10.5554,-4.97203,-14.0336,-13.192,-16.5294,-15.5398,-7.32279,-13.8577,-19.766,-50.4051,-24.2518,-17.6246,-34.4251,-31.0993,-25.3351,-50.9499,-34.4432,-26.3847,-27.1181,-28.0244,-25.865,-16.8509,-7.04668,-18.4507,-7.73597,-24.329,-25.4948,-31.148,-18.6229,-4.86643,-0,-5.29988,-5.52178,-0,-0,-0,-0,-0,-0,-0,-7.38729,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,0,3,3,3,5,8,3,6,8,10,18,11,16,13,8,10,14,7,6,7,2,4,11,5,3,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
-544.095,0.989989,0.105178,5,31,0,547.114,-0.132323,-3.30665,-1.00108,-0.161852,5.36758,0.439043,0.677585,5.18254,2.14279,1.99274e-05,3.05128e-05,4.67366e-05,7.16156e-05,0.000109784,0.000168326,0.000257935,0.000394264,0.00059903,0.000900201,0.00133128,0.0019305,0.00274032,0.003807,0.0051792,0.0069048,0.00902546,0.0115689,0.0145405,0.0179207,0.0216921,0.0256379,0.0296637,0.0336511,0.0374848,0.0410582,0.0442704,0.0470204,0.0492029,0.0507078,0.0514279,0.0512781,0.0502309,0.0483467,0.0457639,0.0426499,0.0391632,0.0354398,0.0315941,0.0277243,0.0239181,0.0202578,0.0168224,0.0136845,0.0109027,0.00851322,0.0065242,0.00491682,0.0036518,0.00267867,0.00194426,0.00139871,0.00099868,0.000708493,0.000499855,0.000350967,0.000245392,0.000170935,0.000118672,8.21387e-05,5.66926e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.24998,-0,-0,-10.5262,-9.95108,-4.70771,-13.3783,-12.6924,-16.0872,-15.3232,-7.32737,-14.0713,-20.3503,-52.5411,-25.5421,-18.7046,-36.6861,-33.1298,-26.8351,-53.4164,-35.6459,-26.9201,-27.2642,-27.7583,-25.2378,-16.2001,-6.67984,-17.2739,-7.17089,-22.3987,-23.3953,-28.5953,-17.166,-4.51874,-0,-5.03224,-5.31509,-0,-0,-0,-0,-0,-0,-0,-7.95482,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,4,2,2,7,6,7,11,4,10,7,9,6,12,5,13,12,11,11,9,10,4,8,9,4,6,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-545.033,0.996733,0.105178,5,31,0,548.252,0.0539499,-3.29176,-0.882999,-0.182685,5.33828,0.591313,0.86142,5.20794,2.09466,1.98958e-05,3.02065e-05,4.58838e-05,6.97487e-05,0.000106133,0.0001617,0.000246675,0.000376466,0.000573214,0.00086608,0.00128964,0.00188182,0.00268307,0.00373717,0.0050923,0.00680052,0.00891284,0.0114688,0.0144815,0.0179237,0.021798,0.0257611,0.0297261,0.0335747,0.037226,0.0406311,0.0437496,0.0465216,0.0488445,0.0505647,0.0514913,0.051445,0.0503549,0.0483371,0.0456331,0.0424829,0.0390642,0.0354895,0.0318243,0.0281117,0.0243975,0.0207474,0.0172511,0.0140109,0.0111192,0.00863709,0.00658333,0.00493781,0.00365429,0.00267464,0.00193976,0.00139608,0.000998319,0.000709959,0.00050249,0.000354169,0.000248711,0.00017408,0.000121481,8.45436e-05,5.86865e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.27551,-0,-0,-10.56,-9.98151,-4.72026,-13.4044,-12.7047,-16.0865,-15.3038,-7.31778,-14.0629,-20.3639,-52.652,-25.6258,-18.7756,-36.8141,-33.2103,-26.8605,-53.3942,-35.6069,-26.8979,-27.266,-27.7841,-25.2692,-16.2127,-6.67704,-17.2376,-7.14314,-22.2797,-23.252,-28.4191,-17.0717,-4.49908,-0,-5.02322,-5.31083,-0,-0,-0,-0,-0,-0,-0,-7.94574,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,3,5,7,7,7,9,13,9,13,9,4,13,12,11,11,7,4,5,6,7,5,8,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
