# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:57:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2470358e9.json
# init = /tmp/RtmpC8O1hA/init-b41c21ffffd1a_1.json
# random
#   seed = 3252009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0318_rep032_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605302357-1-8da709.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0318_rep032_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605302357-1-5b5974.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.10063
# Diagonal elements of inverse mass matrix:
# 0.138789, 0.070329, 0.0327362, 0.00989643, 0.0330318, 0.03944, 0.0542576
-543.137,0.996132,0.10063,6,63,0,546.325,-1.72391,-2.04472,-1.03625,-0.280932,4.05448,0.0231437,-1.04873,4.98295,2.11921,1.66931e-05,2.43683e-05,3.55827e-05,5.19777e-05,7.59639e-05,0.000111086,0.000162563,0.000238066,0.00034884,0.000511223,0.000748568,0.00109344,0.00158968,0.00229391,0.00327563,0.00461545,0.00640068,0.00871797,0.0116429,0.0152276,0.0194873,0.0243683,0.029752,0.0354527,0.0412223,0.0467639,0.051753,0.0558658,0.0588135,0.0603809,0.0604604,0.0590707,0.0563501,0.0525287,0.0478911,0.0427405,0.0373698,0.0320397,0.0269637,0.0222989,0.0181447,0.0145472,0.0115079,0.00899556,0.0069579,0.00533225,0.00405353,0.00305983,0.00229557,0.00171295,0.00127217,0.000940865,0.000693255,0.000509109,0.000372753,0.000272172,0.000198233,0.000144045,0.000104441,7.5568e-05,5.45663e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.81843,-0,-0,-11.4425,-10.7567,-5.05135,-14.2271,-13.3592,-16.7386,-15.752,-7.42895,-14.0594,-20.0373,-51.0204,-24.5012,-17.7676,-34.6176,-31.1672,-25.2637,-50.5038,-33.9482,-25.8855,-26.5176,-27.3494,-25.2209,-16.4345,-6.88156,-18.0663,-7.60644,-24.0563,-25.3821,-31.253,-18.8441,-4.96788,-0,-5.50817,-5.7894,-0,-0,-0,-0,-0,-0,-0,-8.20907,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,5,2,5,3,5,8,4,12,6,11,15,13,6,10,14,13,8,10,8,8,3,5,5,5,2,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-540.902,0.998636,0.10063,5,31,0,544.578,-1.52271,-2.82345,-1.05185,-0.388392,4.60194,0.285381,-0.913038,5.179,2.1668,3.59186e-05,5.04599e-05,7.09112e-05,9.9695e-05,0.000140244,0.000197432,0.000278192,0.000392379,0.000553929,0.00078229,0.00110393,0.00155363,0.00217513,0.00302095,0.00415092,0.0056292,0.00751923,0.00987664,0.0127403,0.0161225,0.0200008,0.0243056,0.0289238,0.0337023,0.0384567,0.0429823,0.0470667,0.0505042,0.0531099,0.0547364,0.0552897,0.0547437,0.0531446,0.0506022,0.0472738,0.0433459,0.0390188,0.0344928,0.0299559,0.0255732,0.0214777,0.0177646,0.0144894,0.0116709,0.00929749,0.00733614,0.00574101,0.00446106,0.0034455,0.00264725,0.00202473,0.00154247,0.00117097,0.00088619,0.000668794,0.000503451,0.000378105,0.000283356,0.000211919,0.000158184,0.000117851,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.46716,-0,-0,-10.9688,-10.3596,-4.89029,-13.8527,-13.089,-16.5101,-15.6479,-7.4341,-14.1724,-20.3411,-52.1316,-25.1757,-18.3371,-35.8284,-32.2893,-26.147,-52.113,-34.8611,-26.4127,-26.8538,-27.4662,-25.1083,-16.2186,-6.73401,-17.5401,-7.33242,-23.0444,-24.1833,-29.6404,-17.8026,-4.67801,-0,-5.16012,-5.41237,-0,-0,-0,-0,-0,-0,-0,-7.59402,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,3,0,3,3,6,7,9,5,9,5,12,11,11,9,7,11,16,6,9,9,4,7,9,4,9,1,2,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
-543.095,0.991173,0.10063,5,63,0,547.12,-1.37089,-3.74895,-0.466014,-0.537238,4.63598,0.908099,-0.796718,5.15075,2.06393,4.55365e-05,6.10346e-05,8.18282e-05,0.000109744,0.000147251,0.000197701,0.000265661,0.000357397,0.000481568,0.000650261,0.00088049,0.0011962,0.0016306,0.00222854,0.0030487,0.00416498,0.00566596,0.00765091,0.0102206,0.0134614,0.0174245,0.0221043,0.0274245,0.0332316,0.0392939,0.0453045,0.0508941,0.055661,0.0592202,0.0612662,0.0616334,0.0603311,0.0575333,0.0535315,0.0486758,0.0433218,0.0377946,0.0323689,0.0272606,0.0226218,0.0185394,0.0150394,0.0121007,0.00967264,0.00769075,0.00608815,0.00480171,0.00377511,0.00295982,0.00231496,0.00180667,0.00140721,0.00109411,0.000849262,0.000658177,0.000509319,0.000393541,0.000303619,0.000233865,0.000179815,0.000137977,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.7286,-0,-0,-11.5861,-10.9621,-5.17328,-14.6188,-13.7501,-17.2317,-16.1995,-7.62397,-14.3853,-20.4255,-51.787,-24.7548,-17.8681,-34.6617,-31.0914,-25.1327,-50.1579,-33.6949,-25.6985,-26.3474,-27.2032,-25.1128,-16.378,-6.86111,-18.0116,-7.57768,-23.9272,-25.1825,-30.9014,-18.5538,-4.86774,-0,-5.33878,-5.57932,-0,-0,-0,-0,-0,-0,-0,-7.58244,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1,1,0,5,0,5,3,11,5,6,7,10,17,9,12,13,5,12,19,9,7,12,5,5,3,3,2,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
-541.521,0.999517,0.10063,5,31,0,545.127,-0.87761,-3.28052,-0.835772,-0.53821,4.28608,0.227359,-0.628591,4.83714,2.28163,9.29642e-05,0.000124582,0.000167,0.000223943,0.000300443,0.000403314,0.000541802,0.000728456,0.000980274,0.0013201,0.00177814,0.00239311,0.00321264,0.00429218,0.00569223,0.00747378,0.00969184,0.0123874,0.0155783,0.0192508,0.0233524,0.0277826,0.0323991,0.0370245,0.0414576,0.0454871,0.0489079,0.0515372,0.0532308,0.0538985,0.0535141,0.0521181,0.0498115,0.0467414,0.0430858,0.0390375,0.0347884,0.030517,0.0263767,0.0224882,0.018936,0.0157685,0.0130028,0.0106309,0.00862766,0.00695733,0.00557953,0.00445327,0.00353959,0.00280312,0.00221273,0.00174168,0.00136735,0.00107095,0.000836984,0.0006528,0.000508161,0.000394824,0.000306189,0.000236996,0.000183071,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.03516,-0,-0,-10.3373,-9.79271,-4.63647,-13.1732,-12.4856,-15.8008,-15.0282,-7.16669,-13.7185,-19.7771,-50.9294,-24.7226,-18.1069,-35.5854,-32.2643,-26.2859,-52.7006,-35.4509,-26.9956,-27.5681,-28.301,-25.9459,-16.7924,-6.97894,-18.1764,-7.58953,-23.8001,-24.8984,-30.3981,-18.176,-4.75278,-0,-5.18865,-5.41412,-0,-0,-0,-0,-0,-0,-0,-7.33424,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,6,0,3,1,3,5,1,10,15,2,7,11,5,8,7,8,10,8,10,11,8,7,10,5,6,5,7,2,5,1,2,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
-543.401,0.996968,0.10063,5,31,0,546.333,-0.78281,-1.87815,-1.23098,-0.342472,5.47763,0.769716,-0.225064,5.26082,2.20991,1.88273e-05,2.69212e-05,3.8538e-05,5.52578e-05,7.94186e-05,0.000114531,0.00016596,0.000242024,0.00035557,0.000525688,0.000778977,0.00115027,0.00168303,0.00242926,0.00344882,0.00480769,0.00657492,0.00881779,0.0115948,0.014947,0.0188892,0.023298,0.0280329,0.0329336,0.0378269,0.0425327,0.046868,0.0506489,0.0536913,0.0558143,0.0568472,0.0566528,0.0551817,0.0525382,0.0489691,0.044766,0.0401943,0.0354735,0.0307798,0.0262542,0.0220078,0.0181259,0.0146696,0.0116745,0.00914904,0.00707482,0.00541065,0.00410129,0.00308691,0.00231032,0.00172119,0.00127742,0.000944997,0.000697127,0.000513,0.000376665,0.000275995,0.000201841,0.000147334,0.000107343,7.80502e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.76776,-0,-0,-11.3394,-10.6751,-5.02449,-14.193,-13.3716,-16.813,-15.8767,-7.51877,-14.2975,-20.4796,-52.3958,-25.2599,-18.3625,-35.7941,-32.1695,-25.9715,-51.613,-34.4498,-26.0741,-26.5159,-27.1491,-24.8505,-16.0701,-6.67794,-17.4045,-7.27986,-22.8981,-24.0625,-29.5538,-17.8014,-4.69411,-0,-5.21939,-5.49645,-0,-0,-0,-0,-0,-0,-0,-7.88416,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,1,2,3,5,10,10,7,11,13,8,16,12,10,11,10,7,8,6,8,7,5,2,5,3,5,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
-542.109,0.999705,0.10063,5,31,0,545.366,-1.58121,-2.99209,-1.08318,-0.340536,4.33907,0.239249,-0.049184,5.04031,2.1938,3.03138e-05,4.32879e-05,6.18286e-05,8.83369e-05,0.000126259,0.000180547,0.000258319,0.000369784,0.000529499,0.000757935,0.0010832,0.00154251,0.00218306,0.0030617,0.00424317,0.00579659,0.00778964,0.0102806,0.0133088,0.0168844,0.0209799,0.0255038,0.0303214,0.0352592,0.0401147,0.0446688,0.0486994,0.0519956,0.0543736,0.0556944,0.0558826,0.0549398,0.0529441,0.0500356,0.0463949,0.0422237,0.0377292,0.0331118,0.0285534,0.0242087,0.0201969,0.0165983,0.0134542,0.0107712,0.00852894,0.00668869,0.00520164,0.00401582,0.00308073,0.00235035,0.00178445,0.00134902,0.00101597,0.000762545,0.000570578,0.000425747,0.000316865,0.000235269,0.000174296,0.000128851,9.50587e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.47434,-0,-0,-10.9249,-10.301,-4.85496,-13.7325,-12.958,-16.3255,-15.4568,-7.33785,-13.9836,-20.0702,-51.4562,-24.8678,-18.1325,-35.4791,-32.0306,-25.9909,-51.921,-34.8182,-26.4467,-26.9552,-27.6351,-25.3182,-16.3866,-6.81573,-17.7799,-7.44209,-23.4134,-24.5907,-30.1593,-18.1235,-4.76429,-0,-5.25878,-5.51751,-0,-0,-0,-0,-0,-0,-0,-7.76167,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,2,4,2,4,1,3,6,12,8,4,6,6,3,21,7,12,6,11,6,12,5,7,6,8,5,6,1,6,3,2,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0
