# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 22:57:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c2470358e9.json
# init = /tmp/RtmpC8O1hA/init-b41c21ffffd1a_3.json
# random
#   seed = 3252009
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0318_rep032_badly_wrong_moderate/prior_sensitivity_obspair_FAST-202605302357-3-8da709.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0318_rep032_badly_wrong_moderate/prior_sensitivity_obspair_FAST-profile-202605302357-3-5b5974.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0895641
# Diagonal elements of inverse mass matrix:
# 0.0764063, 0.0906296, 0.0327041, 0.0136051, 0.0388431, 0.0458207, 0.0542292
-541.771,0.997879,0.0895641,5,63,0,544.323,-1.03362,-1.39408,-1.29011,-0.516819,4.6726,0.249513,-0.473045,5.16993,2.42046,3.02738e-05,4.09473e-05,5.5457e-05,7.52414e-05,0.000102326,0.000139597,0.000191226,0.000263324,0.000364917,0.000509356,0.000716121,0.00101292,0.00143777,0.0020409,0.00288591,0.00405011,0.00562329,0.0077047,0.0103981,0.0138048,0.0180161,0.0229187,0.0283569,0.0341305,0.0399967,0.0456759,0.0508609,0.0552311,0.0584752,0.0603268,0.0606142,0.0593139,0.056574,0.052682,0.0479925,0.0428574,0.0375832,0.0324146,0.0275329,0.0230609,0.0190704,0.0155906,0.0126174,0.0101221,0.00805972,0.00637741,0.00501998,0.00393441,0.00307256,0.00239231,0.00185796,0.00143984,0.00111371,0.000860004,0.000663076,0.000510504,0.000392481,0.000301301,0.000230931,0.000176661,0.000134826,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.89492,-0,-0,-11.6958,-11.018,-5.18084,-14.5978,-13.6984,-17.1309,-16.066,-7.5516,-14.2515,-20.2654,-51.5033,-24.6895,-17.872,-34.7547,-31.2307,-25.2718,-50.4581,-33.8989,-25.8498,-26.4913,-27.3304,-25.199,-16.406,-6.85829,-17.9619,-7.53923,-23.7577,-24.9665,-30.6087,-18.3722,-4.82088,-0,-5.29433,-5.53799,-0,-0,-0,-0,-0,-0,-0,-7.58011,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,6,4,1,5,7,7,8,8,14,8,8,9,16,9,17,5,9,15,3,5,6,6,5,3,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-542.946,0.999892,0.0895641,5,31,0,544.524,-1.31281,-3.535,-0.917129,-0.388722,4.87418,1.08534,-0.240201,5.0894,2.03924,3.01614e-05,4.23543e-05,5.94894e-05,8.3583e-05,0.000117487,0.000165247,0.000232631,0.000327911,0.000463037,0.000655353,0.000929649,0.00131971,0.00186901,0.00263101,0.00366896,0.00505454,0.00686457,0.00917468,0.0120484,0.0155212,0.0195827,0.0241604,0.0291263,0.0343097,0.0395101,0.0445041,0.0490515,0.0529048,0.0558246,0.0576048,0.0581041,0.0572827,0.0552212,0.0520956,0.0481361,0.0435918,0.0387071,0.033707,0.0287906,0.0241285,0.0198588,0.0160792,0.0128375,0.0101317,0.0079217,0.00614663,0.00473925,0.00363472,0.00277493,0.00211017,0.0015991,0.00120808,0.000910153,0.000683992,0.00051286,0.000383738,0.000286564,0.0002136,0.00015893,0.000118043,8.75185e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.63034,-0,-0,-11.2157,-10.5749,-4.98138,-14.0739,-13.2565,-16.6622,-15.7324,-7.44608,-14.1445,-20.234,-51.6992,-24.8974,-18.0893,-35.2711,-31.7409,-25.6873,-51.2193,-34.3171,-26.0677,-26.5921,-27.3035,-25.0631,-16.2587,-6.7801,-17.7385,-7.44872,-23.5146,-24.7814,-30.4877,-18.3683,-4.83815,-0,-5.35188,-5.61722,-0,-0,-0,-0,-0,-0,-0,-7.86555,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,1,1,3,4,8,10,8,15,7,9,9,11,14,10,15,9,7,8,7,9,4,7,5,2,3,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0
-543.089,0.998449,0.0895641,6,63,0,545.801,-0.808121,-1.66983,-1.11326,-0.792171,3.6799,0.0146046,-0.902606,4.92751,2.74176,0.000148337,0.000186907,0.000235786,0.000297891,0.000377057,0.000478371,0.000608649,0.000777129,0.000996447,0.00128401,0.00166379,0.00216856,0.00284212,0.0037409,0.00493399,0.00650066,0.00852487,0.0110869,0.0142528,0.0180629,0.0225218,0.02749,0.0327649,0.0380897,0.0431697,0.0476964,0.0513785,0.0539758,0.0553325,0.055399,0.0542358,0.051996,0.0488939,0.0451716,0.0410698,0.0368071,0.0325671,0.0284923,0.0246833,0.021203,0.0180819,0.0153257,0.0129226,0.0108488,0.00907451,0.00756688,0.00629315,0.00522206,0.00432485,0.00357571,0.00295188,0.00243357,0.00200374,0.00164784,0.00135353,0.00111037,0.000909626,0.000743959,0.000607271,0.000494503,0.000401471,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.13369,-0,-0,-10.6232,-10.0717,-4.76477,-13.506,-12.7524,-16.0556,-15.1731,-7.18787,-13.6736,-19.6069,-50.2819,-24.3432,-17.8112,-35.0306,-31.8383,-26.0387,-52.4594,-35.4791,-27.1629,-27.8756,-28.7323,-26.4165,-17.1223,-7.11625,-18.5081,-7.70723,-24.0771,-25.0693,-30.4415,-18.0948,-4.70229,-0,-5.06829,-5.25486,-0,-0,-0,-0,-0,-0,-0,-6.80306,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,2,5,1,1,2,5,4,7,6,12,12,9,11,5,5,15,10,12,8,8,9,8,4,10,8,3,3,2,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1
-543.616,0.98967,0.0895641,4,31,0,546.943,-1.49874,-1.32213,-1.11043,-0.726156,4.29108,0.123623,-0.616353,5.58336,2.73594,4.32812e-05,5.54256e-05,7.10859e-05,9.13495e-05,0.000117685,0.000152105,0.000197411,0.000257574,0.000338333,0.000448112,0.000599404,0.000810736,0.00110924,0.00153368,0.00213762,0.00299206,0.00418687,0.00583003,0.00804379,0.010957,0.0146937,0.0192495,0.0245506,0.0304409,0.0366764,0.0429292,0.0488054,0.0538788,0.057744,0.0600838,0.060735,0.0597217,0.0572385,0.0535927,0.0491375,0.0442179,0.039137,0.0341388,0.0294032,0.0250492,0.0211425,0.0177065,0.0147332,0.0121941,0.0100488,0.00825147,0.00675595,0.00551824,0.00449831,0.00366076,0.00297488,0.0024145,0.0019575,0.00158536,0.00128271,0.00103679,0.000837092,0.000674995,0.000543425,0.000436604,0.000349826,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-7.11757,-0,-0,-12.2961,-11.6236,-5.4758,-15.4342,-14.4686,-18.0551,-16.8814,-7.90054,-14.8281,-20.9518,-52.89,-25.1856,-18.1195,-35.0522,-31.3691,-25.3081,-50.4222,-33.8167,-25.7448,-26.3371,-27.1182,-24.949,-16.2034,-6.75464,-17.6333,-7.37383,-23.1388,-24.2029,-29.5236,-17.6272,-4.60031,-0,-4.99733,-5.1997,-0,-0,-0,-0,-0,-0,-0,-6.87163,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,5,3,3,4,7,3,4,3,7,18,12,10,9,11,19,13,9,5,8,6,4,3,3,5,4,2,2,3,0,1,3,2,1,0,0,0,0,0,0,1,0,0
-542.15,0.989773,0.0895641,5,63,0,547.964,-2.45221,-3.29039,-0.802578,-0.596913,3.286,0.575151,-0.509527,5.08649,2.48905,8.61997e-05,0.000113553,0.000149603,0.000197126,0.000259797,0.000342478,0.000451624,0.000595817,0.0007865,0.00103898,0.00137379,0.0018185,0.00241,0.00319681,0.00424086,0.00561743,0.0074125,0.00971573,0.0126081,0.0161437,0.0203294,0.0251015,0.0303189,0.0357662,0.0411667,0.0462046,0.0505533,0.0539129,0.0560548,0.0568575,0.0563163,0.0545303,0.051682,0.0480114,0.0437874,0.0392765,0.0347157,0.030294,0.0261454,0.0223523,0.0189545,0.0159606,0.0133576,0.0111192,0.0092121,0.00759984,0.00624597,0.00511569,0.00417689,0.00340065,0.00276143,0.00223694,0.001808,0.00145824,0.00117382,0.000943098,0.000756351,0.000605507,0.000483893,0.000386016,0.000307373,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.30974,-0,-0,-10.926,-10.3638,-4.90459,-13.902,-13.1203,-16.5049,-15.5827,-7.36966,-13.9839,-19.9845,-51.042,-24.5974,-17.9084,-35.0446,-31.6957,-25.8049,-51.7819,-34.908,-26.6638,-27.3268,-28.1557,-25.897,-16.8028,-6.99361,-18.2204,-7.60166,-23.7943,-24.8258,-30.2097,-17.9963,-4.68724,-0,-5.07582,-5.27544,-0,-0,-0,-0,-0,-0,-0,-6.96634,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,8,2,5,5,10,6,6,11,11,6,7,13,12,9,7,11,7,11,8,6,6,6,4,3,3,5,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0
-545.769,0.996839,0.0895641,5,31,0,546.777,-2.4714,-3.74482,-0.236027,-0.647097,3.37467,0.98975,-0.359915,4.94394,2.33194,8.24704e-05,0.000107199,0.000139361,0.000181204,0.000235668,0.000306595,0.000399029,0.000519603,0.000677079,0.000883084,0.00115315,0.00150822,0.00197679,0.00259808,0.00342632,0.00453589,0.0060264,0.00802535,0.010683,0.0141524,0.0185502,0.0239066,0.0301225,0.0369464,0.0439714,0.050657,0.0563944,0.0606177,0.0629333,0.0632028,0.0615412,0.0582569,0.0537711,0.0485427,0.0430028,0.0375051,0.0322988,0.0275327,0.0232757,0.0195426,0.0163143,0.0135528,0.0112114,0.00924033,0.00759107,0.00621812,0.00508024,0.00414081,0.00336785,0.0027338,0.00221509,0.00179179,0.00144711,0.001167,0.000939795,0.000755789,0.000606989,0.000486813,0.000389863,0.000311728,0.000248814,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.49683,-0,-0,-11.3525,-10.7915,-5.1116,-14.4754,-13.6173,-17.0315,-15.9491,-7.4672,-14.0099,-19.7897,-49.9875,-23.8614,-17.2523,-33.638,-30.4225,-24.8527,-50.1849,-34.1147,-26.3072,-27.2278,-28.3184,-26.2662,-17.1636,-7.18476,-18.8017,-7.87032,-24.6943,-25.807,-31.4358,-18.7367,-4.88078,-0,-5.2824,-5.48686,-0,-0,-0,-0,-0,-0,-0,-7.18775,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,4,2,4,7,10,12,3,9,9,16,15,12,9,9,10,9,8,7,7,4,4,1,2,4,1,2,3,0,2,0,0,1,0,1,3,1,1,0,1,0,0,0,0
