# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 23:06:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c232b007d.json
# init = /tmp/RtmpC8O1hA/init-b41c2ae5e21f_1.json
# random
#   seed = 3252011
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0320_rep032_manuscript_default/prior_sensitivity_obspair_FAST-202605310006-1-7145ce.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0320_rep032_manuscript_default/prior_sensitivity_obspair_FAST-profile-202605310006-1-356604.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.0645089
# Diagonal elements of inverse mass matrix:
# 0.0668827, 0.0758292, 0.123275, 0.0853495, 0.112319, 0.102923, 0.166861
-541.539,0.978516,0.0645089,6,127,0,544.072,-1.97998,-3.16647,-2.82365,-0.0559918,3.15444,0.125214,-0.689184,4.73832,2.13997,1.34633e-05,2.15892e-05,3.46046e-05,5.54242e-05,8.8651e-05,0.000141471,0.000224892,0.000355283,0.000555971,0.000858402,0.00130234,0.00193486,0.00280842,0.00397809,0.00549835,0.00741908,0.00978104,0.0126107,0.0159153,0.0196783,0.023858,0.0283317,0.0329522,0.037553,0.0419563,0.0459809,0.0494493,0.0521958,0.054075,0.0549729,0.0548221,0.0536185,0.051431,0.0483963,0.044697,0.0405337,0.036103,0.0315848,0.027137,0.0228924,0.0189571,0.0154085,0.0122945,0.00963384,0.00741891,0.00562035,0.00419365,0.00308606,0.00224281,0.0016119,0.00114705,0.000809123,0.000566335,0.000393676,0.000271983,0.000186881,0.000127777,8.69786e-05,5.89691e-05,3.98328e-05,2.68158e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.24772,-0,-0,-10.4066,-9.8074,-4.62731,-13.1196,-12.4214,-15.7129,-14.9425,-7.12755,-13.6508,-19.692,-50.738,-24.6362,-18.0408,-35.433,-32.0912,-26.1082,-52.2659,-35.1103,-26.7076,-27.255,-27.9706,-25.645,-16.6069,-6.91016,-18.0343,-7.5539,-23.7935,-25.037,-30.7902,-18.5699,-4.90372,-0,-5.47418,-5.78086,-0,-0,-0,-0,-0,-0,-0,-8.58504,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,4,2,4,3,12,3,7,6,7,14,14,7,14,5,12,11,6,11,5,8,6,13,2,5,2,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
-542.265,0.994771,0.0645089,5,63,0,544.252,-2.68193,-3.19712,-2.73292,0.226726,2.7351,-0.331586,-0.789688,5.13299,2.19728,6.9241e-06,1.26452e-05,2.28787e-05,4.08925e-05,7.19704e-05,0.000124299,0.000209961,0.000345879,0.000554513,0.000864134,0.00130858,0.00192644,0.00275968,0.00385173,0.00524502,0.00697806,0.00908213,0.0115779,0.0144725,0.0177566,0.0214035,0.0253287,0.029427,0.033576,0.0376399,0.0414746,0.0449338,0.0478749,0.0501666,0.0516966,0.0523806,0.052172,0.0510702,0.0491254,0.0464369,0.0431431,0.0394055,0.0353918,0.0312607,0.0271535,0.0231888,0.019462,0.0160448,0.0129861,0.010313,0.00803245,0.00613366,0.00459114,0.00336866,0.00242342,0.00171011,0.00118446,0.000805876,0.000539115,0.000354989,0.00023033,0.000147428,9.31939e-05,5.82436e-05,3.60255e-05,2.20745e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.25208,-0,-0,-10.501,-9.92997,-4.70145,-13.376,-12.7065,-16.124,-15.3768,-7.35164,-14.1034,-20.3637,-52.475,-25.4614,-18.6154,-36.47,-32.9165,-26.6613,-53.0859,-35.4385,-26.771,-27.1204,-27.6269,-25.1459,-16.1692,-6.68255,-17.327,-7.2125,-22.5845,-23.6357,-28.9266,-17.3755,-4.57435,-0,-5.09396,-5.38363,-0,-0,-0,-0,-0,-0,-0,-8.376,-0,-0,-0,-0,-0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,2,3,3,4,7,7,9,11,8,7,5,9,6,11,14,6,4,17,9,5,9,6,10,1,4,6,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-540.204,0.999962,0.0645089,6,63,0,544.588,-1.53302,-1.03704,-2.40762,-0.382949,2.9113,-0.0721618,-1.37276,4.87034,2.46039,3.15028e-05,4.43715e-05,6.25292e-05,8.81737e-05,0.000124431,0.000175753,0.00024847,0.000351561,0.000497656,0.000704291,0.00099534,0.00140249,0.00196664,0.002739,0.00378187,0.00516911,0.00698609,0.00932932,0.0123056,0.0160311,0.0206296,0.0258965,0.0316044,0.0374997,0.0433021,0.0487085,0.053403,0.0570767,0.0594589,0.0603587,0.0597064,0.0575791,0.0541919,0.0498567,0.0449213,0.0397166,0.0345209,0.0295465,0.0249387,0.0207847,0.0171244,0.013962,0.0112761,0.00902913,0.00717426,0.00566103,0.00443931,0.00346195,0.00268637,0.00207528,0.0015968,0.00122422,0.000935514,0.000712774,0.000541592,0.000410489,0.000310393,0.000234184,0.000176306,0.000132448,9.92783e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.5695,-0,-0,-11.1551,-10.5301,-4.96383,-14.0238,-13.1931,-16.5329,-15.5241,-7.30729,-13.8178,-19.7005,-50.2329,-24.1752,-17.5793,-34.3603,-31.0472,-25.2671,-50.7297,-34.2552,-26.237,-26.9874,-27.9256,-25.8079,-16.8309,-7.04358,-18.4567,-7.74708,-24.4035,-25.6285,-31.3955,-18.8292,-4.93726,-0,-5.41726,-5.66592,-0,-0,-0,-0,-0,-0,-0,-7.79816,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,10,11,8,8,12,9,13,18,16,12,5,10,10,12,8,4,2,6,1,3,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-540.096,0.991249,0.0645089,6,63,0,543.02,-2.1257,-1.83612,-1.61325,-0.0198559,1.7465,-0.881571,-0.815305,4.90289,2.41553,2.84964e-05,4.47637e-05,6.98043e-05,0.000107943,0.000165342,0.000250588,0.000375368,0.000555176,0.000809996,0.00116487,0.00165022,0.00230186,0.00316051,0.00427081,0.00567981,0.00743476,0.00958059,0.0121569,0.0151948,0.0187139,0.0227195,0.0270891,0.0316674,0.0362721,0.040702,0.0447491,0.0482127,0.0509152,0.0527171,0.0535304,0.0533262,0.0521375,0.0500538,0.0472106,0.0437746,0.0399267,0.0358464,0.0316989,0.0276261,0.0237417,0.0201297,0.0168457,0.01392,0.0113619,0.00916346,0.00730481,0.00575745,0.00448806,0.00346121,0.00264168,0.00199599,0.00149352,0.00110713,0.000813348,0.000592392,0.00042792,0.000306691,0.000218169,0.000154099,0.000108114,7.5369e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.07404,-0,-0,-10.3417,-9.80318,-4.64802,-13.2296,-12.5604,-15.914,-15.1381,-7.21725,-13.8099,-19.9002,-51.2237,-24.8535,-18.1928,-35.7311,-32.371,-26.3476,-52.7639,-35.4464,-26.9519,-27.4782,-28.1583,-25.7657,-16.6426,-6.90295,-17.945,-7.48105,-23.4334,-24.502,-29.921,-17.91,-4.69253,-0,-5.15726,-5.40634,-0,-0,-0,-0,-0,-0,-0,-7.75657,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,2,2,2,1,8,4,9,8,9,8,15,13,10,18,16,6,9,7,5,10,1,8,8,1,2,2,2,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
-540.217,0.962967,0.0645089,5,63,0,545.903,-2.71811,-1.75039,-1.60471,0.0555308,1.92674,-0.877393,-0.626788,5.03233,2.37961,1.97426e-05,3.19385e-05,5.12131e-05,8.12978e-05,0.000127608,0.000197814,0.000302503,0.000455888,0.000676513,0.000987853,0.00141873,0.00200343,0.00278143,0.00379662,0.00509607,0.00672822,0.00874061,0.0111772,0.0140757,0.0174643,0.0213593,0.0256589,0.0302277,0.0348985,0.0394793,0.0437627,0.0475389,0.0506115,0.0528147,0.0540289,0.0541936,0.0533141,0.0514601,0.0487576,0.0453738,0.0414988,0.0373274,0.0330426,0.028804,0.0247411,0.0209508,0.0174982,0.01442,0.011729,0.00941904,0.0074699,0.00585188,0.00452955,0.00346501,0.00262037,0.00195953,0.00144947,0.00106091,0.000768618,0.000551403,0.000391852,0.000275958,0.000192667,0.000133411,9.16589e-05,6.25072e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.21289,-0,-0,-10.5586,-10.0029,-4.73978,-13.4816,-12.7899,-16.1904,-15.3851,-7.32573,-13.996,-20.1319,-51.7117,-25.0318,-18.2772,-35.8029,-32.3506,-26.2641,-52.4735,-35.1787,-26.7025,-27.188,-27.8354,-25.4567,-16.4401,-6.81992,-17.7362,-7.39858,-23.1935,-24.2739,-29.674,-17.7828,-4.66502,-0,-5.14099,-5.39713,-0,-0,-0,-0,-0,-0,-0,-7.84463,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,6,5,3,5,10,8,6,10,7,14,12,7,14,4,13,9,13,4,6,4,10,2,4,3,2,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
-539.915,0.998494,0.0645089,6,127,0,541.912,-0.576919,-2.45667,-1.00156,-0.405839,4.85846,0.438332,-1.58141,4.87203,2.17685,3.66479e-05,5.12423e-05,7.1705e-05,0.000100449,0.000140926,0.000198117,0.000279274,0.00039503,0.000561005,0.000799826,0.00114314,0.00163281,0.00232082,0.00326771,0.0045398,0.00620505,0.00832742,0.0109596,0.0141341,0.0178536,0.0220823,0.0267264,0.0316443,0.0366531,0.0415406,0.0460793,0.050043,0.0532217,0.0554365,0.0565544,0.056504,0.0552893,0.0529951,0.0497751,0.0458281,0.0413747,0.0366382,0.0318311,0.027143,0.0227314,0.0187141,0.0151659,0.0121182,0.00956502,0.00747187,0.00578669,0.00444992,0.00340208,0.00258847,0.00196152,0.00148134,0.00111542,0.000837719,0.000627707,0.000469361,0.000350279,0.000260928,0.00019402,0.000144009,0.000106688,7.88785e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.41745,-0,-0,-10.7897,-10.1648,-4.7882,-13.5406,-12.7775,-16.1022,-15.2519,-7.24421,-13.8128,-19.8375,-50.8973,-24.6191,-17.9692,-35.1995,-31.8177,-25.853,-51.722,-34.7421,-26.438,-27.0022,-27.7457,-25.4807,-16.5333,-6.89462,-18.0332,-7.56802,-23.8709,-25.1322,-30.8913,-18.5986,-4.89661,-0,-5.41487,-5.68337,-0,-0,-0,-0,-0,-0,-0,-7.95678,-0,-0,-0,-0,-0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,4,4,5,5,7,4,7,9,7,7,9,15,16,11,7,12,7,7,10,9,8,4,7,2,1,1,1,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
