# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = prior_sensitivity_obspair_FAST_model
# start_datetime = 2026-05-30 23:22:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/RtmpC8O1hA/standata-b41c25ff0360f.json
# init = /tmp/RtmpC8O1hA/init-b41c2b53a2e7_4.json
# random
#   seed = 3352002
# output
#   file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0321_rep033_accurate_weak/prior_sensitivity_obspair_FAST-202605310022-4-9fb9c3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/research/mmappnj4/Measles-county-ranking/GT/New V code/NEW V FIXED/Prior sim/prior_sensitivity_outputs_obspair_FAST/cmdstan_outputs/job0321_rep033_accurate_weak/prior_sensitivity_obspair_FAST-profile-202605310022-4-84c5f3.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=prior_sensitivity_obspair_FAST_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_lambda1,log_lambda_I,log_r,log_d,m,log_kappa,log_sigma_z,mean_gen,sd_gen,p_si.1,p_si.2,p_si.3,p_si.4,p_si.5,p_si.6,p_si.7,p_si.8,p_si.9,p_si.10,p_si.11,p_si.12,p_si.13,p_si.14,p_si.15,p_si.16,p_si.17,p_si.18,p_si.19,p_si.20,p_si.21,p_si.22,p_si.23,p_si.24,p_si.25,p_si.26,p_si.27,p_si.28,p_si.29,p_si.30,p_si.31,p_si.32,p_si.33,p_si.34,p_si.35,p_si.36,p_si.37,p_si.38,p_si.39,p_si.40,p_si.41,p_si.42,p_si.43,p_si.44,p_si.45,p_si.46,p_si.47,p_si.48,p_si.49,p_si.50,p_si.51,p_si.52,p_si.53,p_si.54,p_si.55,p_si.56,p_si.57,p_si.58,p_si.59,p_si.60,p_si.61,log_lik_cell.1,log_lik_cell.2,log_lik_cell.3,log_lik_cell.4,log_lik_cell.5,log_lik_cell.6,log_lik_cell.7,log_lik_cell.8,log_lik_cell.9,log_lik_cell.10,log_lik_cell.11,log_lik_cell.12,log_lik_cell.13,log_lik_cell.14,log_lik_cell.15,log_lik_cell.16,log_lik_cell.17,log_lik_cell.18,log_lik_cell.19,log_lik_cell.20,log_lik_cell.21,log_lik_cell.22,log_lik_cell.23,log_lik_cell.24,log_lik_cell.25,log_lik_cell.26,log_lik_cell.27,log_lik_cell.28,log_lik_cell.29,log_lik_cell.30,log_lik_cell.31,log_lik_cell.32,log_lik_cell.33,log_lik_cell.34,log_lik_cell.35,log_lik_cell.36,log_lik_cell.37,log_lik_cell.38,log_lik_cell.39,log_lik_cell.40,log_lik_cell.41,log_lik_cell.42,log_lik_cell.43,log_lik_cell.44,log_lik_cell.45,log_lik_cell.46,log_lik_cell.47,log_lik_cell.48,log_lik_cell.49,log_lik_cell.50,log_lik_cell.51,log_lik_cell.52,log_lik_cell.53,log_lik_cell.54,log_lik_cell.55,log_lik_cell.56,log_lik_cell.57,log_lik_cell.58,log_lik_cell.59,log_lik_cell.60,log_lik_cell.61,counts_rep.1,counts_rep.2,counts_rep.3,counts_rep.4,counts_rep.5,counts_rep.6,counts_rep.7,counts_rep.8,counts_rep.9,counts_rep.10,counts_rep.11,counts_rep.12,counts_rep.13,counts_rep.14,counts_rep.15,counts_rep.16,counts_rep.17,counts_rep.18,counts_rep.19,counts_rep.20,counts_rep.21,counts_rep.22,counts_rep.23,counts_rep.24,counts_rep.25,counts_rep.26,counts_rep.27,counts_rep.28,counts_rep.29,counts_rep.30,counts_rep.31,counts_rep.32,counts_rep.33,counts_rep.34,counts_rep.35,counts_rep.36,counts_rep.37,counts_rep.38,counts_rep.39,counts_rep.40,counts_rep.41,counts_rep.42,counts_rep.43,counts_rep.44,counts_rep.45,counts_rep.46,counts_rep.47,counts_rep.48,counts_rep.49,counts_rep.50,counts_rep.51,counts_rep.52,counts_rep.53,counts_rep.54,counts_rep.55,counts_rep.56,counts_rep.57,counts_rep.58,counts_rep.59,counts_rep.60,counts_rep.61
# Adaptation terminated
# Step size = 0.091112
# Diagonal elements of inverse mass matrix:
# 0.115962, 0.0710946, 0.144061, 0.0296145, 0.165429, 0.129661, 0.289066
-533.073,0.974194,0.091112,5,63,0,538.176,-1.91428,-1.69537,-1.60447,0.597199,4.52986,-0.192614,0.0184486,5.04168,1.96428,4.94445e-07,1.16967e-06,2.71161e-06,6.12097e-06,1.33624e-05,2.80345e-05,5.62607e-05,0.000107731,0.000196805,0.000343588,0.000574953,0.000925426,0.00143788,0.0021638,0.00316298,0.00450216,0.00625286,0.00848861,0.0112836,0.0147161,0.0188885,0.0236452,0.0288288,0.0342627,0.0397473,0.0450619,0.0499685,0.0542181,0.0575607,0.0597612,0.060624,0.0600283,0.0579662,0.0545721,0.0501194,0.0449736,0.0395131,0.0340583,0.0288366,0.0239888,0.0195927,0.0156881,0.012291,0.00940159,0.00700528,0.00507351,0.0035644,0.00242513,0.00159595,0.00101514,0.00062403,0.000370898,0.000213365,0.000118981,6.44401e-05,3.39714e-05,1.74733e-05,8.78982e-06,4.3346e-06,2.10014e-06,1.00178e-06,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.75624,-0,-10.1494,-4.76903,-4.48441,-21.0941,-15.8768,-26.2122,-21.2783,-26.9896,-35.4773,-21.698,-20.9745,-29.1474,-37.1139,-28.174,-42.046,-25.3165,-14.2395,-37.807,-26.9401,-34.1185,-19.3867,-20.2781,-31.915,-26.1112,-15.7304,-8.30971,-0,-9.33375,-19.8444,-5.28372,-5.63676,-0,-6.44029,-0,-7.37931,-0,-8.4525,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,4,3,2,3,6,10,7,9,7,8,10,9,12,14,7,11,12,10,9,7,4,8,2,4,1,8,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-535.653,0.940678,0.091112,4,31,0,538.53,-0.697458,-1.80086,-1.74278,0.823378,5.64486,-0.391067,-0.638359,5.28694,2.32801,4.80671e-06,1.08702e-05,2.31409e-05,4.63861e-05,8.7767e-05,0.000157371,0.000268662,0.00043881,0.000688878,0.00104381,0.00153222,0.00218588,0.00303892,0.0041267,0.00548438,0.00714516,0.00913834,0.0114874,0.0142079,0.0173064,0.020779,0.0245062,0.0283695,0.0322505,0.0360306,0.0395928,0.0428231,0.0456125,0.0478604,0.049477,0.0503879,0.0505387,0.0499013,0.0484799,0.0463177,0.0434997,0.040152,0.0364319,0.0325112,0.0285546,0.0247018,0.0210571,0.0176899,0.0146407,0.0119286,0.00955789,0.0075219,0.00580561,0.00438747,0.00324083,0.00233535,0.00163848,0.00111698,0.000738409,0.000472456,0.000292066,0.000174184,0.000100102,5.53948e-05,2.95101e-05,1.51374e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.20585,-0,-9.39055,-4.46651,-4.25396,-20.2834,-15.4953,-25.9618,-21.3746,-27.4738,-36.5573,-22.6038,-22.0548,-30.8757,-39.5131,-30.0625,-44.8201,-26.8651,-14.9885,-39.3459,-27.6501,-34.485,-19.2905,-19.8739,-30.8355,-24.8916,-14.8035,-7.72104,-0,-8.4479,-17.7153,-4.65039,-4.88994,-0,-5.429,-0,-6.05959,-0,-6.79713,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,2,1,6,4,7,4,10,10,11,6,8,6,12,8,11,11,8,8,10,9,6,8,6,3,4,3,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-534.826,0.997825,0.091112,4,23,0,536.658,-0.859974,-1.46932,-1.74854,0.776697,4.88408,-0.179018,-0.728382,4.73007,2.0402,5.30743e-07,1.41386e-06,3.61418e-06,8.78395e-06,2.01477e-05,4.34294e-05,8.79224e-05,0.000167585,0.000302067,0.000517594,0.00084764,0.00133331,0.00202328,0.00297321,0.00424446,0.00590199,0.00801152,0.010636,0.0138315,0.0176437,0.0221046,0.027036,0.0322471,0.0375361,0.042693,0.0475038,0.0517552,0.055241,0.0577697,0.0591758,0.0593346,0.0581811,0.0557324,0.0521068,0.0475302,0.0423156,0.0368138,0.0313493,0.0261718,0.0214407,0.0172379,0.0135919,0.0104969,0.00792646,0.00584033,0.00418931,0.00291834,0.00196938,0.00128425,0.000807439,0.000488484,0.000283939,0.000158435,8.48513e-05,4.36415e-05,2.15847e-05,1.02861e-05,4.7346e-06,2.1109e-06,9.14341e-07,3.85939e-07,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.46214,-0,-9.65375,-4.54352,-4.28081,-20.1869,-15.2479,-25.2741,-20.606,-26.2596,-34.6909,-21.3286,-20.7286,-28.9605,-37.0668,-28.2724,-42.3684,-25.5978,-14.436,-38.408,-27.4175,-34.7886,-19.8113,-20.7754,-32.7876,-26.8973,-16.2426,-8.59656,-0,-9.6751,-20.5719,-5.47522,-5.83674,-0,-6.65758,-0,-7.6242,-0,-8.75016,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,1,6,2,3,2,5,9,5,14,10,10,11,16,10,15,21,13,9,7,4,4,3,4,2,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
-529.427,0.998437,0.091112,6,63,0,538.085,-2.23524,-2.26771,-1.57009,-0.377987,3.83062,0.34961,-1.27515,5.1703,2.29371,3.25382e-05,4.58606e-05,6.46525e-05,9.11727e-05,0.000128625,0.000181562,0.000256464,0.000362562,0.000512976,0.00072619,0.00102774,0.00145171,0.00204166,0.00285044,0.00393894,0.0053735,0.00722163,0.00954561,0.0123942,0.0157933,0.0197368,0.0241569,0.0289392,0.0339255,0.0389206,0.0437022,0.0480324,0.0516703,0.0543903,0.0560081,0.0564149,0.0556021,0.0536594,0.0507491,0.0470742,0.0428554,0.0383142,0.0336604,0.0290815,0.0247324,0.0207287,0.0171439,0.0140115,0.011332,0.00908098,0.00721891,0.00569851,0.0044707,0.00348843,0.00270886,0.00209444,0.00161309,0.001238,0.000947085,0.000722395,0.000549511,0.000416942,0.000315602,0.000238354,0.000179623,0.000135078,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.53684,-0,-9.86135,-4.65167,-4.39052,-20.7408,-15.7011,-26.0623,-21.2553,-27.0687,-35.7086,-21.9125,-21.2512,-29.6287,-37.8504,-28.8226,-43.1253,-26.0058,-14.6255,-38.7512,-27.5043,-34.6492,-19.5716,-20.3486,-31.8389,-25.8975,-15.5049,-8.13223,-0,-8.96025,-18.8063,-4.93105,-5.16755,-0,-5.6583,-0,-6.16847,-0,-6.69425,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,6,2,4,11,8,8,7,10,9,9,12,10,11,9,12,10,6,10,6,3,4,4,4,3,3,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
-530.221,0.992954,0.091112,5,31,0,531.245,-2.10652,-3.02648,-1.13654,-0.0671095,4.29946,0.196524,-0.705369,5.03252,1.91785,5.96038e-06,9.51361e-06,1.51848e-05,2.42349e-05,3.86722e-05,6.16855e-05,9.83113e-05,0.000156425,0.000248134,0.000391556,0.000612838,0.000948074,0.0014448,0.00216262,0.00317258,0.00455445,0.00639134,0.00876105,0.0117245,0.0153123,0.0195125,0.0242559,0.0294168,0.0348177,0.0402392,0.0454336,0.0501409,0.0541059,0.0570964,0.0589239,0.0594669,0.0586901,0.056653,0.0534996,0.0494351,0.0447005,0.0395508,0.0342377,0.0289936,0.0240188,0.0194699,0.0154524,0.0120193,0.00917472,0.00688381,0.00508561,0.00370596,0.00266826,0.00190106,0.00134211,0.000939977,0.000653757,0.000451911,0.000310696,0.000212582,0.000144825,9.82818e-05,6.64622e-05,4.48003e-05,3.01097e-05,2.0181e-05,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.75321,-0,-10.1056,-4.73744,-4.44608,-20.8955,-15.7468,-26.0337,-21.1571,-26.861,-35.342,-21.6405,-20.9504,-29.1681,-37.2192,-28.3151,-42.335,-25.5194,-14.3541,-38.065,-27.0638,-34.1855,-19.381,-20.2466,-31.8661,-26.1024,-15.7556,-8.33998,-0,-9.38261,-19.9143,-5.28134,-5.59781,-0,-6.26534,-0,-6.96965,-0,-7.70203,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,4,3,4,6,12,7,7,8,10,10,8,9,14,11,9,14,4,8,8,8,6,7,5,1,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-530.646,0.994191,0.091112,6,63,0,532.466,-1.266,-1.4783,-1.56398,-0.374343,4.0109,-0.363341,-1.44401,5.25181,2.51274,4.35716e-05,6.14086e-05,8.65197e-05,0.000121842,0.000171471,0.000241083,0.000338494,0.000474359,0.000663005,0.000923371,0.00127995,0.00176361,0.00241206,0.00326984,0.00438758,0.00582036,0.00762529,0.00985813,0.0125693,0.0157995,0.0195753,0.0238107,0.028384,0.0331388,0.037888,0.0424221,0.0465198,0.0499639,0.0525593,0.0541528,0.0546515,0.0540366,0.0523665,0.0497702,0.0464286,0.0425512,0.0383515,0.0340279,0.0297502,0.0256535,0.0218364,0.0183633,0.0152685,0.0125618,0.0102338,0.00826163,0.00661367,0.00525364,0.00414379,0.00324729,0.00252975,0.00196017,0.00151141,0.0011602,0.000886977,0.00067558,0.000512807,0.000388021,0.000292731,0.000220221,0.00016522,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-5.42898,-0,-9.75257,-4.61946,-4.3765,-20.7389,-15.7339,-26.1633,-21.3716,-27.2564,-36.0043,-22.1206,-21.4751,-29.9645,-38.2956,-29.1595,-43.6017,-26.2629,-14.7474,-39.0044,-27.6286,-34.7275,-19.5658,-20.2835,-31.6343,-25.6415,-15.2967,-7.9948,-0,-8.75419,-18.3282,-4.79613,-5.01862,-0,-5.48614,-0,-5.97964,-0,-6.49471,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,3,2,3,6,8,5,7,3,10,14,10,9,13,5,11,9,10,7,6,8,5,14,3,4,3,2,2,5,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0
